,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
918,9992636.753262741,[10740.04846272],[0.45276046],[16433.11476716],3.2230808359467607e-10,[1.08828372],[0.00024828],[36295.3842282],[1333.08664216],15100.028125,[14659.79391643],[33351.03115988],[2944.35306832],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.40366335]
970,9958416.630750174,[10787.20166113],[0.45078134],[16433.11476716],3.2341563136219393e-10,[1.08828372],[0.00025022],[36454.73578604],[1333.08664216],15100.028125,[14724.15639799],[33497.45580544],[2957.27998061],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.41421642]
911,9926510.931219842,[11196.79285453],[0.43429126],[16433.11476716],3.2445515089016834e-10,[1.08828372],[0.00026056],[37838.92597779],[1333.08664216],15100.028125,[15283.23418113],[34769.35776206],[3069.56821573],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.50588447]
973,9919139.648268096,[10736.6185504],[0.4529051],[16433.11476716],3.2469626562462826e-10,[1.08828372],[0.00025004],[36283.79303416],[1333.08664216],15100.028125,[14655.11220498],[33340.38026634],[2943.41276783],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.40289573]
937,9774077.161232205,[11008.6958481],[0.44171165],[16433.11476716],3.2951526255352474e-10,[1.08828372],[0.00026018],[37203.26282],[1333.08664216],15100.028125,[15026.48828653],[34185.26085185],[3018.00196815],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.46378765]
901,9587363.235141715,[10721.27231735],[0.45355338],[16433.11476716],3.3593257322269724e-10,[1.08828372],[0.00025832],[36231.93131056],[1333.08664216],15100.028125,[14634.16512876],[33292.72566792],[2939.20564264],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.39946118]
909,9418522.411032597,[10192.7558445],[0.4770711],[16433.11476716],3.419546571582387e-10,[1.08828372],[0.00024999],[34445.83988651],[1333.08664216],15100.028125,[13912.75846096],[31651.52549868],[2794.31438783],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.2811772]
938,9406661.86479247,[10321.34906446],[0.47112729],[16433.11476716],3.423858163815156e-10,[1.08828372],[0.00025346],[34880.41337508],[1333.08664216],15100.028125,[14088.28374935],[32050.84552977],[2829.56784531],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.30995685]
883,9254989.70501241,[10842.77665879],[0.44847085],[16433.11476716],3.479968865073439e-10,[1.08828372],[0.00027063],[36642.54833649],[1333.08664216],15100.028125,[14800.01434365],[33670.03263181],[2972.51570468],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.42665431]
877,9252599.937194156,[11100.61673777],[0.43805397],[16433.11476716],3.4808676738038214e-10,[1.08828372],[0.00027714],[37513.90424967],[1333.08664216],15100.028125,[15151.95711507],[34470.70243679],[3043.20181287],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.48435989]
897,9169937.49521834,[11124.93135818],[0.43709656],[16433.11476716],3.51224597079454e-10,[1.08828372],[0.00028025],[37596.07412938],[1333.08664216],15100.028125,[15185.14572923],[34546.206534],[3049.86759539],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.4898016]
956,9117966.185911853,[11069.48541294],[0.43928594],[16433.11476716],3.532265349895843e-10,[1.08828372],[0.00028044],[37408.69770425],[1333.08664216],15100.028125,[15109.46393565],[34374.0304536],[3034.66725066],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.47739258]
945,9055857.021178896,[10458.1114827],[0.46496629],[16433.11476716],3.556491223822974e-10,[1.08828372],[0.00026677],[35342.59420557],[1333.08664216],15100.028125,[14274.95971025],[32475.53334082],[2867.06086475],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.34056479]
892,8997400.210443148,[10661.16615997],[0.45611045],[16433.11476716],3.5795980246200596e-10,[1.08828372],[0.00027372],[36028.80596303],[1333.08664216],15100.028125,[14552.12230713],[33106.07824873],[2922.72771431],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.3860092]
965,8803357.59372259,[10858.8431188],[0.4478073],[16433.11476716],3.6584991211744366e-10,[1.08828372],[0.00028494],[36696.84402621],[1333.08664216],15100.028125,[14821.94450472],[33719.92374823],[2976.92027799],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.43025004]
963,8787937.500661006,[10255.68615299],[0.47414373],[16433.11476716],3.6649186475889094e-10,[1.08828372],[0.00026958],[34658.50929246],[1333.08664216],15100.028125,[13998.65615098],[31846.94274347],[2811.56654899],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.29526124]
987,8610906.06462017,[11076.4198618],[0.43901092],[16433.11476716],3.7402656327129566e-10,[1.08828372],[0.00029714],[37432.13228063],[1333.08664216],15100.028125,[15118.92921801],[34395.56397097],[3036.56830966],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.47894454]
957,8571565.73565246,[11600.24220514],[0.41918687],[16433.11476716],3.7574320740558173e-10,[1.08828372],[0.00031262],[39202.3601604],[1333.08664216],15100.028125,[15833.92856171],[36022.18747789],[3180.17268251],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.59617796]
940,8557964.975440506,[10992.08930718],[0.44237898],[16433.11476716],3.7634035792908346e-10,[1.08828372],[0.0002967],[37147.14195747],[1333.08664216],15100.028125,[15003.82093373],[34133.69262424],[3013.44933323],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.46007104]
977,8555436.334092867,[10724.04396725],[0.45343615],[16433.11476716],3.7645158893504077e-10,[1.08828372],[0.00028955],[36241.29794408],[1333.08664216],15100.028125,[14637.9483348],[33301.33246167],[2939.96548241],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.40008149]
946,8337344.448448343,[10640.99207918],[0.45697518],[16433.11476716],3.8629897348204715e-10,[1.08828372],[0.00029483],[35960.62880196],[1333.08664216],15100.028125,[14524.58538605],[33043.43175326],[2917.1970487],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.38149416]
879,8264264.762844402,[10779.5588592],[0.45110095],[16433.11476716],3.897149588529559e-10,[1.08828372],[0.00030131],[36428.90737067],[1333.08664216],15100.028125,[14713.72423824],[33473.722642],[2955.18472867],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.41250593]
910,8232187.82582044,[10435.45278135],[0.46597588],[16433.11476716],3.912334934705958e-10,[1.08828372],[0.00029282],[35266.02041033],[1333.08664216],15100.028125,[14244.03136822],[32405.1713627],[2860.84904763],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.33549369]
922,8223395.958143941,[10414.92455698],[0.46689433],[16433.11476716],3.9165177238148805e-10,[1.08828372],[0.00029256],[35196.64644117],[1333.08664216],15100.028125,[14216.01105344],[32341.42514658],[2855.22129459],[0.91887803],[1.08828372],[1.08828372],[1.08828372],[2.3308994]
