,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
957,9642064.355893685,[17700.35809272],[0.40493653],[14942.28610403],3.19030476384552e-10,[0.98955353],[0.00026159],[36900.31676027],[-157.74202097],15100.028125,[16391.14913551],[37289.8642833],[-389.54752303],[1.01055675],[0.98955353],[0.98955353],[0.98955353],[2.44372504]
968,9253912.64053167,[18195.35051139],[0.3939205],[14942.28610403],3.324120838701302e-10,[0.98955353],[0.00028019],[37932.23808905],[-157.74202097],15100.028125,[16849.52938482],[38332.67935048],[-400.44126143],[1.01055675],[0.98955353],[0.98955353],[0.98955353],[2.51206407]
935,9212209.150503244,[17659.11955082],[0.40588216],[14942.28610403],3.3391690684999584e-10,[0.98955353],[0.00027316],[36814.34588607],[-157.74202097],15100.028125,[16352.96080696],[37202.98583583],[-388.63994976],[1.01055675],[0.98955353],[0.98955353],[0.98955353],[2.43803161]
948,9162642.878331937,[18484.10844119],[0.38776669],[14942.28610403],3.3572326517993445e-10,[0.98955353],[0.00028747],[38534.21794849],[-157.74202097],15100.028125,[17116.92930219],[38941.01416249],[-406.796214],[1.01055675],[0.98955353],[0.98955353],[0.98955353],[2.55193021]
941,8668787.14325693,[17696.58970852],[0.40502276],[14942.28610403],3.5484922330617423e-10,[0.98955353],[0.0002909],[36892.46072878],[-157.74202097],15100.028125,[16387.65948028],[37281.92531763],[-389.46458885],[1.01055675],[0.98955353],[0.98955353],[0.98955353],[2.44320477]
936,8591917.284430914,[18196.66481245],[0.39389205],[14942.28610403],3.5802397566901365e-10,[0.98955353],[0.0003018],[37934.97804069],[-157.74202097],15100.028125,[16850.74647345],[38335.44822711],[-400.47018642],[1.01055675],[0.98955353],[0.98955353],[0.98955353],[2.51224552]
944,8336897.970319698,[17905.48375478],[0.40029756],[14942.28610403],3.6897565446315646e-10,[0.98955353],[0.00030605],[37327.94663453],[-157.74202097],15100.028125,[16581.10265514],[37722.00854044],[-394.06190591],[1.01055675],[0.98955353],[0.98955353],[0.98955353],[2.47204484]
932,8074434.238547067,[17690.26167501],[0.40516764],[14942.28610403],3.809694021787951e-10,[0.98955353],[0.0003122],[36879.26854138],[-157.74202097],15100.028125,[16381.79950047],[37268.59386356],[-389.32532218],[1.01055675],[0.98955353],[0.98955353],[0.98955353],[2.44233112]
963,8039217.693337779,[18584.49497385],[0.38567212],[14942.28610403],3.826382742863764e-10,[0.98955353],[0.00032942],[38743.49590965],[-157.74202097],15100.028125,[17209.89073379],[39152.50141936],[-409.00550971],[1.01055675],[0.98955353],[0.98955353],[0.98955353],[2.56578965]
934,7822907.933387536,[17485.31978633],[0.40991653],[14942.28610403],3.932185334385278e-10,[0.98955353],[0.00031851],[36452.02178342],[-157.74202097],15100.028125,[16192.0161614],[36836.83676719],[-384.81498377],[1.01055675],[0.98955353],[0.98955353],[0.98955353],[2.41403668]
