,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
964,9773484.837775987,[17982.16672264],[0.39504779],[12523.10099475],4.879841420063253,[0.82934289],[0.00022171],[31700.21765914],[-2576.92713025],15100.028125,[16801.44816156],[38223.29456755],[-6523.07690841],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.09934825]
977,9658355.031834137,[18134.3286799],[0.39173302],[12523.10099475],4.93801024838517,[0.82934289],[0.00022625],[31968.45936988],[-2576.92713025],15100.028125,[16943.61908437],[38546.73341693],[-6578.27404705],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.11711257]
974,9634004.205922067,[18231.16428466],[0.38965231],[12523.10099475],4.950491520485563,[0.82934289],[0.00022803],[32139.16792773],[-2576.92713025],15100.028125,[17034.0964122],[38752.56933775],[-6613.40141002],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.12841775]
949,9586947.113254307,[18047.16002232],[0.39362511],[12523.10099475],4.97479078233383,[0.82934289],[0.00022684],[31814.79238076],[-2576.92713025],15100.028125,[16862.17396687],[38361.44577464],[-6546.65339387],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.10693597]
948,9369337.33258418,[18745.37367575],[0.37896365],[12523.10099475],5.090333973126902,[0.82934289],[0.00024109],[33045.65210571],[-2576.92713025],15100.028125,[17514.54254318],[39845.58428573],[-6799.93218002],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.18844971]
991,9352657.157928146,[17876.85228103],[0.39737506],[12523.10099475],5.099412426265466,[0.82934289],[0.00023033],[31514.56201634],[-2576.92713025],15100.028125,[16703.04872179],[37999.43584206],[-6484.87382572],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.0870532]
960,9182516.68381353,[18847.90657003],[0.37690208],[12523.10099475],5.193898118781568,[0.82934289],[0.00024734],[33226.40424288],[-2576.92713025],15100.028125,[17610.34307349],[40063.53049219],[-6837.12624931],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.20042002]
957,8960289.49751082,[17792.49015257],[0.39925919],[12523.10099475],5.322713751937214,[0.82934289],[0.00023928],[31365.84257249],[-2576.92713025],15100.028125,[16624.22585523],[37820.11382064],[-6454.27124815],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.07720425]
937,8924516.304020787,[18127.49767148],[0.39188063],[12523.10099475],5.344049414560669,[0.82934289],[0.00024476],[31956.41719183],[-2576.92713025],15100.028125,[16937.23660357],[38532.21327313],[-6575.7960813],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.11631508]
968,8581468.817558434,[18273.07718597],[0.38875856],[12523.10099475],5.557679826576458,[0.82934289],[0.00025659],[32213.05491335],[-2576.92713025],15100.028125,[17073.25729027],[38841.66033537],[-6628.60542202],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.13331092]
970,8515587.72703578,[17812.07310761],[0.39882024],[12523.10099475],5.6006769771534115,[0.82934289],[0.00025205],[31400.36477144],[-2576.92713025],15100.028125,[16642.5229831],[37861.73978655],[-6461.37501511],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.07949048]
972,8288728.862787825,[18792.55855818],[0.37801214],[12523.10099475],5.753965043283898,[0.82934289],[0.0002732],[33128.83290736],[-2576.92713025],15100.028125,[17558.62924132],[39945.881524],[-6817.04861664],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.19395836]
951,8271673.777901852,[18183.4194146],[0.39067543],[12523.10099475],5.765828949535412,[0.82934289],[0.00026489],[32054.99994084],[-2576.92713025],15100.028125,[16989.48649552],[38651.0817773],[-6596.08183646],[1.20577388],[0.82934289],[0.82934289],[0.82934289],[2.12284372]
