,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
936,9838594.862123905,[10775.0931325],[0.84300605],[17301.98322215],7.633115653899336e-10,[1.24767564],[0.00014259],[20524.15066769],[3434.61045429],13867.372767857143,[7873.46067725],[16449.90891496],[4074.24175273],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.48003165]
902,9685438.366968982,[10825.50484481],[0.83908038],[17301.98322215],7.753818630509083e-10,[1.24767564],[0.00014553],[20620.17374296],[3434.61045429],13867.372767857143,[7910.29698388],[16526.87048417],[4093.3032588],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.48695604]
935,9289763.131234556,[10449.5816382],[0.86926626],[17301.98322215],8.084073984830582e-10,[1.24767564],[0.00014646],[19904.123827],[3434.61045429],13867.372767857143,[7635.60640361],[15952.96337898],[3951.16044802],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.43532046]
920,9212868.687937612,[11004.00830019],[0.82546909],[17301.98322215],8.151547036894023e-10,[1.24767564],[0.00015551],[20960.18303736],[3434.61045429],13867.372767857143,[8040.73111743],[16799.38465606],[4160.7983813],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.5114747]
904,9076023.326102009,[10816.13467278],[0.83980729],[17301.98322215],8.274453442453338e-10,[1.24767564],[0.00015516],[20602.32565385],[3434.61045429],13867.372767857143,[7903.4501121],[16512.56541279],[4089.76024106],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.48566899]
939,9058417.36255553,[10639.75287531],[0.85372929],[17301.98322215],8.290535691685645e-10,[1.24767564],[0.00015293],[20266.35764485],[3434.61045429],13867.372767857143,[7774.5662937],[16243.29029219],[4023.06735267],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.46144176]
919,9037937.859699344,[10776.68127468],[0.84288182],[17301.98322215],8.309321619627711e-10,[1.24767564],[0.00015525],[20527.17572455],[3434.61045429],13867.372767857143,[7874.6211475],[16452.33346888],[4074.84225568],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.4802498]
976,9033222.4837064,[10988.1950337],[0.82665703],[17301.98322215],8.313659116656432e-10,[1.24767564],[0.00015838],[20930.06228944],[3434.61045429],13867.372767857143,[8029.17621666],[16775.24316695],[4154.81912248],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.50930264]
989,9011684.546096742,[11198.41728169],[0.81113862],[17301.98322215],8.333528772595516e-10,[1.24767564],[0.00016179],[21330.48881369],[3434.61045429],13867.372767857143,[8182.78756672],[17096.18116618],[4234.30764751],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.53817808]
963,8902562.09427164,[11100.26480038],[0.81831099],[17301.98322215],8.435676343417382e-10,[1.24767564],[0.00016234],[21143.5302148],[3434.61045429],13867.372767857143,[8111.06663656],[16946.33565138],[4197.19456342],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.52469617]
951,8769850.741469378,[11001.84709218],[0.82563125],[17301.98322215],8.563330741689317e-10,[1.24767564],[0.00016334],[20956.06641783],[3434.61045429],13867.372767857143,[8039.15190266],[16796.08522519],[4159.98119264],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.51117784]
977,8638384.726606084,[10240.08245651],[0.88705035],[17301.98322215],8.693654523530014e-10,[1.24767564],[0.00015434],[19505.07458289],[3434.61045429],13867.372767857143,[7482.52340483],[15633.12925651],[3871.94532638],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.40654433]
923,8629834.950515969,[11153.26984206],[0.81442203],[17301.98322215],8.702267527139839e-10,[1.24767564],[0.00016827],[21244.49300447],[3434.61045429],13867.372767857143,[8149.79791305],[17027.25635406],[4217.23665041],[0.80149036],[1.24767564],[1.24767564],[1.24767564],[1.53197677]
