,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
875,9931487.544219784,[10822.28355629],[0.79438763],[32499.52891882],1.828690227201817,[2.15228267],[0.00028158],[40911.42392476],[17399.50079382],15100.028125,[8355.33533581],[19008.38788897],[21903.03603579],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.70936078]
989,9911009.437455814,[10942.23222498],[0.78567955],[32499.52891882],1.8324686630863942,[2.15228267],[0.00028529],[41364.86527179],[17399.50079382],15100.028125,[8447.94160922],[19219.06716097],[22145.79811081],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.73938995]
836,9869227.52070326,[10111.99620133],[0.85018704],[32499.52891882],1.840226519815518,[2.15228267],[0.00026476],[38226.3282205],[17399.50079382],15100.028125,[7806.95855335],[17760.83070886],[20465.49751163],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.5315402]
991,9855784.098014353,[10983.53096176],[0.78272535],[32499.52891882],1.842736613655155,[2.15228267],[0.00028797],[41520.98667807],[17399.50079382],15100.028125,[8479.82626581],[19291.60475472],[22229.38192334],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.7497291]
902,9807621.555438317,[10528.59250392],[0.81654676],[32499.52891882],1.8517857883311875,[2.15228267],[0.0002774],[39801.18512128],[17399.50079382],15100.028125,[8128.59139449],[18492.54542246],[21308.63969883],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.63583516]
926,9796225.89555983,[10232.63396364],[0.84016375],[32499.52891882],1.8539399159755083,[2.15228267],[0.00026991],[38682.3745447],[17399.50079382],15100.028125,[7900.09684094],[17972.72031314],[20709.65423156],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.56174189]
829,9654674.970167728,[10560.98626374],[0.81404217],[32499.52891882],1.881121246423045,[2.15228267],[0.00028266],[39923.64308808],[17399.50079382],15100.028125,[8153.60097076],[18549.44220848],[21374.2008796],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.64394495]
854,9538074.081023313,[10615.31854819],[0.80987566],[32499.52891882],1.9041175461013804,[2.15228267],[0.00028758],[40129.03514886],[17399.50079382],15100.028125,[8195.54816737],[18644.87208078],[21484.16306808],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.65754705]
933,9532664.158340437,[10660.74461325],[0.80642473],[32499.52891882],1.9051981599289962,[2.15228267],[0.00028898],[40300.75907341],[17399.50079382],15100.028125,[8230.61932445],[18724.65896313],[21576.10011028],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.66891947]
956,9366965.827760322,[11289.52555257],[0.76151014],[32499.52891882],1.9389004452078593,[2.15228267],[0.00031144],[42677.73648583],[17399.50079382],15100.028125,[8716.06914412],[19829.05730287],[22848.67918297],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.8263349]
885,9316026.037096426,[10462.27320916],[0.82172277],[32499.52891882],1.9495023029531824,[2.15228267],[0.00029019],[39550.47862591],[17399.50079382],15100.028125,[8077.38963618],[18376.06142231],[21174.4172036],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.61923212]
825,9211579.34918762,[10834.78602244],[0.79347097],[32499.52891882],1.97160698781724,[2.15228267],[0.00030393],[40958.68693446],[17399.50079382],15100.028125,[8364.98785477],[19030.3473696],[21928.33956486],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.71249077]
928,9198514.766317174,[11444.33761616],[0.75120889],[32499.52891882],1.9744072467214933,[2.15228267],[0.00032149],[43262.97174873],[17399.50079382],15100.028125,[8835.59167359],[20100.97105742],[23162.00069131],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.86509213]
969,9194092.42867614,[10659.42070886],[0.80652489],[32499.52891882],1.975356932136736,[2.15228267],[0.00029958],[40295.75432432],[17399.50079382],15100.028125,[8229.59720513],[18722.33364167],[21573.42068264],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.66858803]
947,9188133.061533095,[10524.97898838],[0.81682711],[32499.52891882],1.976638136611935,[2.15228267],[0.000296],[39787.52496671],[17399.50079382],15100.028125,[8125.80158271],[18486.19860067],[21301.32636604],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.63493052]
920,9167140.38081326,[10608.9889507],[0.81035886],[32499.52891882],1.9811646226890318,[2.15228267],[0.00029904],[40105.10740339],[17399.50079382],15100.028125,[8190.66140671],[18633.75470026],[21471.35270313],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.65596243]
893,9140006.893645171,[10937.41375299],[0.78602569],[32499.52891882],1.987046008282404,[2.15228267],[0.00030922],[41346.65002646],[17399.50079382],15100.028125,[8444.22151179],[19210.60393933],[22136.04608714],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.73818364]
918,9050612.205745988,[11614.12624416],[0.74022685],[32499.52891882],2.0066724549485144,[2.15228267],[0.00033159],[43904.82284253],[17399.50079382],15100.028125,[8966.6768476],[20399.1898283],[23505.63301423],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.90759875]
901,9017246.367500775,[10818.82593495],[0.79464151],[32499.52891882],2.0140975940446637,[2.15228267],[0.00031003],[40898.35309624],[17399.50079382],15100.028125,[8352.66588203],[19002.31488161],[21896.03821463],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.70849516]
866,8944719.25845393,[11030.24674897],[0.77941032],[32499.52891882],2.0304286461004564,[2.15228267],[0.00031865],[41697.58613278],[17399.50079382],15100.028125,[8515.89315185],[19373.65692046],[22323.92921233],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.7614244]
849,8931513.685606357,[11354.01103556],[0.75718511],[32499.52891882],2.0334307098425843,[2.15228267],[0.00032849],[42921.51063183],[17399.50079382],15100.028125,[8765.85510952],[19942.32037415],[22979.19025768],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.84247885]
900,8922147.45175908,[10538.45408118],[0.81578266],[32499.52891882],2.03556535149064,[2.15228267],[0.00030521],[39838.46479202],[17399.50079382],15100.028125,[8136.20501729],[18509.86641434],[21328.59837768],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.63830401]
821,8899513.701259678,[10722.58947247],[0.8017735],[32499.52891882],2.0407423173156767,[2.15228267],[0.00031133],[40534.55088268],[17399.50079382],15100.028125,[8278.36659839],[18833.28401134],[21701.26687135],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.68440234]
904,8763039.649032312,[10754.10630772],[0.79942376],[32499.52891882],2.072524482494707,[2.15228267],[0.00031711],[40653.69381596],[17399.50079382],15100.028125,[8302.69914575],[18888.64055659],[21765.05325937],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.69229259]
931,8730583.185371822,[10528.27889925],[0.81657109],[32499.52891882],2.080229215858255,[2.15228267],[0.00031161],[39799.99960311],[17399.50079382],15100.028125,[8128.34927625],[18491.99460346],[21308.00499965],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.63575665]
959,8722698.189249516,[10995.47001256],[0.78187546],[32499.52891882],2.0821096660291403,[2.15228267],[0.00032573],[41566.11981158],[17399.50079382],15100.028125,[8489.0438004],[19312.57464592],[22253.54516566],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.75271804]
916,8721222.50809229,[10657.61685072],[0.8066614],[32499.52891882],2.0824619709953973,[2.15228267],[0.00031577],[40288.93520849],[17399.50079382],15100.028125,[8228.2045379],[18719.16532372],[21569.76988477],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.66813643]
945,8639190.311306134,[10475.21558696],[0.82070751],[32499.52891882],2.102235690990987,[2.15228267],[0.00031332],[39599.40463138],[17399.50079382],15100.028125,[8087.38178857],[18398.793569],[21200.61106238],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.62247224]
851,8516251.079939986,[10452.90297506],[0.82245938],[32499.52891882],2.132583227433365,[2.15228267],[0.00031716],[39515.0563772],[17399.50079382],15100.028125,[8070.15535446],[18359.6034314],[21155.45294581],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.61688628]
903,8436180.569924116,[10381.66057158],[0.82810337],[32499.52891882],2.152824262491415,[2.15228267],[0.00031799],[39245.73907879],[17399.50079382],15100.028125,[8015.15271402],[18234.4724244],[21011.26665439],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.59905073]
993,8254443.482323728,[10739.46119372],[0.80051392],[32499.52891882],2.200222734892186,[2.15228267],[0.00033619],[40598.33096539],[17399.50079382],15100.028125,[8291.39239724],[18862.91770372],[21735.41326167],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.68862618]
855,8226759.23130235,[10859.64596705],[0.79165455],[32499.52891882],2.207626806991918,[2.15228267],[0.0003411],[41052.66485762],[17399.50079382],15100.028125,[8384.18095505],[19074.01167275],[21978.65318488],[0.46462298],[2.15228267],[2.15228267],[2.15228267],[2.71871446]
