,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
861,9834888.411158606,[10276.94335169],[0.8010821],[17090.57065479],5.353406886476868e-10,[1.23243032],[0.00014828],[21334.35588468],[3223.19788694],13867.372767857143,[8285.51154027],[17310.80089664],[4023.55498805],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.53845694]
868,9676728.338483091,[10427.76692987],[0.78949553],[17090.57065479],5.440904973909951e-10,[1.23243032],[0.00015291],[21647.45714275],[3223.19788694],13867.372767857143,[8407.10902843],[17564.85279153],[4082.60435122],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.56103521]
871,9656845.793073617,[10760.6601205],[0.76507159],[17090.57065479],5.452107290124836e-10,[1.23243032],[0.00015812],[22338.52466716],[3223.19788694],13867.372767857143,[8675.4952867],[18125.58836686],[4212.9363003],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.61086927]
988,9625669.21352659,[10746.75653293],[0.7660614],[17090.57065479],5.469766120161364e-10,[1.23243032],[0.00015843],[22309.66160204],[3223.19788694],13867.372767857143,[8664.28588997],[18102.1687344],[4207.49286764],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.60878791]
915,9368752.285171457,[11086.93558916],[0.74255644],[17090.57065479],5.619762135387112e-10,[1.23243032],[0.00016792],[23015.85417328],[3223.19788694],13867.372767857143,[8938.5461831],[18675.17684683],[4340.67732645],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.65971266]
953,9357317.365543872,[10931.41089414],[0.75312103],[17090.57065479],5.626629651560168e-10,[1.23243032],[0.00016577],[22692.99366129],[3223.19788694],13867.372767857143,[8813.15854485],[18413.20624548],[4279.7874158],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.63643064]
943,9270355.575696113,[10752.19508908],[0.76567392],[17090.57065479],5.679410991101548e-10,[1.23243032],[0.00016458],[22320.95173846],[3223.19788694],13867.372767857143,[8668.67058084],[18111.32960641],[4209.62213205],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.60960206]
893,9169622.530593155,[10313.88593999],[0.79821276],[17090.57065479],5.741802257657627e-10,[1.23243032],[0.00015961],[21411.0466184],[3223.19788694],13867.372767857143,[8315.295517],[17373.02813373],[4038.01848466],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.54398724]
872,9126910.647495281,[11446.14934844],[0.71925284],[17090.57065479],5.768672597060751e-10,[1.23243032],[0.00017796],[23761.56171656],[3223.19788694],13867.372767857143,[9228.152698],[19280.24760118],[4481.31411537],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.71348691]
875,8963480.754936824,[10587.92229926],[0.77755344],[17090.57065479],5.873851998737194e-10,[1.23243032],[0.00016762],[21979.93067409],[3223.19788694],13867.372767857143,[8536.23002442],[17834.62344388],[4145.30723021],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.58501044]
958,8952169.241839323,[10470.96137571],[0.78623873],[17090.57065479],5.881273904201845e-10,[1.23243032],[0.00016597],[21737.1263808],[3223.19788694],13867.372767857143,[8441.93339859],[17637.61085064],[4099.51553016],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.56750141]
855,8846947.241538808,[11181.25535794],[0.73629258],[17090.57065479],5.951223389331554e-10,[1.23243032],[0.00017934],[23211.65670379],[3223.19788694],13867.372767857143,[9014.58898162],[18834.05197946],[4377.60472433],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.67383232]
901,8826663.580631753,[10635.20607578],[0.77409646],[17090.57065479],5.964899292588613e-10,[1.23243032],[0.00017097],[22078.08913243],[3223.19788694],13867.372767857143,[8574.35130841],[17914.26969792],[4163.81943451],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.59208882]
951,8673343.109382138,[10934.49725472],[0.75290845],[17090.57065479],6.070342045050108e-10,[1.23243032],[0.00017889],[22699.4007721],[3223.19788694],13867.372767857143,[8815.64684076],[18418.40500659],[4280.99576551],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.63689267]
892,8630844.555644529,[10622.55880753],[0.7750181],[17090.57065479],6.100232602798423e-10,[1.23243032],[0.00017465],[22051.83411549],[3223.19788694],13867.372767857143,[8564.15478562],[17892.96624854],[4158.86786695],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.59019552]
976,8536633.472892944,[11286.89044242],[0.72940155],[17090.57065479],6.16755533843784e-10,[1.23243032],[0.00018762],[23430.94919271],[3223.19788694],13867.372767857143,[9099.7544517],[19011.98697944],[4418.96221328],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.68964587]
970,8512482.827611994,[10673.9160335],[0.77128913],[17090.57065479],6.185053222926497e-10,[1.23243032],[0.00017793],[22158.44882558],[3223.19788694],13867.372767857143,[8605.56017961],[17979.47394669],[4178.9748789],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.59788369]
948,8370051.506672432,[10527.43431004],[0.78202106],[17090.57065479],6.290302909851439e-10,[1.23243032],[0.00017847],[21854.36101348],[3223.19788694],13867.372767857143,[8487.46319604],[17732.73560601],[4121.62540747],[0.8114049],[1.23243032],[1.23243032],[1.23243032],[1.5759554]
