,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
935,9838940.761092514,[10805.66830804],[0.60714534],[23620.50007619],2.164310984426672,[1.56426861],[0.00027028],[38904.19409521],[8520.47195119],15100.028125,[10932.10238775],[24870.53293212],[14033.66116308],[0.63927639],[1.56426861],[1.56426861],[1.56426861],[2.5764319]
890,9627628.82029025,[10629.04848038],[0.6172341],[23620.50007619],2.2118143482513135,[1.56426861],[0.0002717],[38268.3007973],[8520.47195119],15100.028125,[10753.41598125],[24464.02135735],[13804.27943995],[0.63927639],[1.56426861],[1.56426861],[1.56426861],[2.53431984]
844,9459385.302491123,[10502.25172977],[0.62468614],[23620.50007619],2.251153418895829,[1.56426861],[0.00027323],[37811.78804348],[8520.47195119],15100.028125,[10625.1356176],[24172.18353004],[13639.60451344],[0.63927639],[1.56426861],[1.56426861],[1.56426861],[2.50408726]
927,9457067.3175727,[10593.07542658],[0.61933016],[23620.50007619],2.2517051903381615,[1.56426861],[0.00027566],[38138.7851924],[8520.47195119],15100.028125,[10717.02201689],[24381.22508842],[13757.56010398],[0.63927639],[1.56426861],[1.56426861],[1.56426861],[2.52574266]
958,9396792.031138076,[10021.2317411],[0.65467113],[23620.50007619],2.2661486487933686,[1.56426861],[0.00026245],[36079.94745115],[8520.47195119],15100.028125,[10138.4873496],[23065.05872033],[13014.88873082],[0.63927639],[1.56426861],[1.56426861],[1.56426861],[2.38939604]
861,9392939.839174312,[10535.04693464],[0.62274152],[23620.50007619],2.2670780319005797,[1.56426861],[0.00027602],[37929.86227813],[8520.47195119],15100.028125,[10658.31454991],[24247.66560106],[13682.19667708],[0.63927639],[1.56426861],[1.56426861],[1.56426861],[2.51190673]
985,9328601.33132385,[10717.61435596],[0.61213353],[23620.50007619],2.282713861171498,[1.56426861],[0.00028274],[38587.16899828],[8520.47195119],15100.028125,[10843.01814118],[24667.86627119],[13919.30272709],[0.63927639],[1.56426861],[1.56426861],[1.56426861],[2.5554369]
954,9270450.41773826,[10617.09391123],[0.61792909],[23620.50007619],2.2970326796215295,[1.56426861],[0.00028185],[38225.26015742],[8520.47195119],15100.028125,[10741.32153506],[24436.50649227],[13788.75366515],[0.63927639],[1.56426861],[1.56426861],[1.56426861],[2.53146947]
864,9206912.493682541,[10153.83077647],[0.64612177],[23620.50007619],2.3128847568571334,[1.56426861],[0.00027141],[36557.35046427],[8520.47195119],15100.028125,[10272.63788891],[23370.25119728],[13187.09926699],[0.63927639],[1.56426861],[1.56426861],[1.56426861],[2.42101208]
852,9023620.84173881,[10810.9535184],[0.60684852],[23620.50007619],2.3598650627980606,[1.56426861],[0.00029485],[38923.22270537],[8520.47195119],15100.028125,[10937.44943887],[24882.69747342],[14040.52523195],[0.63927639],[1.56426861],[1.56426861],[1.56426861],[2.57769207]
