,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
921,9945617.998013532,[17896.0138677],[0.37945307],[13620.24772983],6.400446257851892e-10,[1.5033358],[0.0002467],[35894.41996374],[4560.23085483],9060.016875000001,[17491.95245437],[23876.51510021],[12017.90486353],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[3.96184913]
892,9787649.72068231,[18316.3664484],[0.37074479],[13620.24772983],6.503746590246034e-10,[1.5033358],[0.00025657],[36737.53017679],[4560.23085483],9060.016875000001,[17902.81419208],[24437.34137219],[12300.1888046],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.05490748]
939,9747717.027976425,[18455.89238831],[0.36794197],[13620.24772983],6.530389968719153e-10,[1.5033358],[0.00025958],[37017.38035572],[4560.23085483],9060.016875000001,[18039.18987468],[24623.49417894],[12393.88617678],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.08579596]
917,9723670.944763338,[17961.35343788],[0.3780727],[13620.24772983],6.546539250352989e-10,[1.5033358],[0.00025325],[36025.47294514],[4560.23085483],9060.016875000001,[17555.81676871],[23963.68988929],[12061.78305585],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[3.97631411]
904,9596285.448154224,[18312.83446512],[0.37081629],[13620.24772983],6.633441016456421e-10,[1.5033358],[0.00026163],[36730.44600194],[4560.23085483],9060.016875000001,[17899.36195494],[24432.6290685],[12297.81693344],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.05412556]
910,9583193.810815228,[18367.63825083],[0.36970988],[13620.24772983],6.642502985337722e-10,[1.5033358],[0.00026277],[36840.3671338],[4560.23085483],9060.016875000001,[17952.92836482],[24505.74721798],[12334.61991582],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.06625811]
891,9446052.502491158,[18250.71440004],[0.37207844],[13620.24772983],6.73894131761626e-10,[1.5033358],[0.00026489],[36605.85045118],[4560.23085483],9060.016875000001,[17838.64445478],[24349.74968078],[12256.1007704],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.04037332]
949,9383385.309110172,[18383.82218008],[0.36938441],[13620.24772983],6.783947520049848e-10,[1.5033358],[0.0002686],[36872.82758881],[4560.23085483],9060.016875000001,[17968.7468886],[24527.33950294],[12345.48808587],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.06984094]
906,9187109.615720443,[19248.32426327],[0.35279421],[13620.24772983],6.928881461094689e-10,[1.5033358],[0.00028724],[38606.7780128],[4560.23085483],9060.016875000001,[18813.72999197],[25680.74143904],[12926.03657376],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.26122584]
937,8964629.636337107,[17850.16870716],[0.38042763],[13620.24772983],7.100839195786313e-10,[1.5033358],[0.00027299],[35802.46733911],[4560.23085483],9060.016875000001,[17447.14239922],[23815.34937494],[11987.11796417],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[3.95169985]
940,8758795.705196861,[18099.03043633],[0.37519675],[13620.24772983],7.2677107264462e-10,[1.5033358],[0.0002833],[36301.61466241],[4560.23085483],9060.016875000001,[17690.38525579],[24147.37587416],[12154.23878826],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.00679327]
961,8730761.65677025,[17646.41733328],[0.38482017],[13620.24772983],7.291046989932192e-10,[1.5033358],[0.0002771],[35393.79882576],[4560.23085483],9060.016875000001,[17247.9913832],[23543.50823807],[11850.29058769],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[3.90659304]
970,8602208.979530742,[18452.35366878],[0.36801253],[13620.24772983],7.400005469395447e-10,[1.5033358],[0.00029409],[37010.28266984],[4560.23085483],9060.016875000001,[18035.73105339],[24618.77288788],[12391.50978196],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.08501255]
936,8580520.867243316,[18542.5269791],[0.36622286],[13620.24772983],7.41870971264955e-10,[1.5033358],[0.00029627],[37191.145218],[4560.23085483],9060.016875000001,[18123.86840445],[24739.08037207],[12452.06484593],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.10497527]
889,8441072.369408755,[18763.20305773],[0.36191568],[13620.24772983],7.541268539303954e-10,[1.5033358],[0.00030475],[37633.75997572],[4560.23085483],9060.016875000001,[18339.5619943],[25033.50212222],[12600.2578535],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.15382891]
929,8436209.564940937,[17839.19917052],[0.38066156],[13620.24772983],7.545615481383053e-10,[1.5033358],[0.00028991],[35780.46550351],[4560.23085483],9060.016875000001,[17436.42053597],[23800.7140316],[11979.75147191],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[3.9492714]
893,8193448.274947094,[18776.98804525],[0.36164998],[13620.24772983],7.769182322423482e-10,[1.5033358],[0.00031419],[37661.40882172],[4560.23085483],9060.016875000001,[18353.03574036],[25051.89378559],[12609.51503613],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.15688065]
985,8179334.540108463,[18534.57534906],[0.36637998],[13620.24772983],7.782588324913534e-10,[1.5033358],[0.00031067],[37175.19646259],[4560.23085483],9060.016875000001,[18116.09630863],[24728.47146128],[12446.72500132],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.10321493]
925,8136580.790384867,[18304.7035638],[0.37098101],[13620.24772983],7.823482017487486e-10,[1.5033358],[0.00030843],[36714.13767827],[4560.23085483],9060.016875000001,[17891.41463548],[24421.78097743],[12292.35670084],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.05232553]
981,8091932.017650239,[18034.74766838],[0.37653409],[13620.24772983],7.866649566328769e-10,[1.5033358],[0.00030556],[36172.68133199],[4560.23085483],9060.016875000001,[17627.5538829],[24061.61105015],[12111.07028183],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[3.99256225]
948,8030446.728600639,[17862.81888962],[0.38015821],[13620.24772983],7.926880738863042e-10,[1.5033358],[0.00030496],[35827.84008217],[4560.23085483],9060.016875000001,[17459.50696217],[23832.22700337],[11995.61307881],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[3.95450037]
907,8030322.246588055,[18317.11719209],[0.37072959],[13620.24772983],7.927003617377452e-10,[1.5033358],[0.00031272],[36739.03595955],[4560.23085483],9060.016875000001,[17903.54798526],[24438.34299987],[12300.69295967],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.05507368]
932,7845702.675558642,[17342.08261577],[0.39157335],[13620.24772983],8.113536305131214e-10,[1.5033358],[0.00030304],[34783.3881365],[4560.23085483],9060.016875000001,[16950.52802358],[23137.47075219],[11645.91738432],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[3.83921891]
943,7745388.545716165,[18049.97929602],[0.37621635],[13620.24772983],8.218618487850728e-10,[1.5033358],[0.0003195],[36203.23173518],[4560.23085483],9060.016875000001,[17642.44160641],[24081.93279275],[12121.29894243],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[3.99593425]
972,7733289.184470894,[18457.10582012],[0.36791778],[13620.24772983],8.231477186348806e-10,[1.5033358],[0.00032722],[37019.81416199],[4560.23085483],9060.016875000001,[18040.37590927],[24625.11311616],[12394.70104584],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.08606459]
894,7657207.9551518485,[19196.30959465],[0.35375015],[13620.24772983],8.313264295581975e-10,[1.5033358],[0.0003437],[38502.4510731],[4560.23085483],9060.016875000001,[18762.88972569],[25611.34447557],[12891.10659753],[0.66518738],[1.5033358],[1.5033358],[1.5033358],[4.24971075]
