,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,hispanic_population,zcta
0,16834,5341,17526,9012,10440,348,14170,23,14,16726,00601
1,37642,12777,20260,11379,17768,555,18479,48,47,35608,00602
2,49075,19624,17703,13010,23551,1719,36216,28,32,48141,00603
3,5590,1948,19603,9274,3021,9,3721,0,0,5552,00606
4,25542,8781,22796,12726,11597,576,11182,0,2,24609,00610
5,1315,523,22525,13495,587,14,765,0,0,1258,00611
6,63312,23286,22305,13479,27239,1775,23571,560,36,62913,00612
7,9625,3150,23652,11218,4201,626,3512,147,0,9601,00616
8,22573,8234,20328,13414,10418,754,8496,360,38,22372,00617
9,7577,2996,22818,14801,3496,419,3409,0,0,7472,00622
10,39406,14572,23132,14386,16224,1790,16400,206,177,39059,00623
11,21648,7344,20101,11325,11130,611,16052,25,0,21502,00624
12,32733,11585,23263,13429,13563,542,26687,0,43,32459,00627
13,1431,480,15658,8965,846,8,1377,0,0,1431,00631
14,1057,262,-666666666,7550,800,0,603,0,0,1057,00636
15,22882,7265,20568,11415,10350,123,14793,11,79,22660,00637
16,17605,5814,19796,9553,9664,594,9019,77,247,17479,00638
17,24299,8854,17673,10661,12959,314,11942,19,0,23859,00641
18,35926,12006,31330,21207,11072,2257,16043,0,10,34988,00646
19,4702,1844,17143,8531,3176,287,2337,4,0,4651,00647
20,13767,5245,20363,10741,6827,81,6258,186,0,13728,00650
21,3924,1412,26148,14188,1498,74,1595,49,38,3834,00652
22,8980,3627,13777,8206,5795,428,5668,0,15,8898,00653
23,18121,6429,21456,10444,9388,343,13909,82,32,18065,00656
24,37066,13061,23899,14486,14782,1242,28807,4,84,36889,00659
25,15483,6084,22556,14258,6367,381,3249,0,0,15270,00660
26,40480,14067,20283,12477,19434,3146,22574,35,51,39693,00662
27,14967,5056,17966,8694,8257,560,8056,0,0,14716,00664
28,23370,8259,16889,10048,13087,610,9936,0,0,22871,00667
29,27529,9997,18838,10330,15237,621,23993,0,15,27240,00669
30,8746,2702,16644,8606,4542,197,4902,0,0,8709,00670
31,39385,14691,20088,12971,18002,1040,16294,114,26,38355,00674
32,36683,12956,20160,14041,17143,1703,28106,0,111,36446,00676
33,15304,5741,26404,15700,6304,344,6030,0,0,14351,00677
34,25039,9059,19558,11543,11494,893,17356,0,79,24580,00678
35,43173,17577,16535,12462,22589,978,7550,33,20,42980,00680
36,30414,12077,17385,14847,16264,847,4887,5,5,29999,00682
37,29547,10904,18132,12070,14181,339,18986,8,0,29265,00683
38,40346,14312,17481,11189,21041,1122,29322,21,37,38761,00685
39,28659,9810,22282,12329,13586,1180,12506,0,0,28551,00687
40,11478,3950,17273,11755,5987,168,3097,111,0,11418,00688
41,5781,2063,23343,11967,2765,204,4020,0,0,5765,00690
42,33302,11968,25289,16954,13639,2244,11131,0,0,32989,00692
43,55570,20435,23791,14766,23966,2736,22455,9,0,54411,00693
44,98,52,-666666666,40423,27,0,0,0,0,98,00694
45,33506,12264,19818,11804,14745,915,24755,0,28,33153,00698
46,24475,8993,23045,14001,10679,1650,9973,0,352,24320,00703
47,6831,2443,19845,10677,3521,1352,2054,0,0,6732,00704
48,24401,8909,22679,13417,10329,2343,8641,0,131,24361,00705
49,10487,3904,21765,10533,5255,3840,967,0,0,10449,00707
50,15797,6246,18496,12921,9102,3091,8438,0,0,15699,00714
51,2040,780,16250,8924,1367,176,801,0,0,2040,00715
52,27166,11547,20184,17655,13196,1663,15241,20,41,26920,00716
53,15029,6678,14164,12108,7800,908,7953,16,91,14896,00717
54,23289,8138,20414,10924,11155,402,7887,23,0,23056,00718
55,29523,8692,20533,11312,14400,2285,13615,1,0,29512,00719
56,20816,6514,16751,9950,11490,1034,9714,0,54,20670,00720
57,15978,6222,20967,11876,7705,5589,1048,0,0,15978,00723
58,77244,30818,25786,17280,31300,6819,42866,170,258,75670,00725
59,53258,20011,33678,21866,16325,4940,29152,256,102,52374,00727
60,38590,13069,21239,12568,17986,2520,23528,44,38,38313,00728
61,47826,16661,26978,16953,16792,6789,13980,319,37,47755,00729
62,32267,12950,17517,12216,16881,1479,15339,0,7,32044,00730
63,10473,3924,16944,11609,5862,648,5495,0,0,10454,00731
64,11164,4234,23125,14292,4613,637,2969,54,42,10974,00735
65,45867,17707,27158,16511,17606,4117,17863,71,275,45723,00736
66,30093,11898,24643,15739,12441,2033,9206,47,16,29917,00738
67,34678,12418,24887,14366,13847,3990,13833,30,197,34486,00739
68,2034,718,18784,9366,1188,88,680,0,0,2034,00740
69,3627,1338,23821,13362,1802,372,662,0,0,3609,00741
70,47494,16232,26189,14362,16929,5652,13081,169,130,47124,00745
71,19570,7550,20241,11664,9706,3577,5433,0,44,19493,00751
72,36576,13364,19528,12205,16682,10298,4473,112,0,36444,00754
73,20048,7182,22764,13589,9297,3135,5680,28,29,19952,00757
74,8199,2608,17062,9193,4433,579,1813,16,0,7744,00765
75,22053,7808,22511,12144,9359,1889,8769,0,16,21974,00766
76,30779,11808,20126,11748,15124,11410,2463,10,0,30718,00767
77,34374,12770,20236,12274,17218,4506,10696,0,9,34257,00769
78,34964,12150,23343,13801,13683,11396,3964,32,23,34859,00771
79,17316,6408,17209,10093,9029,6942,1595,13,0,17278,00772
80,17716,6800,22585,13578,8011,1292,4871,48,0,17607,00773
81,1186,447,25483,17226,278,31,342,9,0,1111,00775
82,37726,13415,26052,13919,14168,8274,12429,0,75,37531,00777
83,40476,14840,39484,25167,12880,4566,17069,100,129,38942,00778
84,13908,4779,26075,14082,5509,974,5864,0,0,13853,00780
85,18639,5239,16221,9742,9934,1523,9031,0,0,18614,00782
86,34205,10736,21701,11300,15602,2283,15920,0,0,34148,00783
87,35917,14239,19199,12667,16110,3867,20459,0,19,35713,00784
88,154,86,-666666666,9853,87,67,66,0,0,154,00786
89,46537,16741,26002,15731,16880,5685,10933,235,83,45949,00791
90,28335,8964,21278,11511,14013,2019,15074,0,16,28300,00794
91,42900,14607,22579,11924,19204,2552,10511,1,7,42814,00795
92,8220,3302,27926,33366,2243,977,4191,1,1,7738,00901
93,148,78,-666666666,60466,0,0,148,0,0,123,00906
94,16607,8521,40293,46990,4338,1426,7233,169,46,15641,00907
95,5260,2500,25778,23191,2269,610,1763,15,70,5070,00909
96,7087,3724,38125,44780,1941,493,2938,266,33,6015,00911
97,5955,2800,27026,26610,1924,646,1610,66,13,5814,00912
98,7068,3090,6449,16530,5300,295,1954,66,25,6512,00913
99,24713,10638,12963,10151,16198,3503,3931,12,45,24371,00915
100,18544,8211,17086,15503,9318,1522,7186,65,17,18358,00917
101,15976,7980,35000,32722,4588,782,6140,43,31,15825,00918
102,17293,7117,28562,18746,6244,3227,7070,0,57,17158,00920
103,33555,13998,21419,15360,15093,5116,13228,11,63,33297,00921
104,24760,10487,18389,13073,12072,3409,7813,41,63,24551,00923
105,47080,19698,21046,15186,21867,8481,21429,9,75,46651,00924
106,5556,2763,13016,15664,3028,839,2242,43,35,5391,00925
107,93751,36983,38432,25693,24424,8818,45307,130,136,92419,00926
108,13766,6265,40213,32743,2926,713,7538,70,71,13362,00927
109,128,28,-666666666,17945,0,59,69,0,0,44,00934
110,68031,25533,31500,17187,22552,4725,28208,20,261,67365,00949
111,0,0,-666666666,-666666666,0,0,0,0,0,0,00950
112,298,123,21354,11929,156,88,71,0,0,298,00951
113,8168,3138,19392,12324,3634,1401,2613,0,11,8167,00952
114,66079,22376,32957,17142,20964,3552,34179,117,0,65428,00953
115,65841,24889,27243,15821,24649,4133,23421,31,67,65274,00956
116,41009,15345,28240,15514,14438,2572,15222,198,64,40619,00957
117,47721,18030,31603,17792,15982,3681,18409,79,8,46589,00959
118,3405,0,-666666666,1752,39,329,886,0,0,3347,00960
119,29271,11572,34141,21018,8352,2050,11672,33,0,29089,00961
120,19614,7634,18478,11215,10166,2274,7922,0,51,19344,00962
121,5148,2044,15872,10674,2967,717,1754,30,5,5032,00965
122,16451,6507,51732,35728,3204,625,7083,38,0,16159,00966
123,3554,1834,55132,47756,336,106,1695,13,0,3489,00968
124,41784,15537,55929,34181,8027,2260,16656,69,134,41170,00969
125,26430,9593,31484,18790,8785,1576,10057,0,27,26351,00971
126,61638,23447,35661,19524,18764,8029,33792,232,65,61209,00976
127,16890,8770,34705,31152,3679,1152,6952,79,50,16213,00979
128,13876,5727,24244,14047,5759,2287,5393,129,0,13722,00982
129,31816,12773,30595,17934,10608,5039,11616,37,0,31628,00983
130,32265,12400,33270,16709,9382,5185,11001,65,0,32008,00985
131,54109,20134,36396,19590,16317,6692,18382,129,55,53489,00987
132,16045,6611,73398,40949,1110,530,14384,489,0,1183,01001
133,22992,8782,74265,42280,4443,942,16777,2085,19,1903,01002
134,11989,19,-666666666,5105,3,653,7809,2439,0,886,01003
135,4837,1681,97409,38672,420,55,4575,0,0,253,01005
136,15368,6446,99500,46251,1268,171,13857,497,0,708,01007
137,1231,531,93405,45213,40,0,1211,0,2,51,01008
138,699,307,68510,32996,106,0,699,0,0,0,01009
139,3699,1480,88438,50702,224,166,2985,7,0,48,01010
140,1318,512,80640,33754,121,0,1279,0,0,17,01011
141,440,198,73906,38397,41,0,430,0,0,10,01012
142,22895,9350,62000,33473,3926,1291,15768,489,25,7822,01013
143,30417,13311,67617,35858,4090,1549,25085,674,2,5336,01020
144,2144,1077,52207,32948,412,315,1584,65,0,158,01022
145,1073,479,83875,43663,73,6,1024,0,1,17,01026
146,17711,8606,69337,43474,1538,107,15582,269,0,1345,01027
147,16273,5975,100610,48044,566,433,14448,219,0,1222,01028
148,527,241,93125,46247,14,0,521,0,1,11,01029
149,12561,4966,87324,46011,716,155,11721,81,0,438,01030
150,1697,676,51250,32119,340,0,1501,0,0,250,01031
151,484,232,88077,41687,48,0,479,0,0,5,01032
152,6096,2686,102248,56389,304,122,5782,31,0,217,01033
153,2065,843,104583,52303,130,21,1953,12,5,11,01034
154,5295,2323,112450,57534,230,5,4849,129,0,187,01035
155,4966,1971,110320,47370,115,0,4618,22,18,270,01036
156,582,257,78047,50852,9,1,547,11,1,22,01037
157,2469,1058,103125,52302,160,0,2146,25,30,208,01038
158,1728,720,109167,53797,68,23,1635,0,23,66,01039
159,38210,15112,49007,27973,9675,1758,25804,310,197,19744,01040
160,2714,1102,84333,38572,322,35,2589,0,7,43,01050
161,1885,742,60875,41167,177,165,1653,6,0,62,01053
162,1793,738,105833,59459,166,10,1610,67,0,58,01054
163,20883,8502,76395,40007,1969,255,18474,219,0,2115,01056
164,8215,3473,85614,45566,859,49,7775,168,0,292,01057
165,14724,7391,79604,54147,1692,154,12648,493,36,1265,01060
166,9491,4178,87409,54029,955,157,8408,121,10,743,01062
167,2089,6,-666666666,6259,0,111,1352,458,0,170,01063
168,134,69,20202,14180,83,0,134,0,0,0,01066
169,1585,613,93906,45686,83,21,1481,0,0,18,01068
170,8516,3848,71439,42227,636,237,7389,151,0,500,01069
171,571,261,60313,46148,87,1,507,1,9,0,01070
172,1259,530,105417,48280,48,30,1170,1,0,58,01071
173,1413,614,99000,49305,61,6,1290,12,0,113,01072
174,6185,2496,114531,52126,114,21,5641,110,0,171,01073
175,694,180,88190,25599,331,0,664,0,0,30,01074
176,17115,7316,92740,50904,1220,229,15127,866,0,1096,01075
177,9244,3691,106779,47760,388,22,8607,105,40,573,01077
178,640,262,-666666666,22823,150,1,604,0,0,54,01079
179,2674,989,89335,39858,122,88,2076,20,0,328,01080
180,1716,692,88636,42857,76,9,1633,2,2,73,01081
181,10533,4843,66607,36326,1134,295,9685,1,0,442,01082
182,2539,903,87511,31999,307,23,2243,163,0,133,01083
183,99,50,86538,59987,9,0,99,0,0,0,01084
184,41592,15767,78901,39355,3396,632,35627,1832,16,4229,01085
185,725,390,51591,35602,83,0,693,32,0,5,01088
186,28755,12691,67297,41129,3022,1016,23198,1530,68,3419,01089
187,1428,618,69048,46754,99,30,1398,0,0,0,01092
188,145,69,130781,62899,0,0,145,0,0,0,01093
189,44,13,87188,26461,0,0,44,0,0,0,01094
190,14673,5382,126689,53666,552,555,13153,224,0,802,01095
191,2516,1107,106250,53674,110,21,2408,1,14,64,01096
192,36,17,-666666666,36369,0,0,36,0,0,0,01097
193,951,467,91181,52963,27,0,923,0,0,10,01098
194,2245,1496,21288,35124,998,496,1002,69,24,1055,01103
195,22606,9103,47413,25870,4550,3125,9903,158,33,14344,01104
196,12045,5018,23948,17031,5784,2137,4019,22,1,9350,01105
197,16019,5976,137597,64194,585,206,14148,926,0,596,01106
198,12443,4290,30825,19264,5047,1444,5087,191,4,9921,01107
199,26198,10505,48465,27079,7419,4745,11877,1797,77,10803,01108
200,31301,9623,42928,19730,6997,11227,11441,425,343,14331,01109
201,15112,5724,78354,35812,2232,2729,9067,797,76,3791,01118
202,14182,5173,54326,28735,2336,3237,7541,640,73,4398,01119
203,3063,1102,77050,36332,216,264,2224,101,0,682,01128
204,6486,2661,80352,38277,757,793,4235,163,17,2070,01129
205,0,0,-666666666,-666666666,0,0,0,0,0,0,01144
206,9467,3615,51410,24279,1661,1677,4899,108,0,4305,01151
207,45188,19874,67262,42404,6084,2599,37269,566,68,3690,01201
208,8149,4041,54677,36671,1123,28,7712,62,3,248,01220
209,623,238,78077,37698,43,0,623,0,0,0,01222
210,2565,1181,79226,51052,216,38,2359,8,4,82,01223
211,124,56,-666666666,103884,0,0,124,0,0,0,01224
212,3239,1547,72485,42556,209,26,2920,79,11,26,01225
213,6332,2884,76198,47459,492,19,5998,73,0,183,01226
214,125,83,-666666666,54318,27,0,125,0,0,0,01229
215,9095,3776,73884,49984,647,209,8199,50,23,399,01230
216,2461,1059,71641,38154,203,12,2283,0,6,97,01235
217,1625,619,113958,59061,47,13,1300,257,0,69,01236
218,2451,1042,86300,42726,87,25,2414,0,0,7,01237
219,5928,2572,77679,48941,396,36,5431,140,15,179,01238
220,4922,2239,82578,55990,340,78,4522,13,16,263,01240
221,255,70,-666666666,20109,10,0,255,0,0,0,01242
222,135,72,79167,47043,7,0,122,0,6,0,01243
223,158,74,56842,32915,8,0,158,0,0,0,01244
224,828,335,111354,71444,69,3,790,3,0,49,01245
225,15279,6783,53692,35363,1900,225,13663,436,33,875,01247
226,818,377,102596,56864,18,0,792,0,0,15,01253
227,961,440,91667,85255,50,43,887,14,0,10,01254
228,931,355,73958,41711,56,16,841,6,0,24,01255
229,620,305,54219,34942,90,27,584,0,1,4,01256
230,2230,1011,78940,67342,287,1,2123,46,0,175,01257
231,188,81,117917,48650,6,0,183,0,0,2,01258
232,733,266,120568,49273,22,38,682,0,0,62,01259
233,20,9,-666666666,-1,0,0,20,0,0,0,01260
234,1785,715,75804,75130,253,67,1631,39,5,28,01262
235,207,98,78750,64595,30,0,204,0,0,3,01264
236,952,456,85714,81899,98,1,903,12,17,23,01266
237,8142,2735,101823,46241,630,270,6884,393,8,286,01267
238,999,398,100833,57440,43,0,843,7,0,10,01270
239,17880,8225,53536,33661,2646,430,15971,305,18,1125,01301
240,1607,759,80560,45612,188,1,1436,16,0,63,01330
241,13845,5412,66985,31132,1394,67,12914,86,10,777,01331
242,2470,1044,79000,41741,157,2,2340,21,1,37,01337
243,65,48,56250,48442,0,0,60,0,0,5,01338
244,1396,634,69500,47879,131,0,1343,27,0,4,01339
245,1890,835,74632,40780,135,11,1799,11,0,53,01340
246,1620,714,92500,55697,52,0,1560,7,4,67,01341
247,1321,393,99583,37702,214,43,990,4,0,28,01342
248,167,72,76250,31499,14,0,158,0,0,9,01343
249,1631,677,70560,36246,131,20,1544,0,7,55,01344
250,409,203,105944,53698,34,0,372,9,0,25,01346
251,197,101,74712,41031,27,0,139,34,0,0,01347
252,764,343,70240,33179,117,0,656,15,5,5,01349
253,103,53,-666666666,67008,11,0,103,0,0,0,01350
254,2741,1034,96389,37338,203,29,2647,0,4,1,01351
255,1747,627,79135,44208,160,43,1551,101,0,0,01354
256,1009,412,76739,39317,108,0,784,10,3,19,01355
257,2871,1225,94775,47383,204,6,2628,2,0,171,01360
258,7643,3044,55773,29605,1545,74,7054,52,11,378,01364
259,1177,461,104205,44519,74,5,1077,12,0,41,01366
260,504,198,78125,34390,65,5,443,2,0,11,01367
