State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Wind,Other Renewables,Other Fossil,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Wind_prop,Other Renewables_prop,Other Fossil_prop,Total Generation_prop,Democrat,Republican,Total,Democrat_prop,Republican_prop,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,yearly_sunlight_kwh_kw_threshold_avg,existing_installs_count,carbon_offset_metric_tons,carbon_offset_metric_tons_per_panel,carbon_offset_metric_tons_per_capita,existing_installs_count_per_capita,panel_utilization,carbon_offset_kg_per_panel,carbon_offset_kg,black_population,black_prop,white_population,white_prop,asian_population,asian_prop,hispanic_population,hispanic_prop,native_population,native_prop,"Net Upfront Cost (assuming $17,500 system @ $2.5 per W, federal tax credit)","Adjusted Payback Period (Years, under energy generation assumptions)",State-level Incentives,Numeric state-level upfront incentive,Notes,estimated_install_count,Residential_cap_24,Residential_cap_25,Residential_gen_24,Residential_gen_25,Commercial_cap_24,Commercial_cap_25,Commercial_gen_24,Commercial_gen_25,Industrial_cap_24,Industrial_cap_25,Industrial_gen_24,Industrial_gen_25,Total_cap_24,Total_cap_25,Total_gen_24,Total_gen_25,Residential_cap_prop_24,Residential_gen_prop_24,Residential_cap_prop_25,Residential_gen_prop_25,Residential_added_cap,Residential_added_gen,prop_cap_added,energy_ratio_by_income_bracket,energy_burden_by_income_bracket
Alabama,AL,56608.38,3190.15,25943.99,62217.45,88202.31,916.36,10188.21,42313.66,0,0,40.87,144810.69,0.390912991,0.022029796,0.179157975,0.429646803,0.609087009,0.006327986,0.070355372,0.292199837,0,0,0.000282231,1,849624,1441170,2323282,0.365699902,0.620316432,15369.08155,5982.793991,64645.87554,33832.33476,2249.360515,1080.947225,2.330472103,67122.21994,0.201513306,4.973305674,0.00016589,5.49E-06,201.5133059,67122219.94,1037217,0.004089988,2256209,0.008896757,64361,0.00025379,179135,0.000706371,11438,4.51E-05,12250,22,No state-level incentive,0,"No net metering; exports not compensated, property tax exemption",847.7379641,14.247,14.155,0.086,0.081,6.133,6.202,7.099,7.095,0.171,0.195,0,0,19.077,20.552,7.186,7.176,0.000434176,2.63E-08,0.000385192,2.20E-08,-0.092,-0.005,-2.34E-05,"{'1000-9999': 0.6949552247770624, '10000-14999': 0.6519748666071441, '15000-19999': 0.652117913495086, '20000-24999': 0.652117913495086, '25000-29999': 0.5996178282631457, '30000-34999': 0.6002861747251543, '35000-39999': 0.6011775494591771, '40000-44999': 0.6022765676313574, '45000-49999': 0.5654308902329911, '50000-59999': 0.564419512894838, '60000-74999': 0.5258974655791303, '75000-99999': 0.526408876015844, '100000-124999': 0.465043081894697, '125000-149999': 0.4673856894207859, '150000-199999': 0.39282686073914413, '200000-10000000': 0.39384028042219327}","{'1000-9999': 0.34243124951367954, '10000-14999': 0.12730456151263397, '15000-19999': 0.08758290951261885, '20000-24999': 0.08758290951261885, '25000-29999': 0.07575021234414607, '30000-34999': 0.06221185561775978, '35000-39999': 0.05266247307727757, '40000-44999': 0.04566194972534772, '45000-49999': 0.042536572276573446, '50000-59999': 0.03324827302342637, '60000-74999': 0.029028121132203034, '75000-99999': 0.022496504377113095, '100000-124999': 0.01962859225793112, '125000-149999': 0.016043046295273224, '150000-199999': 0.014885426896642243, '200000-10000000': 0.0009834844012447993}"
Alaska,AK,1909.27,40.84,726.93,3229.38,4800.59,15.72,1713.43,0,139.28,0,844.28,6709.86,0.284546921,0.006086565,0.108337581,0.48128873,0.715453079,0.002342821,0.255360022,0,0.020757512,0,0.125826768,1,153778,189951,359530,0.427719523,0.528331433,21026.6,7892.2,90125.2,44309.8,1983.8,728.1666667,5.466666667,29637.03127,0.082198058,1.64321901,0.000250135,1.66E-05,82.19805829,29637031.27,17344,6.84E-05,184929,0.000729218,29796,0.000117493,29526,0.000116428,25904,0.000102145,12250,8,No state-level incentive,0,Net metering; full retail credit,21.58846418,60,80,3766,5022,0,0,0,0,1.884,1.884,208.697,208.697,0,0,0,0,0.001828493,0.001149827,0.002176992,0.001362862,20,1256,0.005083823,"{'1000-9999': 0.7871044631277541, '10000-14999': 0.7766320887538032, '15000-19999': 0.7694495459053813, '20000-24999': 0.7694495459053813, '25000-29999': 0.6461700476143133, '30000-34999': 0.6491260145847024, '35000-39999': 0.6505987424073059, '40000-44999': 0.6515689592099748, '45000-49999': 0.5939564211374853, '50000-59999': 0.5944880912504953, '60000-74999': 0.5441035272904798, '75000-99999': 0.5444925867001885, '100000-124999': 0.5016103603181085, '125000-149999': 0.5003514057597213, '150000-199999': 0.450631314118479, '200000-10000000': 0.4522436886378208}","{'1000-9999': 0.39264992384192576, '10000-14999': 0.11101623801411664, '15000-19999': 0.08441003792246424, '20000-24999': 0.08441003792246424, '25000-29999': 0.07575953777625162, '30000-34999': 0.062074627720336346, '35000-39999': 0.053749038060410974, '40000-44999': 0.04554352907266383, '45000-49999': 0.04464902683851586, '50000-59999': 0.034662126867874635, '60000-74999': 0.030749451528223705, '75000-99999': 0.023814390151863016, '100000-124999': 0.019962132003430666, '125000-149999': 0.016348759526734157, '150000-199999': 0.014408655741086707, '200000-10000000': 0.0011505102077922849}"
Arizona,AZ,50169.07,204.27,13449.47,45053.25,58523.72,11063.08,5394.58,31942.79,1564.35,0,21,108692.79,0.461567598,0.001879333,0.123738382,0.414500815,0.538432402,0.101783016,0.049631443,0.293881406,0.014392399,0,0.000193205,1,1672143,1661686,3387326,0.493646906,0.49055981,32257.03191,12367.15426,79172.54787,41524.70745,3923.632979,1371.070688,210.787234,134549.8989,0.171907484,4.352142891,0.007064763,0.000298358,171.9074844,134549898.9,297760,0.001174137,4062695,0.016020152,228008,0.000899089,2010163,0.00792654,136791,0.000539399,11250,10,"$1,000 state personal tax credit",1000,Net billing; export credit at ~7-8/kWh,8068.93481,144.309,176.701,14707.78,18011.757,84.258,117.645,8479.118,11913.935,23.817,98.643,2478.888,10256.364,252.384,392.989,25665.79,40182.06,0.004397801,0.004490548,0.004808459,0.004887999,32.392,3303.977,0.00823376,"{'1000-9999': 1.429624015696381, '10000-14999': 1.4286128233045186, '15000-19999': 1.4132334798465873, '20000-24999': 1.4132334798465873, '25000-29999': 1.2076499523777438, '30000-34999': 1.205526046181156, '35000-39999': 1.20315346136238, '40000-44999': 1.2229131521557597, '45000-49999': 1.1074794595764603, '50000-59999': 1.1180030467467952, '60000-74999': 1.0185201799511618, '75000-99999': 1.0171241607729764, '100000-124999': 0.9382536224852782, '125000-149999': 0.9287173551610518, '150000-199999': 0.8439996457010093, '200000-10000000': 0.844029274258765}","{'1000-9999': 0.22133827382498908, '10000-14999': 0.06547173838486713, '15000-19999': 0.04722794237284887, '20000-24999': 0.04722794237284887, '25000-29999': 0.0435921470954874, '30000-34999': 0.03598418354896251, '35000-39999': 0.030575914372927768, '40000-44999': 0.025547407754965803, '45000-49999': 0.025209710156880078, '50000-59999': 0.01926845231772701, '60000-74999': 0.01744323707047574, '75000-99999': 0.01329978635367963, '100000-124999': 0.0113580988710744, '125000-149999': 0.009371744132670197, '150000-199999': 0.00808652791894387, '200000-10000000': 0.0005901543632111865}"
Arkansas,AR,19668.46,841.31,20360.87,26037.43,46467.52,966.73,3536.02,14323.7,0,0.7,69.22,66135.98,0.297394247,0.012720912,0.307863738,0.393695383,0.702605753,0.014617308,0.053465905,0.216579538,0,1.06E-05,0.001046632,1,423932,760647,1219069,0.34775062,0.623957299,18472.2381,7226.035714,63795.7619,35484.85714,2738.214286,1069.295072,2.833333333,84731.60116,0.196073689,4.284228363,0.000147686,5.87E-06,196.0736889,84731601.16,262776,0.001036187,1057364,0.004169432,33330,0.000131428,163912,0.000646343,9063,3.57E-05,12250,22,No state-level incentive,0,Net metering; full retail credit,904.0816003,2119.451,2296.433,277494.44,307864.926,577.126,605.634,83726.601,88596.012,7.28,7.28,1112.233,1112.233,2703.86,2909.35,362333.27,397573.17,0.064590039,0.084724015,0.062491466,0.083547851,176.982,30370.486,0.044987261,"{'1000-9999': 0.6941610130995336, '10000-14999': 0.6441308050556716, '15000-19999': 0.6412771691158133, '20000-24999': 0.6412771691158133, '25000-29999': 0.5962882666286645, '30000-34999': 0.5990660119493179, '35000-39999': 0.5996890940046119, '40000-44999': 0.5948341380564017, '45000-49999': 0.5594064272310525, '50000-59999': 0.5588244154783074, '60000-74999': 0.5200226197991171, '75000-99999': 0.5190104013733949, '100000-124999': 0.4633059138121502, '125000-149999': 0.46127870483158895, '150000-199999': 0.3882240735035284, '200000-10000000': 0.39226481047295525}","{'1000-9999': 0.34242869776196355, '10000-14999': 0.1069656135601147, '15000-19999': 0.07541451965856144, '20000-24999': 0.07541451965856144, '25000-29999': 0.06402579786870587, '30000-34999': 0.05246342642703235, '35000-39999': 0.04373093353900311, '40000-44999': 0.0384373045607239, '45000-49999': 0.03597715410822039, '50000-59999': 0.028257390672477734, '60000-74999': 0.024468633482881502, '75000-99999': 0.018801781477766368, '100000-124999': 0.01653872642096152, '125000-149999': 0.013526815738005899, '150000-199999': 0.012446886959955739, '200000-10000000': 0.0010635125845486414}"
California,CA,129805.37,5307.32,251.56,96371.55,98385.79,62909.93,17489.1,17593.25,14638.06,11867.71,1762.68,228191.16,0.568844867,0.023258219,0.001102409,0.422328148,0.431155133,0.275689602,0.07664232,0.077098736,0.064148234,0.052007755,0.007724576,1,11110250,6006429,17500881,0.634839469,0.343207236,33818.96807,11461.4854,103682.2664,51633.29106,3984.672445,1294.944551,302.0857664,60737.99127,0.101591272,2.004494261,0.009440966,0.00049227,101.591272,60737991.27,2134589,0.008417181,17498522,0.069000744,5859082,0.023103724,14722701,0.058055036,354306,0.001397111,12250,8,No state-level incentive,0,Net billing (NEM 3.0); exports at avoided cost (~8/kWh),48581.17665,11825.041,12821.101,1254610.316,1344156.599,3252.877,3694.048,365045.077,414362.103,1686.872,1778.184,180347.99,190563.707,16764.79,18293.33,1800003.38,1949082.41,0.360366837,0.383054964,0.348892997,0.364774892,996.06,89546.283,0.253189654,"{'1000-9999': 1.3764029430819917, '10000-14999': 1.355173549390134, '15000-19999': 1.3625841481234813, '20000-24999': 1.3625841481234813, '25000-29999': 1.1412802724231441, '30000-34999': 1.1439870539111985, '35000-39999': 1.1422751756127831, '40000-44999': 1.1411456606887709, '45000-49999': 1.0505123728248675, '50000-59999': 1.0566681502429596, '60000-74999': 0.9644173726865588, '75000-99999': 0.9623975096899041, '100000-124999': 0.8839785493936663, '125000-149999': 0.8886427946535242, '150000-199999': 0.7982484881974178, '200000-10000000': 0.7975105891344655}","{'1000-9999': 0.4543212172986754, '10000-14999': 0.12943091476815055, '15000-19999': 0.09322830707319134, '20000-24999': 0.09322830707319134, '25000-29999': 0.08646239541636412, '30000-34999': 0.07084524460158867, '35000-39999': 0.061407242278753695, '40000-44999': 0.0523812270578342, '45000-49999': 0.04998280663229738, '50000-59999': 0.03903213389784652, '60000-74999': 0.034301783692514194, '75000-99999': 0.026550433542638, '100000-124999': 0.022467214672733094, '125000-149999': 0.01833346228852194, '150000-199999': 0.016354100973425864, '200000-10000000': 0.0011864036146321192}"
Colorado,CO,22207.64,162.93,21723,15445.53,37246.43,3771.74,1323.4,0,16911.13,38.44,77.9,59454.07,0.373525984,0.002740435,0.365374482,0.259789279,0.626474016,0.063439559,0.022259199,0,0.284440241,0.00064655,0.001310255,1,1804352,1364607,3279980,0.550110671,0.416041256,27558.10778,10935.62874,93995.71856,48673.74251,2587.239521,1244.460129,145.0838323,88774.44002,0.216749768,3.121125781,0.004911335,0.000371106,216.7497676,88774440.02,219953,0.000867326,3420305,0.013487058,172430,0.000679932,1051651,0.004146905,42178,0.000166318,11250,8,No state-level incentive,0,Net metering; full retail credit,3030.824301,845.786,945.192,97283.816,107055.909,218.352,232.242,26145.541,27588.669,31.759,33.386,4148.724,4355.412,1095.9,1210.82,127578.08,138999.99,0.025775236,0.029702489,0.025720948,0.029052647,99.406,9772.093,0.025268127,"{'1000-9999': 1.2679530711337539, '10000-14999': 1.3212658991225352, '15000-19999': 1.3117388380202997, '20000-24999': 1.3117388380202997, '25000-29999': 1.0854899150078052, '30000-34999': 1.0992190270797488, '35000-39999': 1.095207360205857, '40000-44999': 1.0933855339011826, '45000-49999': 1.0020506534468414, '50000-59999': 1.0088420793207697, '60000-74999': 0.9214493611868447, '75000-99999': 0.9216234682132048, '100000-124999': 0.8483718186378257, '125000-149999': 0.8498040588100686, '150000-199999': 0.7648691477229504, '200000-10000000': 0.7653901069907825}","{'1000-9999': 0.2497440070037475, '10000-14999': 0.07295579679938075, '15000-19999': 0.05161463448717931, '20000-24999': 0.05161463448717931, '25000-29999': 0.04742354932876174, '30000-34999': 0.03850969156337836, '35000-39999': 0.03308309134831862, '40000-44999': 0.028346368928542563, '45000-49999': 0.02740663097538736, '50000-59999': 0.02112699797161333, '60000-74999': 0.018956480214023467, '75000-99999': 0.014521207172423637, '100000-124999': 0.01229714566518861, '125000-149999': 0.010037193910562384, '150000-199999': 0.008686842671629348, '200000-10000000': 0.0007036782809014872}"
Connecticut,CT,18775.45,513.98,0,24530.69,25336.75,1470.32,313.54,16464.17,12.83,0.61,806.06,44112.2,0.425629418,0.011651652,0,0.556097633,0.574370582,0.033331369,0.007107784,0.373233935,0.000290849,1.38E-05,0.018272949,1,1080831,714717,1823857,0.592607315,0.391871183,16859.68539,6593.213483,105132.9438,54460.33708,1766.067416,988.1824415,29.58426966,29927.99862,0.123024371,1.683910924,0.001689022,0.000150395,123.0243706,29927998.62,359250,0.001416606,2032195,0.008013418,151129,0.000595937,557976,0.002200229,7865,3.10E-05,12250,6,No state-level incentive,0,Net metering; full retail credit,1487.903385,679.964,825.923,40679.351,59627.231,270.33,330.829,22769.907,30118.594,37.344,51.672,3555.031,4917.915,987.638,1208.42,67004.29,94663.74,0.020721829,0.012420133,0.022475351,0.016181535,145.959,18947.88,0.037101489,"{'1000-9999': 1.046985171019196, '10000-14999': 1.0728128032972915, '15000-19999': 1.0914496586923168, '20000-24999': 1.0914496586923168, '25000-29999': 1.0120449568479826, '30000-34999': 1.0099974885617324, '35000-39999': 1.0148576543042418, '40000-44999': 1.0007894256125172, '45000-49999': 0.934244317035768, '50000-59999': 0.9336493151482957, '60000-74999': 0.8060913396400611, '75000-99999': 0.8047814068826982, '100000-124999': 0.7360146123400371, '125000-149999': 0.7320592905006739, '150000-199999': 0.6322390890122577, '200000-10000000': 0.6306608631049949}","{'1000-9999': 0.39509697435763497, '10000-14999': 0.12045258198805155, '15000-19999': 0.08648815580490296, '20000-24999': 0.08648815580490296, '25000-29999': 0.07194351474196867, '30000-34999': 0.05809276361211636, '35000-39999': 0.050049335653557785, '40000-44999': 0.04294485556829936, '45000-49999': 0.04114460765971755, '50000-59999': 0.03167073727650984, '60000-74999': 0.029653700904565716, '75000-99999': 0.02329712371626382, '100000-124999': 0.01942487135536833, '125000-149999': 0.01606431605383574, '150000-199999': 0.014822371416795899, '200000-10000000': 0.0008957410415004016}"
Delaware,DE,305.28,78.97,104.75,4749.65,5161.15,221.93,0,0,4.38,0,306.75,5466.43,0.05584632,0.014446357,0.019162415,0.868876031,0.94415368,0.040598709,0,0,0.000801254,0,0.056115234,1,296268,200603,504346,0.587430058,0.397748768,21383.14706,8324.852941,83531.47059,44076.20588,2476.294118,1027.124202,2.558823529,59107.09408,0.190458685,2.558687893,0.000309676,2.17E-05,190.4586849,59107094.08,186523,0.000735504,426636,0.001682325,36364,0.000143392,76421,0.000301346,2245,8.85E-06,7350,6,No state-level incentive,0,Net metering; full retail credit,216.0692929,101.522,109.397,8056.323,9406.313,22.351,26.991,2167.675,2651.768,7.547,7.68,689.301,716.391,131.42,144.068,10913.3,12774.47,0.003093872,0.002459739,0.002976956,0.002552669,7.875,1349.99,0.002001755,"{'1000-9999': 0.6697275787490733, '10000-14999': 0.6141973423886045, '15000-19999': 0.612975199461743, '20000-24999': 0.612975199461743, '25000-29999': 0.5703441164145651, '30000-34999': 0.5705094024008086, '35000-39999': 0.572644868030009, '40000-44999': 0.5708194432161249, '45000-49999': 0.5328906880241976, '50000-59999': 0.5324368686599726, '60000-74999': 0.4966060858289278, '75000-99999': 0.4977388156885401, '100000-124999': 0.4414675658896605, '125000-149999': 0.4414476676142605, '150000-199999': 0.37219206992877985, '200000-10000000': 0.37283530861230124}","{'1000-9999': 0.34333282984806984, '10000-14999': 0.12494648858500765, '15000-19999': 0.0865352515959015, '20000-24999': 0.0865352515959015, '25000-29999': 0.0731453423489687, '30000-34999': 0.05959130597352021, '35000-39999': 0.049994097520445174, '40000-44999': 0.04395243150067135, '45000-49999': 0.04109811470264705, '50000-59999': 0.031896538575485404, '60000-74999': 0.02778507914240912, '75000-99999': 0.02154553158953666, '100000-124999': 0.018611077275398548, '125000-149999': 0.015360133847276228, '150000-199999': 0.01446575111930345, '200000-10000000': 0.0010128643540706305}"
Florida,FL,49238.55,4005.84,15531.57,193310.09,211731.31,13884.58,230.96,30768.33,0,348.84,2889.66,260969.87,0.188675229,0.015349818,0.059514801,0.740737197,0.811324733,0.053203766,0.000885006,0.117899932,0,0.001336706,0.011072773,1,5297045,5668731,11067456,0.478614507,0.512198196,26781.54178,10438.90529,73393.15599,42555.44708,3352.642061,1154.266264,146.6197772,117603.3695,0.182929033,4.862164369,0.005873842,0.000200752,182.9290326,117603369.5,3052838,0.012038051,12155823,0.047933238,566394,0.002233423,5121069,0.020193567,49028,0.000193329,12250,9,No state-level incentive,0,Net metering; full retail credit,12028.92299,2245.115,2592.819,285493.58,327979.413,188.85,200.211,24724.89,26063.89,45.774,36.785,6029.34,4840.741,2479.74,2829.82,316247.81,358884.04,0.068419635,0.087166295,0.070556841,0.089006485,347.704,42485.833,0.088383286,"{'1000-9999': 0.7476260514435509, '10000-14999': 0.694295489651599, '15000-19999': 0.6956569681893394, '20000-24999': 0.6956569681893394, '25000-29999': 0.6455277775543421, '30000-34999': 0.6439027356074821, '35000-39999': 0.6434979378993073, '40000-44999': 0.645678467417637, '45000-49999': 0.6013590455700013, '50000-59999': 0.6059708902631253, '60000-74999': 0.5607864122776216, '75000-99999': 0.5627965793155432, '100000-124999': 0.4982971689269809, '125000-149999': 0.49968115007325625, '150000-199999': 0.4216748852990752, '200000-10000000': 0.41971210322759317}","{'1000-9999': 0.4142588613596715, '10000-14999': 0.12723629078683063, '15000-19999': 0.0898545955143747, '20000-24999': 0.0898545955143747, '25000-29999': 0.07478548660592463, '30000-34999': 0.06019249258681396, '35000-39999': 0.05093627511234013, '40000-44999': 0.043613389635830765, '45000-49999': 0.041619588009491504, '50000-59999': 0.032121514934007805, '60000-74999': 0.028299409996524114, '75000-99999': 0.02162125394352457, '100000-124999': 0.019168579056721403, '125000-149999': 0.015531233431639603, '150000-199999': 0.014780466379435689, '200000-10000000': 0.0012553651364873685}"
Georgia,GA,49696.01,5727.42,16778.38,59848.73,77071.28,7331.78,2533.93,34073.59,0,29.29,444.17,126767.29,0.392025498,0.045180582,0.132355752,0.472114928,0.607974502,0.057836529,0.019988832,0.268788502,0,0.000231053,0.003503822,1,2473633,2461854,4999960,0.494730558,0.492374739,31139.05385,11503.30769,76721.85,39897.74231,3807.069231,1083.847625,7.296153846,102089.2238,0.191010696,7.462040926,0.000244386,1.41E-05,191.0106963,102089223.8,2772115,0.010931094,3996714,0.015759973,439387,0.001732605,913153,0.003600775,31387,0.000123766,12250,10,No state-level incentive,0,No net metering; exports compensated at avoided cost (~3-4/kWh),6764.585568,118.988,134.909,13832.576,15551.321,50.628,56.828,5780.715,6624.683,149.802,150.467,17507.898,17585.715,319.418,342.204,37121.19,39761.72,0.003626146,0.004223333,0.003671198,0.004220291,15.921,1718.745,0.004046978,"{'1000-9999': 0.6926638522752446, '10000-14999': 0.651828172524486, '15000-19999': 0.6577800898082815, '20000-24999': 0.6577800898082815, '25000-29999': 0.6059725350861468, '30000-34999': 0.6063762559206132, '35000-39999': 0.6043510090959064, '40000-44999': 0.6036859333912864, '45000-49999': 0.5664075185144561, '50000-59999': 0.566399632588639, '60000-74999': 0.5281840680528792, '75000-99999': 0.5257968451878826, '100000-124999': 0.4689085900799335, '125000-149999': 0.47041744324144114, '150000-199999': 0.39425616418920567, '200000-10000000': 0.3940565139074547}","{'1000-9999': 0.38857671297527274, '10000-14999': 0.12005835563104915, '15000-19999': 0.08514483950943297, '20000-24999': 0.08514483950943297, '25000-29999': 0.0743837027271093, '30000-34999': 0.06002152857370923, '35000-39999': 0.05056501358026533, '40000-44999': 0.0441112803894499, '45000-49999': 0.041552299593756364, '50000-59999': 0.03187520822010147, '60000-74999': 0.027894069497390605, '75000-99999': 0.021782397758734116, '100000-124999': 0.01878402812418363, '125000-149999': 0.015233591013938523, '150000-199999': 0.014206071337653225, '200000-10000000': 0.0009347898464272829}"
