State,State code,Clean,Bioenergy,Coal,Gas,Fossil,Solar,Hydro,Nuclear,Wind,Other Renewables,Other Fossil,Total Generation,Clean_prop,Bioenergy_prop,Coal_prop,Gas_prop,Fossil_prop,Solar_prop,Hydro_prop,Nuclear_prop,Wind_prop,Other Renewables_prop,Other Fossil_prop,Total Generation_prop,Democrat,Republican,Total,Democrat_prop,Republican_prop,Total_Population,total_households,Median_income,per_capita_income,households_below_poverty_line,black_population,white_population,asian_population,native_population,black_prop,white_prop,asian_prop,yearly_sunlight_kwh_kw_threshold_avg,existing_installs_count,carbon_offset_metric_tons,carbon_offset_metric_tons_per_panel,carbon_offset_metric_tons_per_capita,existing_installs_count_per_capita,panel_utilization,carbon_offset_kg_per_panel,carbon_offset_kg,State,"Net Upfront Cost (assuming $17,500 system @ $2.5 per W, federal tax credit)","Adjusted Payback Period (Years, under energy generation assumptions)",State-level Incentives,Numeric state-level upfront incentive,Notes,estimated_install_count
Alabama,AL,56608.38,3190.15,25943.99,62217.45,88202.31,916.36,10188.21,42313.66,0.0,0.0,40.87,144810.69,0.390912991299192,0.0220297962809237,0.1791579751467243,0.429646803008811,0.6090870087008079,0.006327985868999,0.0703553722449634,0.2921998369043059,0.0,0.0,0.0002822305452725,1.0,849624,1441170,2323282,0.3656999021212233,0.620316431668648,3580996,1393991,15062489,7882934,524101,1037217,2256209,64361,11438,66.70884209590213,148.33719267234068,3.427035910963954,251860.70348700543,543.0,15639477.246770388,46.95260026752095,1158.780222043395,0.03865230952979478,0.001279833436460525,46952.600267520946,15639477246.77039,AL,12250,22,No state-level incentive,0,"No net metering; exports not compensated, property tax exemption",3.6383603607590134
Alaska,AK,1909.27,40.84,726.93,3229.38,4800.59,15.72,1713.43,0.0,139.28,0.0,844.28,6709.86,0.2845469205020671,0.0060865651444292,0.1083375808139067,0.4812887303162808,0.7154530794979329,0.0023428208636245,0.2553600224147747,0.0,0.0207575120792386,0.0,0.1258267683677453,1.0,153778,189951,359530,0.4277195227102049,0.5283314327038078,315399,118383,1351878,664647,29757,17344,184929,29796,25904,0.8488804881949995,9.185644110392497,1.20794125974863,10922.499999999998,82.0,444555.46901581757,1.2329708743047718,24.648285148787895,0.003752022374565079,0.00024895341788238505,1232.970874304772,444555469.0158175,AK,12250,8,No state-level incentive,0,Net metering; full retail credit,1.4392309452964067
Arizona,AZ,50169.07,204.27,13449.47,45053.25,58523.72,11063.08,5394.58,31942.79,1564.35,0.0,21.0,108692.79,0.4615675979979905,0.0018793334866093,0.1237383822790821,0.414500814635451,0.5384324020020096,0.1017830161503812,0.0496314428951543,0.2938814064851956,0.0143923989806499,0.0,0.0001932050874763,1.0,1672143,1661686,3387326,0.4936469061436661,0.4905598103046474,6064322,2325025,14884439,7806645,737643,297760,4062695,228008,136791,7.924152513981547,129.3256801449921,6.420261518182244,257761.2893136455,39628.0,25295380.996590074,32.318607076085016,818.2028635802229,1.3281753570253252,0.056091308668242836,32318.607076085016,25295380996.59008,AZ,11250,10,"$1,000 state personal tax credit",1000,Net billing; export credit at ~7-8/kWh,42.919866010362696
Arkansas,AR,19668.46,841.31,20360.87,26037.43,46467.52,966.73,3536.02,14323.7,0.0,0.7,69.22,66135.98,0.2973942474277995,0.0127209122780066,0.3078637377113032,0.3936953833601619,0.7026057525722005,0.0146173081581311,0.0534659046407114,0.2165795380971144,0.0,1.0584253835809193e-05,0.0010466315007353,1.0,423932,760647,1219069,0.3477506195301496,0.6239572985614432,1551668,606987,5358844,2980728,230010,262776,1057364,33330,9063,12.74469877565621,60.88323279772652,1.5014481087624576,89820.78605537581,238.0,7117454.497278146,16.470189863690365,359.8751824804063,0.012405640706270236,0.000493330909625647,16470.189863690364,7117454497.278146,AR,12250,22,No state-level incentive,0,Net metering; full retail credit,10.762876194425608
California,CA,129805.37,5307.32,251.56,96371.55,98385.79,62909.93,17489.1,17593.25,14638.06,11867.71,1762.68,228191.16,0.5688448667336631,0.0232582191176906,0.0011024090503768,0.4223281480316766,0.4311551332663368,0.2756896016480217,0.0766423204124121,0.0770987359895974,0.0641482343137218,0.0520077552522192,0.0077245761842833,1.0,11110250,6006429,17500881,0.6348394689387351,0.3432072362528492,37065589,12561788,113635764,56590087,4367201,2134589,17498522,5859082,354306,57.268540637390956,571.7434438535395,160.38825575948488,1419259.2283605086,331086.0,66568838.430708155,111.34403416459993,2196.9257104435674,10.34729856495688,0.5395277444678064,111344.03416459993,66568838430.70815,CA,12250,8,No state-level incentive,0,Net billing (NEM 3.0); exports at avoided cost (~8/kWh),44.32589110072014
Colorado,CO,22207.64,162.93,21723.0,15445.53,37246.43,3771.74,1323.4,0.0,16911.13,38.44,77.9,59454.07,0.3735259840074867,0.0027404347591342,0.3653744815115264,0.2597892793546346,0.6264740159925132,0.0634395593102373,0.0222591994122521,0.0,0.2844402410129366,0.0006465495129265,0.0013102551263521,1.0,1804352,1364607,3279980,0.5501106714065329,0.4160412563491241,4602204,1826250,15697285,8128515,432069,219953,3420305,172430,42178,7.366124902779146,126.26322745998885,5.476003129708335,207824.84149214398,24229.0,14825331.483038079,36.197211189163,521.2280054045649,0.8201929796078342,0.061974631611967805,36197.211189163005,14825331483.038078,CO,11250,8,No state-level incentive,0,Net metering; full retail credit,18.148648510541875
Connecticut,CT,18775.45,513.98,0.0,24530.69,25336.75,1470.32,313.54,16464.17,12.83,0.61,806.06,44112.2,0.4256294177121069,0.0116516519239575,0.0,0.5560976328544031,0.5743705822878932,0.0333313686463155,0.0071077842410943,0.3732339352832096,0.0002908492435199,1.382837400991109e-05,0.01827294943349,1.0,1080831,714717,1823857,0.5926073151568352,0.3918711828833072,3001024,1173592,18713664,9693940,314360,359250,2032195,151129,7865,16.087863753547197,130.72470372594546,8.244594109094578,175896.47458203827,5266.0,5327183.7540295115,21.898337969055568,299.7361443984413,0.30064591022118003,0.026770394210561155,21898.337969055567,5327183754.0295105,CT,12250,6,No state-level incentive,0,Net metering; full retail credit,8.359007782809435
Delaware,DE,305.28,78.97,104.75,4749.65,5161.15,221.93,0.0,0.0,4.38,0.0,306.75,5466.43,0.0558463201760564,0.0144463571288757,0.0191624149582085,0.868876030608642,0.9441536798239436,0.0405987088465415,0.0,0.0,0.0008012542006391,0.0,0.0561152342570928,1.0,296268,200603,504346,0.5874300579364167,0.3977487677110555,727027,283045,2840070,1498591,84194,186523,426636,36364,2245,6.721023660645086,22.66991855794955,1.2119009262068654,34922.22285282927,87.0,2009641.1987204275,6.475595285912902,86.995388367754,0.010528968156253437,0.0007391470538802849,6475.595285912903,2009641198.7204273,DE,7350,6,No state-level incentive,0,Net metering; full retail credit,6.354979204367
Florida,FL,49238.55,4005.84,15531.57,193310.09,211731.31,13884.58,230.96,30768.33,0.0,348.84,2889.66,260969.87,0.1886752290599677,0.0153498179694077,0.0595148014596474,0.740737196979866,0.8113247326214326,0.0532037663964809,0.0008850063802384,0.1178999322795386,0.0,0.0013367060343019,0.0110727725005189,1.0,5297045,5668731,11067456,0.4786145072544223,0.5121981962250404,19229147,7495134,52696286,30554811,2407197,3052838,12155823,566394,49028,96.84484778000355,491.0900876608812,18.813522818045072,828763.1776888208,105273.0,84439219.29382566,131.3430454006754,3491.0340172076794,4.217418894486837,0.14414005382759282,131343.04540067542,84439219293.82565,FL,12250,9,No state-level incentive,0,Net metering; full retail credit,16.753374635586553
Georgia,GA,49696.01,5727.42,16778.38,59848.73,77071.28,7331.78,2533.93,34073.59,0.0,29.29,444.17,126767.29,0.3920254980602646,0.045180582467291,0.1323557520240434,0.472114928070167,0.6079745019397355,0.0578365286502535,0.0199888315037735,0.2687885021443623,0.0,0.0002310532945841,0.0035038218455249,1.0,2473633,2461854,4999960,0.4947305578444627,0.492374738997912,8096154,2990860,19947681,10373413,989838,2772115,3996714,439387,31387,85.06631873263122,137.05044570478483,11.435148375252155,281800.38242615986,1897.0,26543198.179985456,49.66278104018892,1940.1306408188525,0.0635404484745617,0.0036653608848097974,49662.781040188915,26543198179.98546,GA,12250,10,No state-level incentive,0,No net metering; exports compensated at avoided cost (~3-4/kWh),26.017636799769587
Hawaii,HI,3163.49,277.06,647.76,0.0,7561.48,1881.69,110.08,0.0,625.42,269.24,6913.72,10724.97,0.2949649276408232,0.0258331724937225,0.0603973717408999,0.0,0.7050350723591767,0.1754494418166204,0.0102638981740741,0.0,0.0583143822313722,0.0251040329250338,0.6446377006182769,1.0,366130,196864,579784,0.6314937976901742,0.3395471416941482,1126561,382297,2930371,1340032,95517,24141,234755,478604,2421,0.5259601492457359,6.703067102644136,11.587132118171054,36784.600000000006,25367.0,4620506.28951816,6.622983051710041,114.46454914466474,0.6397085080851681,0.03507269980140676,6622.983051710041,4620506289.518158,HI,7250,5,"35% state tax credit (up to $5,000)",5000,No net metering; exports not compensated,51.15428739200643
Idaho,ID,12089.06,460.4,6.27,4335.01,4391.84,711.94,8359.74,0.0,2441.69,115.29,50.56,16480.9,0.7335194073139208,0.0279353676073515,0.000380440388571,0.2630323586697328,0.266480592686079,0.0431978836107251,0.507238075590532,0.0,0.1481527101068509,0.0069953703984612,0.0030677936277751,1.0,287021,554119,868014,0.3306640215480395,0.6383756483190364,1198031,443911,3009409,1518669,115796,10049,1017555,20370,11249,0.3275716308581019,34.276624088556375,0.6919732394357696,44876.10945126948,528.0,1993057.5312633077,3.456273869266086,60.19933113767799,0.016397388304054687,0.0009435661148626464,3456.2738692660864,1993057531.263308,ID,12250,20,No state-level incentive,0,"Net billing; exports credited at new tariff (~6/kWh), 40% of cost of system can be deducted from state income tax",15.864565995256084
Illinois,IL,125565.9,282.71,40559.22,19789.29,60913.63,2794.94,115.24,98869.58,23493.8,9.63,565.12,186479.53,0.6733495091927784,0.0015160377120212,0.2174995829300942,0.1061204412087482,0.3266504908072216,0.0149879185130936,0.0006179766755096,0.5301899892175833,0.1259859460177747,5.164105679588532e-05,0.003030466668379,1.0,3471915,2446891,6033743,0.5754164537667581,0.4055345081817372,10090611,3898959,37391766,19241283,1167302,1673894,6032720,690717,50912,65.00314715873407,275.8873028649922,23.733275089975947,413121.9311776073,2443.0,38651346.04724944,99.13066409304402,1785.6070860227137,0.12573864720858186,0.009467495255125781,99130.66409304403,38651346047.249435,IL,12250,10,No state-level incentive,0,Net metering capped; exports credited at supply rate (~50% retail),6.7654118289798895
Indiana,IN,12152.47,385.91,51384.11,32120.9,86230.68,1363.37,370.83,0.0,9985.21,47.15,2725.67,98383.15,0.1235218632458911,0.003922521285403,0.5222856759516239,0.3264878182900222,0.8764781367541088,0.0138577591792903,0.0037692430055349,0.0,0.101493091042521,0.0004792487331418,0.0277046425124627,1.0,1242416,1729519,3033118,0.4096167705971215,0.5702115776570512,4490342,1780253,15575577,8049968,561534,603183,3326011,152925,8774,27.411389303938314,169.00459633064048,5.209577457131305,215358.84505635544,982.0,22121780.185310766,52.22185545696847,1010.03056797165,0.04467979998903876,0.002886833117064463,52221.85545696847,22121780185.31077,IN,12250,20,No state-level incentive,0,Net metering phased out; exports at ~wholesale (~4-5/kWh),6.330689596906184
Iowa,IA,47801.34,220.14,18172.13,7339.04,25593.03,693.46,1009.83,0.0,45761.37,116.54,81.86,73394.37,0.6512943703992554,0.0029994126252463,0.2475956943291427,0.0999945908657571,0.3487056296007446,0.0094484086449682,0.0137589572606182,0.0,0.6234997316551666,0.0015878602132561,0.0011153444058447,1.0,759061,897672,1700130,0.4464723285866375,0.5280019763194579,1539124,623359,8028705,4033438,182809,97172,1257107,61674,4957,5.166097419361182,82.56043374497335,3.0378210592544845,99009.04392081,247.0,4435099.438156411,14.578613266254916,481.2736141060735,0.016372377763808874,0.0008751702989669493,14578.613266254915,4435099438.156411,IA,12250,13,No state-level incentive,0,Net metering; full retail credit,7.00400662948172
Kansas,KS,38915.22,60.84,20229.36,3362.56,23369.2,161.27,23.67,8981.96,29687.48,0.0,-222.72,62284.42,0.6247986254026289,0.0009768092887434,0.3247900518299761,0.0539871768895014,0.3752013745973712,0.0025892510518681,0.0003800308327507,0.144208776448428,0.4766437577808383,0.0,-0.0035758541221062,1.0,570323,771406,1372303,0.4155955353883216,0.5621251283426474,1672859,660440,9370316,4874169,185724,128402,1259561,75392,11675,7.722576099667809,86.93270147510624,4.149462156888168,123258.11756401087,732.0,8039830.044455824,24.96412655700742,631.725639736855,0.04486485840191866,0.002496543313430382,24964.12655700742,8039830044.455826,KS,12250,10,No state-level incentive,0,Net metering; full retail credit,1.30839252770714
Kentucky,KY,5125.3,447.57,47053.33,16917.63,64105.26,147.9,4529.83,0.0,0.0,0.0,134.3,69230.56,0.0740323348532786,0.0064649195384234,0.6796612651984905,0.244366505196549,0.9259676651467214,0.0021363397898269,0.0654310755250282,0.0,0.0,0.0,0.0019398947516819,1.0,772474,1326646,2136768,0.3615151481115404,0.6208657186929044,2269373,914423,8079802,4412212,297071,279063,1775053,57184,3006,11.616097602928518,88.08631104533316,2.200791936091618,109330.53130182928,724.0,10933871.886247927,25.038529642062915,643.5045475898419,0.03556196858402996,0.0017386503284550052,25038.52964206291,10933871886.247927,KY,12250,22,No state-level incentive,0,Net metering with adjusted PSC-set credit (~retail),1.3527785719040533
Louisiana,LA,19705.65,2076.68,8172.86,72275.01,83061.29,468.4,916.07,16164.72,0.0,79.78,2613.42,102766.94,0.1917508685186111,0.0202076660062078,0.079528105050126,0.7032904745436616,0.8082491314813888,0.0045578860283277,0.0089140534884078,0.1572949432959665,0.0,0.000776319699701,0.0254305518876012,1.0,856034,1255776,2148062,0.3985145680152621,0.5846088241400853,3143387,1212891,9966490,5470588,558718,1094442,1743268,68470,13343,54.05129699950044,92.67163416148614,3.1753308121038124,174436.5363822814,8217.0,16056716.033869501,32.363843584915315,784.2748300374544,0.36700601329926935,0.013051848621735897,32363.84358491531,16056716033.869503,LA,12250,21,No state-level incentive,0,Net metering ended; exports at avoided cost (~3/kWh),2.685217269927278
