State,Residential_cap_24,Residential_cap_25,Residential_gen_24,Residential_gen_25,Commercial_cap_24,Commercial_cap_25,Commercial_gen_24,Commercial_gen_25,Industrial_cap_24,Industrial_cap_25,Industrial_gen_24,Industrial_gen_25,Total_cap_24,Total_cap_25,Total_gen_24,Total_gen_25,Residential_cap_prop_24,Residential_gen_prop_24,Residential_cap_prop_25,Residential_gen_prop_25,Residential_added_cap,Residential_added_gen,prop_cap_added
AK,14.247,14.155,0.086,0.081,6.133,6.202,7.099,7.095,0.171,0.195,0.0,0.0,19.077,20.552,7.186,7.176,0.0004341757741132804,2.625733779547438e-08,0.0003851915968310174,2.19816398141777e-08,-0.09200000000000053,-0.0049999999999999906,-2.3385587411640102e-05
AL,60.0,80.0,3766.0,5022.0,0.0,0.0,0.0,0.0,1.884,1.884,208.697,208.697,0.0,0.0,0.0,0.0,0.0018284934685756176,0.0011498271411367036,0.002176992422923447,0.0013628616684790173,20.0,1256.0,0.005083823350356515
AR,144.309,176.701,14707.78,18011.757,84.258,117.645,8479.118,11913.935,23.817,98.643,2478.888,10256.364,252.384,392.989,25665.79,40182.06,0.004397801065944647,0.0044905482288549094,0.0048084592265374496,0.004887999441907332,32.391999999999996,3303.9770000000008,0.00823376029823741
AZ,2119.451,2296.433,277494.44,307864.926,577.126,605.634,83726.601,88596.012,7.28,7.28,1112.233,1112.233,2703.86,2909.35,362333.27,397573.17,0.06459003850776769,0.08472401450518602,0.062491465509392004,0.08354785079938853,176.98199999999997,30370.485999999975,0.04498726120963983
CA,11825.041,12821.101,1254610.316,1344156.599,3252.877,3694.048,365045.077,414362.103,1686.872,1778.184,180347.99,190563.707,16764.79,18293.33,1800003.38,1949082.41,0.36036683723564816,0.3830549635918472,0.34889299663170287,0.3647748915193591,996.0600000000013,89546.28299999982,0.2531896543178058
CO,845.786,945.192,97283.816,107055.909,218.352,232.242,26145.541,27588.669,31.759,33.386,4148.724,4355.412,1095.9,1210.82,127578.08,138999.99,0.02577523628021162,0.029702488590055528,0.025720947777598233,0.02905264730391833,99.40600000000006,9772.092999999993,0.025268127198277
CT,679.964,825.923,40679.351,59627.231,270.33,330.829,22769.907,30118.594,37.344,51.672,3555.031,4917.915,987.638,1208.42,67004.29,94663.74,0.02072182888110919,0.012420133261717077,0.022475351411477527,0.016181534752577418,145.95899999999995,18947.879999999997,0.037101488619734314
DE,101.522,109.397,8056.323,9406.313,22.351,26.991,2167.675,2651.768,7.547,7.68,689.301,716.391,131.42,144.068,10913.3,12774.47,0.0030938718986122313,0.0024597394697726694,0.0029769555011319544,0.002552668942536016,7.875,1349.9899999999998,0.0020017554442028776
FL,2245.115,2592.819,285493.58,327979.413,188.85,200.211,24724.89,26063.89,45.774,36.785,6029.34,4840.741,2479.74,2829.82,316247.81,358884.04,0.06841963522835245,0.08716629498254988,0.07055684146264936,0.08900648546952383,347.7040000000002,42485.832999999984,0.08838328571061813
GA,118.988,134.909,13832.576,15551.321,50.628,56.828,5780.715,6624.683,149.802,150.467,17507.898,17585.715,319.418,342.204,37121.19,39761.72,0.003626146347314593,0.004223332797832231,0.0036711983848022414,0.004220290578477256,15.920999999999992,1718.7450000000008,0.0040469775780513015
HI,577.188,624.97,77583.216,72041.429,288.415,295.027,37145.104,38140.034,2.234,2.234,302.922,302.922,867.837,922.231,115031.24,110484.39,0.017589741469003727,0.02368754313687503,0.017006936931930835,0.019550478320699456,47.78200000000004,-5541.786999999997,0.012145762366336759
IA,135.112,154.76,10036.145,11507.58,148.861,170.225,10998.466,12593.353,11.757,12.504,875.019,931.056,295.73,337.489,21909.63,25031.99,0.004117523492103147,0.0030642145282483864,0.004211391842145408,0.003122907144355988,19.647999999999996,1471.4349999999995,0.004994348059390239
ID,131.102,150.924,8856.42,10124.341,8.978,10.351,601.971,691.812,17.506,18.499,1222.788,1283.96,157.586,179.774,10681.18,12100.11,0.003995319178620011,0.00270402339068134,0.004107005055466229,0.0027475261384927365,19.822000000000003,1267.9210000000003,0.005038577322538342
IL,622.938,891.571,35144.597,60497.571,545.678,632.991,40401.766,47544.45,9.389,9.523,678.821,688.495,1178.01,1534.09,76225.18,108730.52,0.018983967738792636,0.010730273896683903,0.02426179139372851,0.01641772611548941,268.63300000000004,25352.974000000002,0.06828413590381609
IN,100.437,112.219,7593.243,8517.247,130.601,148.888,9305.575,10691.359,10.205,14.956,704.834,1050.382,241.243,276.063,17603.65,20258.99,0.003060806641722155,0.00231835286528048,0.0030537489088505784,0.002311395750152908,11.781999999999996,924.003999999999,0.002994880335695022
KS,61.911,74.782,6771.063,8151.698,26.624,33.744,2870.856,3643.945,1.94,0.0,210.779,0.0,90.475,111.705,9852.7,12139.89,0.001886730985549751,0.002067326609598118,0.002034998092138265,0.0022121936951846016,12.870999999999995,1380.6350000000002,0.0032716945171219337
KY,71.345,81.486,6028.981,6886.133,22.411,26.653,1932.068,2291.762,1.356,2.702,115.761,230.182,95.112,110.841,8076.81,9408.08,0.002174231108592124,0.0018407557055755456,0.0022174300571792503,0.0018687468557842335,10.141000000000005,857.152,0.002577752629798272
