region_name,state_name,yearly_sunlight_kwh_kw_threshold_avg,yearly_sunlight_kwh_total,existing_installs_count,percent_covered,count_qualified,number_of_panels_total,estimated_max_panels
603,Aguadilla,1159.196894576696,134954372.47800288,0.0,85.21086894990093,5349.0,365401.0,116420.57799618604
612,Arecibo,1113.7143018654613,95589437.04122926,0.0,61.08766233766234,3479.0,266185.0,85829.40605244794
646,Dorado,1101.5670157068062,70454673.23659058,0.0,78.27859026612323,3064.0,199254.0,63958.590110275094
660,Hormigueros,1107.064951989027,19401835.649896257,0.0,58.690744920993225,1194.0,54608.0,17525.471847914272
676,Moca,996.2,8580.857080078125,0.0,0.3690036900369003,1.0,28.0,8.613588717203498
680,Mayagüez,1121.89829725229,121505349.57242432,0.0,92.37142410504924,5185.0,341551.0,108303.35500999559
682,Mayagüez,1121.279049904031,81556471.6355103,0.0,88.33570412517781,2145.0,227079.0,72735.21398842744
716,Ponce,1031.9583028874486,108401703.94603889,0.0,88.2919827762969,3992.0,325415.0,105044.65504345267
717,Ponce,1030.9005540507258,40081087.45363769,0.0,92.14975845410628,2026.0,121837.0,38879.68368641064
728,Ponce,1033.5210005932363,47355621.047375485,0.0,93.40385812072184,2711.0,142351.0,45819.69889358182
729,Canóvanas,1109.6906096963762,57543460.70198363,0.0,66.34040239260467,2182.0,160471.0,51855.409245761
730,Ponce,1033.1184676145335,165854858.8207091,0.0,84.84544695071011,8784.0,503173.0,160538.08350136972
731,Ponce,1031.4142029972747,16940570.045623776,0.0,87.83351120597652,757.0,51092.0,16424.604195283257
783,Corozal,1083.9717391304348,587979.9845764162,0.0,1.2121212121212122,15.0,1667.0,542.4311016153387
901,San Juan,1097.35,42623767.08938599,0.0,97.72579597141,1215.0,123879.0,38842.45417540984
907,San Juan,1097.35,23444179.26522217,0.0,96.96969696969695,430.0,68438.0,21364.358923973363
909,San Juan,1097.35,24879020.730737302,0.0,96.60377358490568,865.0,71454.0,22671.910266311846
911,San Juan,1097.35,24530925.120727543,0.0,98.1818181818182,1351.0,70626.0,22354.69551257807
912,San Juan,1097.35,14783440.423101803,0.0,97.72985244040862,718.0,42860.0,13471.94643741906
913,San Juan,1097.35,9048291.95245972,0.0,98.0225988700565,320.0,25595.0,8245.584319004622
915,San Juan,1097.35,39225990.75392456,0.0,96.27348321527565,2648.0,111699.0,35746.10721640731
917,San Juan,1097.35,60972153.824621566,0.0,97.05179282868528,2091.0,175425.0,55563.08727809867
918,San Juan,1097.1838151388358,66721729.222515866,0.0,99.05405405405403,690.0,190761.0,60811.80591792909
920,San Juan,1097.0867619047613,121976029.24302372,0.0,98.95648312611011,4126.0,346415.0,111181.75287362782
921,San Juan,1097.324404309689,124781000.20533448,0.0,98.84057971014492,5977.0,355548.0,113713.86594088592
923,San Juan,1097.3515412511333,32875184.253186032,0.0,97.22906403940888,1399.0,93779.0,29958.662304063248
924,San Juan,1100.7431710775047,162858569.15656736,0.0,97.6751253608874,5994.0,460747.0,147953.2859578379
925,San Juan,1097.057694210787,52408773.06474608,0.0,97.22054380664652,1389.0,150148.0,47772.121139397736
926,San Juan,1096.0270901505248,238148331.69541007,0.0,94.98410455669377,9844.0,685997.0,217283.25315636455
927,San Juan,1096.8700747838288,47681330.78989259,0.0,98.23066841415464,1424.0,137217.0,43470.35431638485
949,Toa Baja,1101.4960979847117,131548735.53740232,0.0,96.83583571162676,6976.0,371052.0,119427.3277754527
953,Toa Alta,1096.175310559007,31279276.97248536,0.0,83.18994043679682,1123.0,88675.0,28534.921988467468
956,Bayamón,1097.3421889123233,193229485.64681405,0.0,98.42157481735366,10182.0,551208.0,176088.63269746472
957,Bayamón,1092.6204188481674,165945310.8984497,0.0,92.0575292476119,7996.0,474153.0,151878.28090691188
959,Bayamón,1097.35,215419420.86852404,0.0,98.80711231150124,8160.0,609491.0,196308.76280906188
961,Bayamón,1097.4673546156969,163095616.6913087,0.0,97.53431621759024,6895.0,461457.0,148610.90492155947
962,Cataño,1099.8423858324336,63987629.27569583,0.0,96.13147178592205,2778.0,180594.0,58178.90826899325
966,Guaynabo,1094.0941374920417,81109733.76145025,0.0,97.65875561257216,2772.0,232721.0,74134.14530067366
968,Guaynabo,1094.028787878789,23670195.953186028,0.0,93.16239316239316,103.0,67873.0,21635.807225036682
969,Guaynabo,1091.6677383134731,227546537.8237978,0.0,96.8577452063046,8753.0,656593.0,208439.37201564314
971,Guaynabo,1094.9730630630631,10001714.020098874,0.0,95.77464788732394,468.0,28873.0,9134.21010752558
976,Trujillo Alto,1088.730190476191,67770384.21167606,0.0,86.93999456964431,2829.0,194285.0,62247.180067666275
979,Carolina,1103.203037037036,48168338.01492919,0.0,75.01530924678505,1148.0,136983.0,43662.26016228064
982,Carolina,1103.2967495219884,5823092.62659912,0.0,98.70550161812298,287.0,16287.0,5277.902458356755
983,Carolina,1103.2888442293493,167473308.70871577,0.0,97.67280786812576,6642.0,470600.0,151794.61805008678
985,Carolina,1103.230701254276,119496848.42304076,0.0,98.3558426306518,4672.0,335254.0,108315.37618304438
987,Carolina,1103.148435967302,126493197.84354252,0.0,96.15384615384616,4931.0,354507.0,114665.61862332355
1001,Massachusetts,963.05,116054403.90421753,0.0,97.19056028254936,4579.0,414199.0,120507.14283185455
1002,Massachusetts,962.2,52585413.299920656,0.0,61.43858202802968,1958.0,189234.0,54651.229785824835
1007,Massachusetts,962.2,61117.43814697265,0.0,0.0573833205814843,3.0,210.0,63.51843498957872
1013,Massachusetts,963.05,90063112.55612181,10.0,97.52720079129574,5684.0,319642.0,93518.62577864266
1020,Massachusetts,963.0493150991542,153347769.55101624,15.0,97.325910376928,8530.0,548833.0,159231.4818636549
1022,Massachusetts,963.05,67935393.92061153,2.0,97.67687434002112,834.0,238157.0,70541.91778268162
1027,Massachusetts,962.2,56133198.76802365,7.0,76.38130741579018,4292.0,202550.0,58338.38990648893
1028,Massachusetts,963.05,107606215.37707518,0.0,93.87755102040816,4799.0,386503.0,111734.81686005418
1030,Massachusetts,963.05,44985777.58152773,0.0,96.05074687947616,3730.0,162800.0,46711.77777013419
1033,Massachusetts,962.203383757962,26381231.615991205,11.0,74.59356072680906,1818.0,96155.0,27417.521140860263
1035,Massachusetts,962.2,26695902.889123548,0.0,36.43867924528302,498.0,94015.0,27744.650685017197
1036,Massachusetts,963.05,577553.2326538087,0.0,1.9500780031201248,40.0,2143.0,599.7126137311757
1040,Massachusetts,963.05,177378566.2979218,10.0,97.74233637116818,7690.0,630839.0,184184.17143234704
1056,Massachusetts,963.05,79133627.27386475,74.0,64.57891012031139,4573.0,282915.0,82169.80143696044
1068,Massachusetts,978.35,125188.07657470704,0.0,2.808988764044944,14.0,470.0,127.95837540216388
1073,Massachusetts,962.2,28414846.34844361,4.0,92.26675015654352,2056.0,103892.0,29531.1227899019
1075,Massachusetts,962.2,74222992.30361323,0.0,92.31337767923134,4530.0,268745.0,77138.84047351198
1077,Massachusetts,963.05,42332967.37334596,6.0,67.12740384615384,2339.0,150999.0,43957.185372873646
1085,Massachusetts,963.0498407344946,243011536.66747728,15.0,82.96053477310709,9912.0,866161.0,252335.36873038503
1089,Massachusetts,963.05,167938921.1206053,18.0,96.93177230520791,7224.0,599258.0,174382.34891293838
1095,Massachusetts,963.05,22280687.03121948,2.0,22.35629294452824,1108.0,80132.0,23135.54543504437
1103,Massachusetts,963.05,19454394.103936773,0.0,99.02912621359224,194.0,69008.0,20200.81418819041
1104,Massachusetts,963.05,141069951.14520878,16.0,97.24809483488568,5299.0,497207.0,146482.47873444657
1105,Massachusetts,963.05,31642582.581015028,0.0,96.37243047158404,1362.0,112219.0,32856.635253636916
1106,Massachusetts,963.05,44409461.81922609,0.0,98.4409052808047,3356.0,164203.0,46113.35010562909
1107,Massachusetts,963.05,25972280.83392332,1.0,98.068669527897,1386.0,92677.0,26968.777149601083
1108,Massachusetts,963.05,42303779.4716431,0.0,98.3245423518461,4415.0,152943.0,43926.87759892332
1109,Massachusetts,963.05,73759455.0871399,3.0,97.74033437826542,5097.0,264391.0,76589.43469927824
1118,Massachusetts,963.05,41216182.04962462,0.0,98.11252921085745,3526.0,151024.0,42797.551580525025
1119,Massachusetts,963.05,44458427.82089843,1.0,98.1004366812227,3193.0,161313.0,46164.19481947815
1128,Massachusetts,963.05,8872864.815454103,0.0,97.35318444995865,819.0,32751.0,9213.296106592705
1129,Massachusetts,963.05,35789887.34145508,3.0,98.9996294924046,2104.0,128543.0,37163.06250086193
1151,Massachusetts,963.05,37940723.51012573,15.0,97.7737881508079,2136.0,135225.0,39396.42127628444
1201,Massachusetts,940.1,114861140.34872437,24.0,71.81885306423825,6595.0,418227.0,122179.7046577219
1237,Massachusetts,940.1,1813863.9916259767,0.0,34.09090909090909,166.0,6773.0,1929.4372849973158
1238,Massachusetts,940.1,1322395.2369506846,0.0,3.0885780885780885,34.0,4823.0,1406.65379954333
1240,Massachusetts,940.1,23158064.908038333,3.0,96.26865671641792,921.0,84770.0,24633.618666140126
1266,Massachusetts,940.1,223383.01183471683,0.0,12.36842105263158,27.0,822.0,237.61622363016363
1420,Massachusetts,978.35,172084951.82147208,217.0,91.13522537562604,8300.0,608986.0,175893.03605199783
1450,Massachusetts,970.7,2502456.398205567,4.0,9.987113402061857,260.0,9103.0,2577.9915506392986
1453,Massachusetts,978.35,219474482.95499265,296.0,90.40873200185789,8914.0,776917.0,224331.25461746068
1462,Massachusetts,978.35,21523513.172344964,47.0,35.82390953150242,1152.0,76772.0,21999.809038018055
1463,Massachusetts,970.7,145003.2014526367,0.0,0.4828889355448247,16.0,524.0,149.3800365227534
1473,Massachusetts,978.35,1137356.3679077146,0.0,0.3280481137233461,8.0,3931.0,1162.5250349135938
1501,Massachusetts,978.35,110967556.72286987,139.0,95.45779174403656,4809.0,389452.0,113423.16831693143
1504,Massachusetts,978.35,31122900.917645264,19.0,93.76088218224028,2421.0,110959.0,31811.62254576099
1505,Massachusetts,978.35,12999124.107818596,4.0,60.97678916827853,770.0,47012.0,13286.782958878312
1507,Massachusetts,978.35,16303900.727630612,14.0,34.365807233085306,1409.0,58757.0,16664.691294148935
1515,Massachusetts,978.35,4553148.748046873,5.0,35.526315789473685,294.0,16562.0,4653.905808807556
1516,Massachusetts,978.35,7542400.354187015,1.0,24.22245651027939,552.0,26905.0,7709.306847433961
1519,Massachusetts,978.35,5053475.395678709,16.0,20.61420345489444,430.0,17937.0,5165.304232308181
1520,Massachusetts,978.35,48462579.026940905,40.0,82.48683540003397,3294.0,174763.0,49535.01203755395
1522,Massachusetts,978.35,3131579.85064087,0.0,27.42165242165242,267.0,11266.0,3200.878878357306
