zip,state_name,state_code
603,Puerto Rico,PR
612,Puerto Rico,PR
646,Puerto Rico,PR
660,Puerto Rico,PR
676,Puerto Rico,PR
680,Puerto Rico,PR
682,Puerto Rico,PR
716,Puerto Rico,PR
717,Puerto Rico,PR
728,Puerto Rico,PR
729,Puerto Rico,PR
730,Puerto Rico,PR
731,Puerto Rico,PR
783,Puerto Rico,PR
901,Puerto Rico,PR
907,Puerto Rico,PR
909,Puerto Rico,PR
911,Puerto Rico,PR
912,Puerto Rico,PR
913,Puerto Rico,PR
915,Puerto Rico,PR
917,Puerto Rico,PR
918,Puerto Rico,PR
920,Puerto Rico,PR
921,Puerto Rico,PR
923,Puerto Rico,PR
924,Puerto Rico,PR
925,Puerto Rico,PR
926,Puerto Rico,PR
927,Puerto Rico,PR
949,Puerto Rico,PR
953,Puerto Rico,PR
956,Puerto Rico,PR
957,Puerto Rico,PR
959,Puerto Rico,PR
961,Puerto Rico,PR
962,Puerto Rico,PR
966,Puerto Rico,PR
968,Puerto Rico,PR
969,Puerto Rico,PR
971,Puerto Rico,PR
976,Puerto Rico,PR
979,Puerto Rico,PR
982,Puerto Rico,PR
983,Puerto Rico,PR
985,Puerto Rico,PR
987,Puerto Rico,PR
1001,Massachusetts,MA
1002,Massachusetts,MA
1007,Massachusetts,MA
1013,Massachusetts,MA
1020,Massachusetts,MA
1022,Massachusetts,MA
1027,Massachusetts,MA
1028,Massachusetts,MA
1030,Massachusetts,MA
1033,Massachusetts,MA
1035,Massachusetts,MA
1036,Massachusetts,MA
1040,Massachusetts,MA
1056,Massachusetts,MA
1068,Massachusetts,MA
1073,Massachusetts,MA
1075,Massachusetts,MA
1077,Massachusetts,MA
1085,Massachusetts,MA
1089,Massachusetts,MA
1095,Massachusetts,MA
1103,Massachusetts,MA
1104,Massachusetts,MA
1105,Massachusetts,MA
1106,Massachusetts,MA
1107,Massachusetts,MA
1108,Massachusetts,MA
1109,Massachusetts,MA
1118,Massachusetts,MA
1119,Massachusetts,MA
1128,Massachusetts,MA
1129,Massachusetts,MA
1151,Massachusetts,MA
1201,Massachusetts,MA
1237,Massachusetts,MA
1238,Massachusetts,MA
1240,Massachusetts,MA
1266,Massachusetts,MA
1420,Massachusetts,MA
1450,Massachusetts,MA
1453,Massachusetts,MA
1462,Massachusetts,MA
1463,Massachusetts,MA
1473,Massachusetts,MA
1501,Massachusetts,MA
1504,Massachusetts,MA
1505,Massachusetts,MA
1507,Massachusetts,MA
1515,Massachusetts,MA
1516,Massachusetts,MA
1519,Massachusetts,MA
1520,Massachusetts,MA
1522,Massachusetts,MA
1524,Massachusetts,MA
1527,Massachusetts,MA
1529,Massachusetts,MA
1534,Massachusetts,MA
1535,Massachusetts,MA
1536,Massachusetts,MA
1537,Massachusetts,MA
1540,Massachusetts,MA
1541,Massachusetts,MA
1542,Massachusetts,MA
1543,Massachusetts,MA
1545,Massachusetts,MA
1560,Massachusetts,MA
1562,Massachusetts,MA
1564,Massachusetts,MA
1566,Massachusetts,MA
1568,Massachusetts,MA
1569,Massachusetts,MA
1570,Massachusetts,MA
1571,Massachusetts,MA
1581,Massachusetts,MA
1583,Massachusetts,MA
1588,Massachusetts,MA
1590,Massachusetts,MA
1602,Massachusetts,MA
1603,Massachusetts,MA
1604,Massachusetts,MA
1605,Massachusetts,MA
1606,Massachusetts,MA
1607,Massachusetts,MA
1608,Massachusetts,MA
1609,Massachusetts,MA
1610,Massachusetts,MA
1611,Massachusetts,MA
1612,Massachusetts,MA
1701,Massachusetts,MA
1702,Massachusetts,MA
1721,Massachusetts,MA
1730,Massachusetts,MA
1731,Massachusetts,MA
1741,Massachusetts,MA
1742,Massachusetts,MA
1745,Massachusetts,MA
1746,Massachusetts,MA
1747,Massachusetts,MA
1748,Massachusetts,MA
1756,Massachusetts,MA
1757,Massachusetts,MA
1760,Massachusetts,MA
1770,Massachusetts,MA
1772,Massachusetts,MA
1773,Massachusetts,MA
1778,Massachusetts,MA
1801,Massachusetts,MA
1803,Massachusetts,MA
1810,Massachusetts,MA
1821,Massachusetts,MA
1824,Massachusetts,MA
1826,Massachusetts,MA
1827,Massachusetts,MA
1830,Massachusetts,MA
1832,Massachusetts,MA
1833,Massachusetts,MA
1834,Massachusetts,MA
1835,Massachusetts,MA
1840,Massachusetts,MA
1841,Massachusetts,MA
1843,Massachusetts,MA
1844,Massachusetts,MA
1845,Massachusetts,MA
1850,Massachusetts,MA
1851,Massachusetts,MA
1852,Massachusetts,MA
1854,Massachusetts,MA
1862,Massachusetts,MA
1863,Massachusetts,MA
1864,Massachusetts,MA
1867,Massachusetts,MA
1876,Massachusetts,MA
1879,Massachusetts,MA
1880,Massachusetts,MA
1886,Massachusetts,MA
1887,Massachusetts,MA
1890,Massachusetts,MA
1901,Massachusetts,MA
1902,Massachusetts,MA
1904,Massachusetts,MA
1905,Massachusetts,MA
1906,Massachusetts,MA
1907,Massachusetts,MA
1908,Massachusetts,MA
1915,Massachusetts,MA
1921,Massachusetts,MA
1923,Massachusetts,MA
1940,Massachusetts,MA
1945,Massachusetts,MA
1949,Massachusetts,MA
1960,Massachusetts,MA
1970,Massachusetts,MA
1982,Massachusetts,MA
1983,Massachusetts,MA
1984,Massachusetts,MA
1985,Massachusetts,MA
2019,Massachusetts,MA
2021,Massachusetts,MA
2025,Massachusetts,MA
2026,Massachusetts,MA
2030,Massachusetts,MA
2032,Massachusetts,MA
2035,Massachusetts,MA
2038,Massachusetts,MA
2043,Massachusetts,MA
2048,Massachusetts,MA
2052,Massachusetts,MA
2053,Massachusetts,MA
2054,Massachusetts,MA
2056,Massachusetts,MA
2061,Massachusetts,MA
2062,Massachusetts,MA
2066,Massachusetts,MA
2067,Massachusetts,MA
2071,Massachusetts,MA
2072,Massachusetts,MA
2081,Massachusetts,MA
2090,Massachusetts,MA
2093,Massachusetts,MA
2108,Massachusetts,MA
2109,Massachusetts,MA
2110,Massachusetts,MA
2111,Massachusetts,MA
2113,Massachusetts,MA
2114,Massachusetts,MA
2115,Massachusetts,MA
2116,Massachusetts,MA
2118,Massachusetts,MA
2119,Massachusetts,MA
2120,Massachusetts,MA
2121,Massachusetts,MA
2122,Massachusetts,MA
2124,Massachusetts,MA
2125,Massachusetts,MA
2126,Massachusetts,MA
2127,Massachusetts,MA
2128,Massachusetts,MA
2129,Massachusetts,MA
2130,Massachusetts,MA
2131,Massachusetts,MA
2132,Massachusetts,MA
2134,Massachusetts,MA
2135,Massachusetts,MA
2136,Massachusetts,MA
2138,Massachusetts,MA
2139,Massachusetts,MA
2140,Massachusetts,MA
2141,Massachusetts,MA
2142,Massachusetts,MA
2143,Massachusetts,MA
2144,Massachusetts,MA
2145,Massachusetts,MA
2148,Massachusetts,MA
2149,Massachusetts,MA
2150,Massachusetts,MA
2151,Massachusetts,MA
2152,Massachusetts,MA
2155,Massachusetts,MA
2163,Massachusetts,MA
2169,Massachusetts,MA
2170,Massachusetts,MA
2171,Massachusetts,MA
2176,Massachusetts,MA
2180,Massachusetts,MA
2184,Massachusetts,MA
2186,Massachusetts,MA
2188,Massachusetts,MA
2189,Massachusetts,MA
2190,Massachusetts,MA
2191,Massachusetts,MA
2199,Massachusetts,MA
2210,Massachusetts,MA
2215,Massachusetts,MA
2301,Massachusetts,MA
2302,Massachusetts,MA
2322,Massachusetts,MA
2333,Massachusetts,MA
2339,Massachusetts,MA
2341,Massachusetts,MA
2343,Massachusetts,MA
2346,Massachusetts,MA
2347,Massachusetts,MA
2351,Massachusetts,MA
2356,Massachusetts,MA
2368,Massachusetts,MA
2370,Massachusetts,MA
2375,Massachusetts,MA
2379,Massachusetts,MA
2382,Massachusetts,MA
2420,Massachusetts,MA
2421,Massachusetts,MA
2445,Massachusetts,MA
2446,Massachusetts,MA
2451,Massachusetts,MA
2452,Massachusetts,MA
2453,Massachusetts,MA
2458,Massachusetts,MA
2459,Massachusetts,MA
2460,Massachusetts,MA
2461,Massachusetts,MA
2462,Massachusetts,MA
2464,Massachusetts,MA
2465,Massachusetts,MA
2466,Massachusetts,MA
2467,Massachusetts,MA
2468,Massachusetts,MA
2472,Massachusetts,MA
2474,Massachusetts,MA
2476,Massachusetts,MA
2478,Massachusetts,MA
2481,Massachusetts,MA
2482,Massachusetts,MA
2492,Massachusetts,MA
2493,Massachusetts,MA
2494,Massachusetts,MA
2601,Massachusetts,MA
2630,Massachusetts,MA
2632,Massachusetts,MA
2668,Massachusetts,MA
2673,Massachusetts,MA
2675,Massachusetts,MA
2702,Massachusetts,MA
2703,Massachusetts,MA
2715,Massachusetts,MA
2717,Massachusetts,MA
2718,Massachusetts,MA
2719,Massachusetts,MA
2720,Massachusetts,MA
2721,Massachusetts,MA
2723,Massachusetts,MA
2724,Massachusetts,MA
2725,Massachusetts,MA
2726,Massachusetts,MA
2739,Massachusetts,MA
2740,Massachusetts,MA
2743,Massachusetts,MA
2744,Massachusetts,MA
2745,Massachusetts,MA
2746,Massachusetts,MA
2747,Massachusetts,MA
2748,Massachusetts,MA
2760,Massachusetts,MA
2762,Massachusetts,MA
2763,Massachusetts,MA
2764,Massachusetts,MA
2766,Massachusetts,MA
2767,Massachusetts,MA
2769,Massachusetts,MA
2770,Massachusetts,MA
2771,Massachusetts,MA
2777,Massachusetts,MA
2779,Massachusetts,MA
2780,Massachusetts,MA
2790,Massachusetts,MA
2802,Rhode Island,RI
2806,Rhode Island,RI
2809,Rhode Island,RI
2814,Rhode Island,RI
2816,Rhode Island,RI
2817,Rhode Island,RI
2818,Rhode Island,RI
2822,Rhode Island,RI
2828,Rhode Island,RI
2830,Rhode Island,RI
2831,Rhode Island,RI
2835,Rhode Island,RI
2838,Rhode Island,RI
2852,Rhode Island,RI
2857,Rhode Island,RI
2860,Rhode Island,RI
2861,Rhode Island,RI
2863,Rhode Island,RI
2864,Rhode Island,RI
2865,Rhode Island,RI
2871,Rhode Island,RI
2878,Rhode Island,RI
2885,Rhode Island,RI
2886,Rhode Island,RI
2888,Rhode Island,RI
2889,Rhode Island,RI
2893,Rhode Island,RI
2895,Rhode Island,RI
2896,Rhode Island,RI
2903,Rhode Island,RI
2904,Rhode Island,RI
2905,Rhode Island,RI
2906,Rhode Island,RI
2907,Rhode Island,RI
2908,Rhode Island,RI
2909,Rhode Island,RI
2910,Rhode Island,RI
2911,Rhode Island,RI
2914,Rhode Island,RI
2915,Rhode Island,RI
2916,Rhode Island,RI
2917,Rhode Island,RI
2919,Rhode Island,RI
2920,Rhode Island,RI
2921,Rhode Island,RI
3032,New Hampshire,NH
3034,New Hampshire,NH
3036,New Hampshire,NH
3038,New Hampshire,NH
3045,New Hampshire,NH
3046,New Hampshire,NH
3049,New Hampshire,NH
3051,New Hampshire,NH
3052,New Hampshire,NH
3053,New Hampshire,NH
3054,New Hampshire,NH
3060,New Hampshire,NH
3062,New Hampshire,NH
3063,New Hampshire,NH
3064,New Hampshire,NH
3076,New Hampshire,NH
3079,New Hampshire,NH
3087,New Hampshire,NH
3101,New Hampshire,NH
3102,New Hampshire,NH
3103,New Hampshire,NH
3104,New Hampshire,NH
3106,New Hampshire,NH
3109,New Hampshire,NH
3110,New Hampshire,NH
3224,New Hampshire,NH
3229,New Hampshire,NH
3234,New Hampshire,NH
3258,New Hampshire,NH
3275,New Hampshire,NH
3301,New Hampshire,NH
3303,New Hampshire,NH
3304,New Hampshire,NH
3307,New Hampshire,NH
3801,New Hampshire,NH
3820,New Hampshire,NH
3823,New Hampshire,NH
3824,New Hampshire,NH
3833,New Hampshire,NH
3840,New Hampshire,NH
3854,New Hampshire,NH
3856,New Hampshire,NH
3857,New Hampshire,NH
3861,New Hampshire,NH
3862,New Hampshire,NH
3865,New Hampshire,NH
3867,New Hampshire,NH
3868,New Hampshire,NH
3869,New Hampshire,NH
3870,New Hampshire,NH
3878,New Hampshire,NH
3885,New Hampshire,NH
3901,Maine,ME
3903,Maine,ME
3904,Maine,ME
3905,Maine,ME
3906,Maine,ME
3908,Maine,ME
3909,Maine,ME
4005,Maine,ME
4038,Maine,ME
4046,Maine,ME
4062,Maine,ME
4063,Maine,ME
4064,Maine,ME
4072,Maine,ME
4074,Maine,ME
4092,Maine,ME
4093,Maine,ME
4101,Maine,ME
4102,Maine,ME
4103,Maine,ME
4105,Maine,ME
4106,Maine,ME
4107,Maine,ME
4108,Maine,ME
4210,Maine,ME
4236,Maine,ME
4240,Maine,ME
4250,Maine,ME
4252,Maine,ME
4258,Maine,ME
4274,Maine,ME
4280,Maine,ME
4330,Maine,ME
4344,Maine,ME
4345,Maine,ME
4346,Maine,ME
4347,Maine,ME
4351,Maine,ME
4401,Maine,ME
4411,Maine,ME
4412,Maine,ME
4428,Maine,ME
4429,Maine,ME
4444,Maine,ME
4473,Maine,ME
4474,Maine,ME
4605,Maine,ME
4609,Maine,ME
4612,Maine,ME
4646,Maine,ME
4653,Maine,ME
4660,Maine,ME
4662,Maine,ME
4674,Maine,ME
4679,Maine,ME
5401,Vermont,VT
5403,Vermont,VT
5404,Vermont,VT
5408,Vermont,VT
5446,Vermont,VT
5452,Vermont,VT
5482,Vermont,VT
5495,Vermont,VT
6001,Connecticut,CT
6002,Connecticut,CT
6010,Connecticut,CT
6013,Connecticut,CT
6016,Connecticut,CT
6019,Connecticut,CT
6023,Connecticut,CT
6026,Connecticut,CT
6029,Connecticut,CT
6032,Connecticut,CT
6033,Connecticut,CT
6035,Connecticut,CT
6037,Connecticut,CT
6040,Connecticut,CT
6042,Connecticut,CT
6043,Connecticut,CT
6051,Connecticut,CT
6052,Connecticut,CT
6053,Connecticut,CT
6060,Connecticut,CT
6062,Connecticut,CT
6066,Connecticut,CT
6067,Connecticut,CT
6070,Connecticut,CT
6071,Connecticut,CT
6073,Connecticut,CT
6074,Connecticut,CT
6078,Connecticut,CT
6081,Connecticut,CT
6082,Connecticut,CT
6084,Connecticut,CT
6085,Connecticut,CT
6088,Connecticut,CT
6089,Connecticut,CT
6090,Connecticut,CT
6092,Connecticut,CT
6093,Connecticut,CT
6095,Connecticut,CT
6096,Connecticut,CT
6103,Connecticut,CT
6105,Connecticut,CT
6106,Connecticut,CT
6107,Connecticut,CT
6108,Connecticut,CT
6109,Connecticut,CT
6110,Connecticut,CT
6111,Connecticut,CT
6112,Connecticut,CT
6114,Connecticut,CT
6117,Connecticut,CT
6118,Connecticut,CT
6119,Connecticut,CT
6120,Connecticut,CT
6226,Connecticut,CT
6237,Connecticut,CT
6238,Connecticut,CT
6241,Connecticut,CT
6249,Connecticut,CT
6250,Connecticut,CT
6254,Connecticut,CT
6255,Connecticut,CT
6256,Connecticut,CT
6260,Connecticut,CT
6266,Connecticut,CT
6268,Connecticut,CT
6277,Connecticut,CT
6280,Connecticut,CT
6320,Connecticut,CT
6330,Connecticut,CT
6331,Connecticut,CT
6334,Connecticut,CT
6335,Connecticut,CT
6338,Connecticut,CT
6339,Connecticut,CT
6340,Connecticut,CT
6351,Connecticut,CT
6355,Connecticut,CT
6359,Connecticut,CT
6360,Connecticut,CT
6365,Connecticut,CT
6370,Connecticut,CT
6374,Connecticut,CT
6375,Connecticut,CT
6380,Connecticut,CT
6382,Connecticut,CT
6385,Connecticut,CT
6401,Connecticut,CT
6403,Connecticut,CT
6405,Connecticut,CT
6410,Connecticut,CT
6416,Connecticut,CT
6418,Connecticut,CT
6424,Connecticut,CT
6437,Connecticut,CT
6441,Connecticut,CT
6444,Connecticut,CT
6450,Connecticut,CT
6451,Connecticut,CT
6455,Connecticut,CT
6456,Connecticut,CT
6457,Connecticut,CT
6460,Connecticut,CT
6461,Connecticut,CT
6468,Connecticut,CT
6470,Connecticut,CT
6471,Connecticut,CT
6472,Connecticut,CT
6473,Connecticut,CT
6477,Connecticut,CT
6478,Connecticut,CT
6479,Connecticut,CT
6480,Connecticut,CT
6481,Connecticut,CT
6483,Connecticut,CT
6484,Connecticut,CT
6489,Connecticut,CT
6492,Connecticut,CT
6510,Connecticut,CT
6511,Connecticut,CT
6512,Connecticut,CT
6513,Connecticut,CT
6514,Connecticut,CT
6515,Connecticut,CT
6516,Connecticut,CT
6517,Connecticut,CT
6518,Connecticut,CT
6519,Connecticut,CT
6524,Connecticut,CT
6525,Connecticut,CT
6604,Connecticut,CT
6605,Connecticut,CT
6606,Connecticut,CT
6607,Connecticut,CT
6608,Connecticut,CT
6610,Connecticut,CT
6611,Connecticut,CT
6612,Connecticut,CT
6614,Connecticut,CT
6615,Connecticut,CT
6702,Connecticut,CT
6704,Connecticut,CT
6705,Connecticut,CT
6706,Connecticut,CT
6708,Connecticut,CT
6710,Connecticut,CT
6712,Connecticut,CT
6716,Connecticut,CT
6762,Connecticut,CT
6770,Connecticut,CT
6779,Connecticut,CT
6782,Connecticut,CT
6786,Connecticut,CT
6787,Connecticut,CT
6795,Connecticut,CT
6798,Connecticut,CT
6807,Connecticut,CT
6820,Connecticut,CT
6824,Connecticut,CT
6825,Connecticut,CT
6830,Connecticut,CT
6831,Connecticut,CT
6840,Connecticut,CT
6850,Connecticut,CT
6851,Connecticut,CT
6853,Connecticut,CT
6854,Connecticut,CT
6855,Connecticut,CT
6870,Connecticut,CT
6878,Connecticut,CT
6880,Connecticut,CT
6890,Connecticut,CT
6897,Connecticut,CT
6901,Connecticut,CT
6902,Connecticut,CT
6903,Connecticut,CT
6905,Connecticut,CT
6906,Connecticut,CT
6907,Connecticut,CT
7001,New Jersey,NJ
7002,New Jersey,NJ
7003,New Jersey,NJ
7004,New Jersey,NJ
7005,New Jersey,NJ
7006,New Jersey,NJ
7008,New Jersey,NJ
7009,New Jersey,NJ
7010,New Jersey,NJ
7011,New Jersey,NJ
7012,New Jersey,NJ
7013,New Jersey,NJ
7014,New Jersey,NJ
7016,New Jersey,NJ
7017,New Jersey,NJ
7018,New Jersey,NJ
7020,New Jersey,NJ
7021,New Jersey,NJ
7022,New Jersey,NJ
7023,New Jersey,NJ
7024,New Jersey,NJ
7026,New Jersey,NJ
7027,New Jersey,NJ
7028,New Jersey,NJ
7029,New Jersey,NJ
7030,New Jersey,NJ
7031,New Jersey,NJ
7032,New Jersey,NJ
7033,New Jersey,NJ
7034,New Jersey,NJ
7035,New Jersey,NJ
7036,New Jersey,NJ
7039,New Jersey,NJ
7040,New Jersey,NJ
7041,New Jersey,NJ
7042,New Jersey,NJ
7043,New Jersey,NJ
7044,New Jersey,NJ
7045,New Jersey,NJ
7046,New Jersey,NJ
7047,New Jersey,NJ
7050,New Jersey,NJ
7052,New Jersey,NJ
7054,New Jersey,NJ
7055,New Jersey,NJ
7057,New Jersey,NJ
7058,New Jersey,NJ
7059,New Jersey,NJ
7060,New Jersey,NJ
7062,New Jersey,NJ
7063,New Jersey,NJ
7064,New Jersey,NJ
7065,New Jersey,NJ
7066,New Jersey,NJ
7067,New Jersey,NJ
7068,New Jersey,NJ
7069,New Jersey,NJ
7070,New Jersey,NJ
7071,New Jersey,NJ
7072,New Jersey,NJ
7073,New Jersey,NJ
7074,New Jersey,NJ
7075,New Jersey,NJ
7076,New Jersey,NJ
7077,New Jersey,NJ
7078,New Jersey,NJ
7079,New Jersey,NJ
7080,New Jersey,NJ
7081,New Jersey,NJ
7082,New Jersey,NJ
7083,New Jersey,NJ
7086,New Jersey,NJ
7087,New Jersey,NJ
7088,New Jersey,NJ
7090,New Jersey,NJ
7092,New Jersey,NJ
7093,New Jersey,NJ
7094,New Jersey,NJ
7095,New Jersey,NJ
7102,New Jersey,NJ
7103,New Jersey,NJ
7104,New Jersey,NJ
7105,New Jersey,NJ
7106,New Jersey,NJ
7107,New Jersey,NJ
7108,New Jersey,NJ
7109,New Jersey,NJ
7110,New Jersey,NJ
7111,New Jersey,NJ
7112,New Jersey,NJ
7114,New Jersey,NJ
7201,New Jersey,NJ
7202,New Jersey,NJ
7203,New Jersey,NJ
7204,New Jersey,NJ
7205,New Jersey,NJ
7206,New Jersey,NJ
7208,New Jersey,NJ
7302,New Jersey,NJ
7304,New Jersey,NJ
7305,New Jersey,NJ
7306,New Jersey,NJ
7307,New Jersey,NJ
7310,New Jersey,NJ
7401,New Jersey,NJ
7407,New Jersey,NJ
7410,New Jersey,NJ
7417,New Jersey,NJ
7423,New Jersey,NJ
7424,New Jersey,NJ
7430,New Jersey,NJ
7432,New Jersey,NJ
7436,New Jersey,NJ
7440,New Jersey,NJ
7442,New Jersey,NJ
7444,New Jersey,NJ
7446,New Jersey,NJ
7450,New Jersey,NJ
7452,New Jersey,NJ
7458,New Jersey,NJ
7463,New Jersey,NJ
7470,New Jersey,NJ
7481,New Jersey,NJ
7501,New Jersey,NJ
7502,New Jersey,NJ
7503,New Jersey,NJ
7504,New Jersey,NJ
7505,New Jersey,NJ
7506,New Jersey,NJ
7508,New Jersey,NJ
7512,New Jersey,NJ
7513,New Jersey,NJ
7514,New Jersey,NJ
7522,New Jersey,NJ
7524,New Jersey,NJ
7601,New Jersey,NJ
7603,New Jersey,NJ
7604,New Jersey,NJ
7605,New Jersey,NJ
7606,New Jersey,NJ
7607,New Jersey,NJ
7620,New Jersey,NJ
7621,New Jersey,NJ
7624,New Jersey,NJ
7626,New Jersey,NJ
7627,New Jersey,NJ
7628,New Jersey,NJ
7630,New Jersey,NJ
7631,New Jersey,NJ
7632,New Jersey,NJ
7640,New Jersey,NJ
7641,New Jersey,NJ
7642,New Jersey,NJ
7643,New Jersey,NJ
7644,New Jersey,NJ
7645,New Jersey,NJ
7646,New Jersey,NJ
7647,New Jersey,NJ
7648,New Jersey,NJ
7649,New Jersey,NJ
7650,New Jersey,NJ
7652,New Jersey,NJ
7656,New Jersey,NJ
7657,New Jersey,NJ
7660,New Jersey,NJ
7661,New Jersey,NJ
7662,New Jersey,NJ
7663,New Jersey,NJ
7666,New Jersey,NJ
7670,New Jersey,NJ
7675,New Jersey,NJ
7676,New Jersey,NJ
7677,New Jersey,NJ
7701,New Jersey,NJ
7702,New Jersey,NJ
7704,New Jersey,NJ
7711,New Jersey,NJ
7712,New Jersey,NJ
7716,New Jersey,NJ
7717,New Jersey,NJ
7718,New Jersey,NJ
7719,New Jersey,NJ
7720,New Jersey,NJ
7721,New Jersey,NJ
7722,New Jersey,NJ
7723,New Jersey,NJ
7724,New Jersey,NJ
7726,New Jersey,NJ
7727,New Jersey,NJ
7728,New Jersey,NJ
7730,New Jersey,NJ
7731,New Jersey,NJ
7732,New Jersey,NJ
7733,New Jersey,NJ
7734,New Jersey,NJ
7735,New Jersey,NJ
7737,New Jersey,NJ
7738,New Jersey,NJ
7739,New Jersey,NJ
7740,New Jersey,NJ
7746,New Jersey,NJ
7747,New Jersey,NJ
7748,New Jersey,NJ
7750,New Jersey,NJ
7751,New Jersey,NJ
7753,New Jersey,NJ
7755,New Jersey,NJ
7756,New Jersey,NJ
7757,New Jersey,NJ
7758,New Jersey,NJ
7760,New Jersey,NJ
7762,New Jersey,NJ
7764,New Jersey,NJ
7801,New Jersey,NJ
7803,New Jersey,NJ
7821,New Jersey,NJ
7828,New Jersey,NJ
7834,New Jersey,NJ
7836,New Jersey,NJ
7838,New Jersey,NJ
7840,New Jersey,NJ
7843,New Jersey,NJ
7847,New Jersey,NJ
7849,New Jersey,NJ
7850,New Jersey,NJ
7852,New Jersey,NJ
7853,New Jersey,NJ
7856,New Jersey,NJ
7857,New Jersey,NJ
7866,New Jersey,NJ
7869,New Jersey,NJ
7874,New Jersey,NJ
7876,New Jersey,NJ
7878,New Jersey,NJ
7885,New Jersey,NJ
7901,New Jersey,NJ
7920,New Jersey,NJ
7921,New Jersey,NJ
7922,New Jersey,NJ
7924,New Jersey,NJ
7927,New Jersey,NJ
7928,New Jersey,NJ
7930,New Jersey,NJ
7931,New Jersey,NJ
7932,New Jersey,NJ
7933,New Jersey,NJ
7935,New Jersey,NJ
7936,New Jersey,NJ
7940,New Jersey,NJ
7945,New Jersey,NJ
7946,New Jersey,NJ
7950,New Jersey,NJ
7960,New Jersey,NJ
7974,New Jersey,NJ
7980,New Jersey,NJ
7981,New Jersey,NJ
8002,New Jersey,NJ
8003,New Jersey,NJ
8004,New Jersey,NJ
8007,New Jersey,NJ
8009,New Jersey,NJ
8010,New Jersey,NJ
8012,New Jersey,NJ
8016,New Jersey,NJ
8020,New Jersey,NJ
8021,New Jersey,NJ
8022,New Jersey,NJ
8023,New Jersey,NJ
8026,New Jersey,NJ
8027,New Jersey,NJ
8028,New Jersey,NJ
8029,New Jersey,NJ
8030,New Jersey,NJ
8031,New Jersey,NJ
8032,New Jersey,NJ
8033,New Jersey,NJ
8034,New Jersey,NJ
8035,New Jersey,NJ
8036,New Jersey,NJ
8037,New Jersey,NJ
8043,New Jersey,NJ
8045,New Jersey,NJ
8046,New Jersey,NJ
8048,New Jersey,NJ
8049,New Jersey,NJ
8051,New Jersey,NJ
8052,New Jersey,NJ
8053,New Jersey,NJ
8054,New Jersey,NJ
8055,New Jersey,NJ
8057,New Jersey,NJ
8059,New Jersey,NJ
8060,New Jersey,NJ
8062,New Jersey,NJ
8063,New Jersey,NJ
8065,New Jersey,NJ
8066,New Jersey,NJ
8069,New Jersey,NJ
8070,New Jersey,NJ
8071,New Jersey,NJ
8075,New Jersey,NJ
8077,New Jersey,NJ
8078,New Jersey,NJ
8079,New Jersey,NJ
8080,New Jersey,NJ
8081,New Jersey,NJ
8083,New Jersey,NJ
8084,New Jersey,NJ
8085,New Jersey,NJ
8086,New Jersey,NJ
8088,New Jersey,NJ
8089,New Jersey,NJ
8090,New Jersey,NJ
8091,New Jersey,NJ
8093,New Jersey,NJ
