State,Residential_cap_24,Residential_cap_25,Residential_gen_24,Residential_gen_25,Commercial_cap_24,Commercial_cap_25,Commercial_gen_24,Commercial_gen_25,Industrial_cap_24,Industrial_cap_25,Industrial_gen_24,Industrial_gen_25,Total_cap_24,Total_cap_25,Total_gen_24,Total_gen_25,Residential_cap_prop_24,Residential_gen_prop_24,Residential_cap_prop_25,Residential_gen_prop_25,Residential_added_cap,Residential_added_gen,prop_cap_added
AK,250.0,300.0,15694.0,18833.0,6.133,6.202,7.099,7.095,0.171,0.195,0.0,0.0,19.077,20.552,7.186,7.176,0.007543204306119644,0.004755215717485594,0.008074608738777606,0.005068115893379282,50.0,3139.0,0.01246544267653996
AL,60.0,80.0,3766.0,5022.0,0.0,0.0,0.0,0.0,1.884,1.884,208.697,208.697,0.0,0.0,0.0,0.0,0.0018103690334687146,0.0011410820945616635,0.0021532289970073613,0.001351461690466243,20.0,1256.0,0.004986177070615984
AR,144.309,176.701,14707.78,18011.757,84.258,117.645,8479.118,11913.935,23.817,98.643,2478.888,10256.364,252.384,392.989,25665.79,40182.06,0.004354209080847279,0.0044563952227169796,0.0047559714625024715,0.004847112617181837,32.391999999999996,3303.9770000000008,0.008075612383569646
AZ,2119.451,2296.433,277494.44,307864.926,577.126,605.634,83726.601,88596.012,7.28,7.28,1112.233,1112.233,2703.86,2909.35,362333.27,397573.17,0.06394980763923834,0.0840796433415868,0.061809326566057574,0.08284899508706188,176.98199999999997,30370.485999999975,0.0441231795155879
CA,11825.041,12821.101,1254610.316,1344156.599,3252.877,3694.048,365045.077,414362.103,1686.872,1778.184,180347.99,190563.707,16764.79,18293.33,1800003.38,1949082.41,0.35679480076496534,0.38014162698883447,0.345084580584501,0.3617236458653715,996.0600000000013,89546.28299999982,0.24832657664788815
CO,845.786,945.192,97283.816,107055.909,218.352,232.242,26145.541,27588.669,31.759,33.386,4148.724,4355.412,1095.9,1210.82,127578.08,138999.99,0.025519746389022834,0.029476585376588284,0.025440185276742276,0.028809629580155368,99.40600000000006,9772.092999999993,0.02478279589408264
CT,679.964,825.923,40679.351,59627.231,270.33,330.829,22769.907,30118.594,37.344,51.672,3555.031,4917.915,987.638,1208.42,67004.29,94663.74,0.02051642949122535,0.012325671546598275,0.022230016911191388,0.016046180486873986,145.95899999999995,18947.879999999997,0.03638887095250191
DC,92.762,119.712,9407.2,12250.244,51.633,59.579,5273.623,6111.775,0.0,0.0,0.0,0.0,144.395,179.291,14680.82,18362.02,0.0027988908713770817,0.002850341869346915,0.0032220918711218156,0.0032966418687502886,26.950000000000003,2843.044,0.006718873602655039
DE,101.522,109.397,8056.323,9406.313,22.351,26.991,2167.675,2651.768,7.547,7.68,689.301,716.391,131.42,144.068,10913.3,12774.47,0.003063204750263514,0.002441031843681706,0.002944459907320179,0.0025313165408272793,7.875,1349.9899999999998,0.0019633072215550435
FL,2245.115,2592.819,285493.58,327979.413,188.85,200.211,24724.89,26063.89,45.774,36.785,6029.34,4840.741,2479.74,2829.82,316247.81,358884.04,0.06774144454293521,0.08650334897777692,0.06978666318489538,0.0882619697194556,347.7040000000002,42485.832999999984,0.08668568560807305
GA,118.988,134.909,13832.576,15551.321,50.628,56.828,5780.715,6624.683,149.802,150.467,17507.898,17585.715,319.418,342.204,37121.19,39761.72,0.0035902031759062567,0.004191212107080031,0.003631124634465826,0.004184988962095417,15.920999999999992,1718.7450000000008,0.003969246257063852
HI,577.188,624.97,77583.216,72041.429,288.415,295.027,37145.104,38140.034,2.234,2.234,302.922,302.922,867.837,922.231,115031.24,110484.39,0.01741538802816234,0.023507386780698344,0.016821294078246132,0.019386943731569857,47.78200000000004,-5541.786999999997,0.011912475639408657
IA,135.112,154.76,10036.145,11507.58,148.861,170.225,10998.466,12593.353,11.757,12.504,875.019,931.056,295.73,337.489,21909.63,25031.99,0.004076709680833749,0.003040909548041574,0.00416542149471074,0.0030967848506522357,19.647999999999996,1471.4349999999995,0.004898420354173142
ID,131.102,150.924,8856.42,10124.341,8.978,10.351,601.971,691.812,17.506,18.499,1222.788,1283.96,157.586,179.774,10681.18,12100.11,0.003955716683763591,0.00268345785552783,0.004062174164304238,0.0027245438077890664,19.822000000000003,1267.9210000000003,0.004941800094687502
IL,622.938,891.571,35144.597,60497.571,545.678,632.991,40401.766,47544.45,9.389,9.523,678.821,688.495,1178.01,1534.09,76225.18,108730.52,0.018795794416182236,0.010648664460245767,0.02399695662613563,0.01628039617139816,268.63300000000004,25352.974000000002,0.06697258525053919
IN,100.437,112.219,7593.243,8517.247,130.601,148.888,9305.575,10691.359,10.205,14.956,704.834,1050.382,241.243,276.063,17603.65,20258.99,0.0030304672435749547,0.002300720559467788,0.0030204150601896135,0.0022920615349937344,11.781999999999996,924.003999999999,0.0029373569122998753
KS,61.911,74.782,6771.063,8151.698,26.624,33.744,2870.856,3643.945,1.94,0.0,210.779,0.0,90.475,111.705,9852.7,12139.89,0.0018680292871846931,0.002051603491887674,0.0020127846356775563,0.00219368927902236,12.870999999999995,1380.6350000000002,0.0032088542537949153
KY,71.345,81.486,6028.981,6886.133,22.411,26.653,1932.068,2291.762,1.356,2.702,115.761,230.182,95.112,110.841,8076.81,9408.08,0.002152679644880424,0.0018267557800192439,0.0021932252256267734,0.00185311528175137,10.141000000000005,857.152,0.002528241083655836
LA,173.381,194.045,18678.65,20881.097,14.769,14.639,1587.692,1581.07,0.086,0.106,9.154,11.307,188.236,208.79,20275.5,22473.47,0.00523139322319732,0.005659552062024487,0.005222791509053667,0.005619275716927438,20.663999999999987,2202.447,0.005151718149360432
MA,1207.528,1366.479,73602.393,91880.036,1368.369,1550.701,122787.105,141441.222,91.539,52.494,8461.589,4869.259,2667.44,2969.67,204851.09,238190.52,0.03643452163744017,0.022301214224426637,0.03677927758252028,0.024725676776714306,158.95100000000002,18277.642999999996,0.03962789157757407
MD,832.951,910.666,52630.826,63015.829,201.895,215.565,17911.153,19696.806,19.867,20.009,1890.698,1911.025,1054.71,1146.24,72432.68,84623.66,0.025132478279946656,0.01594691799537718,0.02451090547235882,0.016958080204395,77.71500000000003,10385.002999999997,0.019375037552146066
ME,87.636,124.294,8178.028,11097.517,496.442,739.618,46339.57,68808.183,0.026,0.026,2.48,2.48,584.104,863.938,54520.08,79908.18,0.0026442250102844045,0.002477907944669127,0.003345418061925412,0.0029864335095176955,36.658,2919.4889999999996,0.009139163952732036
MI,145.222,165.574,9103.353,10359.903,79.885,103.73,4946.362,6438.965,4.767,5.327,243.047,277.515,229.874,274.631,14292.76,17076.38,0.004381756862973228,0.002758277511623527,0.004456484224381211,0.002787935488141438,20.352000000000004,1256.550000000001,0.005073933787058826
MN,170.525,200.18,11607.77,13621.716,66.033,85.181,4470.198,5757.615,15.69,15.852,1026.64,1035.042,252.248,301.213,17104.61,20414.37,0.005145219657204209,0.003517105285393001,0.00538791725776167,0.0036657163146975444,29.655,2013.946,0.00739325405145585
MO,318.297,300.36,31454.769,29568.714,156.867,162.412,15371.884,15895.254,11.902,22.853,1151.446,2198.987,487.066,485.625,47978.1,47662.96,0.009603917204099859,0.009530662159976973,0.008084298269264139,0.007957185226474086,-17.937000000000012,-1886.0550000000003,-0.004471852905781948
MS,11.363,12.146,1208.988,1293.339,5.348,5.697,566.264,603.751,0.448,0.0,46.472,0.0,17.159,18.203,1821.72,1934.48,0.00034285372212175004,0.00036631825792350414,0.00032691399247064263,0.00034804821013260055,0.7830000000000013,84.35099999999989,0.00019520883231461606
MT,48.107,70.727,3530.642,5192.891,11.3,13.605,825.803,992.54,0.0,0.0,0.0,0.0,59.407,84.332,4356.45,6185.43,0.0014515237182179909,0.0010697696145797611,0.0019036428408917457,0.001397449870423524,22.620000000000005,1662.2489999999998,0.005639366266866679
NC,374.317,427.692,43398.585,49572.669,116.735,129.367,13452.381,14896.05,11.155,12.136,1300.646,1415.223,502.207,569.195,58151.61,65883.94,0.011294198425015146,0.013149587964103131,0.011511485202350905,0.013340414784480987,53.375,6174.084000000003,0.013306860057206406
ND,0.953,1.235,46.689,60.071,0.938,0.996,49.04,52.462,0.0,0.0,0.0,0.0,1.891,2.231,95.73,112.533,2.8754694814928082e-05,1.4146569812264872e-05,3.3240472641301145e-05,1.6165602391078787e-05,0.28200000000000014,13.381999999999998,7.03050966956854e-05
NE,24.16,26.342,2341.752,2553.814,7.14,7.771,698.471,758.866,2.145,2.233,201.321,209.544,33.445,36.346,3241.54,3522.22,0.0007289752641434023,0.0007095409657737558,0.0007090044779895989,0.0006872524463513257,2.1819999999999986,212.0619999999999,0.0005439919184042035
NH,156.039,184.79,12267.649,14999.115,74.487,78.462,6804.48,7215.503,7.985,8.047,750.749,756.704,238.511,271.299,19822.88,22971.32,0.004708136226890412,0.003717045835440068,0.004973689829462379,0.004036385765312143,28.751000000000005,2731.4660000000003,0.007167878847864009
NJ,1278.983,1398.32,82548.44,103429.579,905.955,826.428,81833.374,75373.81,126.163,147.838,12221.019,14320.1,2311.1,2372.59,176602.83,193123.49,0.03859052029221528,0.025011828682421085,0.037636289638691665,0.027833754217354005,119.33699999999999,20881.138999999996,0.02975177065380498
NM,304.772,333.106,45249.83,49723.055,75.508,80.314,11043.675,11855.106,0.557,0.557,83.935,83.935,380.837,413.977,56377.44,61662.1,0.009195829851138784,0.01371050738049899,0.008965668728464176,0.013380884899531256,28.334000000000003,4473.2249999999985,0.007063917055941665
NV,870.61,1031.077,108127.286,129691.558,65.728,69.461,8384.099,8929.151,34.332,34.73,4918.336,4975.686,970.67,1135.27,121429.72,143596.4,0.026268756403803294,0.03276211098994902,0.02775181118184199,0.03490106973593803,160.46699999999998,21564.27200000001,0.04000584379952675
NY,1425.066,1587.724,96508.984,117380.688,1597.118,1863.805,129053.057,151154.031,12.672,15.895,1015.2,1323.445,3034.86,3467.42,226577.24,269858.16,0.042998255950818784,0.029241814553037194,0.04273416695055644,0.03158811290971139,162.6579999999999,20871.703999999998,0.04055207949761271
OH,171.545,216.639,11020.149,13498.722,143.079,134.978,10136.841,9350.929,32.066,36.528,2107.644,2408.9,346.69,388.145,23264.63,25258.55,0.0051759959307731765,0.00333905860416931,0.005830917208533472,0.0036326176131529,45.09400000000002,2478.5730000000003,0.011242333441117865
OK,98.798,124.872,11585.121,14599.163,13.674,18.609,1607.975,2184.54,1.865,3.093,232.192,377.807,114.337,146.574,13425.29,17161.51,0.0029810139961440343,0.0035102427340494725,0.0033609751414287905,0.003928755377812072,26.073999999999998,3014.0420000000013,0.0065004790469620575
OR,290.596,346.15,15882.309,19279.865,98.366,117.939,5294.737,6426.825,15.477,17.109,863.521,941.491,404.439,481.198,22040.57,26648.18,0.008768099994164577,0.004812272549175666,0.009316752716426227,0.005188370956762435,55.553999999999974,3397.5560000000023,0.01385010404905001
PA,555.602,658.045,28747.569,36770.522,204.74,262.51,13756.857,17749.592,59.75,88.386,3583.729,5129.775,820.092,1008.94,46088.16,59649.89,0.016764077595554743,0.008710391993647357,0.017711519691696362,0.00989525125875073,102.44299999999998,8022.952999999998,0.02553994688225566
RI,146.181,151.582,11404.29,12932.655,303.6,69.905,28268.777,6411.682,5.604,5.85,527.205,550.348,455.385,227.337,40200.27,19894.69,0.0044106925946915026,0.003455451704776589,0.004079884472804623,0.0034802843067536257,5.400999999999982,1528.3649999999998,0.0013465171179198418
SC,290.325,306.137,31115.925,32733.929,67.338,71.659,8016.188,8530.512,22.626,25.39,2686.775,3014.568,380.289,403.186,41818.89,44279.01,0.008759923160696742,0.009427993859060974,0.008239788318210532,0.00880897073316248,15.812000000000012,1618.0040000000008,0.003942071592029
SD,2.653,3.992,259.199,393.813,1.467,1.61,143.299,157.354,0.0,0.0,0.0,0.0,4.12,5.602,402.498,551.166,8.004848409654167e-05,7.85362022911016e-05,0.00010744612695066733,0.00010597833188123905,1.339,134.61399999999998,0.0003338245548777401
TN,16.064,17.435,1555.65,1683.56,33.057,37.199,2951.718,3477.99,0.03,0.0,2.965,0.0,49.151,54.664,4510.33,5164.52,0.00048469613589402385,0.0004713553798207254,0.00046926934453529176,0.00045305990513766384,1.3709999999999987,127.90999999999985,0.00034180243819072534
TX,2431.226,2736.903,283043.836,313258.45,275.948,312.688,32419.868,36764.924,0.0,0.0,0.0,0.0,2707.17,3058.43,315463.7,351071.85,0.07335693772940015,0.08576108689209984,0.07366473626995547,0.0843004369553634,305.6769999999997,30214.614,0.07620798242073402
UT,438.927,492.617,46857.843,52489.512,79.586,90.202,8402.669,9604.052,6.966,8.491,751.935,916.549,525.479,591.31,56012.45,63010.11,0.013243664145888708,0.014197728528168238,0.013258965110234692,0.014125361333984099,53.69,5631.669000000002,0.013385392346068607
VA,441.285,522.85,47781.124,56715.975,149.714,165.593,16244.576,17966.404,4.133,4.298,438.034,455.51,595.132,692.741,64463.74,75137.89,0.013314811648904029,0.01447747877175533,0.014072697263566237,0.015262737445229225,81.565,8934.850999999995,0.020334876638239636
