Grid,Grid_name,CO₂,CH₄,N₂O,CO₂e,Annual NOₓ,Ozone Season NOₓ,SO₂,CO₂_nb,CH₄_nb,N₂O_nb,CO₂e_nb,Annual NOₓ_nb,Ozone Season NOₓ_nb,SO₂_nb,grid_loss,net_gen(MWh)
AKGD,ASCC Alaska Grid,899,0.086,0.012,904.5,5.6,6.2,0.31,"1,077.10",0.116,0.016,"1,084.50",6.3,7,0.463,4.10%,5100446.779
AKMS,ASCC Miscellaneous,519.4,0.026,0.004,521.4,8.1,7.9,0.707,"1,548.60",0.067,0.012,"1,553.60",24.4,23.6,2.11,4.10%,1585195.379
AZNM,WECC Southwest,740.8,0.041,0.006,743.4,0.4,0.4,0.108,"1,260.40",0.067,0.009,"1,264.70",0.7,0.6,0.184,4.10%,166728432.521
CAMX,WECC California,436.7,0.025,0.003,438.2,0.3,0.3,0.02,"1,034.00",0.051,0.007,"1,037.10",0.7,0.6,0.045,4.10%,216841822.331
ERCT,ERCOT All,738,0.043,0.006,740.8,0.4,0.5,0.321,"1,264.90",0.076,0.01,"1,269.80",0.9,0.9,0.667,4.20%,474437410.102
FRCC,FRCC All,801.9,0.042,0.005,804.5,0.2,0.2,0.131,"1,034.00",0.045,0.006,"1,036.80",0.3,0.3,0.159,4.20%,244024971.633
HIMS,HICC Miscellaneous,"1,122.10",0.146,0.022,"1,132.00",7.6,7.2,4.484,"1,596.40",0.17,0.027,"1,608.20",11.7,11.6,6.169,4.40%,2614532.997
HIOA,HICC Oahu,"1,489.40",0.134,0.021,"1,498.80",3.9,3.7,4.279,"1,753.40",0.159,0.025,"1,764.60",4.5,4.3,5.041,4.40%,6547822.736
MROE,MRO East,"1,402.00",0.116,0.017,"1,409.70",1,1,0.278,"1,713.80",0.161,0.023,"1,724.40",1.1,1.2,0.367,4.20%,24438902.707
MROW,MRO West,920,0.097,0.014,926.4,0.7,0.8,0.896,"1,776.60",0.18,0.026,"1,788.50",1.4,1.4,1.575,4.20%,240962889.778
NEWE,NPCC New England,537.2,0.063,0.008,541.1,0.3,0.3,0.115,885.2,0.067,0.009,889.3,0.4,0.3,0.137,4.20%,103105442.219
NWPP,WECC Northwest,631.7,0.054,0.008,635.2,0.6,0.5,0.268,"1,613.40",0.146,0.021,"1,623.00",1.6,1.6,0.752,4.10%,269265835.412
NYCW,NPCC NYC/Westchester,974.7,0.025,0.003,976.1,0.3,0.3,0.027,"1,008.90",0.02,0.002,"1,010.00",0.4,0.4,0.011,4.20%,30690409.059
NYLI,NPCC Long Island,"1,180.70",0.14,0.018,"1,189.30",0.8,0.8,0.331,"1,316.60",0.05,0.006,"1,319.60",0.8,0.7,0.126,4.20%,9823414.808
NYUP,NPCC Upstate NY,241,0.011,0.001,241.7,0.1,0.1,0.027,909.1,0.041,0.005,911.6,0.4,0.4,0.103,4.20%,85672139.273
PRMS,Puerto Rico Miscellaneous,"1,543.00",0.077,0.012,"1,548.40",3.9,4.1,3.695,"1,636.70",0.072,0.012,"1,642.00",4.4,4.7,4.735,,17502529.122
RFCE,RFC East,594.7,0.036,0.005,597,0.2,0.2,0.211,"1,175.50",0.077,0.01,"1,180.40",0.6,0.6,0.618,4.20%,285910488.257
RFCM,RFC Michigan,962.1,0.082,0.011,967.4,0.5,0.5,0.559,"1,508.10",0.144,0.02,"1,517.60",0.9,0.8,1.02,4.20%,92442123.603
RFCW,RFC West,911.3,0.071,0.01,916,0.4,0.4,0.412,"1,757.30",0.161,0.023,"1,767.90",1,0.8,0.877,4.20%,524411419.511
RMPA,WECC Rockies,"1,036.00",0.09,0.013,"1,042.00",0.5,0.5,0.329,"1,620.60",0.124,0.018,"1,628.80",0.9,0.9,0.469,4.10%,67712670.366
SPNO,SPP North,861.9,0.087,0.012,867.7,0.5,0.6,0.137,"1,892.10",0.188,0.027,"1,904.50",1.1,1,0.296,4.20%,73465291.056
SPSO,SPP South,891.1,0.055,0.008,894.7,0.7,0.8,0.673,"1,508.40",0.095,0.013,"1,514.60",1.4,1.3,1.208,4.20%,154693645.65
SRMV,SERC Mississippi Valley,739.4,0.032,0.004,741.4,0.5,0.5,0.35,"1,145.50",0.061,0.008,"1,149.40",0.9,1,0.857,4.20%,176431971.826
SRMW,SERC Midwest,"1,238.30",0.132,0.019,"1,247.00",0.8,0.6,1.634,"1,818.60",0.19,0.027,"1,831.10",1.7,1.1,2.157,4.20%,105521957.282
SRSO,SERC South,840.9,0.055,0.008,844.6,0.3,0.3,0.162,"1,386.00",0.096,0.014,"1,392.30",0.7,0.6,0.298,4.20%,256582130.486
SRTV,SERC Tennessee Valley,895.7,0.079,0.011,900.9,0.4,0.4,0.426,"1,665.80",0.154,0.022,"1,675.90",0.7,0.6,0.828,4.20%,209881959.021
SRVC,SERC Virginia/Carolina,590.2,0.045,0.006,593.1,0.3,0.3,0.151,"1,286.80",0.1,0.014,"1,293.30",0.7,0.7,0.376,4.20%,321205537.267
U.S.,,771.5,0.057,0.008,775.2,0.5,0.5,0.361,"1,393.70",0.104,0.015,"1,400.50",0.9,0.9,0.694,4.20%,4167601391.182
