State,Data
AL,"{'1000-9999': 0.34243124951367954, '10000-14999': 0.12730456151263397, '15000-19999': 0.08758290951261885, '20000-24999': 0.08758290951261885, '25000-29999': 0.07575021234414607, '30000-34999': 0.06221185561775978, '35000-39999': 0.05266247307727757, '40000-44999': 0.04566194972534772, '45000-49999': 0.042536572276573446, '50000-59999': 0.03324827302342637, '60000-74999': 0.029028121132203034, '75000-99999': 0.022496504377113095, '100000-124999': 0.01962859225793112, '125000-149999': 0.016043046295273224, '150000-199999': 0.014885426896642243, '200000-10000000': 0.0009834844012447993}"
AK,"{'1000-9999': 0.39264992384192576, '10000-14999': 0.11101623801411664, '15000-19999': 0.08441003792246424, '20000-24999': 0.08441003792246424, '25000-29999': 0.07575953777625162, '30000-34999': 0.062074627720336346, '35000-39999': 0.053749038060410974, '40000-44999': 0.04554352907266383, '45000-49999': 0.04464902683851586, '50000-59999': 0.034662126867874635, '60000-74999': 0.030749451528223705, '75000-99999': 0.023814390151863016, '100000-124999': 0.019962132003430666, '125000-149999': 0.016348759526734157, '150000-199999': 0.014408655741086707, '200000-10000000': 0.0011505102077922849}"
AZ,"{'1000-9999': 0.22133827382498908, '10000-14999': 0.06547173838486713, '15000-19999': 0.04722794237284887, '20000-24999': 0.04722794237284887, '25000-29999': 0.0435921470954874, '30000-34999': 0.03598418354896251, '35000-39999': 0.030575914372927768, '40000-44999': 0.025547407754965803, '45000-49999': 0.025209710156880078, '50000-59999': 0.01926845231772701, '60000-74999': 0.01744323707047574, '75000-99999': 0.01329978635367963, '100000-124999': 0.0113580988710744, '125000-149999': 0.009371744132670197, '150000-199999': 0.00808652791894387, '200000-10000000': 0.0005901543632111865}"
AR,"{'1000-9999': 0.34242869776196355, '10000-14999': 0.1069656135601147, '15000-19999': 0.07541451965856144, '20000-24999': 0.07541451965856144, '25000-29999': 0.06402579786870587, '30000-34999': 0.05246342642703235, '35000-39999': 0.04373093353900311, '40000-44999': 0.0384373045607239, '45000-49999': 0.03597715410822039, '50000-59999': 0.028257390672477734, '60000-74999': 0.024468633482881502, '75000-99999': 0.018801781477766368, '100000-124999': 0.01653872642096152, '125000-149999': 0.013526815738005899, '150000-199999': 0.012446886959955739, '200000-10000000': 0.0010635125845486414}"
CA,"{'1000-9999': 0.4543212172986754, '10000-14999': 0.12943091476815055, '15000-19999': 0.09322830707319134, '20000-24999': 0.09322830707319134, '25000-29999': 0.08646239541636412, '30000-34999': 0.07084524460158867, '35000-39999': 0.061407242278753695, '40000-44999': 0.0523812270578342, '45000-49999': 0.04998280663229738, '50000-59999': 0.03903213389784652, '60000-74999': 0.034301783692514194, '75000-99999': 0.026550433542638, '100000-124999': 0.022467214672733094, '125000-149999': 0.01833346228852194, '150000-199999': 0.016354100973425864, '200000-10000000': 0.0011864036146321192}"
CO,"{'1000-9999': 0.2497440070037475, '10000-14999': 0.07295579679938075, '15000-19999': 0.05161463448717931, '20000-24999': 0.05161463448717931, '25000-29999': 0.04742354932876174, '30000-34999': 0.03850969156337836, '35000-39999': 0.03308309134831862, '40000-44999': 0.028346368928542563, '45000-49999': 0.02740663097538736, '50000-59999': 0.02112699797161333, '60000-74999': 0.018956480214023467, '75000-99999': 0.014521207172423637, '100000-124999': 0.01229714566518861, '125000-149999': 0.010037193910562384, '150000-199999': 0.008686842671629348, '200000-10000000': 0.0007036782809014872}"
CT,"{'1000-9999': 0.39509697435763497, '10000-14999': 0.12045258198805155, '15000-19999': 0.08648815580490296, '20000-24999': 0.08648815580490296, '25000-29999': 0.07194351474196867, '30000-34999': 0.05809276361211636, '35000-39999': 0.050049335653557785, '40000-44999': 0.04294485556829936, '45000-49999': 0.04114460765971755, '50000-59999': 0.03167073727650984, '60000-74999': 0.029653700904565716, '75000-99999': 0.02329712371626382, '100000-124999': 0.01942487135536833, '125000-149999': 0.01606431605383574, '150000-199999': 0.014822371416795899, '200000-10000000': 0.0008957410415004016}"
DE,"{'1000-9999': 0.34333282984806984, '10000-14999': 0.12494648858500765, '15000-19999': 0.0865352515959015, '20000-24999': 0.0865352515959015, '25000-29999': 0.0731453423489687, '30000-34999': 0.05959130597352021, '35000-39999': 0.049994097520445174, '40000-44999': 0.04395243150067135, '45000-49999': 0.04109811470264705, '50000-59999': 0.031896538575485404, '60000-74999': 0.02778507914240912, '75000-99999': 0.02154553158953666, '100000-124999': 0.018611077275398548, '125000-149999': 0.015360133847276228, '150000-199999': 0.01446575111930345, '200000-10000000': 0.0010128643540706305}"
FL,"{'1000-9999': 0.4142588613596715, '10000-14999': 0.12723629078683063, '15000-19999': 0.0898545955143747, '20000-24999': 0.0898545955143747, '25000-29999': 0.07478548660592463, '30000-34999': 0.06019249258681396, '35000-39999': 0.05093627511234013, '40000-44999': 0.043613389635830765, '45000-49999': 0.041619588009491504, '50000-59999': 0.032121514934007805, '60000-74999': 0.028299409996524114, '75000-99999': 0.02162125394352457, '100000-124999': 0.019168579056721403, '125000-149999': 0.015531233431639603, '150000-199999': 0.014780466379435689, '200000-10000000': 0.0012553651364873685}"
GA,"{'1000-9999': 0.38857671297527274, '10000-14999': 0.12005835563104915, '15000-19999': 0.08514483950943297, '20000-24999': 0.08514483950943297, '25000-29999': 0.0743837027271093, '30000-34999': 0.06002152857370923, '35000-39999': 0.05056501358026533, '40000-44999': 0.0441112803894499, '45000-49999': 0.041552299593756364, '50000-59999': 0.03187520822010147, '60000-74999': 0.027894069497390605, '75000-99999': 0.021782397758734116, '100000-124999': 0.01878402812418363, '125000-149999': 0.015233591013938523, '150000-199999': 0.014206071337653225, '200000-10000000': 0.0009347898464272829}"
