State,Data
AL,"{'1000-9999': 0.6949552247770624, '10000-14999': 0.6519748666071441, '15000-19999': 0.652117913495086, '20000-24999': 0.652117913495086, '25000-29999': 0.5996178282631457, '30000-34999': 0.6002861747251543, '35000-39999': 0.6011775494591771, '40000-44999': 0.6022765676313574, '45000-49999': 0.5654308902329911, '50000-59999': 0.564419512894838, '60000-74999': 0.5258974655791303, '75000-99999': 0.526408876015844, '100000-124999': 0.465043081894697, '125000-149999': 0.4673856894207859, '150000-199999': 0.39282686073914413, '200000-10000000': 0.39384028042219327}"
AK,"{'1000-9999': 0.7871044631277541, '10000-14999': 0.7766320887538032, '15000-19999': 0.7694495459053813, '20000-24999': 0.7694495459053813, '25000-29999': 0.6461700476143133, '30000-34999': 0.6491260145847024, '35000-39999': 0.6505987424073059, '40000-44999': 0.6515689592099748, '45000-49999': 0.5939564211374853, '50000-59999': 0.5944880912504953, '60000-74999': 0.5441035272904798, '75000-99999': 0.5444925867001885, '100000-124999': 0.5016103603181085, '125000-149999': 0.5003514057597213, '150000-199999': 0.450631314118479, '200000-10000000': 0.4522436886378208}"
AZ,"{'1000-9999': 1.429624015696381, '10000-14999': 1.4286128233045186, '15000-19999': 1.4132334798465873, '20000-24999': 1.4132334798465873, '25000-29999': 1.2076499523777438, '30000-34999': 1.205526046181156, '35000-39999': 1.20315346136238, '40000-44999': 1.2229131521557597, '45000-49999': 1.1074794595764603, '50000-59999': 1.1180030467467952, '60000-74999': 1.0185201799511618, '75000-99999': 1.0171241607729764, '100000-124999': 0.9382536224852782, '125000-149999': 0.9287173551610518, '150000-199999': 0.8439996457010093, '200000-10000000': 0.844029274258765}"
AR,"{'1000-9999': 0.6941610130995336, '10000-14999': 0.6441308050556716, '15000-19999': 0.6412771691158133, '20000-24999': 0.6412771691158133, '25000-29999': 0.5962882666286645, '30000-34999': 0.5990660119493179, '35000-39999': 0.5996890940046119, '40000-44999': 0.5948341380564017, '45000-49999': 0.5594064272310525, '50000-59999': 0.5588244154783074, '60000-74999': 0.5200226197991171, '75000-99999': 0.5190104013733949, '100000-124999': 0.4633059138121502, '125000-149999': 0.46127870483158895, '150000-199999': 0.3882240735035284, '200000-10000000': 0.39226481047295525}"
CA,"{'1000-9999': 1.3764029430819917, '10000-14999': 1.355173549390134, '15000-19999': 1.3625841481234813, '20000-24999': 1.3625841481234813, '25000-29999': 1.1412802724231441, '30000-34999': 1.1439870539111985, '35000-39999': 1.1422751756127831, '40000-44999': 1.1411456606887709, '45000-49999': 1.0505123728248675, '50000-59999': 1.0566681502429596, '60000-74999': 0.9644173726865588, '75000-99999': 0.9623975096899041, '100000-124999': 0.8839785493936663, '125000-149999': 0.8886427946535242, '150000-199999': 0.7982484881974178, '200000-10000000': 0.7975105891344655}"
CO,"{'1000-9999': 1.2679530711337539, '10000-14999': 1.3212658991225352, '15000-19999': 1.3117388380202997, '20000-24999': 1.3117388380202997, '25000-29999': 1.0854899150078052, '30000-34999': 1.0992190270797488, '35000-39999': 1.095207360205857, '40000-44999': 1.0933855339011826, '45000-49999': 1.0020506534468414, '50000-59999': 1.0088420793207697, '60000-74999': 0.9214493611868447, '75000-99999': 0.9216234682132048, '100000-124999': 0.8483718186378257, '125000-149999': 0.8498040588100686, '150000-199999': 0.7648691477229504, '200000-10000000': 0.7653901069907825}"
CT,"{'1000-9999': 1.046985171019196, '10000-14999': 1.0728128032972915, '15000-19999': 1.0914496586923168, '20000-24999': 1.0914496586923168, '25000-29999': 1.0120449568479826, '30000-34999': 1.0099974885617324, '35000-39999': 1.0148576543042418, '40000-44999': 1.0007894256125172, '45000-49999': 0.934244317035768, '50000-59999': 0.9336493151482957, '60000-74999': 0.8060913396400611, '75000-99999': 0.8047814068826982, '100000-124999': 0.7360146123400371, '125000-149999': 0.7320592905006739, '150000-199999': 0.6322390890122577, '200000-10000000': 0.6306608631049949}"
DE,"{'1000-9999': 0.6697275787490733, '10000-14999': 0.6141973423886045, '15000-19999': 0.612975199461743, '20000-24999': 0.612975199461743, '25000-29999': 0.5703441164145651, '30000-34999': 0.5705094024008086, '35000-39999': 0.572644868030009, '40000-44999': 0.5708194432161249, '45000-49999': 0.5328906880241976, '50000-59999': 0.5324368686599726, '60000-74999': 0.4966060858289278, '75000-99999': 0.4977388156885401, '100000-124999': 0.4414675658896605, '125000-149999': 0.4414476676142605, '150000-199999': 0.37219206992877985, '200000-10000000': 0.37283530861230124}"
FL,"{'1000-9999': 0.7476260514435509, '10000-14999': 0.694295489651599, '15000-19999': 0.6956569681893394, '20000-24999': 0.6956569681893394, '25000-29999': 0.6455277775543421, '30000-34999': 0.6439027356074821, '35000-39999': 0.6434979378993073, '40000-44999': 0.645678467417637, '45000-49999': 0.6013590455700013, '50000-59999': 0.6059708902631253, '60000-74999': 0.5607864122776216, '75000-99999': 0.5627965793155432, '100000-124999': 0.4982971689269809, '125000-149999': 0.49968115007325625, '150000-199999': 0.4216748852990752, '200000-10000000': 0.41971210322759317}"
GA,"{'1000-9999': 0.6926638522752446, '10000-14999': 0.651828172524486, '15000-19999': 0.6577800898082815, '20000-24999': 0.6577800898082815, '25000-29999': 0.6059725350861468, '30000-34999': 0.6063762559206132, '35000-39999': 0.6043510090959064, '40000-44999': 0.6036859333912864, '45000-49999': 0.5664075185144561, '50000-59999': 0.566399632588639, '60000-74999': 0.5281840680528792, '75000-99999': 0.5257968451878826, '100000-124999': 0.4689085900799335, '125000-149999': 0.47041744324144114, '150000-199999': 0.39425616418920567, '200000-10000000': 0.3940565139074547}"
