panels_1_years_-2000_incentive,panels_2_years_-2000_incentive,panels_3_years_-2000_incentive,panels_4_years_-2000_incentive,panels_5_years_-2000_incentive,zip
0,0,0,0,0,10001
0,0,0,0,0,10002
0,0,0,0,0,10003
0,0,0,0,0,10004
0,0,0,0,0,10005
0,0,0,0,0,10006
0,0,0,0,0,10007
0,0,0,0,0,10009
0,0,0,228,4221,1001
0,0,0,0,0,10010
0,0,0,0,6,10011
0,0,0,0,0,10012
0,0,0,0,0,10013
0,0,0,0,0,10014
0,0,0,0,0,10016
0,0,0,0,0,10017
0,0,0,0,0,10018
0,0,0,0,0,10019
0,0,43,236,1844,1002
0,0,0,0,0,10021
0,0,0,0,0,10022
0,0,0,0,0,10023
0,0,0,0,0,10024
0,0,0,0,0,10025
0,0,0,0,1,10026
0,0,0,0,0,10027
0,0,0,0,0,10028
0,0,0,0,0,10029
0,0,0,0,0,10030
0,0,0,0,0,10031
0,0,0,0,0,10032
0,0,0,0,0,10033
0,0,0,0,0,10034
0,0,0,0,0,10035
0,0,0,0,0,10036
0,0,0,0,0,10037
0,0,0,0,0,10038
0,0,0,0,0,10039
0,0,0,0,0,10040
0,0,0,0,0,10044
0,0,0,0,0,10065
0,0,0,0,0,10069
0,0,0,0,2,1007
0,0,0,0,0,10075
0,0,0,0,0,10128
0,0,119,352,5178,1013
0,0,51,375,7745,1020
0,0,0,0,793,1022
0,0,47,180,4188,1027
0,0,52,494,4525,1028
0,0,0,0,0,10280
0,0,0,0,0,10282
0,0,14,287,3282,1030
0,0,0,0,0,10301
0,0,0,0,0,10302
0,0,0,0,0,10303
0,0,0,0,0,10304
0,0,0,0,0,10305
0,0,0,0,0,10306
0,0,0,0,0,10307
0,0,0,0,0,10308
0,0,0,0,0,10309
0,0,0,0,0,10310
0,0,0,0,0,10312
0,0,0,0,0,10314
0,1,19,159,1730,1033
0,0,0,47,475,1035
0,0,0,2,38,1036
0,0,161,461,6936,1040
0,0,0,0,0,10451
0,0,0,0,0,10452
0,0,0,0,0,10453
0,0,0,0,0,10454
0,0,0,0,0,10455
0,0,0,0,0,10456
0,0,0,0,0,10457
0,0,0,0,0,10458
0,0,0,0,0,10459
0,0,0,0,0,10460
0,0,0,0,0,10461
0,0,0,0,0,10462
0,0,0,0,0,10463
0,0,0,0,0,10464
0,0,0,0,5,10465
0,0,0,0,0,10466
0,0,0,0,0,10467
0,0,0,0,0,10468
0,0,0,0,0,10469
0,0,0,0,0,10470
0,0,0,0,0,10471
0,0,0,0,0,10472
0,0,0,0,0,10473
0,0,0,0,0,10474
0,0,0,0,0,10475
0,0,0,0,0,10501
0,0,0,0,0,10502
0,0,0,0,0,10504
0,0,0,0,0,10505
0,0,0,0,0,10506
0,0,0,0,0,10507
0,0,0,0,0,10510
0,0,0,0,0,10511
0,0,0,0,0,10514
0,0,0,0,0,10516
0,0,0,0,0,10517
0,0,0,0,0,10520
0,0,0,0,0,10522
0,0,0,0,0,10523
0,0,0,0,0,10524
0,0,0,0,0,10526
0,0,0,0,0,10527
0,0,0,0,0,10528
0,0,0,0,0,10530
0,0,0,0,0,10532
0,0,0,0,1,10533
0,0,0,0,0,10536
0,0,0,0,0,10537
0,0,0,0,0,10538
0,0,0,0,0,10541
0,0,0,0,0,10543
0,0,0,0,0,10546
0,0,0,0,0,10547
0,0,0,0,0,10548
0,0,0,0,0,10549
0,0,0,0,34,10550
0,0,0,0,0,10552
0,0,0,0,0,10553
0,0,82,402,4353,1056
0,0,0,0,0,10560
0,0,0,0,0,10562
0,0,0,0,0,10566
0,0,0,0,0,10567
0,0,0,0,0,10570
0,0,0,0,0,10573
0,0,0,0,0,10576
0,0,0,0,0,10577
0,0,0,0,0,10578
0,0,0,0,0,10579
0,0,0,0,0,10580
0,0,0,0,0,10583
0,0,0,0,0,10588
0,0,0,0,0,10589
0,0,0,0,0,10591
0,0,0,0,0,10594
0,0,0,0,0,10595
0,0,0,0,0,10596
0,0,0,0,0,10598
0,0,0,0,0,10601
0,0,0,0,0,10603
0,0,0,0,0,10604
0,0,0,0,0,10605
0,0,0,0,0,10606
0,0,0,0,0,10607
0,0,0,1,13,1068
0,0,0,0,0,10701
0,0,0,0,8,10703
0,0,0,0,0,10704
0,0,0,0,0,10705
0,0,0,0,0,10706
0,0,0,0,0,10707
0,0,0,0,9,10708
0,0,0,0,0,10709
0,0,0,0,0,10710
0,0,0,90,1870,1073
0,0,40,398,4308,1075
0,0,9,133,2116,1077
0,0,0,0,0,10801
0,0,0,0,0,10803
0,0,0,0,0,10804
0,0,59,545,8871,1085
0,0,21,527,6566,1089
0,0,0,0,0,10901
0,0,0,0,0,10913
0,0,0,0,0,10920
0,0,0,0,0,10923
0,0,0,0,0,10927
0,0,0,0,0,10931
0,0,13,120,1028,1095
0,0,0,0,0,10952
0,0,0,0,0,10954
0,0,0,0,0,10956
0,0,0,0,0,10960
0,0,0,0,0,10962
0,0,0,0,0,10964
0,0,0,0,0,10965
0,0,0,0,0,10968
0,0,0,0,0,10970
0,0,0,0,0,10974
0,0,0,0,0,10976
0,0,0,0,0,10977
0,0,0,0,0,10980
0,0,0,0,0,10983
0,0,0,0,0,10984
0,0,0,0,0,10986
0,0,0,0,7,10989
0,0,0,0,0,10993
0,0,0,0,3,10994
0,0,0,0,0,11001
0,0,0,0,0,11003
0,0,0,0,0,11004
0,0,0,0,0,11005
0,0,0,0,0,11010
0,0,0,0,0,11020
0,0,0,0,0,11021
0,0,0,0,0,11023
0,0,0,0,1,11024
0,0,5,20,164,1103
0,0,0,0,0,11030
0,0,42,317,4837,1104
0,0,0,11,22,11040
0,0,46,110,1202,1105
0,0,0,0,0,11050
0,0,10,486,3074,1106
0,0,31,128,1198,1107
0,0,105,273,4273,1108
0,0,66,265,4648,1109
