zip,panels_1_years_3500_incentive,panels_2_years_3500_incentive,panels_3_years_3500_incentive,panels_4_years_3500_incentive,panels_5_years_3500_incentive
99501,0,0,0,0,0
99502,0,0,0,0,0
99503,0,0,0,0,0
99504,0,0,0,15,23
99506,0,0,3,7,7
99507,0,0,0,0,0
99508,0,0,0,0,0
99515,0,0,0,11,22
99516,0,0,0,0,0
99517,0,0,0,0,0
99518,0,0,0,0,0
99701,0,0,0,0,0
99703,0,0,0,0,0
99709,0,0,0,0,24
99712,0,0,0,0,0
35004,0,0,0,0,0
35005,15,15,15,15,15
35007,79,79,79,79,79
35014,0,0,0,0,0
35020,152,152,152,152,152
35022,47,47,47,47,47
35023,42,42,42,42,42
35040,20,20,20,20,20
35043,0,0,0,0,0
35044,0,0,0,0,0
35051,0,0,0,0,0
35055,137,137,137,137,137
35057,4,4,4,4,4
35058,0,0,0,0,0
35061,3,3,3,3,3
35064,25,25,25,25,25
35068,2,2,2,2,2
35071,0,0,0,0,0
35072,0,0,0,0,0
35073,0,0,0,0,0
35077,4,4,4,4,4
35080,0,0,0,0,0
35094,12,12,12,12,12
35096,2,2,2,2,2
35111,12,12,12,12,12
35114,8,8,8,8,8
35115,3,3,3,3,3
35116,0,0,0,0,0
35117,36,36,36,36,36
35118,0,0,0,0,0
35124,54,54,54,54,54
35126,14,14,14,14,14
35127,14,14,14,14,14
35147,7,7,7,7,7
35150,76,76,76,76,76
35151,0,0,0,0,0
35160,26,26,26,26,26
35173,0,0,0,0,0
35176,1,1,1,1,1
35179,2,2,2,2,2
35184,0,0,0,0,0
35188,0,0,0,0,0
35203,15,15,15,15,15
35204,123,123,123,123,123
35205,43,43,43,43,43
35206,86,86,86,86,86
35207,112,112,112,112,112
35208,73,73,73,73,73
35209,19,19,19,19,19
35210,32,32,32,32,32
35211,211,211,211,211,211
35212,169,169,169,169,169
35213,44,44,44,44,44
35214,43,43,43,43,43
35215,298,298,298,298,298
35216,47,47,47,47,47
35217,145,145,145,145,145
35218,85,85,85,85,85
35221,52,52,52,52,52
35222,8,8,8,8,8
35223,18,18,18,18,18
35224,39,39,39,39,39
35226,69,69,69,69,69
35228,91,91,91,91,91
35233,37,37,37,37,37
35234,51,51,51,51,51
35235,25,25,25,25,25
35242,142,142,142,142,142
35243,0,0,0,0,0
35244,27,27,27,27,27
35401,457,457,457,457,457
35404,179,179,179,179,179
35405,193,193,193,193,193
35406,67,67,67,67,67
35444,0,0,0,0,0
35452,0,0,0,0,0
35453,14,14,14,14,14
35456,7,7,7,7,7
35463,0,0,0,0,0
35473,22,22,22,22,22
35474,0,0,0,0,0
35475,7,7,7,7,7
35476,75,75,75,75,75
35490,1,1,1,1,1
35601,63,63,63,63,63
35603,0,0,0,0,0
35611,52,52,52,52,52
35613,0,0,0,0,0
35614,0,0,0,0,0
35616,0,0,0,0,0
35630,92,92,92,92,92
35633,0,0,0,0,0
35634,0,0,0,0,0
35645,0,0,0,0,0
35660,24,24,24,24,24
35661,71,71,71,71,71
35671,0,0,0,0,0
35673,2,2,2,2,2
35674,0,0,0,0,0
35741,0,0,0,0,0
35748,0,0,0,0,0
35749,9,9,9,9,9
35750,0,0,0,0,0
35754,1,1,1,1,1
35756,6,6,6,6,6
35757,53,53,53,53,53
35758,154,154,154,154,154
35759,9,9,9,9,9
35761,10,10,10,10,10
35763,0,0,0,0,0
35773,2,2,2,2,2
35775,1,1,1,1,1
35801,39,39,39,39,39
35802,0,0,0,0,0
35803,40,40,40,40,40
35805,34,34,34,34,34
35806,0,0,0,0,0
