zip,year,incentive,panels
10001,1,0,0
10002,1,0,0
10003,1,0,0
10004,1,0,0
10005,1,0,0
10006,1,0,0
10007,1,0,0
10009,1,0,0
1001,1,0,0
10010,1,0,0
10011,1,0,0
10012,1,0,0
10013,1,0,0
10014,1,0,0
10016,1,0,0
10017,1,0,0
10018,1,0,0
10019,1,0,0
1002,1,0,0
10021,1,0,0
10022,1,0,0
10023,1,0,0
10024,1,0,0
10025,1,0,0
10026,1,0,0
10027,1,0,0
10028,1,0,0
10029,1,0,0
10030,1,0,0
10031,1,0,0
10032,1,0,0
10033,1,0,0
10034,1,0,0
10035,1,0,0
10036,1,0,0
10037,1,0,0
10038,1,0,0
10039,1,0,0
10040,1,0,0
10044,1,0,0
10065,1,0,0
10069,1,0,0
1007,1,0,0
10075,1,0,0
10128,1,0,0
1013,1,0,0
1020,1,0,0
1022,1,0,0
1027,1,0,0
1028,1,0,0
10280,1,0,0
10282,1,0,0
1030,1,0,0
10301,1,0,0
10302,1,0,0
10303,1,0,0
10304,1,0,0
10305,1,0,0
10306,1,0,0
10307,1,0,0
10308,1,0,0
10309,1,0,0
10310,1,0,0
10312,1,0,0
10314,1,0,0
1033,1,0,0
1035,1,0,0
1036,1,0,0
1040,1,0,0
10451,1,0,0
10452,1,0,0
10453,1,0,0
10454,1,0,0
10455,1,0,0
10456,1,0,0
10457,1,0,0
10458,1,0,0
10459,1,0,0
10460,1,0,0
10461,1,0,0
10462,1,0,0
10463,1,0,0
10464,1,0,0
10465,1,0,0
10466,1,0,0
10467,1,0,0
10468,1,0,0
10469,1,0,0
10470,1,0,0
10471,1,0,0
10472,1,0,0
10473,1,0,0
10474,1,0,0
10475,1,0,0
10501,1,0,0
10502,1,0,0
10504,1,0,0
10505,1,0,0
10506,1,0,0
10507,1,0,0
10510,1,0,0
10511,1,0,0
10514,1,0,0
10516,1,0,0
10517,1,0,0
10520,1,0,0
10522,1,0,0
10523,1,0,0
10524,1,0,0
10526,1,0,0
10527,1,0,0
10528,1,0,0
10530,1,0,0
10532,1,0,0
10533,1,0,0
10536,1,0,0
10537,1,0,0
10538,1,0,0
10541,1,0,0
10543,1,0,0
10546,1,0,0
10547,1,0,0
10548,1,0,0
10549,1,0,0
10550,1,0,0
10552,1,0,0
10553,1,0,0
1056,1,0,0
10560,1,0,0
10562,1,0,0
10566,1,0,0
10567,1,0,0
10570,1,0,0
10573,1,0,0
10576,1,0,0
10577,1,0,0
10578,1,0,0
10579,1,0,0
10580,1,0,0
10583,1,0,0
10588,1,0,0
10589,1,0,0
10591,1,0,0
10594,1,0,0
10595,1,0,0
10596,1,0,0
10598,1,0,0
10601,1,0,0
10603,1,0,0
10604,1,0,0
10605,1,0,0
10606,1,0,0
10607,1,0,0
1068,1,0,0
10701,1,0,0
10703,1,0,0
10704,1,0,0
10705,1,0,0
10706,1,0,0
10707,1,0,0
10708,1,0,0
10709,1,0,0
10710,1,0,0
1073,1,0,0
1075,1,0,0
1077,1,0,0
10801,1,0,0
10803,1,0,0
10804,1,0,0
1085,1,0,0
1089,1,0,0
10901,1,0,0
10913,1,0,0
10920,1,0,0
10923,1,0,0
10927,1,0,0
10931,1,0,0
1095,1,0,0
10952,1,0,0
10954,1,0,0
10956,1,0,0
10960,1,0,0
10962,1,0,0
10964,1,0,0
10965,1,0,0
10968,1,0,0
10970,1,0,0
10974,1,0,0
10976,1,0,0
10977,1,0,0
10980,1,0,0
10983,1,0,0
10984,1,0,0
10986,1,0,0
10989,1,0,0
10993,1,0,0
10994,1,0,0
11001,1,0,0
11003,1,0,0
11004,1,0,0
11005,1,0,0
11010,1,0,0
11020,1,0,0
11021,1,0,0
11023,1,0,0
11024,1,0,0
1103,1,0,0
11030,1,0,0
1104,1,0,0
11040,1,0,0
1105,1,0,0
11050,1,0,0
1106,1,0,0
1107,1,0,0
1108,1,0,0
1109,1,0,0
11096,1,0,0
11101,1,0,0
11102,1,0,0
11103,1,0,0
11104,1,0,0
11105,1,0,0
11106,1,0,0
11109,1,0,0
1118,1,0,0
1119,1,0,0
11201,1,0,0
11203,1,0,0
11204,1,0,0
11205,1,0,0
11206,1,0,0
11207,1,0,0
11208,1,0,0
11209,1,0,0
11210,1,0,0
11211,1,0,0
11212,1,0,0
11213,1,0,0
11214,1,0,0
11215,1,0,0
11216,1,0,0
11217,1,0,0
11218,1,0,0
11219,1,0,0
11220,1,0,0
11221,1,0,0
11222,1,0,0
11223,1,0,0
11224,1,0,0
11225,1,0,0
11226,1,0,0
11228,1,0,0
11229,1,0,0
11230,1,0,0
11231,1,0,0
11232,1,0,0
11233,1,0,0
11234,1,0,0
11235,1,0,0
11236,1,0,0
11237,1,0,0
11238,1,0,0
11239,1,0,0
11249,1,0,0
1128,1,0,0
1129,1,0,0
11354,1,0,0
11355,1,0,0
11356,1,0,0
11357,1,0,0
11358,1,0,0
11360,1,0,0
11361,1,0,0
11362,1,0,0
11363,1,0,0
11364,1,0,0
11365,1,0,0
11366,1,0,0
11367,1,0,0
11368,1,0,0
11369,1,0,0
11370,1,0,0
11372,1,0,0
11373,1,0,0
11374,1,0,0
11375,1,0,0
11377,1,0,0
11378,1,0,0
11379,1,0,0
11385,1,0,0
11411,1,0,0
11412,1,0,0
11413,1,0,0
11414,1,0,0
11415,1,0,0
11416,1,0,0
11417,1,0,0
11418,1,0,0
11419,1,0,0
11420,1,0,0
11421,1,0,0
11422,1,0,0
11423,1,0,0
11426,1,0,0
11427,1,0,0
11428,1,0,0
11429,1,0,0
11432,1,0,0
11433,1,0,0
11434,1,0,0
11435,1,0,0
11436,1,0,0
11501,1,0,0
11507,1,0,0
11509,1,0,0
1151,1,0,0
11510,1,0,0
11514,1,0,0
11516,1,0,0
11518,1,0,0
11520,1,0,0
11530,1,0,0
11542,1,0,0
11545,1,0,0
11548,1,0,0
11550,1,0,0
11552,1,0,0
11553,1,0,0
11554,1,0,0
11557,1,0,0
11558,1,0,0
11559,1,0,0
11560,1,0,0
11561,1,0,0
11563,1,0,0
11565,1,0,0
11566,1,0,0
11568,1,0,0
11569,1,0,0
11570,1,0,0
11572,1,0,0
11575,1,0,0
11576,1,0,0
11577,1,0,0
11579,1,0,0
11580,1,0,0
11581,1,0,0
11590,1,0,0
11596,1,0,0
11598,1,0,0
11691,1,0,0
11692,1,0,0
11693,1,0,0
11694,1,0,0
11701,1,0,0
11702,1,0,0
11703,1,0,0
11704,1,0,0
11705,1,0,0
11706,1,0,0
11710,1,0,0
11713,1,0,0
11714,1,0,0
11715,1,0,0
11716,1,0,0
11717,1,0,0
11718,1,0,0
11719,1,0,0
11720,1,0,0
11721,1,0,0
11722,1,0,0
11724,1,0,0
11725,1,0,0
11726,1,0,0
11727,1,0,0
11729,1,0,0
11730,1,0,0
11731,1,0,0
11732,1,0,0
11733,1,0,0
11735,1,0,0
11738,1,0,0
11739,1,0,0
11740,1,0,0
11741,1,0,0
11742,1,0,0
11743,1,0,0
11746,1,0,0
11747,1,0,0
11749,1,0,0
11751,1,0,0
11752,1,0,0
11753,1,0,0
11754,1,0,0
11755,1,0,0
11756,1,0,0
11757,1,0,0
11758,1,0,0
11762,1,0,0
11763,1,0,0
11764,1,0,0
11765,1,0,0
11766,1,0,0
11767,1,0,0
11768,1,0,0
11769,1,0,0
11771,1,0,0
11772,1,0,0
11776,1,0,0
11777,1,0,0
11779,1,0,0
11780,1,0,0
11782,1,0,0
11783,1,0,0
11784,1,0,0
11787,1,0,0
11788,1,0,0
11790,1,0,0
11791,1,0,0
11793,1,0,0
11795,1,0,0
11796,1,0,0
11797,1,0,0
11798,1,0,0
11801,1,0,0
11803,1,0,0
11804,1,0,0
11901,1,0,0
11930,1,0,0
11932,1,0,0
11933,1,0,0
11934,1,0,0
11935,1,0,0
11937,1,0,0
11939,1,0,0
11940,1,0,0
11941,1,0,0
11942,1,0,0
11944,1,0,0
11946,1,0,0
11948,1,0,0
11949,1,0,0
11950,1,0,0
11951,1,0,0
11952,1,0,0
11953,1,0,0
11954,1,0,0
11955,1,0,0
11957,1,0,0
11958,1,0,0
11960,1,0,0
11962,1,0,0
11963,1,0,0
11964,1,0,0
11965,1,0,0
11967,1,0,0
11968,1,0,0
11971,1,0,0
11976,1,0,0
11977,1,0,0
11978,1,0,0
11980,1,0,0
12008,1,0,0
12009,1,0,0
1201,1,0,0
12018,1,0,0
12019,1,0,0
12033,1,0,0
12047,1,0,0
12054,1,0,0
12056,1,0,0
12061,1,0,0
12063,1,0,0
12065,1,0,0
12067,1,0,0
12077,1,0,0
12084,1,0,0
12085,1,0,0
12110,1,0,0
12118,1,0,0
12121,1,0,0
12123,1,0,0
12140,1,0,0
12144,1,0,0
12148,1,0,0
12150,1,0,0
12154,1,0,0
12158,1,0,0
12159,1,0,0
12180,1,0,0
12182,1,0,0
12183,1,0,0
12186,1,0,0
12188,1,0,0
12189,1,0,0
12196,1,0,0
12198,1,0,0
12202,1,0,0
12203,1,0,0
12204,1,0,0
12205,1,0,0
12206,1,0,0
12207,1,0,0
12208,1,0,0
12209,1,0,0
12210,1,0,0
12211,1,0,0
12222,1,0,0
12302,1,0,0
12303,1,0,0
12304,1,0,0
12305,1,0,0
12306,1,0,0
12307,1,0,0
12308,1,0,0
12309,1,0,0
1237,1,0,0
1238,1,0,0
1240,1,0,0
12401,1,0,0
12411,1,0,0
12417,1,0,0
12419,1,0,0
12432,1,0,0
12440,1,0,0
12443,1,0,0
12449,1,0,0
12456,1,0,0
12466,1,0,0
12471,1,0,0
12472,1,0,0
12475,1,0,0
12477,1,0,0
12484,1,0,0
12486,1,0,0
12487,1,0,0
12498,1,0,0
12508,1,0,0
12512,1,0,0
12518,1,0,0
12520,1,0,0
12524,1,0,0
12525,1,0,0
12528,1,0,0
12533,1,0,0
12538,1,0,0
12542,1,0,0
12547,1,0,0
12548,1,0,0
12549,1,0,0
12550,1,0,0
12553,1,0,0
12561,1,0,0
12569,1,0,0
12572,1,0,0
12575,1,0,0
12577,1,0,0
12578,1,0,0
12580,1,0,0
12586,1,0,0
12589,1,0,0
12590,1,0,0
12601,1,0,0
12603,1,0,0
1266,1,0,0
12801,1,0,0
12803,1,0,0
12804,1,0,0
12827,1,0,0
12828,1,0,0
12831,1,0,0
12839,1,0,0
12845,1,0,0
12901,1,0,0
12903,1,0,0
12918,1,0,0
12962,1,0,0
13021,1,0,0
13027,1,0,0
13029,1,0,0
13030,1,0,0
13031,1,0,0
13039,1,0,0
13041,1,0,0
13057,1,0,0
13060,1,0,0
13066,1,0,0
13068,1,0,0
13073,1,0,0
13078,1,0,0
13082,1,0,0
13084,1,0,0
13088,1,0,0
13090,1,0,0
13104,1,0,0
13108,1,0,0
13112,1,0,0
13116,1,0,0
13120,1,0,0
13132,1,0,0
13135,1,0,0
13152,1,0,0
13164,1,0,0
13202,1,0,0
13203,1,0,0
13204,1,0,0
13205,1,0,0
13206,1,0,0
13207,1,0,0
13208,1,0,0
13209,1,0,0
13210,1,0,0
13211,1,0,0
13212,1,0,0
13214,1,0,0
13215,1,0,0
13219,1,0,0
13224,1,0,0
13319,1,0,0
13323,1,0,0
13340,1,0,0
13354,1,0,0
13403,1,0,0
13413,1,0,0
13417,1,0,0
13424,1,0,0
13456,1,0,0
13492,1,0,0
13495,1,0,0
13501,1,0,0
13502,1,0,0
13601,1,0,0
13603,1,0,0
13612,1,0,0
13616,1,0,0
13634,1,0,0
13637,1,0,0
13748,1,0,0
13760,1,0,0
13790,1,0,0
13795,1,0,0
13827,1,0,0
13850,1,0,0
13901,1,0,0
13903,1,0,0
13904,1,0,0
13905,1,0,0
14004,1,0,0
14026,1,0,0
14031,1,0,0
14032,1,0,0
14043,1,0,0
14051,1,0,0
14052,1,0,0
14059,1,0,0
14068,1,0,0
