n_groups,strategy,Carbon Offset,Energy Generation,Racial Equity,Income Equity,Panels,Spending
1,[-2000],346934.0214095008,2746810687.525521,1.5093521745487766,1.2520379013616785,2344192.289687169,-4688384579.374328
1,[-2000],346934.0214095008,2746810687.525521,1.5093521745487766,1.2520379013616785,2344192.289687169,-4688384579.374328
1,[-1500],298919.5731147569,2367053258.2875466,1.5074833391920113,1.2605878887670632,2019179.9168414588,-3028769875.2621846
1,[-1500],298919.5731147569,2367053258.2875466,1.5074833391920113,1.2605878887670632,2019179.9168414588,-3028769875.2621846
1,[-1000],260335.38348580536,2071432716.0907793,1.5066435519373036,1.2725647412701893,1761220.4974802248,-1761220497.4802134
1,[-1000],260335.38348580536,2071432716.0907793,1.5066435519373036,1.2725647412701893,1761220.4974802248,-1761220497.4802134
1,[-500],226637.11263229125,1822246078.3506622,1.505056741880852,1.2887094264550245,1540959.757005731,-770479878.5028642
1,[-500],226637.11263229125,1822246078.3506622,1.505056741880852,1.2887094264550245,1540959.757005731,-770479878.5028642
1,[0],196029.0409482485,1595565850.3644419,1.5018551601975867,1.3085435521561048,1340856.0406432005,0.0
1,[0],196029.0409482485,1595565850.3644419,1.5018551601975867,1.3085435521561048,1340856.0406432005,0.0
1,[500],168754.01299062307,1389878029.7338893,1.5015824908700535,1.3343682172135556,1160641.6604290206,580320830.2145097
1,[500],168754.01299062307,1389878029.7338893,1.5015824908700535,1.3343682172135556,1160641.6604290206,580320830.2145097
1,[1000],145444.43835057243,1210690349.9638262,1.5004281391297773,1.3564340512709023,1004830.1185238495,1004830118.5238464
1,[1000],145444.43835057243,1210690349.9638262,1.5004281391297773,1.3564340512709023,1004830.1185238495,1004830118.5238464
1,[1500],125691.36121403398,1054063554.173077,1.5020744887096926,1.3757956778199358,870367.9559324392,1305551933.8986604
1,[1500],125691.36121403398,1054063554.173077,1.5020744887096926,1.3757956778199358,870367.9559324392,1305551933.8986604
1,[2000],109155.52049611573,919501027.2334291,1.5053741421995943,1.3853793135779826,756175.1389400236,1512350277.8800447
1,[2000],109155.52049611573,919501027.2334291,1.5053741421995943,1.3853793135779826,756175.1389400236,1512350277.8800447
1,[2500],94798.42720060158,800510832.9616371,1.5060417346292618,1.3842956200057888,656364.0825906834,1640910206.476702
1,[2500],94798.42720060158,800510832.9616371,1.5060417346292618,1.3842956200057888,656364.0825906834,1640910206.476702
