,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
918,9841153.295353485,[18250.47732824],[0.4202932],[15598.20289363],2.88055691996034e-10,[1.03299165],[0.00025778],[37112.6704465],[498.17476863],15100.028125,[15792.24944596],[35927.36748955],[1185.30295695],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.45778817]
961,9811214.09068281,[17997.07952427],[0.4262109],[15598.20289363],2.8893470230398483e-10,[1.03299165],[0.00025497],[36597.38150245],[498.17476863],15100.028125,[15572.98277926],[35428.53582281],[1168.84567964],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.42366313]
981,9637547.290294368,[17768.93290161],[0.43168329],[15598.20289363],2.94141251621865e-10,[1.03299165],[0.00025628],[36133.44128501],[498.17476863],15100.028125,[15375.56611391],[34979.41290914],[1154.02837588],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.39293867]
913,9257890.488870356,[18249.91173482],[0.42030622],[15598.20289363],3.0620368926809367e-10,[1.03299165],[0.00027401],[37111.52030222],[498.17476863],15100.028125,[15791.76003452],[35926.25407853],[1185.26622369],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.457712]
917,9136642.437077042,[17797.48662762],[0.43099071],[15598.20289363],3.102671733139418e-10,[1.03299165],[0.00027076],[36191.50579502],[498.17476863],15100.028125,[15400.27382734],[35035.62295719],[1155.88283783],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.396784]
977,9094053.709769547,[18047.34699933],[0.42502377],[15598.20289363],3.1172019794503013e-10,[1.03299165],[0.00027585],[36699.60130759],[498.17476863],15100.028125,[15616.47953229],[35527.49093597],[1172.11037162],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.43043265]
975,8800342.588337485,[18218.51691576],[0.42103051],[15598.20289363],3.221238484839071e-10,[1.03299165],[0.00028776],[37047.67837893],[498.17476863],15100.028125,[15764.59390593],[35864.45113599],[1183.22724294],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.45348406]
965,8718797.473884298,[18408.2991911],[0.41668985],[15598.20289363],3.251366063982183e-10,[1.03299165],[0.00029348],[37433.60401333],[498.17476863],15100.028125,[15928.81366734],[36238.0510932],[1195.55292013],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.47904201]
950,8626266.856044196,[18442.20451856],[0.41592378],[15598.20289363],3.286242206321069e-10,[1.03299165],[0.00029717],[37502.55110013],[498.17476863],15100.028125,[15958.15215417],[36304.79615074],[1197.75494938],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.48360803]
976,8603426.642395986,[18841.55566078],[0.40710818],[15598.20289363],3.2949664597159037e-10,[1.03299165],[0.00030441],[38314.63875499],[498.17476863],15100.028125,[16303.71313546],[37090.94738317],[1223.69137182],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.53738857]
983,8545119.062949747,[19012.86413958],[0.40344008],[15598.20289363],3.317449647744914e-10,[1.03299165],[0.00030927],[38662.99759537],[498.17476863],15100.028125,[16451.94740795],[37428.18035309],[1234.81724228],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.56045865]
953,8441935.72933761,[18819.38383962],[0.40758781],[15598.20289363],3.35799787326091e-10,[1.03299165],[0.00030987],[38269.55196209],[498.17476863],15100.028125,[16284.52772326],[37047.30057042],[1222.25139167],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.53440269]
962,8408862.82811403,[18772.69101131],[0.40860159],[15598.20289363],3.371205215828093e-10,[1.03299165],[0.00031032],[38174.60126474],[498.17476863],15100.028125,[16244.12413388],[36955.38240458],[1219.21886016],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.52811458]
986,8375956.98197691,[17867.38111963],[0.42930474],[15598.20289363],3.3844493574070667e-10,[1.03299165],[0.00029651],[36333.63748841],[498.17476863],15100.028125,[15460.75395795],[35173.21525434],[1160.42223407],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.40619668]
944,8371230.011777643,[18542.16711473],[0.4136815],[15598.20289363],3.386360449472496e-10,[1.03299165],[0.00030788],[37705.82681845],[498.17476863],15100.028125,[16044.65039888],[36501.57965746],[1204.24716099],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.49706997]
958,8315155.327980769,[18431.17908081],[0.41617259],[15598.20289363],3.4091969550982453e-10,[1.03299165],[0.0003081],[37480.13067626],[498.17476863],15100.028125,[15948.61177559],[36283.09178946],[1197.0388868],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.48212324]
988,8278539.67430958,[18094.45109055],[0.42391733],[15598.20289363],3.424275698441365e-10,[1.03299165],[0.00030381],[36795.38831539],[498.17476863],15100.028125,[15657.23898999],[35620.21870222],[1175.16961317],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.43677614]
951,8228579.275709774,[17872.8723553],[0.42917284],[15598.20289363],3.445066429511402e-10,[1.03299165],[0.00030191],[36344.80401386],[498.17476863],15100.028125,[15465.5055577],[35184.02514376],[1160.7788701],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.40693618]
987,8029236.503674151,[18914.55798061],[0.40553691],[15598.20289363],3.530597487363716e-10,[1.03299165],[0.00032744],[38463.09027157],[498.17476863],15100.028125,[16366.88248846],[37234.65766126],[1228.43261031],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.54721978]
904,7982836.789615595,[18633.95433717],[0.41164378],[15598.20289363],3.5511188531622303e-10,[1.03299165],[0.00032446],[37892.47776881],[498.17476863],15100.028125,[16124.0744428],[36682.26935737],[1210.20841144],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.50943094]
964,7804634.993940903,[18337.12724684],[0.41830715],[15598.20289363],3.632200896945065e-10,[1.03299165],[0.00032658],[37288.87459805],[498.17476863],15100.028125,[15867.22814949],[36097.94404009],[1190.93055796],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.46945729]
967,7519487.647262221,[18348.09991349],[0.41805699],[15598.20289363],3.7699380004490394e-10,[1.03299165],[0.00033917],[37311.18771097],[498.17476863],15100.028125,[15876.72286493],[36119.54451772],[1191.64319326],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.47093498]
930,7417533.544865045,[18110.50760002],[0.42354149],[15598.20289363],3.821755851032926e-10,[1.03299165],[0.00033938],[36828.03951314],[498.17476863],15100.028125,[15671.13278565],[35651.82708735],[1176.21242579],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.43893847]
971,7363322.83905096,[18349.41189673],[0.4180271],[15598.20289363],3.8498926157330744e-10,[1.03299165],[0.00034639],[37313.85565223],[498.17476863],15100.028125,[15877.85813203],[36122.12725038],[1191.72840185],[0.96806204],[1.03299165],[1.03299165],[1.03299165],[2.47111167]
