,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
918,9977929.375185058,[19431.25577871],[0.37031253],[14527.18753274],3.305308354786772,[0.96206361],[0.00026874],[39229.53246519],[-572.84059226],15100.028125,[17923.71148643],[40776.44363163],[-1546.91116644],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.59797744]
905,9887927.722949067,[17902.60668544],[0.40193239],[14527.18753274],3.3353938511026278,[0.96206361],[0.00024986],[36143.36089112],[-572.84059226],15100.028125,[16513.66029756],[37568.57717696],[-1425.21628583],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.3935956]
965,9798728.292521035,[18532.60410791],[0.3882691],[14527.18753274],3.3657564882622473,[0.96206361],[0.000261],[37415.25523596],[-572.84059226],15100.028125,[17094.78033253],[38890.62525652],[-1475.37002056],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.47782686]
967,9712535.750028862,[18224.54111446],[0.3948323],[14527.18753274],3.3956254243052357,[0.96206361],[0.00025894],[36793.31050214],[-572.84059226],15100.028125,[16810.61793577],[38244.15580387],[-1450.84530172],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.43663854]
902,9539907.973629262,[17971.38345926],[0.40039419],[14527.18753274],3.4570703845820123,[0.96206361],[0.00025997],[36282.21350633],[-572.84059226],15100.028125,[16577.10113047],[37712.90507182],[-1430.69156549],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.40279112]
972,9253555.244625557,[18913.84647149],[0.38044284],[14527.18753274],3.5640499738115583,[0.96206361],[0.00028207],[38184.94093458],[-572.84059226],15100.028125,[17446.4445898],[39690.6614418],[-1505.72050722],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.52879933]
913,8960257.059488812,[18161.4141288],[0.39620469],[14527.18753274],3.680712853248549,[0.96206361],[0.00027971],[36665.86417743],[-572.84059226],15100.028125,[16752.38856084],[38111.68397591],[-1445.81979848],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.4281984]
962,8870925.750691032,[17941.00713777],[0.40107211],[14527.18753274],3.7177780824850686,[0.96206361],[0.0002791],[36220.88711015],[-572.84059226],15100.028125,[16549.08150947],[37649.16043405],[-1428.2733239],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.39872978]
953,8777586.030656317,[18667.41820989],[0.38546506],[14527.18753274],3.7573124560768942,[0.96206361],[0.00029349],[37687.42983191],[-572.84059226],15100.028125,[17219.13508838],[39173.53232607],[-1486.10249416],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.49585163]
991,8658448.049806628,[18001.58141364],[0.39972252],[14527.18753274],3.809012092878247,[0.96206361],[0.00028691],[36343.17979926],[-572.84059226],15100.028125,[16604.9562227],[37776.27540664],[-1433.09560738],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.40682862]
956,8387150.29252806,[17993.81998643],[0.39989494],[14527.18753274],3.9322215743114617,[0.96206361],[0.00029607],[36327.51034566],[-572.84059226],15100.028125,[16597.79695396],[37759.98807026],[-1432.47772459],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.40579091]
989,8370046.135885486,[18306.84873209],[0.39305714],[14527.18753274],3.9402570537662256,[0.96206361],[0.00030183],[36959.48037787],[-572.84059226],15100.028125,[16886.53984263],[38416.87814199],[-1457.39776412],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.44764315]
933,8353891.591101283,[17949.74164389],[0.40087694],[14527.18753274],3.94787662344129,[0.96206361],[0.00029652],[36238.52110125],[-572.84059226],15100.028125,[16557.13836228],[37667.48977418],[-1428.96867294],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.39989759]
927,8309798.765574876,[17787.54612867],[0.40453233],[14527.18753274],3.968824547701299,[0.96206361],[0.0002954],[35911.06649397],[-572.84059226],15100.028125,[16407.52653831],[37327.12287465],[-1416.05638067],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.37821189]
937,8252981.6993020065,[18549.09463737],[0.38792392],[14527.18753274],3.996147638381509,[0.96206361],[0.00031016],[37448.54777084],[-572.84059226],15100.028125,[17109.99146946],[38925.23059302],[-1476.68282218],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.48003166]
921,8086657.839081706,[17970.43610518],[0.4004153],[14527.18753274],4.078339158593192,[0.96206361],[0.00030667],[36280.30090437],[-572.84059226],15100.028125,[16576.2272754],[37710.91705154],[-1430.61614717],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.40266446]
932,8074888.953887624,[17683.61316093],[0.40690992],[14527.18753274],4.084283203844354,[0.96206361],[0.00030221],[35701.23745468],[-572.84059226],15100.028125,[16311.65705108],[37109.0197912],[-1407.78233652],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.36431596]
947,8035170.07241913,[17793.14484095],[0.40440505],[14527.18753274],4.10447234221917,[0.96206361],[0.00030559],[35922.36966797],[-572.84059226],15100.028125,[16412.69088304],[37338.87175893],[-1416.50209096],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.37896045]
946,7894048.655448029,[18462.24391328],[0.38974881],[14527.18753274],4.177847739069925,[0.96206361],[0.00032275],[37273.20587121],[-572.84059226],15100.028125,[17029.87892611],[38742.97455689],[-1469.76868568],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.46841963]
909,7882482.517036499,[17751.80243777],[0.40534687],[14527.18753274],4.183977986121908,[0.96206361],[0.00031078],[35838.90397917],[-572.84059226],15100.028125,[16374.55596705],[37252.11482504],[-1413.21084587],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.37343293]
968,7838516.62349176,[18382.63685209],[0.39143664],[14527.18753274],4.207445733856227,[0.96206361],[0.00032363],[37112.48811694],[-572.84059226],15100.028125,[16956.44805713],[38575.91932998],[-1463.43121304],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.45777609]
987,7205013.684891403,[18116.09518391],[0.39719583],[14527.18753274],4.57738663237093,[0.96206361],[0.00034698],[36574.37029563],[-572.84059226],15100.028125,[16710.58561706],[38016.5822788],[-1442.21198318],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.42213922]
942,7199340.4704152215,[18412.10381072],[0.39081018],[14527.18753274],4.580993698353232,[0.96206361],[0.00035293],[37171.9786112],[-572.84059226],15100.028125,[16983.6288668],[38637.75567197],[-1465.77706077],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.46171585]
926,7066571.564938989,[18049.4567092],[0.39866228],[14527.18753274],4.66706280750109,[0.96206361],[0.00035248],[36439.83466721],[-572.84059226],15100.028125,[16649.11718659],[37876.7415995],[-1436.90693229],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.41322959]
919,6940638.990239143,[18051.15981122],[0.39862467],[14527.18753274],4.751743084988659,[0.96206361],[0.00035891],[36443.27303973],[-572.84059226],15100.028125,[16650.68815605],[37880.315555],[-1437.04251527],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.4134573]
971,6936021.1836951785,[19067.23467748],[0.37738234],[14527.18753274],4.754906661011853,[0.96206361],[0.00037936],[38494.61456942],[-572.84059226],15100.028125,[17587.93240618],[40012.54622405],[-1517.93165463],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.54930747]
959,6790387.015954223,[18429.95526751],[0.39043163],[14527.18753274],4.85688566053506,[0.96206361],[0.00037455],[37208.01870616],[-572.84059226],15100.028125,[17000.09534558],[38675.2169112],[-1467.19820504],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.46410261]
941,6727807.38932725,[18173.20839292],[0.39594756],[14527.18753274],4.902062651138024,[0.96206361],[0.00037277],[36689.67547778],[-572.84059226],15100.028125,[16763.267785],[38136.43421088],[-1446.7587331],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.42977531]
964,6631587.571617425,[18680.62758594],[0.38519249],[14527.18753274],4.9731882405388745,[0.96206361],[0.00038873],[37714.09808499],[-572.84059226],15100.028125,[17231.31963518],[39201.25217002],[-1487.15408504],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.49761774]
894,6477177.558625914,[18584.84059566],[0.38717779],[14527.18753274],5.091744518158309,[0.96206361],[0.00039596],[37520.71486323],[-572.84059226],15100.028125,[17142.96413218],[39000.24340072],[-1479.52853749],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.48481093]
904,6294542.178652826,[17517.40030867],[0.41077086],[14527.18753274],5.239480869493517,[0.96206361],[0.00038405],[35365.67229316],[-572.84059226],15100.028125,[16158.33956901],[36760.22251951],[-1394.55022635],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.34209314]
924,6291371.648334955,[18245.99889222],[0.39436797],[14527.18753274],5.242121300527508,[0.96206361],[0.00040022],[36836.63135587],[-572.84059226],15100.028125,[16830.41094462],[38289.18489902],[-1452.55354315],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.43950747]
912,6181545.667774474,[17808.77959916],[0.40405001],[14527.18753274],5.3352567625930485,[0.96206361],[0.00039757],[35953.93449639],[-572.84059226],15100.028125,[16427.11264242],[37371.68126152],[-1417.74676512],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.38105083]
977,6137608.250618261,[17805.60642515],[0.40412201],[14527.18753274],5.3734503703375545,[0.96206361],[0.00040035],[35947.52821293],[-572.84059226],15100.028125,[16424.18565428],[37365.02236348],[-1417.49415055],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.38062657]
958,6078912.442355887,[17864.01958829],[0.40280059],[14527.18753274],5.42533448869516,[0.96206361],[0.00040554],[36065.45785709],[-572.84059226],15100.028125,[16478.06692139],[37487.60224617],[-1422.14438909],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.38843647]
960,6074117.3843781985,[18681.94800438],[0.38516527],[14527.18753274],5.429617381463837,[0.96206361],[0.00042444],[37716.76386214],[-572.84059226],15100.028125,[17232.53761096],[39204.02306494],[-1487.2592028],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.49779428]
915,5739956.794436301,[17860.77692485],[0.40287371],[14527.18753274],5.745711075602333,[0.96206361],[0.00042941],[36058.91128223],[-572.84059226],15100.028125,[16475.07583505],[37480.79752474],[-1421.8862425],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.38800292]
939,5679017.151426355,[17730.13747114],[0.40584217],[14527.18753274],5.807366388916109,[0.96206361],[0.00043084],[35795.16483429],[-572.84059226],15100.028125,[16354.57184376],[37206.65094455],[-1411.48611026],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.3705363]
920,5547967.661033841,[17870.96421707],[0.40264406],[14527.18753274],5.944543180903439,[0.96206361],[0.00044452],[36079.47828599],[-572.84059226],15100.028125,[16484.47276176],[37502.175533],[-1422.69724701],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.38936497]
974,5543709.118822231,[18275.40162432],[0.39373348],[14527.18753274],5.949109634070807,[0.96206361],[0.00045493],[36895.99218395],[-572.84059226],15100.028125,[16857.53251068],[38350.88646179],[-1454.89427785],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.44343864]
992,5363033.433264736,[18448.26843027],[0.39004406],[14527.18753274],6.149529690176653,[0.96206361],[0.00047471],[37244.99093387],[-572.84059226],15100.028125,[17016.9877096],[38713.64703933],[-1468.65610546],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.4665511]
966,5193980.271534846,[18428.6264986],[0.39045979],[14527.18753274],6.349683980899245,[0.96206361],[0.00048963],[37205.33607034],[-572.84059226],15100.028125,[16998.86966719],[38672.42849285],[-1467.09242251],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.46392495]
981,5190151.417587908,[18111.66679896],[0.39729295],[14527.18753274],6.3543682397225405,[0.96206361],[0.00048157],[36565.42988162],[-572.84059226],15100.028125,[16706.50080158],[38007.2893236],[-1441.85944198],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.42154714]
988,5173773.081077396,[18360.81095357],[0.39190195],[14527.18753274],6.374483923134039,[0.96206361],[0.00048974],[37068.42406857],[-572.84059226],15100.028125,[16936.31548761],[38530.1177343],[-1461.69366573],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.45485795]
12,9977.922939265498,[9497.15096069],[0.75766275],[14527.18753274],6.6195379170226305,[0.96206361],[0.13135067],[19173.68574538],[-572.84059226],15100.028125,[8760.32901326],[19929.74850518],[-756.0627598],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[1.26977815]
11,9749.369607460196,[10105.07959458],[0.71208123],[14527.18753274],6.774718970450882,[0.96206361],[0.14303499],[20401.02567397],[-572.84059226],15100.028125,[9321.0924329],[21205.48528485],[-804.45961088],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[1.35105879]
7,9718.919750882704,[10730.75434468],[0.67056214],[14527.18753274],6.795944500272166,[0.96206361],[0.15236715],[21664.19302666],[-572.84059226],15100.028125,[9898.22516342],[22518.46224678],[-854.26922012],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[1.4347121]
914,4841130.371542307,[18412.89651862],[0.39079335],[14527.18753274],6.8124860923265285,[0.96206361],[0.00052487],[37173.57899979],[-572.84059226],15100.028125,[16984.36007366],[38639.41916759],[-1465.84016779],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.46182184]
910,4805108.060790378,[18103.47550981],[0.39747271],[14527.18753274],6.863557054291662,[0.96206361],[0.00051992],[36548.89258484],[-572.84059226],15100.028125,[16698.94502109],[37990.09992298],[-1441.20733813],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.42045195]
43,9561.658535665638,[10164.17444453],[0.70794117],[14527.18753274],6.907717838200318,[0.96206361],[0.1466959],[20520.33156757],[-572.84059226],15100.028125,[9375.6024992],[21329.49568568],[-809.16411811],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[1.35895982]
10,9415.596476229375,[10609.49593627],[0.67822615],[14527.18753274],7.0148757326575994,[0.96206361],[0.15549843],[21419.38586014],[-572.84059226],15100.028125,[9786.37440337],[22264.00176768],[-844.61590754],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[1.41849973]
935,4683660.177661974,[18213.5587932],[0.39507038],[14527.18753274],7.0415299309214205,[0.96206361],[0.00053665],[36771.13842366],[-572.84059226],15100.028125,[16800.48766113],[38221.10942906],[-1449.97100541],[1.03943231],[0.96206361],[0.96206361],[0.96206361],[2.43517019]
