,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
964,9931340.397814479,[10940.78364437],[0.77024987],[53049.9023472],2.639882115843972e-10,[5.93615066],[0.00047404],[68873.62684596],[44113.15100792],8936.751339285714,[8617.17116829],[11602.40546587],[57271.22138009],[0.16845934],[5.93615066],[5.93615066],[5.93615066],[7.70678564]
864,9925158.478748944,[10873.75007388],[0.77499824],[53049.9023472],2.6415263754915777e-10,[5.93615066],[0.00047143],[68451.64197993],[44113.15100792],8936.751339285714,[8564.37424169],[11531.31817542],[56920.32380451],[0.16845934],[5.93615066],[5.93615066],[5.93615066],[7.65956659]
908,9793640.061665537,[10910.86271775],[0.77236213],[53049.9023472],2.6769993319614153e-10,[5.93615066],[0.00047939],[68685.27080107],[44113.15100792],8936.751339285714,[8593.60487225],[11570.67513156],[57114.5956695],[0.16845934],[5.93615066],[5.93615066],[5.93615066],[7.68570907]
845,9709262.53797384,[11299.77645263],[0.74577911],[53049.9023472],2.700263567908461e-10,[5.93615066],[0.00050079],[71133.53230795],[44113.15100792],8936.751339285714,[8899.92079368],[11983.10764006],[59150.42466789],[0.16845934],[5.93615066],[5.93615066],[5.93615066],[7.95966337]
959,9679714.492233634,[10505.29577472],[0.80217991],[53049.9023472],2.7085063225350754e-10,[5.93615066],[0.000467],[66132.17522735],[44113.15100792],8936.751339285714,[8274.17256448],[11140.58234575],[54991.59288161],[0.16845934],[5.93615066],[5.93615066],[5.93615066],[7.40002409]
940,9661527.295724345,[10641.92912633],[0.7918806],[53049.9023472],2.7136049094589457e-10,[5.93615066],[0.00047396],[66992.29958218],[44113.15100792],8936.751339285714,[8381.78761441],[11285.47832368],[55706.8212585],[0.16845934],[5.93615066],[5.93615066],[5.93615066],[7.49626985]
981,9548455.263635475,[11233.27267294],[0.75019431],[53049.9023472],2.7457391985064536e-10,[5.93615066],[0.00050623],[70714.88254251],[44113.15100792],8936.751339285714,[8847.54114049],[11912.58217844],[58802.30036407],[0.16845934],[5.93615066],[5.93615066],[5.93615066],[7.91281752]
839,9400987.06556778,[9967.9295765],[0.84542504],[53049.9023472],2.788810123840519e-10,[5.93615066],[0.00045625],[62749.38655167],[44113.15100792],8936.751339285714,[7850.93263391],[10570.72001066],[52178.66654101],[0.16845934],[5.93615066],[5.93615066],[5.93615066],[7.02149855]
915,9374966.948675718,[10803.60117378],[0.78003039],[53049.9023472],2.7965504354394147e-10,[5.93615066],[0.00049587],[68010.04571715],[44113.15100792],8936.751339285714,[8509.12362171],[11456.92716208],[56553.11855506],[0.16845934],[5.93615066],[5.93615066],[5.93615066],[7.61015308]
896,9351208.630303789,[10654.81625088],[0.79092281],[53049.9023472],2.8036555421924623e-10,[5.93615066],[0.00049029],[67073.42567303],[44113.15100792],8936.751339285714,[8391.93776103],[11299.1447711],[55774.28090193],[0.16845934],[5.93615066],[5.93615066],[5.93615066],[7.50534765]
