,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
973,9919912.256122155,[13674.77019872],[0.49105318],[12918.36327882],4.978892370735041,[0.85551915],[0.00018128],[26307.46292378],[-2181.66484618],15100.028125,[13516.61142785],[30750.29099837],[-4442.82807459],[1.1688809],[0.85551915],[0.85551915],[0.85551915],[1.74221284]
981,9768504.289180037,[14252.61136152],[0.47114449],[12918.36327882],5.056063240415838,[0.85551915],[0.00019186],[27419.11121806],[-2181.66484618],15100.028125,[14087.76943278],[32049.67545957],[-4630.56424152],[1.1688809],[0.85551915],[0.85551915],[0.85551915],[1.8158318]
969,9714010.974035922,[13630.45720193],[0.49264961],[12918.36327882],5.0844265651315474,[0.85551915],[0.00018452],[26222.21377492],[-2181.66484618],15100.028125,[13472.81094345],[30650.64489634],[-4428.43112142],[1.1688809],[0.85551915],[0.85551915],[0.85551915],[1.73656721]
967,9425695.360456817,[13272.56667281],[0.50593375],[12918.36327882],5.239950323195458,[0.85551915],[0.00018517],[25533.70554489],[-2181.66484618],15100.028125,[13119.05968141],[29845.86077521],[-4312.15523032],[1.1688809],[0.85551915],[0.85551915],[0.85551915],[1.69097073]
932,9317746.084800972,[13849.85372979],[0.48484551],[12918.36327882],5.30065694008688,[0.85551915],[0.00019546],[26644.28785283],[-2181.66484618],15100.028125,[13689.66998916],[31143.99922535],[-4499.71137251],[1.1688809],[0.85551915],[0.85551915],[0.85551915],[1.76451909]
946,9118372.458405936,[13885.11470394],[0.48361425],[12918.36327882],5.4165560439282565,[0.85551915],[0.00020024],[26712.12276024],[-2181.66484618],15100.028125,[13724.52314423],[31223.29015312],[-4511.16739288],[1.1688809],[0.85551915],[0.85551915],[0.85551915],[1.76901146]
933,8878017.768448066,[13913.62540358],[0.48262327],[12918.36327882],5.5631985358147515,[0.85551915],[0.00020609],[26766.97151914],[-2181.66484618],15100.028125,[13752.70409666],[31287.40181991],[-4520.43030077],[1.1688809],[0.85551915],[0.85551915],[0.85551915],[1.77264382]
979,8837540.31779264,[13310.34389812],[0.50449781],[12918.36327882],5.588678939425066,[0.85551915],[0.00019805],[25606.38120525],[-2181.66484618],15100.028125,[13156.39998535],[29930.80996666],[-4324.42876141],[1.1688809],[0.85551915],[0.85551915],[0.85551915],[1.69578368]
985,8395016.675126744,[12894.23164331],[0.52077856],[12918.36327882],5.8832730608747665,[0.85551915],[0.00020198],[24805.86627472],[-2181.66484618],15100.028125,[12745.10037468],[28995.1033524],[-4189.23707768],[1.1688809],[0.85551915],[0.85551915],[0.85551915],[1.64276954]
956,8378964.198063585,[13544.43485293],[0.49577848],[12918.36327882],5.894544275744956,[0.85551915],[0.00021257],[26056.72435725],[-2181.66484618],15100.028125,[13387.78350615],[30457.2074765],[-4400.48311925],[1.1688809],[0.85551915],[0.85551915],[0.85551915],[1.72560767]
