,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
963,9885507.243280558,[10622.54958669],[0.70250551],[11321.14713267],9.220999539408082e-10,[0.74974345],[0.00011143],[16115.38557264],[-3778.88099233],15100.028125,[9448.14655809],[21494.53341965],[-5379.14784701],[1.33378958],[0.74974345],[0.74974345],[0.74974345],[1.06724209]
979,9814155.345827691,[10957.70617423],[0.68101841],[11321.14713267],9.288039013551772e-10,[0.74974345],[0.00011578],[16623.84896848],[-3778.88099233],15100.028125,[9746.24905534],[22172.7166009],[-5548.86763242],[1.33378958],[0.74974345],[0.74974345],[0.74974345],[1.1009151]
989,9808627.038267748,[10698.04665839],[0.69754786],[11321.14713267],9.293273908924523e-10,[0.74974345],[0.0001131],[16229.92158022],[-3778.88099233],15100.028125,[9515.29685871],[21647.30035356],[-5417.37877334],[1.33378958],[0.74974345],[0.74974345],[0.74974345],[1.07482724]
974,9723659.918167438,[10479.10549576],[0.71212181],[11321.14713267],9.374480237301902e-10,[0.74974345],[0.00011176],[15897.76768206],[-3778.88099233],15100.028125,[9320.56129402],[21204.2769439],[-5306.50926184],[1.33378958],[0.74974345],[0.74974345],[0.74974345],[1.05283034]
947,9557986.218813356,[11236.79210446],[0.66410409],[11321.14713267],9.5369731290973e-10,[0.74974345],[0.00012191],[17047.24801565],[-3778.88099233],15100.028125,[9994.47992963],[22737.4418399],[-5690.19382425],[1.33378958],[0.74974345],[0.74974345],[0.74974345],[1.12895472]
951,9454696.743854742,[11104.91171023],[0.6719909],[11321.14713267],9.641161446701364e-10,[0.74974345],[0.0001218],[16847.17331747],[-3778.88099233],15100.028125,[9877.17990833],[22470.58429144],[-5623.41097397],[1.33378958],[0.74974345],[0.74974345],[0.74974345],[1.11570476]
990,9195507.052366767,[10976.17526877],[0.67987249],[11321.14713267],9.912912601556183e-10,[0.74974345],[0.00012378],[16651.86828506],[-3778.88099233],15100.028125,[9762.67625209],[22210.0884735],[-5558.22018844],[1.33378958],[0.74974345],[0.74974345],[0.74974345],[1.10277068]
970,9139813.70028205,[10703.09385335],[0.69721893],[11321.14713267],9.97331682310902e-10,[0.74974345],[0.00012144],[16237.57863959],[-3778.88099233],15100.028125,[9519.78604818],[21657.5132596],[-5419.93462001],[1.33378958],[0.74974345],[0.74974345],[0.74974345],[1.07533433]
946,8975123.41722146,[11060.7405101],[0.6746745],[11321.14713267],1.015632359575118e-09,[0.74974345],[0.0001278],[16780.16154074],[-3778.88099233],15100.028125,[9837.89216775],[22381.20468162],[-5601.04314089],[1.33378958],[0.74974345],[0.74974345],[0.74974345],[1.11126691]
922,8562440.547322702,[11284.1950919],[0.6613143],[11321.14713267],1.0645826646423528e-09,[0.74974345],[0.00013666],[17119.16271124],[-3778.88099233],15100.028125,[10036.64215904],[22833.36091182],[-5714.19820058],[1.33378958],[0.74974345],[0.74974345],[0.74974345],[1.13371727]
