,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
969,9882890.591953766,[13311.93458015],[0.48923798],[14911.07167682],4.0503393093327746e-10,[0.98748635],[0.0002108],[30478.15643834],[-188.95644818],15100.028125,[13566.76152958],[30864.3824798],[-386.22604146],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.0184172]
988,9749579.754402589,[14180.78444951],[0.4592626],[14911.07167682],4.105721606754341e-10,[0.98748635],[0.00022763],[32467.41968783],[-188.95644818],15100.028125,[14452.24356915],[32878.85411982],[-411.43443199],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.15015624]
961,9709170.782170571,[13362.05100396],[0.48740302],[14911.07167682],4.122809367812617e-10,[0.98748635],[0.00021538],[30592.89980611],[-188.95644818],15100.028125,[13617.83731925],[30980.57990129],[-387.68009518],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.02601608]
953,9701181.347722026,[13517.84194708],[0.48178578],[14911.07167682],4.1262047187505445e-10,[0.98748635],[0.00021807],[30949.5888138],[-188.95644818],15100.028125,[13776.61052843],[31341.78895217],[-392.20013837],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.04963783]
939,9664551.834151393,[13044.05534359],[0.49928522],[14911.07167682],4.14184340270965e-10,[0.98748635],[0.00021122],[29864.83722248],[-188.95644818],15100.028125,[13293.75434951],[30243.29114513],[-378.45392265],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[1.97780011]
885,9556826.338260617,[13799.70285438],[0.47194523],[14911.07167682],4.188530673009054e-10,[0.98748635],[0.00022598],[31594.91957132],[-188.95644818],15100.028125,[14063.86702679],[31995.29748594],[-400.37791462],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.09237488]
949,9550246.851722859,[14193.54669114],[0.45884965],[14911.07167682],4.191416292784534e-10,[0.98748635],[0.00023259],[32496.63930234],[-188.95644818],15100.028125,[14465.2501151],[32908.44401185],[-411.80470951],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.15209131]
893,9487571.599437727,[13163.13435811],[0.49476848],[14911.07167682],4.2191049453368745e-10,[0.98748635],[0.00021713],[30137.47293979],[-188.95644818],15100.028125,[13415.11286306],[30519.38176346],[-381.90882367],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[1.99585542]
951,9462691.032585379,[13458.14536178],[0.48392284],[14911.07167682],4.2301983776689717e-10,[0.98748635],[0.00022258],[30812.91131928],[-188.95644818],15100.028125,[13715.7711867],[31203.37944975],[-390.46813047],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.04058635]
927,9393153.853594797,[13867.59285705],[0.46963478],[14911.07167682],4.261514383596103e-10,[0.98748635],[0.00023105],[31750.35619171],[-188.95644818],15100.028125,[14133.05663037],[32152.70383408],[-402.34764237],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.10266868]
962,9297856.928800907,[14054.35769215],[0.46339393],[14911.07167682],4.305192106197285e-10,[0.98748635],[0.00023656],[32177.96104711],[-188.95644818],15100.028125,[14323.3966568],[32585.72739422],[-407.76634711],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.13098683]
941,9197816.647087157,[13343.14969775],[0.48809345],[14911.07167682],4.352017635305019e-10,[0.98748635],[0.00022703],[30549.62458084],[-188.95644818],15100.028125,[13598.57419017],[30936.75628265],[-387.13170181],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.02315018]
987,9169814.329705173,[13709.80680674],[0.47503981],[14911.07167682],4.3653076076745824e-10,[0.98748635],[0.00023398],[31389.09931383],[-188.95644818],15100.028125,[13972.25012217],[31786.86902793],[-397.76971411],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.07874443]
990,9094813.77385811,[13927.43748375],[0.46761682],[14911.07167682],4.401306200406638e-10,[0.98748635],[0.00023966],[31887.37263238],[-188.95644818],15100.028125,[14194.04684741],[32291.45657785],[-404.08394547],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.1117426]
906,9091687.524379158,[14151.50549217],[0.4602128],[14911.07167682],4.4028196247493504e-10,[0.98748635],[0.0002436],[32400.38445438],[-188.95644818],15100.028125,[14422.40413224],[32810.96940085],[-410.58494646],[1.01267222],[0.98748635],[0.98748635],[0.98748635],[2.14571683]
