,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
986,9940274.296924269,[14159.51304051],[0.45991273],[13899.91720104],5.064345892376928,[0.9205226],[0.00020783],[30222.94543161],[-1200.11092396],15100.028125,[14431.81419952],[32832.37730391],[-2609.4318723],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[2.00151584]
934,9681599.149677945,[13780.26402965],[0.47257006],[13899.91720104],5.199656226874767,[0.9205226],[0.00020767],[29413.45275151],[-1200.11092396],15100.028125,[14045.27186262],[31952.99348747],[-2539.54073596],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.94790715]
965,9673684.262158917,[12652.36091371],[0.51469763],[13899.91720104],5.203910520591415,[0.9205226],[0.00019082],[27005.98617921],[-1200.11092396],15100.028125,[12895.67807662],[29337.66762431],[-2331.68144509],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.78847257]
975,9607334.915890496,[13363.02558204],[0.48732528],[13899.91720104],5.239849317781623,[0.9205226],[0.00020294],[28522.87305446],[-1200.11092396],15100.028125,[13620.00951528],[30985.52164727],[-2462.64859281],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.88892847]
924,9495428.41242337,[13129.80944063],[0.49598132],[13899.91720104],5.301602531052165,[0.9205226],[0.00020174],[28025.08201492],[-1200.11092396],15100.028125,[13382.30840144],[30444.75161327],[-2419.66959835],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.85596224]
947,9442971.01157052,[13852.87096598],[0.47009318],[13899.91720104],5.331053885799851,[0.9205226],[0.00021404],[29568.42951295],[-1200.11092396],15100.028125,[14119.27510071],[32121.35085411],[-2552.92134116],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.95817049]
970,9100470.152487341,[13854.89366075],[0.47002456],[13899.91720104],5.531690831486237,[0.9205226],[0.00022212],[29572.74687849],[-1200.11092396],15100.028125,[14121.33669386],[32126.04097853],[-2553.29410003],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.95845641]
969,9082470.453499846,[13592.71064932],[0.47909062],[13899.91720104],5.5426535723361425,[0.9205226],[0.00021835],[29013.12714972],[-1200.11092396],15100.028125,[13854.11164902],[31518.10400152],[-2504.97685181],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.92139557]
958,8976298.38524653,[13130.48244198],[0.4959559],[13899.91720104],5.608212332543331,[0.9205226],[0.00021342],[28026.51851088],[-1200.11092396],15100.028125,[13382.99434527],[30446.31213548],[-2419.7936246],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.85605737]
942,8933805.96967973,[13494.1854826],[0.48258861],[13899.91720104],5.634887020781476,[0.9205226],[0.00022038],[28802.82890507],[-1200.11092396],15100.028125,[13753.69174785],[31289.64872637],[-2486.8198213],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.90746856]
948,8759961.045351878,[13671.83885629],[0.4763178],[13899.91720104],5.746713603417199,[0.9205226],[0.00022771],[29182.02331686],[-1200.11092396],15100.028125,[13934.76156809],[31701.58256742],[-2519.55925055],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.93258073]
953,8602421.13869902,[13876.07594105],[0.46930705],[13899.91720104],5.851955687017395,[0.9205226],[0.00023534],[29617.95965522],[-1200.11092396],15100.028125,[14142.92632994],[32175.15740062],[-2557.19774539],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.96145063]
985,8268919.672256588,[13397.71235385],[0.4860636],[13899.91720104],6.087976337904166,[0.9205226],[0.00023639],[28596.9106579],[-1200.11092396],15100.028125,[13655.36334733],[31065.95161517],[-2469.04095727],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.89383162]
984,7661273.33619403,[12938.83843178],[0.50330177],[13899.91720104],6.570838174759183,[0.9205226],[0.00024641],[27617.46161421],[-1200.11092396],15100.028125,[13187.664835],[30001.93749963],[-2384.47588542],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.82896756]
925,7577950.619296647,[13427.20299164],[0.48499604],[13899.91720104],6.6430872717142115,[0.9205226],[0.00025852],[28659.85730969],[-1200.11092396],15100.028125,[13685.42111867],[31134.33304498],[-2474.47573529],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.89800026]
956,7089608.5552495755,[13897.03483152],[0.46859926],[13899.91720104],7.1006723308373445,[0.9205226],[0.00028599],[29662.69561481],[-1200.11092396],15100.028125,[14164.28828019],[32223.75583744],[-2561.06022263],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.96441327]
972,6918084.171391669,[14114.7500542],[0.46137128],[13899.91720104],7.276723737028714,[0.9205226],[0.00029768],[30127.40052914],[-1200.11092396],15100.028125,[14386.19037761],[32728.58310905],[-2601.18257991],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.99518837]
945,6739249.712319507,[13803.43078439],[0.47177693],[13899.91720104],7.469820744689705,[0.9205226],[0.00029883],[29462.90131393],[-1200.11092396],15100.028125,[14068.88413651],[32006.71141056],[-2543.81009664],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.95118188]
978,6462013.629927443,[13156.3094222],[0.4949823],[13899.91720104],7.790294200492675,[0.9205226],[0.00029704],[28081.64522405],[-1200.11092396],15100.028125,[13409.31800335],[30506.19845762],[-2424.55323357],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.85970814]
966,6424483.639677233,[13702.65393578],[0.47524664],[13899.91720104],7.835802864190579,[0.9205226],[0.00031119],[29247.79693938],[-1200.11092396],15100.028125,[13966.16925143],[31773.035047],[-2525.23810761],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.93693659]
988,6236731.272394801,[13682.16268295],[0.4759584],[13899.91720104],8.07169414650734,[0.9205226],[0.00032008],[29204.05913469],[-1200.11092396],15100.028125,[13945.28393195],[31725.52094519],[-2521.4618105],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.93404005]
946,6225233.948920356,[13580.22827586],[0.47953098],[13899.91720104],8.086601679196175,[0.9205226],[0.00031828],[28986.48399531],[-1200.11092396],15100.028125,[13841.38922741],[31489.16049236],[-2502.67649705],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.91963113]
928,6191735.717579611,[13712.04433115],[0.47492118],[13899.91720104],8.130351423398121,[0.9205226],[0.00032311],[29267.8403834],[-1200.11092396],15100.028125,[13975.7402332],[31794.80903054],[-2526.96864714],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.93826396]
938,6149972.627685103,[13906.61744693],[0.46827636],[13899.91720104],8.185562823175868,[0.9205226],[0.00032992],[29683.14934523],[-1200.11092396],15100.028125,[14174.05517858],[32245.97553128],[-2562.82618605],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.96576782]
974,6116422.867750697,[13438.86462103],[0.48457518],[13899.91720104],8.230462215121694,[0.9205226],[0.00032057],[28684.74861687],[-1200.11092396],15100.028125,[13697.30701249],[31161.37345342],[-2476.62483656],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.89964869]
11,9341.70859880898,[7350.57603299],[0.88593604],[13899.91720104],8.439890430732774,[0.9205226],[0.11480224],[15689.52673023],[-1200.11092396],15100.028125,[7491.93473421],[17044.15152032],[-1354.62479009],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.03903957]
951,5905859.290311217,[13034.92087483],[0.49959185],[13899.91720104],8.523905638475785,[0.9205226],[0.00032202],[27822.54595751],[-1200.11092396],15100.028125,[13285.59503656],[30224.72870817],[-2402.18275066],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.84254928]
18,9241.161357562756,[7151.03083781],[0.91065755],[13899.91720104],8.531719549000044,[0.9205226],[0.1129009],[15263.60505284],[-1200.11092396],15100.028125,[7288.55209152],[16581.45600821],[-1317.85095537],[1.08633943],[0.9205226],[0.9205226],[0.9205226],[1.01083289]
