,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
939,9872813.419772137,[14229.11534482],[0.51478698],[14991.88856922],4.979182230783586,[0.99283845],[0.00020163],[29122.50923817],[-108.13955578],15100.028125,[12893.43993335],[29332.57584837],[-210.06661019],[1.0072132],[0.99283845],[0.99283845],[0.99283845],[1.9286394]
966,9824729.328988189,[13307.84636942],[0.5504244],[14991.88856922],5.003551294031812,[0.99283845],[0.0001895],[27236.96234388],[-108.13955578],15100.028125,[12058.64972265],[27433.42811902],[-196.46577514],[1.0072132],[0.99283845],[0.99283845],[0.99283845],[1.80376898]
9,9937.622566970134,[7635.58941611],[0.95931865],[14991.88856922],5.040473679903391,[0.99283845],[0.10749241],[15627.64219145],[-108.13955578],15100.028125,[6918.84288704],[15740.36756801],[-112.72537657],[1.0072132],[0.99283845],[0.99283845],[0.99283845],[1.03494126]
986,9726835.116616359,[14027.13040852],[0.5221997],[14991.88856922],5.053908754307306,[0.99283845],[0.00020175],[28709.10980813],[-108.13955578],15100.028125,[12710.4151577],[28916.19448376],[-207.08467563],[1.0072132],[0.99283845],[0.99283845],[0.99283845],[1.90126201]
943,9589834.915585516,[14290.16064571],[0.51258789],[14991.88856922],5.126108799608021,[0.99283845],[0.00020847],[29247.44970679],[-108.13955578],15100.028125,[12948.75496181],[29458.41753811],[-210.96783133],[1.0072132],[0.99283845],[0.99283845],[0.99283845],[1.93691359]
26,9750.755758238773,[7230.10665842],[1.01311968],[14991.88856922],5.137071036499276,[0.99283845],[0.10373472],[14797.74693297],[-108.13955578],15100.028125,[6551.42246394],[14904.48610545],[-106.73917248],[1.0072132],[0.99283845],[0.99283845],[0.99283845],[0.97998142]
15,9683.08692840363,[7473.69831135],[0.98009888],[14991.88856922],5.172970702420918,[0.99283845],[0.10797904],[15296.30218331],[-108.13955578],15100.028125,[6772.14836778],[15406.63753669],[-110.33535338],[1.0072132],[0.99283845],[0.99283845],[0.99283845],[1.01299826]
43,9643.6488576749,[7677.14060968],[0.9541265],[14991.88856922],5.194125763897194,[0.99283845],[0.11137195],[15712.68437356],[-108.13955578],15100.028125,[6956.49370407],[15826.02317677],[-113.33880321],[1.0072132],[0.99283845],[0.99283845],[0.99283845],[1.04057319]
941,9449218.638838239,[13698.93277039],[0.53471051],[14991.88856922],5.202391756025141,[0.99283845],[0.00020282],[28037.39280277],[-108.13955578],15100.028125,[12413.02516324],[28239.63224638],[-202.23944361],[1.0072132],[0.99283845],[0.99283845],[0.99283845],[1.85677752]
940,9389119.258142108,[13572.6218741],[0.53968669],[14991.88856922],5.2356920597149275,[0.99283845],[0.00020224],[27778.87425438],[-108.13955578],15100.028125,[12298.57096741],[27979.24895087],[-200.37469649],[1.0072132],[0.99283845],[0.99283845],[0.99283845],[1.83965712]
