,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
986,9636691.213576771,[17937.30175105],[0.37145855],[12584.23700537],5.127600476438618,[0.83339163],[0.0002403],[33877.90405522],[-2515.79111963],15100.028125,[17868.41374114],[40650.64126109],[-6772.73720587],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.24356563]
953,9312841.820521466,[17888.46591275],[0.37247264],[12584.23700537],5.305910205533936,[0.83339163],[0.00024798],[33785.66856366],[-2515.79111963],15100.028125,[17819.76545634],[40539.96641317],[-6754.29784951],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.23745733]
982,9283725.360348389,[18098.76319098],[0.36814472],[12584.23700537],5.322551081603062,[0.83339163],[0.00025168],[34182.85377657],[-2515.79111963],15100.028125,[18029.25509019],[41016.55533018],[-6833.70155361],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.26376093]
951,9259500.84341046,[17655.91868002],[0.3773785],[12584.23700537],5.3364758310047575,[0.83339163],[0.00024617],[33346.46020623],[-2515.79111963],15100.028125,[17588.1113187],[40012.95325003],[-6666.4930438],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.20837073]
965,9200263.205300003,[18481.42302806],[0.36052224],[12584.23700537],5.370835741912541,[0.83339163],[0.00025934],[34905.57748531],[-2515.79111963],15100.028125,[18410.44532637],[41883.7631175],[-6978.1856322],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.31162334]
976,9140143.12109971,[18238.98639993],[0.36531438],[12584.23700537],5.406162879874345,[0.83339163],[0.00025762],[34447.69117993],[-2515.79111963],15100.028125,[18168.93977345],[41334.3379846],[-6886.64680466],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.2812998]
974,9128067.958707701,[18087.07215743],[0.36838268],[12584.23700537],5.413314480299258,[0.83339163],[0.00025581],[34160.77310253],[-2515.79111963],15100.028125,[18017.60895592],[40990.06037472],[-6829.28727219],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.26229864]
943,9040818.111286545,[18310.97742495],[0.36387812],[12584.23700537],5.465556529263744,[0.83339163],[0.00026147],[34583.6595141],[-2515.79111963],15100.028125,[18240.65431773],[41497.48857284],[-6913.82905874],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.29030431]
984,8803076.40264515,[18388.76213957],[0.36233891],[12584.23700537],5.613162966889669,[0.83339163],[0.00026968],[34730.57030009],[-2515.79111963],15100.028125,[18318.14030101],[41673.76918479],[-6943.19888471],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.30003348]
979,8757040.9363053,[17845.21003242],[0.37337549],[12584.23700537],5.642671173680282,[0.83339163],[0.00026308],[33703.97185231],[-2515.79111963],15100.028125,[17776.67569974],[40441.93721692],[-6737.96536461],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.23204696]
967,8686999.618430551,[18079.61579971],[0.3685346],[12584.23700537],5.688166758197162,[0.83339163],[0.00026869],[34146.69039518],[-2515.79111963],15100.028125,[18010.18123427],[40973.16230796],[-6826.47191278],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.26136601]
952,8588211.193055816,[18278.24201215],[0.36452981],[12584.23700537],5.753596569444185,[0.83339163],[0.00027476],[34521.83264686],[-2515.79111963],15100.028125,[18208.04462492],[41423.3015217],[-6901.46887485],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.28620982]
944,8579974.353065249,[18995.57438581],[0.35076402],[12584.23700537],5.759120065478396,[0.83339163],[0.00028582],[35876.64719298],[-2515.79111963],15100.028125,[18922.6220915],[43048.96525816],[-7172.31806518],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.37593247]
957,8415467.010116203,[17800.13690427],[0.37432094],[12584.23700537],5.871700572128532,[0.83339163],[0.00027307],[33618.84293314],[-2515.79111963],15100.028125,[17731.77567445],[40339.78965937],[-6720.94672623],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.22640929]
932,8255004.827629604,[18248.94534721],[0.36511502],[12584.23700537],5.985835682692979,[0.83339163],[0.0002854],[34466.50048945],[-2515.79111963],15100.028125,[18178.8604735],[41356.90757722],[-6890.40708777],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.28254545]
989,8091961.613228887,[17726.091699],[0.37588455],[12584.23700537],6.106443013427874,[0.83339163],[0.0002828],[33478.99490054],[-2515.79111963],15100.028125,[17658.01483897],[40171.98375866],[-6692.98885812],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.21714785]
942,7945920.157164991,[18080.75549109],[0.36851137],[12584.23700537],6.218675934400288,[0.83339163],[0.00029376],[34148.84291264],[-2515.79111963],15100.028125,[18011.31654867],[40975.74514823],[-6826.90223559],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[2.26150856]
31,9806.828820258024,[10384.21918844],[0.64164324],[12584.23700537],6.655328197249077,[0.83339163],[0.13670094],[19612.51397992],[-2515.79111963],15100.028125,[10344.33870896],[23533.37056289],[-3920.85658298],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[1.29883957]
58,9625.770384839354,[9906.62821437],[0.67257637],[12584.23700537],6.780513326585797,[0.83339163],[0.13286684],[18710.49530276],[-2515.79111963],15100.028125,[9868.58191777],[22451.02386293],[-3740.52856017],[1.19991606],[0.83339163],[0.83339163],[0.83339163],[1.23910334]
