,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
991,9980520.03803328,[18127.41187203],[0.39758424],[13633.1641557],4.8774802485952335,[0.90285687],[0.00023484],[34290.00154237],[-1466.8639693],15100.028125,[16694.26087649],[37979.44349403],[-3689.44195165],[1.10759527],[0.90285687],[0.90285687],[0.90285687],[2.2708568]
945,9974583.436410988,[17802.44277559],[0.40484182],[13633.1641557],4.880383192596966,[0.90285687],[0.00023077],[33675.28660697],[-1466.8639693],15100.028125,[16394.98379762],[37298.58813958],[-3623.30153261],[1.10759527],[0.90285687],[0.90285687],[0.90285687],[2.23014728]
954,9951192.272040468,[18755.65318808],[0.38426672],[13633.1641557],4.891854968272521,[0.90285687],[0.0002437],[35478.38937449],[-1466.8639693],15100.028125,[17272.8335099],[39295.69623502],[-3817.30686053],[1.10759527],[0.90285687],[0.90285687],[0.90285687],[2.34955783]
935,9903225.40783044,[17373.96153344],[0.41482613],[13633.1641557],4.915548960213041,[0.90285687],[0.00022684],[32864.76701607],[-1466.8639693],15100.028125,[16000.37823077],[36400.860475],[-3536.09345892],[1.10759527],[0.90285687],[0.90285687],[0.90285687],[2.17647058]
942,9249153.929137696,[18109.74625789],[0.39797207],[13633.1641557],5.263161336612627,[0.90285687],[0.00025317],[34256.58508225],[-1466.8639693],15100.028125,[16677.99190368],[37942.43158087],[-3685.84649863],[1.10759527],[0.90285687],[0.90285687],[0.90285687],[2.26864379]
978,8909615.869223032,[18225.57449763],[0.39544286],[13633.1641557],5.463736043253392,[0.90285687],[0.0002645],[34475.68698976],[-1466.8639693],15100.028125,[16784.66277676],[38185.10781713],[-3709.42082738],[1.10759527],[0.90285687],[0.90285687],[0.90285687],[2.28315383]
938,8778957.556822553,[17950.93693509],[0.40149287],[13633.1641557],5.545053503349593,[0.90285687],[0.00026439],[33956.17970931],[-1466.8639693],15100.028125,[16531.73802678],[37609.70401092],[-3653.52430161],[1.10759527],[0.90285687],[0.90285687],[0.90285687],[2.24874943]
987,8735612.048677517,[18425.769997],[0.39114638],[13633.1641557],5.572567678710722,[0.90285687],[0.00027273],[34854.37888634],[-1466.8639693],15100.028125,[16969.0308441],[38604.54517033],[-3750.16628399],[1.10759527],[0.90285687],[0.90285687],[0.90285687],[2.30823271]
973,8640377.867508542,[18092.51105081],[0.39835119],[13633.1641557],5.633988478591056,[0.90285687],[0.00027075],[34223.98278459],[-1466.8639693],15100.028125,[16662.11930999],[37906.32143022],[-3682.33864563],[1.10759527],[0.90285687],[0.90285687],[0.90285687],[2.2664847]
928,8468134.172055574,[17755.57349827],[0.40591047],[13633.1641557],5.7485850326813654,[0.90285687],[0.00027111],[33586.62819269],[-1466.8639693],15100.028125,[16351.81999971],[37200.39049933],[-3613.76230665],[1.10759527],[0.90285687],[0.90285687],[0.90285687],[2.22427587]
