,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
809,9933903.290621832,[10463.3779984],[0.61823956],[24577.2809534],1.9962973500480161,[1.62763147],[0.00027354],[39753.65293269],[9477.2528284],15100.028125,[10735.92732388],[24424.23466182],[15329.41827088],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.63268734]
895,9906043.384153789,[10617.9800344],[0.60923775],[24577.2809534],2.001911766954741,[1.62763147],[0.00027836],[40341.03452999],[9477.2528284],15100.028125,[10894.55642271],[24785.11586166],[15555.91866833],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.67158671]
859,9897038.154022042,[10517.13927766],[0.61507926],[24577.2809534],2.003733289301561,[1.62763147],[0.00027597],[39957.90888496],[9477.2528284],15100.028125,[10791.08897311],[24549.72741384],[15408.18147113],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.6462142]
896,9863434.665703135,[10152.15142508],[0.63719245],[24577.2809534],2.0105597580179175,[1.62763147],[0.0002673],[38571.20562158],[9477.2528284],15100.028125,[10416.59394292],[23697.75122014],[14873.45440144],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.55437972]
843,9842942.6813419,[10285.82357311],[0.62891165],[24577.2809534],2.0147455346146588,[1.62763147],[0.00027139],[39079.06801368],[9477.2528284],15100.028125,[10553.74797355],[24009.77663983],[15069.29137385],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.58801293]
810,9719565.324893164,[10873.15072462],[0.59494018],[24577.2809534],2.0403201328264764,[1.62763147],[0.00029052],[41310.50796954],[9477.2528284],15100.028125,[11156.3737809],[25380.75035155],[15929.75761799],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.73579013]
802,9670666.53528856,[10664.46860517],[0.60658196],[24577.2809534],2.050636814157288,[1.62763147],[0.00028639],[40517.65918296],[9477.2528284],15100.028125,[10942.25592446],[24893.63222816],[15624.02695481],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.68328369]
851,9520343.283922033,[10397.37789354],[0.622164],[24577.2809534],2.083015729925652,[1.62763147],[0.00028362],[39502.8978455],[9477.2528284],15100.028125,[10668.20805298],[24270.17332052],[15232.72452498],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.61608108]
826,9325012.781229356,[10337.79978415],[0.62574961],[24577.2809534],2.126648539787548,[1.62763147],[0.00028791],[39276.54193223],[9477.2528284],15100.028125,[10607.07805724],[24131.10258022],[15145.439352],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.60109065]
876,9293618.224933498,[10214.50944204],[0.63330249],[24577.2809534],2.13383252192324,[1.62763147],[0.00028543],[38808.12327515],[9477.2528284],15100.028125,[10480.57625707],[23843.31098482],[14964.81229032],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.5700696]
947,9220081.381290898,[10387.41607774],[0.62276067],[24577.2809534],2.15085138564418,[1.62763147],[0.00029258],[39465.0497846],[9477.2528284],15100.028125,[10657.98675251],[24246.91986196],[15218.12992264],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.61357459]
840,9183927.639413588,[10534.68575868],[0.61405479],[24577.2809534],2.159318495672281,[1.62763147],[0.0002979],[40024.57346658],[9477.2528284],15100.028125,[10809.09250362],[24590.68544574],[15433.88802084],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.65062907]
921,9112779.018841302,[10675.68643307],[0.60594457],[24577.2809534],2.176177516617007,[1.62763147],[0.00030424],[40560.27922755],[9477.2528284],15100.028125,[10953.76595354],[24919.81754431],[15640.46168324],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.6861062]
824,8999125.567767799,[9931.96832649],[0.65131845],[24577.2809534],2.2036613074641926,[1.62763147],[0.00028662],[37734.66101005],[9477.2528284],15100.028125,[10190.67553065],[23183.78683222],[14550.87417783],[0.61438969],[1.62763147],[1.62763147],[1.62763147],[2.49897952]
