,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
920,9996343.55261503,[17981.69214911],[0.38063141],[14478.93618141],2.9553754290254943,[1.04410089],[0.00026011],[38039.25725739],[611.56341355],13867.372767857143,[17437.80150527],[36432.54957351],[1606.70768389],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.74307599]
874,9899913.91193971,[18289.65236455],[0.37422236],[14478.93618141],2.984162122850971,[1.04410089],[0.00026714],[38690.72975304],[611.56341355],13867.372767857143,[17736.44687545],[37056.50507907],[1634.22467397],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.79005479]
892,9849960.141036384,[18873.02885017],[0.36265493],[14478.93618141],2.9992962095770936,[1.04410089],[0.00027706],[39924.82986053],[611.56341355],13867.372767857143,[18302.17802437],[38238.47908663],[1686.3507739],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.87904786]
959,9688219.200874826,[18119.95039355],[0.37772713],[14478.93618141],3.049368258805313,[1.04410089],[0.00027045],[38331.73478868],[611.56341355],13867.372767857143,[17571.87786488],[36712.67339627],[1619.06139242],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.76416704]
879,9586005.005192734,[18385.2093167],[0.37227734],[14478.93618141],3.081883234933893,[1.04410089],[0.00027733],[38892.87510483],[611.56341355],13867.372767857143,[17829.11352496],[37250.11218607],[1642.76291875],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.80463183]
849,9579430.126127012,[18481.74337256],[0.37033286],[14478.93618141],3.083998497459698,[1.04410089],[0.00027898],[39097.08746453],[611.56341355],13867.372767857143,[17922.72772382],[37445.69899441],[1651.38847012],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.81935794]
839,9485217.208307063,[17402.41842719],[0.39330148],[14478.93618141],3.1146306369897823,[1.04410089],[0.0002653],[36813.83631548],[611.56341355],13867.372767857143,[16876.04902412],[35258.88813968],[1554.94817581],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.65470879]
910,9317070.998015951,[18575.47395965],[0.36846418],[14478.93618141],3.1708407204138482,[1.04410089],[0.00028829],[39295.36924388],[611.56341355],13867.372767857143,[18013.62325017],[37635.60571911],[1659.76352477],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.83365637]
952,9046255.901555834,[18568.08423206],[0.36861083],[14478.93618141],3.2657652444272425,[1.04410089],[0.0002968],[39279.73669126],[611.56341355],13867.372767857143,[18006.45703902],[37620.63345652],[1659.10323474],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.83252908]
873,9023788.656878456,[18675.46821132],[0.36649131],[14478.93618141],3.2738962800260754,[1.04410089],[0.00029926],[39506.90145298],[611.56341355],13867.372767857143,[18110.5929846],[37838.20319998],[1668.69825301],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.84891032]
820,8868045.320913997,[18429.59493733],[0.37138075],[14478.93618141],3.3313934521537827,[1.04410089],[0.00030051],[38986.77038609],[611.56341355],13867.372767857143,[17872.15661767],[37340.04150478],[1646.72888131],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.81140278]
864,8828781.843877276,[18220.64915904],[0.37563957],[14478.93618141],3.346208869798248,[1.04410089],[0.00029842],[38544.75735709],[611.56341355],13867.372767857143,[17669.53080376],[36916.69828642],[1628.05907066],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.77952847]
870,8816201.71102447,[17979.95181825],[0.38066825],[14478.93618141],3.350983687062542,[1.04410089],[0.0002949],[38035.57568545],[611.56341355],13867.372767857143,[17436.11381404],[36429.02350433],[1606.55218111],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.7428105]
843,8731973.49148311,[17918.77486836],[0.3819679],[14478.93618141],3.3833071234482253,[1.04410089],[0.00029673],[37906.1592926],[611.56341355],13867.372767857143,[17376.78727791],[36305.07341992],[1601.08587268],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.73347807]
965,8724918.066729566,[18392.25332111],[0.37213476],[14478.93618141],3.3860430424156065,[1.04410089],[0.00030482],[38907.77629955],[611.56341355],13867.372767857143,[17835.94447],[37264.38398196],[1643.39231758],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.80570638]
899,8708856.18190649,[18265.91711798],[0.37470863],[14478.93618141],3.3922879765627854,[1.04410089],[0.00030328],[38640.51917536],[611.56341355],13867.372767857143,[17713.42954677],[37008.41530308],[1632.10387228],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.78643401]
916,8664866.508208826,[18931.40395242],[0.36153668],[14478.93618141],3.4095098969508415,[1.04410089],[0.00031593],[40048.31910246],[611.56341355],13867.372767857143,[18358.78746009],[38356.75237198],[1691.56673048],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.88795288]
871,8638781.099656885,[18158.00807895],[0.37693545],[14478.93618141],3.4198051524501833,[1.04410089],[0.00030394],[38412.24367925],[611.56341355],13867.372767857143,[17608.78442285],[36789.7817406],[1622.46193865],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.76997268]
986,8322957.769109363,[17981.37798376],[0.38063806],[14478.93618141],3.5495732328649376,[1.04410089],[0.0003124],[38038.59265828],[611.56341355],13867.372767857143,[17437.49684245],[36431.91304583],[1606.67961245],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.74302806]
909,8317879.35327618,[18512.0209708],[0.36972716],[14478.93618141],3.5517403968909127,[1.04410089],[0.00032182],[39161.13801877],[611.56341355],13867.372767857143,[17952.08951823],[37507.04417202],[1654.09384675],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.82397673]
940,8240939.860003024,[18760.9683103],[0.36482109],[14478.93618141],3.584900341146893,[1.04410089],[0.00032919],[39687.77209816],[611.56341355],13867.372767857143,[18193.50696969],[38011.43420453],[1676.33789364],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.86195322]
990,8231766.640249544,[17616.70542674],[0.38851742],[14478.93618141],3.588895240426821,[1.04410089],[0.00030946],[37267.1483973],[611.56341355],13867.372767857143,[17083.85450384],[35693.05315981],[1574.09523749],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.6873979]
972,7995632.998076165,[17977.77122683],[0.38071443],[14478.93618141],3.6948854609265114,[1.04410089],[0.00032513],[38030.96276707],[611.56341355],13867.372767857143,[17433.99917877],[36424.60542707],[1606.35734],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.74247786]
821,7824173.059928387,[18724.83312288],[0.36552512],[14478.93618141],3.775855657743628,[1.04410089],[0.00034606],[39611.33014382],[611.56341355],13867.372767857143,[18158.46476007],[37938.22101657],[1673.10912725],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.85644086]
890,7751554.344594247,[18849.26905607],[0.36311206],[14478.93618141],3.811228922893179,[1.04410089],[0.00035162],[39874.56735394],[611.56341355],13867.372767857143,[18279.13689065],[38190.3395751],[1684.22777884],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.87542334]
974,7725771.459233787,[18337.89232367],[0.37323792],[14478.93618141],3.823947973530378,[1.04410089],[0.00034322],[38792.77867032],[611.56341355],13867.372767857143,[17783.22772481],[37154.24363934],[1638.53503099],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.79741371]
911,7643789.917400443,[18211.58157249],[0.3758266],[14478.93618141],3.8649607635400662,[1.04410089],[0.00034451],[38525.57538831],[611.56341355],13867.372767857143,[17660.7374837],[36898.32652844],[1627.24885987],[0.95776185],[1.04410089],[1.04410089],[1.04410089],[2.77814522]
