,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
970,9978910.087825261,[10355.19314841],[0.62979392],[21409.80438345],3.1315260270730825,[1.4178652],[0.00023286],[33994.93646349],[6309.77625845],15100.028125,[10538.96324171],[23976.14137489],[10018.7950886],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.2513161]
918,9853448.2837506,[10701.9463242],[0.609388],[21409.80438345],3.1713990637552016,[1.4178652],[0.00024372],[35133.28820746],[6309.77625845],15100.028125,[10891.87012826],[24779.00454179],[10354.28366567],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.32670349]
980,9772535.250577508,[10328.18436519],[0.63144087],[21409.80438345],3.1976570931274235,[1.4178652],[0.00023716],[33906.26966062],[6309.77625845],15100.028125,[10511.47514279],[23913.60594985],[9992.66371077],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.24544414]
986,9691846.236685237,[10451.7392329],[0.62397631],[21409.80438345],3.2242790381427544,[1.4178652],[0.00024199],[34311.88641903],[6309.77625845],15100.028125,[10637.22269675],[24199.68163509],[10112.20478393],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.27230613]
956,9616483.09929942,[10246.3485865],[0.63648408],[21409.80438345],3.2495472969867247,[1.4178652],[0.0002391],[33637.61198741],[6309.77625845],15100.028125,[10428.18705236],[23724.12554411],[9913.4864433],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.22765227]
917,9435858.768776441,[10368.93049089],[0.62895954],[21409.80438345],3.311751206498725,[1.4178652],[0.00024659],[34040.03461648],[6309.77625845],15100.028125,[10552.94437614],[24007.94845572],[10032.08616076],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.25430273]
966,9379982.467854403,[10577.01892196],[0.61658561],[21409.80438345],3.331479218531521,[1.4178652],[0.00025304],[34723.16557229],[6309.77625845],15100.028125,[10764.72568187],[24489.75092626],[10233.41464603],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.29954311]
919,9247119.170160748,[10814.31110444],[0.60305623],[21409.80438345],3.3793461603354378,[1.4178652],[0.00026243],[35502.16916507],[6309.77625845],15100.028125,[11006.22900806],[25039.17099334],[10462.99817173],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.35113265]
940,9021534.997531414,[10440.7852825],[0.62463096],[21409.80438345],3.463846969545399,[1.4178652],[0.0002597],[34275.92582975],[6309.77625845],15100.028125,[10626.07435031],[24174.31914697],[10101.60668278],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.26992463]
924,8825849.108925592,[10364.8398562],[0.62920776],[21409.80438345],3.5406470557313945,[1.4178652],[0.00026353],[34026.60552209],[6309.77625845],15100.028125,[10548.78114635],[23998.47710795],[10028.12841414],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.25341339]
974,8696789.710021913,[9756.11593975],[0.66846661],[21409.80438345],3.593189867042124,[1.4178652],[0.00025173],[32028.23324963],[6309.77625845],15100.028125,[9929.25441344],[22589.05379058],[9439.17945905],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.1210711]
959,8302315.581996561,[10697.97437443],[0.60961426],[21409.80438345],3.7639157838820747,[1.4178652],[0.00028915],[35120.24874232],[6309.77625845],15100.028125,[10887.82768965],[24769.80799395],[10350.44074837],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.32583996]
972,8292216.560034169,[10481.27515676],[0.62221797],[21409.80438345],3.7684998257833953,[1.4178652],[0.00028364],[34408.8495409],[6309.77625845],15100.028125,[10667.28278461],[24268.068335],[10140.7812059],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.27872751]
951,8144899.62167488,[10285.61470403],[0.63405425],[21409.80438345],3.8366607463998434,[1.4178652],[0.00028338],[33766.5182426],[6309.77625845],15100.028125,[10468.15001232],[23815.04127804],[9951.47696456],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.2361891]
950,7944492.169289988,[10526.80980957],[0.61952651],[21409.80438345],3.9334442020904827,[1.4178652],[0.00029734],[34558.33469361],[6309.77625845],15100.028125,[10713.62552543],[24373.49807036],[10184.83662325],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.28862717]
939,7898292.427058567,[10214.06567542],[0.63849577],[21409.80438345],3.9564522269131266,[1.4178652],[0.00029019],[33531.63081495],[6309.77625845],15100.028125,[10395.33122743],[23649.3785424],[9882.25227255],[0.70528567],[1.4178652],[1.4178652],[1.4178652],[2.22063367]
