,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
955,9981882.379398469,[13741.17103012],[0.45722618],[16416.08032168],3.3060850978761973,[1.08715561],[0.00024586],[35903.63142951],[1316.05219668],15100.028125,[14516.61182144],[33025.29189379],[2878.33953572],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.37771951]
983,9890139.07405107,[13795.94632079],[0.45541082],[16416.08032168],3.3367531372604713,[1.08715561],[0.00024913],[36046.75109838],[1316.05219668],15100.028125,[14574.47818744],[33156.93787643],[2889.81322194],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.38719761]
979,9637079.468690434,[14141.39145899],[0.44428607],[16416.08032168],3.424372777094751,[1.08715561],[0.00026208],[36949.34774707],[1316.05219668],15100.028125,[14939.41746124],[33987.17472432],[2962.17302276],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.44697211]
929,9633852.670420164,[13934.12733025],[0.45089463],[16416.08032168],3.4255197491870093,[1.08715561],[0.00025832],[36407.79747667],[1316.05219668],15100.028125,[14720.45701785],[33489.0397156],[2918.75776107],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.41110792]
943,9583767.620071705,[14045.83783191],[0.44730854],[16416.08032168],3.4434216157502537,[1.08715561],[0.00026175],[36699.68036421],[1316.05219668],15100.028125,[14838.47155863],[33757.52279589],[2942.15756832],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.43043788]
923,9496812.04535547,[13234.4200223],[0.47473355],[16416.08032168],3.4749505861202956,[1.08715561],[0.00024889],[34579.56659022],[1316.05219668],15100.028125,[13981.2638766],[31807.37531926],[2772.19127096],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.29003326]
989,9398863.370029144,[13377.59266766],[0.46965275],[16416.08032168],3.5111641997600334,[1.08715561],[0.0002542],[34953.65536901],[1316.05219668],15100.028125,[14132.51603055],[32151.4739695],[2802.18139951],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.3148073]
930,9051646.669608593,[13733.85490795],[0.45746975],[16416.08032168],3.6458507261540385,[1.08715561],[0.00027099],[35884.51549292],[1316.05219668],15100.028125,[14508.88283638],[33007.70845276],[2876.80704015],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.37645355]
975,8961621.519392826,[13375.63600634],[0.46972145],[16416.08032168],3.6824756001878307,[1.08715561],[0.00026657],[34948.54290468],[1316.05219668],15100.028125,[14130.44895106],[32146.77136366],[2801.77154102],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.31446873]
933,8735549.139591787,[13728.01073959],[0.4576645],[16416.08032168],3.777776537677906,[1.08715561],[0.00028067],[35869.24555221],[1316.05219668],15100.028125,[14502.70887032],[32993.66267999],[2875.58287222],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.3754423]
917,8726566.189821579,[14276.4727713],[0.44008231],[16416.08032168],3.78166530402,[1.08715561],[0.00029219],[37302.29507882],[1316.05219668],15100.028125,[15082.12167261],[34311.82680518],[2990.46827364],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.47034607]
978,8575108.760679737,[13390.2056836],[0.46921036],[16416.08032168],3.8484587781095776,[1.08715561],[0.00027889],[34986.61129938],[1316.05219668],15100.028125,[14145.84082332],[32181.78787304],[2804.82342633],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.31698981]
974,8535175.493490633,[14075.3627019],[0.44637025],[16416.08032168],3.8664644456872046,[1.08715561],[0.00029453],[36776.82444805],[1316.05219668],15100.028125,[14869.66257399],[33828.48235583],[2948.34209222],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.43554675]
931,8467515.30723194,[13258.45560177],[0.47387293],[16416.08032168],3.8973596605248297,[1.08715561],[0.00027965],[34642.36797627],[1316.05219668],15100.028125,[14006.65583019],[31865.14201369],[2777.22596258],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.29419228]
956,8235783.521477891,[13808.09567409],[0.45501011],[16416.08032168],4.007020400332273,[1.08715561],[0.00029944],[36078.49554736],[1316.05219668],15100.028125,[14587.31315218],[33186.13742121],[2892.35812614],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.38929989]
913,8111038.02484373,[12925.49276553],[0.48607997],[16416.08032168],4.068647253557671,[1.08715561],[0.00028461],[33772.38572179],[1316.05219668],15100.028125,[13654.90325874],[31064.90491363],[2707.48080816],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.23657767]
911,8071517.911651493,[13844.77714101],[0.45380457],[16416.08032168],4.088568339251822,[1.08715561],[0.00030635],[36174.33875211],[1316.05219668],15100.028125,[14626.06462505],[33274.29702198],[2900.04173013],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.39564711]
942,7886283.12810096,[13275.50241124],[0.47326444],[16416.08032168],4.18460154767852,[1.08715561],[0.00030065],[34686.90874815],[1316.05219668],15100.028125,[14024.66462401],[31906.11201962],[2780.79672853],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.297142]
959,7482235.533036618,[13225.44513041],[0.47505571],[16416.08032168],4.410573876961215,[1.08715561],[0.00031569],[34556.11653567],[1316.05219668],15100.028125,[13971.78251425],[31785.80521992],[2770.31131575],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.28848028]
939,7319041.723236199,[13596.30824446],[0.46209773],[16416.08032168],4.508917127567695,[1.08715561],[0.00033178],[35525.12656607],[1316.05219668],15100.028125,[14363.57414931],[32677.13118969],[2847.99537638],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.35265301]
925,7313261.736408684,[14705.7164481],[0.4272368],[16416.08032168],4.5124807196478125,[1.08715561],[0.00035913],[38423.84481656],[1316.05219668],15100.028125,[15535.5883982],[35343.46360591],[3080.38121066],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.54462074]
969,7095376.936439252,[13837.30472292],[0.45404964],[16416.08032168],4.651049955330983,[1.08715561],[0.0003483],[36154.8144376],[1316.05219668],15100.028125,[14618.17052399],[33256.33794208],[2898.47649552],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.39435411]
971,7040222.709564409,[13545.44970124],[0.46383275],[16416.08032168],4.687487022029748,[1.08715561],[0.00034363],[35392.24077438],[1316.05219668],15100.028125,[14309.84556037],[32554.89864985],[2837.34212453],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.34385264]
954,6955640.071057549,[13131.53760809],[0.47845297],[16416.08032168],4.7444882492697396,[1.08715561],[0.00033718],[34310.75017914],[1316.05219668],15100.028125,[13872.57560927],[31560.10951109],[2750.64066805],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.27223088]
915,6945971.634221717,[13083.15832649],[0.48022221],[16416.08032168],4.751092333964012,[1.08715561],[0.0003364],[34184.34232849],[1316.05219668],15100.028125,[13821.46619147],[31443.8355856],[2740.50674289],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.26385951]
957,6898703.922810609,[13438.32319037],[0.46753029],[16416.08032168],4.7836452980920665,[1.08715561],[0.0003479],[35112.33517142],[1316.05219668],15100.028125,[14196.67369382],[32297.43265345],[2814.90251797],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.32531588]
970,6630766.5334698865,[13338.59443619],[0.47102588],[16416.08032168],4.976943829450867,[1.08715561],[0.00035928],[34851.75880388],[1316.05219668],15100.028125,[14091.31705365],[32057.74629706],[2794.01250683],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.3080592]
914,6477087.236124217,[13858.93621284],[0.45334094],[16416.08032168],5.095029815134851,[1.08715561],[0.00038215],[36211.33429603],[1316.05219668],15100.028125,[14641.02272062],[33308.3266894],[2903.00760663],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.39809714]
965,6377655.09469755,[13855.98578841],[0.45343747],[16416.08032168],5.174464923749109,[1.08715561],[0.00038802],[36203.62527685],[1316.05219668],15100.028125,[14637.90579805],[33301.23569057],[2902.38958628],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.39758661]
967,6186166.198262215,[14020.58582882],[0.44811417],[16416.08032168],5.334637241487745,[1.08715561],[0.00040479],[36633.70064459],[1316.05219668],15100.028125,[14811.79453629],[33696.83257006],[2936.86807453],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.42606837]
945,6049944.74571081,[13663.86818643],[0.45981292],[16416.08032168],5.454752724258969,[1.08715561],[0.00040337],[35701.65062291],[1316.05219668],15100.028125,[14434.94662915],[32839.50358132],[2862.14704159],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.36434332]
982,5947288.551153348,[13694.55453546],[0.45878259],[16416.08032168],5.5489072540262825,[1.08715561],[0.00041125],[35781.82947833],[1316.05219668],15100.028125,[14467.36466805],[32913.25461982],[2868.57485851],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.36965317]
950,5906412.692526272,[12654.81062892],[0.49647706],[16416.08032168],5.587308964211103,[1.08715561],[0.00038266],[33065.13365089],[1316.05219668],15100.028125,[13368.94600694],[30414.35216579],[2650.7814851],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.18973987]
963,5810990.5961660715,[14175.9812943],[0.44320199],[16416.08032168],5.679057991430133,[1.08715561],[0.0004357],[37039.72583024],[1316.05219668],15100.028125,[14975.95926769],[34070.30733399],[2969.41849625],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.45295741]
936,5761936.600996805,[13486.47578658],[0.46586101],[16416.08032168],5.727406403182771,[1.08715561],[0.00041803],[35238.15072695],[1316.05219668],15100.028125,[14247.54363394],[32413.16176721],[2824.98895974],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.33364802]
935,5716315.961756216,[13275.77325337],[0.47325478],[16416.08032168],5.773115552756016,[1.08715561],[0.00041479],[34687.61641827],[1316.05219668],15100.028125,[14024.95075029],[31906.7629569],[2780.85346137],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.29718886]
932,5679613.185085734,[13439.41801199],[0.46749221],[16416.08032168],5.810422560103294,[1.08715561],[0.00042261],[35115.19577711],[1316.05219668],15100.028125,[14197.83029834],[32300.06392873],[2815.13184838],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.32550532]
987,5672214.351289166,[14032.8849738],[0.44772142],[16416.08032168],5.818001672624009,[1.08715561],[0.00044185],[36665.83647694],[1316.05219668],15100.028125,[14824.78774576],[33726.3921216],[2939.44435534],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.42819657]
912,5669855.5016323505,[13713.65671908],[0.45814354],[16416.08032168],5.820422156046358,[1.08715561],[0.00043198],[35831.74063646],[1316.05219668],15100.028125,[14487.54482475],[32959.1644763],[2872.57616016],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.37295854]
7,9901.898889859394,[7105.09402139],[0.88427024],[16416.08032168],5.978128232714847,[1.08715561],[0.12815419],[18564.55148231],[1316.05219668],15100.028125,[7506.04818449],[17076.25961971],[1488.2918626],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[1.22943821]
1,9807.784120623297,[7214.02472748],[0.87091789],[16416.08032168],6.035493907995432,[1.08715561],[0.13136758],[18849.17117843],[1316.05219668],15100.028125,[7621.12606048],[17338.06178759],[1511.10939084],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[1.24828716]
966,5441984.192051778,[13683.05956044],[0.45916801],[16416.08032168],6.064139736289826,[1.08715561],[0.00044906],[35751.79482221],[1316.05219668],15100.028125,[14455.22100941],[32885.62779641],[2866.1670258],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.36766412]
38,9736.418811302841,[7715.36184425],[0.81432644],[16416.08032168],6.079732441484338,[1.08715561],[0.14152674],[20159.09032746],[1316.05219668],15100.028125,[8150.75459795],[18542.96671034],[1616.12361712],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[1.33503661]
24,9597.950228352922,[7870.81505847],[0.79824302],[16416.08032168],6.167444079475554,[1.08715561],[0.14646123],[20565.26640194],[1316.05219668],15100.028125,[8314.98033695],[18916.58026657],[1648.68613537],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[1.36193564]
918,5323134.200417002,[13721.61713612],[0.45787775],[16416.08032168],6.199534210634227,[1.08715561],[0.00046038],[35852.54001949],[1316.05219668],15100.028125,[14495.95446348],[32978.29640442],[2874.24361507],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.37433598]
37,9392.876399896706,[7073.64489037],[0.88820166],[16416.08032168],6.302097333209582,[1.08715561],[0.13450118],[18482.37959125],[1316.05219668],15100.028125,[7472.82431833],[17000.6753242],[1481.70426705],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[1.22399637]
948,5171167.726921963,[13462.75938397],[0.46668168],[16416.08032168],6.381721561935384,[1.08715561],[0.00046497],[35176.18330246],[1316.05219668],15100.028125,[14222.48886897],[32356.16217691],[2820.02112555],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.32954422]
920,5124953.259325009,[13880.32131042],[0.45264249],[16416.08032168],6.439268987133889,[1.08715561],[0.00048372],[36267.21036803],[1316.05219668],15100.028125,[14663.61462052],[33359.72326168],[2907.48710635],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[2.40179754]
28,9157.281419209892,[7526.37815921],[0.83477378],[16416.08032168],6.464235246366787,[1.08715561],[0.14679151],[19665.30413128],[1316.05219668],15100.028125,[7951.10619896],[18088.76660264],[1576.53752864],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[1.3023356]
0,9039.515053713665,[7285.49910186],[0.86237375],[16416.08032168],6.548450990923181,[1.08715561],[0.14394468],[19035.9230636],[1316.05219668],15100.028125,[7696.63387169],[17509.84205811],[1526.0810055],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[1.26065481]
32,9002.990884398187,[8291.53575494],[0.75773938],[16416.08032168],6.575017354903519,[1.08715561],[0.16448626],[21664.54686267],[1316.05219668],15100.028125,[8759.443114],[19927.73308436],[1736.81377831],[0.91983152],[1.08715561],[1.08715561],[1.08715561],[1.43473553]
