,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
916,9853939.081242451,[13779.69706956],[0.47448041],[13630.31838157],3.5224805603253055,[0.90266841],[0.00019927],[28726.83050048],[-1469.70974343],15100.028125,[13988.72287906],[31824.34454986],[-3097.51404938],[1.10782652],[0.90266841],[0.90266841],[0.90266841],[1.90243556]
977,9829393.56682365,[13620.30712179],[0.48003296],[13630.31838157],3.5312767385224264,[0.90266841],[0.00019746],[28394.5468523],[-1469.70974343],15100.028125,[13826.91512684],[31456.23191357],[-3061.68506127],[1.10782652],[0.90266841],[0.90266841],[0.90266841],[1.88043006]
989,9628594.152000468,[13212.80632547],[0.49483783],[13630.31838157],3.604919711886996,[0.90266841],[0.00019555],[27545.02118815],[-1469.70974343],15100.028125,[13413.23290408],[30515.10485678],[-2970.08366863],[1.10782652],[0.90266841],[0.90266841],[0.90266841],[1.82417019]
876,9429967.092380699,[13552.15503557],[0.48244699],[13630.31838157],3.680851535988058,[0.90266841],[0.00020479],[28252.46873409],[-1469.70974343],15100.028125,[13757.72923379],[31298.83400686],[-3046.36527278],[1.10782652],[0.90266841],[0.90266841],[0.90266841],[1.87102093]
889,9186007.37957025,[14113.36972326],[0.4632626],[13630.31838157],3.778606681015991,[0.90266841],[0.00021894],[29422.44504971],[-1469.70974343],15100.028125,[14327.45705162],[32594.96479243],[-3172.51974273],[1.10782652],[0.90266841],[0.90266841],[0.90266841],[1.94850267]
882,9130648.059637487,[13178.60680731],[0.49612197],[13630.31838157],3.801516456399749,[0.90266841],[0.00020568],[27473.72471796],[-1469.70974343],15100.028125,[13378.51460949],[30436.1207366],[-2962.39601864],[1.10782652],[0.90266841],[0.90266841],[0.90266841],[1.81944858]
979,8872933.28479812,[13945.03688538],[0.46885472],[13630.31838157],3.911931685069137,[0.90266841],[0.00022396],[29071.51796639],[-1469.70974343],15100.028125,[14156.57075356],[32206.19846434],[-3134.68049795],[1.10782652],[0.90266841],[0.90266841],[0.90266841],[1.9252625]
895,8842460.839256117,[13427.34299701],[0.48693151],[13630.31838157],3.925412788056677,[0.90266841],[0.00021639],[27992.27039606],[-1469.70974343],15100.028125,[13631.02390707],[31010.57938858],[-3018.30899251],[1.10782652],[0.90266841],[0.90266841],[0.90266841],[1.85378929]
948,8818388.973472793,[13326.0143097],[0.49063405],[13630.31838157],3.9361281250714644,[0.90266841],[0.00021534],[27781.02830485],[-1469.70974343],15100.028125,[13528.15815324],[30776.55979862],[-2995.53149378],[1.10782652],[0.90266841],[0.90266841],[0.90266841],[1.83979977]
960,8527727.748228999,[12782.03023971],[0.5115147],[13630.31838157],4.070288109691919,[0.90266841],[0.00021359],[26646.9730281],[-1469.70974343],15100.028125,[12975.92232633],[29520.22329241],[-2873.2502643],[1.10782652],[0.90266841],[0.90266841],[0.90266841],[1.76469691]
