,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
921,9991875.696677698,[13615.58599389],[0.51724902],[12095.87500565],5.973237933341309e-10,[0.93455814],[0.00015998],[23385.01278502],[-847.00624435],12942.88125,[12832.06871446],[25022.5339932],[-1637.52120817],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.8067857]
948,9955671.169114346,[13723.60143522],[0.51317787],[12095.87500565],5.994960050687955e-10,[0.93455814],[0.00016183],[23570.53123994],[-847.00624435],12942.88125,[12933.86834071],[25221.04326438],[-1650.51202444],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.82111933]
991,9272101.23346638,[14172.22889048],[0.49693302],[12095.87500565],6.436928311481941e-10,[0.93455814],[0.00017944],[24341.05692879],[-847.00624435],12942.88125,[13356.67925283],[26045.52454301],[-1704.46761422],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.88065211]
962,9227130.520522863,[13330.88548694],[0.52829563],[12095.87500565],6.468300280772914e-10,[0.93455814],[0.00016961],[22896.03456565],[-847.00624435],12942.88125,[12563.75147347],[24499.31537327],[-1603.28080763],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.769006]
931,9205710.03556071,[13405.30111817],[0.52536295],[12095.87500565],6.483351170748784e-10,[0.93455814],[0.00017096],[23023.84474499],[-847.00624435],12942.88125,[12633.88481139],[24636.07538221],[-1612.23063721],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.77888094]
992,9198867.240810197,[13703.85202601],[0.51391744],[12095.87500565],6.4881739647076e-10,[0.93455814],[0.00017489],[23536.61127594],[-847.00624435],12942.88125,[12915.25542341],[25184.74807566],[-1648.13679972],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.81849859]
980,9174218.553724458,[14404.16680304],[0.48893134],[12095.87500565],6.505605963833999e-10,[0.93455814],[0.00018433],[24739.41444737],[-847.00624435],12942.88125,[13575.2701554],[26471.77680303],[-1732.36235566],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.91143023]
988,8889917.003919577,[13584.77425767],[0.5184222],[12095.87500565],6.713656709090946e-10,[0.93455814],[0.0001794],[23332.09307626],[-847.00624435],12942.88125,[12803.03005857],[24965.90861422],[-1633.81553796],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.80269699]
937,8679522.838103196,[13687.63645279],[0.51452627],[12095.87500565],6.876397706405428e-10,[0.93455814],[0.00018514],[23508.76073852],[-847.00624435],12942.88125,[12899.97298533],[25154.9473214],[-1646.18658288],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.81634678]
954,8592140.575318925,[13634.01290988],[0.51654994],[12095.87500565],6.946330825646553e-10,[0.93455814],[0.00018629],[23416.66134323],[-847.00624435],12942.88125,[12849.43524222],[25056.39872232],[-1639.73737909],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.80923095]
985,8464851.928697608,[13730.64955671],[0.51291445],[12095.87500565],7.050784991794799e-10,[0.93455814],[0.00019043],[23582.63651483],[-847.00624435],12942.88125,[12940.51087371],[25233.99620373],[-1651.3596889],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.82205462]
975,8399274.49966636,[13904.56603619],[0.50649898],[12095.87500565],7.105834074002123e-10,[0.93455814],[0.00019435],[23881.34118299],[-847.00624435],12942.88125,[13104.41922229],[25553.61748347],[-1672.27630048],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.8451333]
932,8280052.76007201,[13352.90759134],[0.52742435],[12095.87500565],7.208148627317115e-10,[0.93455814],[0.00018933],[22933.85792435],[-847.00624435],12942.88125,[12584.50630232],[24539.78728952],[-1605.92936517],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.77192833]
942,8237701.241796793,[14023.45887346],[0.50220481],[12095.87500565],7.245207028606468e-10,[0.93455814],[0.00019986],[24085.54176024],[-847.00624435],12942.88125,[13216.47029803],[25772.11708117],[-1686.57532093],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.86091036]
968,8213699.625137541,[13682.60000144],[0.51471566],[12095.87500565],7.266378570013378e-10,[0.93455814],[0.00019557],[23500.11054314],[-847.00624435],12942.88125,[12895.22635968],[25145.69140138],[-1645.58085824],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.81567845]
936,8000122.1845617145,[14238.21320039],[0.49463008],[12095.87500565],7.460367424362798e-10,[0.93455814],[0.00020894],[24454.38616277],[-847.00624435],12942.88125,[13418.866455],[26166.78958724],[-1712.40342447],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.88940822]
938,7972512.695264656,[13160.65447483],[0.53512905],[12095.87500565],7.486203311043468e-10,[0.93455814],[0.0001938],[22603.65975369],[-847.00624435],12942.88125,[12403.31650977],[24186.46719405],[-1582.80744036],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.74641637]
984,7786938.078130296,[14224.28114572],[0.49511455],[12095.87500565],7.664610959762107e-10,[0.93455814],[0.00021445],[24430.45760937],[-847.00624435],12942.88125,[13405.73612899],[26141.18545153],[-1710.72784217],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.88755943]
978,7721584.59151415,[13682.3070646],[0.51472668],[12095.87500565],7.72948223635568e-10,[0.93455814],[0.00020803],[23499.60741886],[-847.00624435],12942.88125,[12894.95028007],[25145.15304613],[-1645.54562727],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.81563958]
939,7530776.050407838,[13708.8491636],[0.51373011],[12095.87500565],7.925325429561022e-10,[0.93455814],[0.00021371],[23545.19394924],[-847.00624435],12942.88125,[12919.96499764],[25193.93174541],[-1648.73779616],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.81916171]
949,7431246.186798696,[13799.51006245],[0.51035497],[12095.87500565],8.031472708124278e-10,[0.93455814],[0.00021801],[23700.90566665],[-847.00624435],12942.88125,[13005.40875925],[25360.54708053],[-1659.64141388],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.83119239]
933,6851868.163344991,[13986.25835108],[0.50354057],[12095.87500565],8.710595346231747e-10,[0.93455814],[0.00023964],[24021.64919684],[-847.00624435],12942.88125,[13181.41050262],[25703.75048012],[-1682.10128328],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.85597385]
928,6785570.874555366,[13196.29577899],[0.53368374],[12095.87500565],8.795700765639297e-10,[0.93455814],[0.00022831],[22664.87433189],[-847.00624435],12942.88125,[12436.90681314],[24251.96828562],[-1587.09395373],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.75114597]
983,6697502.119217951,[13459.77677366],[0.52323665],[12095.87500565],8.911359768796231e-10,[0.93455814],[0.00023594],[23117.4076589],[-847.00624435],12942.88125,[12685.22563174],[24736.18998189],[-1618.782323],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.78610985]
969,6538908.401584173,[13355.18946543],[0.52733423],[12095.87500565],9.12749457113772e-10,[0.93455814],[0.00023978],[22937.77708396],[-847.00624435],12942.88125,[12586.65686456],[24543.98088589],[-1606.20380192],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.77223113]
944,6435705.391590887,[13602.16076961],[0.51775954],[12095.87500565],9.273863128447632e-10,[0.93455814],[0.00024813],[23361.95472189],[-847.00624435],12942.88125,[12819.41605298],[24997.8613033],[-1635.90658142],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.80500418]
990,6177896.577172857,[13491.7139704],[0.52199806],[12095.87500565],9.660869228072935e-10,[0.93455814],[0.00025639],[23172.26036627],[-847.00624435],12942.88125,[12715.32498283],[24794.88371653],[-1622.62335026],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.79034791]
946,5760637.469725044,[13172.35027862],[0.53465391],[12095.87500565],1.0360633046306777e-09,[0.93455814],[0.00026845],[22623.74750617],[-847.00624435],12942.88125,[12414.33927133],[24207.9615791],[-1584.21407293],[1.07002439],[0.93455814],[0.93455814],[0.93455814],[1.74796841]
