,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
955,9941190.415308345,[18153.46067863],[0.40009385],[13186.4005724],3.064430090792238,[0.87326993],[0.00022662],[32958.26851467],[-1913.6275526],15100.028125,[16589.54513641],[37741.21518534],[-4782.94667066],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.18266272]
954,9803325.12117101,[18300.89410127],[0.39687066],[13186.4005724],3.1075255253114906,[0.87326993],[0.00023167],[33225.93925897],[-1913.6275526],15100.028125,[16724.27721107],[38047.73065519],[-4821.79139622],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.20038923]
984,9743112.422767352,[18271.85892745],[0.39750132],[13186.4005724],3.1267301171419213,[0.87326993],[0.00023273],[33173.22484424],[-1913.6275526],15100.028125,[16697.74340933],[37987.36625622],[-4814.14141199],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.19689822]
988,8973912.502387123,[18522.35673577],[0.39212548],[13186.4005724],3.3947381411243556,[0.87326993],[0.00025615],[33628.01273152],[-1913.6275526],15100.028125,[16926.66090177],[38508.15355153],[-4880.14082001],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.22701656]
957,8732932.866043512,[18199.46448429],[0.39908251],[13186.4005724],3.4884137453318296,[0.87326993],[0.00025862],[33041.79009805],[-1913.6275526],15100.028125,[16631.58572713],[37836.85752921],[-4795.06743116],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.18819394]
986,8493059.112281796,[18243.21279779],[0.39812549],[13186.4005724],3.5869387748534836,[0.87326993],[0.00026657],[33121.21675333],[-1913.6275526],15100.028125,[16671.5651357],[37927.81068372],[-4806.59393038],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.19345398]
985,8368770.847477592,[17754.83682253],[0.40907658],[13186.4005724],3.6402099665745267,[0.87326993],[0.00026329],[32234.55239694],[-1913.6275526],15100.028125,[16225.26261363],[36912.47244601],[-4677.92004906],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.13473459]
987,7971257.954771558,[17212.1391273],[0.42197474],[13186.4005724],3.821740962319582,[0.87326993],[0.00026797],[31249.26498104],[-1913.6275526],15100.028125,[15729.31817252],[35784.19884248],[-4534.93386144],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.06948389]
973,7928025.074657976,[18304.64457896],[0.39678935],[13186.4005724],3.8425815710832034,[0.87326993],[0.00028653],[33232.7483877],[-1913.6275526],15100.028125,[16727.70458616],[38055.52793351],[-4822.77954581],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.20084016]
960,7819666.835197945,[18595.38237569],[0.39058557],[13186.4005724],3.8958287723769907,[0.87326993],[0.00029511],[33760.59343839],[-1913.6275526],15100.028125,[16993.3954033],[38659.97454252],[-4899.38110413],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.23579673]
978,7637481.051155912,[17893.02482543],[0.40591728],[13186.4005724],3.988760540670097,[0.87326993],[0.00029074],[32485.43774524],[-1913.6275526],15100.028125,[16351.54575887],[37199.76660142],[-4714.32885618],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.15134949]
950,7518283.792700061,[18401.35375806],[0.394704],[13186.4005724],4.051999616793612,[0.87326993],[0.00030374],[33408.32742186],[-1913.6275526],15100.028125,[16816.08229662],[38256.58722482],[-4848.25980296],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.21246789]
975,7349790.530928726,[18009.52174686],[0.40329155],[13186.4005724],4.144891329728387,[0.87326993],[0.00030409],[32696.94214572],[-1913.6275526],15100.028125,[16458.00650321],[37441.9647948],[-4745.02264908],[1.1451213],[0.87326993],[0.87326993],[0.87326993],[2.16535637]
