,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
24,9917.553433694686,[6516.21189454],[1.04750984],[11314.0057415],6.36920678322466,[0.74927051],[0.07444243],[10800.85872287],[-3786.0223835],15100.028125,[6336.33668779],[14415.16596472],[-3614.30724185],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[0.71528732]
6,9053.788742967288,[5936.62827727],[1.14977656],[11314.0057415],6.9768524974638275,[0.74927051],[0.07429155],[9840.17775215],[-3786.0223835],15100.028125,[5772.75204732],[13133.01090766],[-3292.83315551],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[0.65166619]
28,9028.38604642762,[5787.92143627],[1.17931733],[11314.0057415],6.996482901600704,[0.74927051],[0.07263441],[9593.69074302],[-3786.0223835],15100.028125,[5628.15014862],[12804.0415881],[-3210.35084508],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[0.63534257]
960,9379156.62515239,[10782.5129725],[0.63304316],[11314.0057415],7.525092519315673,[0.74927051],[0.00013025],[17872.40826085],[-3786.0223835],15100.028125,[10484.86968194],[23853.07852641],[-5980.67026556],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[1.18360099]
950,9376187.361911789,[11281.67360558],[0.60503399],[11314.0057415],7.527475575427639,[0.74927051],[0.00013633],[18699.78520396],[-3786.0223835],15100.028125,[10970.25135517],[24957.32183302],[-6257.53662906],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[1.23839406]
40,8295.984291806086,[6184.22178212],[1.10374374],[11314.0057415],7.614159620006875,[0.74927051],[0.08445922],[10250.57301091],[-3786.0223835],15100.028125,[6013.51091671],[13680.73733552],[-3430.16432461],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[0.67884463]
14,8246.267437770955,[6968.27533592],[0.97955315],[11314.0057415],7.6600654877567065,[0.74927051],[0.09574096],[11550.17035409],[-3786.0223835],15100.028125,[6775.92125243],[15415.22084929],[-3865.05049519],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[0.76491052]
938,9191892.906602342,[10917.97525703],[0.62518882],[11314.0057415],7.678399006012012,[0.74927051],[0.00013458],[18096.94193488],[-3786.0223835],15100.028125,[10616.59263036],[24152.74823406],[-6055.80629918],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[1.19847074]
927,9132645.934789706,[10707.43688861],[0.63748179],[11314.0057415],7.728211721048122,[0.74927051],[0.00013284],[17747.96691538],[-3786.0223835],15100.028125,[10411.86601779],[23686.99519047],[-5939.02827508],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[1.17535986]
974,9006947.154088037,[10642.47761103],[0.64137284],[11314.0057415],7.836064778662565,[0.74927051],[0.00013387],[17640.2945451],[-3786.0223835],15100.028125,[10348.69989298],[23543.29225654],[-5902.99771143],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[1.16822925]
987,9002658.782387365,[11036.39561941],[0.61848055],[11314.0057415],7.83979744911623,[0.74927051],[0.00013889],[18293.22800181],[-3786.0223835],15100.028125,[10731.74408628],[24414.71779629],[-6121.48979448],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[1.2114698]
962,8913580.828548923,[10797.42516652],[0.63216887],[11314.0057415],7.918144538653848,[0.74927051],[0.00013725],[17897.12576598],[-3786.0223835],15100.028125,[10499.37023588],[23886.06728663],[-5988.94152066],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[1.18523791]
984,8772315.609559093,[10454.07709206],[0.65293148],[11314.0057415],8.045654590962862,[0.74927051],[0.00013502],[17328.01381796],[-3786.0223835],15100.028125,[10165.50003091],[23126.51257032],[-5798.49875237],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[1.14754845]
11,7839.226777693021,[6001.7589991],[1.13729926],[11314.0057415],8.057803453604183,[0.74927051],[0.08674316],[9948.13429752],[-3786.0223835],15100.028125,[5836.08488378],[13277.0931106],[-3328.95881308],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[0.65881561]
7,7805.1027825587535,[5602.04286942],[1.21844766],[11314.0057415],8.093032258849146,[0.74927051],[0.08132006],[9285.59024342],[-3786.0223835],15100.028125,[5447.40262203],[12392.84096512],[-3107.2507217],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[0.61493861]
919,8618979.906569852,[10788.8284794],[0.63267259],[11314.0057415],8.188790567155767,[0.74927051],[0.00014182],[17882.87644373],[-3786.0223835],15100.028125,[10491.01085394],[23867.04969272],[-5984.17324899],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[1.18429425]
921,8570882.740199357,[10711.17848146],[0.63725911],[11314.0057415],8.234743549388782,[0.74927051],[0.00014159],[17754.1687419],[-3786.0223835],15100.028125,[10415.50432673],[23695.27234331],[-5941.10360141],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[1.17577057]
33,7523.091423005369,[5497.64118464],[1.24158631],[11314.0057415],8.396408477732804,[0.74927051],[0.08279612],[9112.54064559],[-3786.0223835],15100.028125,[5345.88286849],[12161.88352582],[-3049.34288023],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[0.60347839]
19,7518.6898103882295,[6485.60541857],[1.05245318],[11314.0057415],8.401323926890338,[0.74927051],[0.09773233],[10750.12737338],[-3786.0223835],15100.028125,[6306.57508093],[14347.45830912],[-3597.33093574],[1.33463147],[0.74927051],[0.74927051],[0.74927051],[0.71192764]
