zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_-5500_incentive,prop_adopt_2_years_-5500_incentive,prop_adopt_3_years_-5500_incentive,prop_adopt_4_years_-5500_incentive,prop_adopt_5_years_-5500_incentive
99501,14.582073288906315,13244.19601035055,0.0,0.0,0.0,0.0,0.0
99502,14.5758336519526,13281.637971741951,0.0,0.0,0.0,0.0,0.0
99503,14.569955540878231,13344.812072175491,0.0,0.0,0.0,0.0,0.0
99504,14.570316793222656,13387.149629454805,0.0,0.0,0.0,0.0,0.0
99506,14.569865086169942,13442.872600284441,0.0,0.0,0.0,0.0,0.0
99507,14.5643317372322,13282.872150485464,0.0,0.0,0.0,0.0,0.0
99508,14.564097477009316,13294.487366853278,0.0,0.0,0.0,0.0,0.0
99515,14.568189498378423,13280.546799076139,0.0,0.0,0.0,0.0,0.0
99516,14.562356063835063,13192.785375565678,0.0,0.0,0.0,0.0,0.0
99517,14.561616445256483,13304.064373892048,0.0,0.0,0.0,0.0,0.0
99518,14.56772407065382,13392.73135633104,0.0,0.0,0.0,0.0,0.0
99701,15.739619770466724,13612.671754411338,0.0,0.0,0.0,0.0,0.0
99703,15.7373272004851,13742.630493247816,0.0,0.0,0.0,0.0,0.0
99709,15.762036777671725,13594.703064373693,0.0,0.0,0.0,0.0,0.0
99712,15.715393684169937,13590.463802857437,0.0,0.0,0.0,0.0,0.0
35004,14.998991853672083,10976.180999959995,0.0,0.0,0.0,0.0,0.0
35005,15.11705622717131,11005.484791106053,0.0,0.0,0.0,0.0,0.0
35007,14.97195288123427,10836.338431215116,0.0,0.0,0.0,0.0,0.0
35014,15.02797215976135,11034.904589279526,0.0,0.0,0.0,0.0,0.0
35020,14.881557667332071,10620.769476320836,0.0,0.0,0.0,0.0,0.0
35022,15.092651772300261,10894.310366745072,0.0,0.0,0.0,0.0,0.0
35023,15.142635559902969,11058.956321872047,0.0,0.0,0.0,0.0,0.0
35040,14.959633836571752,10869.106866262782,0.0,0.0,0.0,0.0,0.0
35043,15.04801712679056,10896.61803693996,0.0,0.0,0.0,0.0,0.0
35044,14.876186230181816,10704.847327973255,0.0,0.0,0.0,0.0,0.0
35051,14.891695680239792,10627.81082517304,0.0,0.0,0.0,0.0,0.0
35055,15.162752536056388,10948.992968110302,0.0,0.0,0.0,0.0,0.0
35057,16.545921924443316,11600.196131893306,0.0,0.0,0.0,0.0,0.0
35058,15.215838870855375,11105.609790010278,0.0,0.0,0.0,0.0,0.0
35061,15.114326982650098,11079.217143051206,0.0,0.0,0.0,0.0,0.0
35064,15.112297402912166,10945.218230145269,0.0,0.0,0.0,0.0,0.0
35068,15.142792936656376,11075.836025597513,0.0,0.0,0.0,0.0,0.0
35071,15.035525394673872,10790.01135522478,0.0,0.0,0.0,0.0,0.0
35072,14.965414693802119,10939.905352306381,0.0,0.0,0.0,0.0,0.0
35073,15.078391905454469,10981.422691951308,0.0,0.0,0.0,0.0,0.0
35077,15.179785300360361,10974.621151615356,0.0,0.0,0.0,0.0,0.0
35080,15.024565032727457,10899.484144238855,0.0,0.0,0.0,0.0,0.0
35094,15.083407435781151,11032.478316488523,0.0,0.0,0.0,0.0,0.0
35096,14.96832080834602,10912.754708556131,0.0,0.0,0.0,0.0,0.0
35111,15.054977575052803,10867.073418165488,0.001,0.001,0.001,0.001,0.001
35114,15.015218581384326,10881.775324407072,0.0,0.0,0.0,0.0,0.0
35115,14.988882313168524,10939.640672949401,0.0,0.0,0.0,0.0,0.0
35116,15.10393165906528,10949.508197128158,0.0,0.0,0.0,0.0,0.0
35117,15.06720719526576,10840.139266976466,0.0,0.0,0.0,0.0,0.0
35118,15.030883525683453,10891.043898880973,0.001,0.001,0.001,0.001,0.001
35124,14.988561693719427,10858.203840902936,0.0,0.0,0.0,0.0,0.0
35126,15.141631427641112,11051.123957339141,0.0,0.0,0.0,0.0,0.0
35127,15.112468038334562,11034.465940329286,0.0,0.0,0.0,0.0,0.0
35147,14.991256309920484,10786.818406490114,0.0,0.0,0.0,0.0,0.0
