zip,avg_payback_period,avg_needed_incentives,prop_adopt_1_years_500_incentive,prop_adopt_2_years_500_incentive,prop_adopt_3_years_500_incentive,prop_adopt_4_years_500_incentive,prop_adopt_5_years_500_incentive
99501,14.587906253013267,13305.176057345752,0.0,0.0,0.0,0.0,0.0
99502,14.574405426256119,13289.919954320114,0.0,0.0,0.0,0.0,0.0
99503,14.576815681935415,13351.632978100162,0.0,0.0,0.0,0.0,0.0
99504,14.561531177378162,13353.254485516742,0.0,0.0,0.0,0.0,0.0
99506,14.568611077428606,13434.443420528745,0.0,0.0,0.0,0.0,0.0
99507,14.562379906335874,13284.234995872648,0.0,0.0,0.0,0.0,0.0
99508,14.566118929812628,13319.244714404565,0.0,0.0,0.0,0.0,0.0
99515,14.558425857902174,13261.468130638867,0.0,0.0,0.0,0.0,0.002
99516,14.556874487464562,13177.78411381409,0.0,0.0,0.0,0.0,0.0
99517,14.581225238747374,13268.251073240008,0.0,0.0,0.0,0.0,0.0
99518,14.573374246047699,13369.00498244328,0.0,0.0,0.0,0.0,0.0
99701,15.729859826777657,13619.770711181518,0.0,0.0,0.0,0.0,0.0
99703,15.73280001764898,13745.755490170297,0.0,0.0,0.0,0.0,0.0
99709,15.742452483687531,13606.404962097286,0.0,0.0,0.0,0.0,0.0
99712,15.730038399513466,13603.323229616863,0.0,0.0,0.0,0.0,0.0
35004,14.98856690448813,10963.560240623248,0.0,0.0,0.0,0.0,0.0
35005,15.146164545228409,11053.443729022236,0.002,0.002,0.002,0.002,0.002
35007,15.01889087272284,10942.648143607177,0.002,0.002,0.002,0.002,0.002
35014,14.959781924473068,10931.658409361062,0.006,0.006,0.006,0.006,0.006
35020,14.961413416646293,10736.642526225169,0.015,0.015,0.015,0.015,0.015
35022,15.081559881803777,10835.888467078723,0.006,0.006,0.006,0.006,0.006
35023,15.053261401480842,10954.33932040787,0.008,0.008,0.008,0.008,0.008
35040,15.024612712275738,10977.11846335433,0.0,0.0,0.0,0.0,0.0
35043,14.984060143194924,10823.52320218267,0.007,0.007,0.007,0.007,0.007
35044,14.833758869850083,10604.648165130464,0.021,0.021,0.021,0.021,0.021
35051,14.91501547796304,10658.567841767117,0.013,0.013,0.013,0.013,0.013
35055,15.166220173401602,10957.872209716055,0.0,0.0,0.0,0.0,0.0
35057,16.48319888237865,11537.580934803364,0.005,0.005,0.005,0.005,0.005
35058,15.184864888579037,11084.808284928968,0.0,0.0,0.0,0.0,0.0
35061,15.084749718285371,11060.282169740594,0.004,0.004,0.004,0.004,0.004
35064,15.122832303536846,11000.194020006984,0.0,0.0,0.0,0.0,0.0
35068,15.143153233716733,11077.646916507772,0.0,0.0,0.0,0.0,0.0
35071,15.116832406067582,10962.626293450976,0.0,0.0,0.0,0.0,0.0
35072,15.024567909649964,11019.179512658182,0.0,0.0,0.0,0.0,0.0
35073,15.053659564111289,10882.682741315431,0.008,0.008,0.008,0.008,0.008
35077,15.167451008239325,11007.112428051607,0.0,0.0,0.0,0.0,0.0
35080,15.021780519244661,10885.069751512561,0.0,0.0,0.0,0.0,0.0
35094,15.119555220014176,11051.337717364408,0.0,0.0,0.0,0.0,0.0
35096,14.976572511704044,10943.416147326647,0.003,0.003,0.003,0.003,0.003
35111,15.058762412410783,10878.50367996113,0.006,0.006,0.006,0.006,0.006
35114,15.020805658055556,10878.069347084014,0.0,0.0,0.0,0.0,0.0
35115,14.992718751867928,10983.22516162885,0.0,0.0,0.0,0.0,0.0
35116,15.114032035345764,10956.312673799956,0.0,0.0,0.0,0.0,0.0
35117,15.058702819964568,10887.206720647548,0.005,0.005,0.005,0.005,0.005
35118,15.06356656246592,10904.925322818237,0.007,0.007,0.007,0.007,0.007
35124,15.046596214692324,10954.535255775807,0.0,0.0,0.0,0.0,0.0
35126,15.142710420351856,11088.19824971465,0.0,0.0,0.0,0.0,0.0
35127,15.125494986047277,11048.662043619574,0.0,0.0,0.0,0.0,0.0
35147,15.008361147174494,10836.421307649467,0.002,0.002,0.002,0.002,0.002
35150,14.872990485962527,10736.595506043828,0.01,0.01,0.01,0.01,0.01
35151,15.024426236068217,11014.132749655299,0.0,0.0,0.0,0.0,0.0
35160,14.990901021013098,10933.412945368756,0.0,0.0,0.0,0.0,0.0
35173,15.133533975264827,10866.435972813155,0.0,0.0,0.0,0.0,0.0
35176,14.87250898613091,10484.523794991683,0.013,0.013,0.013,0.013,0.013
35179,16.54693614234198,11622.5458242416,0.0,0.0,0.0,0.0,0.0
35184,14.926652799090206,10819.435968913658,0.005,0.005,0.005,0.005,0.005
35188,14.971660470090931,11014.8293505362,0.0,0.0,0.0,0.0,0.0
35203,15.066852339561807,10920.719840958931,0.002,0.002,0.002,0.002,0.002
35204,14.890772475808575,10553.83755124633,0.025,0.025,0.025,0.025,0.025
35205,15.11885575698515,10923.105849632151,0.0,0.0,0.0,0.0,0.0
35206,15.03490301321338,10850.317565067815,0.006,0.006,0.006,0.006,0.006
35207,14.776435578090991,10376.333849533523,0.025,0.025,0.025,0.025,0.025
35208,15.029251305990549,10877.290769225549,0.006,0.006,0.006,0.006,0.006
35209,15.092626021528043,10830.021800026734,0.0,0.0,0.0,0.0,0.0
35210,15.060346933426896,10877.114692599613,0.006,0.006,0.006,0.006,0.006
35211,15.02283223766585,10819.840161180211,0.0,0.0,0.0,0.0,0.0
35212,14.922275938222713,10512.505036271039,0.003,0.003,0.003,0.003,0.003
35213,15.074561322030304,10510.688795606633,0.006,0.006,0.006,0.006,0.006
35214,14.998417894254592,10722.960899647456,0.012,0.012,0.012,0.012,0.012
35215,15.004061321684302,10813.821404728153,0.011,0.011,0.011,0.011,0.011
35216,15.013250738353888,10770.64996651656,0.013,0.013,0.013,0.013,0.013
35217,14.975606591424842,10693.679878315923,0.006,0.006,0.006,0.006,0.006
35218,15.016870753940056,10789.317161750916,0.0,0.0,0.0,0.0,0.0
35221,15.055663596606925,10889.001223950574,0.0,0.0,0.0,0.0,0.0
35222,15.115282255116067,10838.598708829051,0.0,0.0,0.0,0.0,0.0
35223,15.053480174027237,10455.683853976692,0.012,0.012,0.012,0.012,0.012
35224,15.031357576857003,10946.74515790782,0.0,0.0,0.0,0.0,0.0
35226,15.138997648595481,10879.261638958844,0.0,0.0,0.0,0.0,0.0
35228,14.952125317013671,10668.748971287467,0.008,0.008,0.008,0.008,0.008
35233,14.876710477055749,10385.222464703002,0.0,0.0,0.0,0.0,0.0
35234,14.873502807350068,10468.301620013304,0.011,0.011,0.011,0.011,0.011
35235,15.007024181063647,10804.371515702596,0.009,0.009,0.009,0.009,0.009
35242,15.018428472171,10722.425167469159,0.0,0.0,0.0,0.0,0.0
35243,15.086277555478944,10686.204977678284,0.0,0.0,0.0,0.0,0.0
35244,15.070888064847592,10846.62865256476,0.0,0.0,0.0,0.0,0.0
35401,14.72083043008901,10442.908274551979,0.0,0.0,0.0,0.0,0.0
35404,14.73650978500018,10497.846888321437,0.022,0.022,0.022,0.022,0.022
35405,14.889446887310731,10826.895844163162,0.002,0.002,0.002,0.002,0.002
35406,14.945847442051564,10729.025905883123,0.0,0.0,0.0,0.0,0.0
35444,14.858417170675294,10816.273525944764,0.009,0.009,0.009,0.009,0.009
35452,14.952821310927733,10989.598237371541,0.0,0.0,0.0,0.0,0.0
35453,14.95373962662122,10966.189750876974,0.0,0.0,0.0,0.0,0.0
35456,14.796737745781572,10697.509408408225,0.021,0.021,0.021,0.021,0.021
35463,14.874034470669537,10855.44779575816,0.0,0.0,0.0,0.0,0.0
35473,14.85100271669469,10707.753677565473,0.0,0.0,0.0,0.0,0.0
35474,14.898720873810174,10925.351919077222,0.0,0.0,0.0,0.0,0.0
35475,14.927311711428946,10884.355406987219,0.001,0.001,0.001,0.001,0.001
35476,14.815174435106474,10693.55717369132,0.009,0.009,0.009,0.009,0.009
35490,14.953121154771804,11036.028932748084,0.0,0.0,0.0,0.0,0.0
35601,16.43489944709336,11473.072290499034,0.001,0.001,0.001,0.001,0.001
35603,16.480420752028316,11478.506892061048,0.0,0.0,0.0,0.0,0.0
35611,16.56068263067952,11531.5328733147,0.0,0.0,0.0,0.0,0.0
35613,16.595548186956517,11560.044498543533,0.0,0.0,0.0,0.0,0.0
35614,16.562843200233175,11510.641194950867,0.0,0.0,0.0,0.0,0.0
35616,16.66997225816198,11601.19333104882,0.0,0.0,0.0,0.0,0.0
35630,16.436678888228872,11324.693172067542,0.006,0.006,0.006,0.006,0.006
35633,16.56867989300033,11586.61406633724,0.0,0.0,0.0,0.0,0.0
35634,16.641163883304085,11653.55745534125,0.0,0.0,0.0,0.0,0.0
35645,16.593487439642143,11593.490187708445,0.0,0.0,0.0,0.0,0.0
35660,16.432700146206045,11257.69932516623,0.002,0.002,0.002,0.002,0.002
35661,16.62701913179315,11537.811076167573,0.0,0.0,0.0,0.0,0.0
35671,16.6019280317177,11608.967803501464,0.0,0.0,0.0,0.0,0.0
35673,16.493512840904327,11541.612524474547,0.0,0.0,0.0,0.0,0.0
35674,16.626645357215562,11531.268949589848,0.0,0.0,0.0,0.0,0.0
35741,16.734418106099756,11456.802742819647,0.0,0.0,0.0,0.0,0.0
35748,16.734644471318084,11469.569754404367,0.0,0.0,0.0,0.0,0.0
35749,16.652734242235052,11509.637939111699,0.0,0.0,0.0,0.0,0.0
35750,16.703294269364672,11645.70224819869,0.0,0.0,0.0,0.0,0.0
35754,16.733115863803366,11574.109147572517,0.0,0.0,0.0,0.0,0.0
35756,16.625605443963085,11454.494316335797,0.0,0.0,0.0,0.0,0.0
35757,16.73483935606254,11575.805327248743,0.0,0.0,0.0,0.0,0.0
35758,16.644361326860498,11429.206213211575,0.007,0.007,0.007,0.007,0.007
35759,16.694600285816353,11509.564450234868,0.002,0.002,0.002,0.002,0.002
35761,16.668730333498917,11483.309670957442,0.0,0.0,0.0,0.0,0.0
35763,16.7017824778237,11469.188305035532,0.001,0.001,0.001,0.001,0.001
35773,16.624922724689394,11548.848864571866,0.004,0.004,0.004,0.004,0.004
35775,16.651796038522406,11609.960079952818,0.001,0.001,0.001,0.001,0.001
35801,16.701801554463273,11428.39398859669,0.0,0.0,0.0,0.0,0.0
35802,16.735478847115484,11586.436200822724,0.0,0.0,0.0,0.0,0.0
35803,16.642219299820972,11422.668810496256,0.005,0.005,0.005,0.005,0.005
35805,16.565695082511784,11345.170279309523,0.0,0.0,0.0,0.0,0.0
35806,16.694232820380908,11517.054232363713,0.0,0.0,0.0,0.0,0.0
35808,16.73528041586725,11333.323154363774,0.0,0.0,0.0,0.0,0.0
35810,16.696025633496266,11614.055529799227,0.0,0.0,0.0,0.0,0.0
35811,16.73548664675304,11564.69515624867,0.0,0.0,0.0,0.0,0.0
35816,16.508556171973133,11306.136063925876,0.0,0.0,0.0,0.0,0.0
35824,16.738766722834693,11401.465961412212,0.0,0.0,0.0,0.0,0.0
35901,15.137487091845308,10899.341976930678,0.0,0.0,0.0,0.0,0.0
35903,15.101376112036764,10963.031808964375,0.012,0.012,0.012,0.012,0.012
35904,15.061053740775368,10850.984373553958,0.01,0.01,0.01,0.01,0.01
35905,15.110721635524303,10938.496430784076,0.009,0.009,0.009,0.009,0.009
35906,15.191339550092453,11087.91813738684,0.0,0.0,0.0,0.0,0.0
35950,16.402160106558732,11511.484137198007,0.0,0.0,0.0,0.0,0.0
35951,16.337487706698408,11399.193007746411,0.0,0.0,0.0,0.0,0.0
35954,15.12305674289386,10955.296282204363,0.0,0.0,0.0,0.0,0.0
35956,15.149919608025545,11025.700587299234,0.0,0.0,0.0,0.0,0.0
35957,14.986014797587428,10882.460852803462,0.006,0.006,0.006,0.006,0.006
35976,15.037855443609415,10892.552088771185,0.0,0.0,0.0,0.0,0.0
35980,14.974169128439392,10869.285591394879,0.007,0.007,0.007,0.007,0.007
36020,14.529065773322127,10563.230764598138,0.02,0.02,0.02,0.02,0.02
36022,14.691504300445121,10818.461634291027,0.0,0.0,0.0,0.0,0.0
36025,14.676987191724427,10837.488822044339,0.0,0.0,0.0,0.0,0.0
36043,14.579031070799436,10612.671420040171,0.0,0.0,0.0,0.0,0.0
36054,14.691301954818803,10838.95539072309,0.0,0.0,0.0,0.0,0.0
36064,14.627129059185703,10625.156130686484,0.002,0.002,0.002,0.002,0.002
36066,14.71926216749742,10811.389731185633,0.0,0.0,0.0,0.0,0.0
36067,14.654385291016673,10769.08362689821,0.003,0.003,0.003,0.003,0.003
36079,14.667147252528881,10794.774039977141,0.0,0.0,0.0,0.0,0.0
36081,15.873555572193032,11068.921339951567,0.0,0.0,0.0,0.0,0.0
36092,14.670429746699243,10817.471020398478,0.002,0.002,0.002,0.002,0.002
36093,14.711620277849052,10800.116344288153,0.0,0.0,0.0,0.0,0.0
36104,14.63024141100252,10608.199087643756,0.0,0.0,0.0,0.0,0.0
36105,14.596598124487551,10715.917817203894,0.0,0.0,0.0,0.0,0.0
36106,14.590667808802937,10702.879698856499,0.007,0.007,0.007,0.007,0.007
36107,14.528017616529223,10579.742467319145,0.007,0.007,0.007,0.007,0.007
36108,14.395159067384267,10269.402564799308,0.01,0.01,0.01,0.01,0.01
36109,14.588998970097098,10654.313498146847,0.0,0.0,0.0,0.0,0.0
36110,14.614383039632791,10704.735025168922,0.0,0.0,0.0,0.0,0.0
36111,14.624263713026933,10692.800435108398,0.001,0.001,0.001,0.001,0.001
36112,14.652445304137052,10959.965672990618,0.0,0.0,0.0,0.0,0.0
36113,14.653083595634579,10895.28854704936,0.0,0.0,0.0,0.0,0.0
36115,14.651523147722923,10920.034082989407,0.0,0.0,0.0,0.0,0.0
36116,14.599635424337961,10666.521938604206,0.0,0.0,0.0,0.0,0.0
36117,14.630263182961343,10744.50750585705,0.0,0.0,0.0,0.0,0.0
36201,14.86332803134342,10672.796844387578,0.01,0.01,0.01,0.01,0.01
36203,14.970937071213474,10832.24824058126,0.0,0.0,0.0,0.0,0.0
36205,14.702362486875062,10274.704119998023,0.031,0.031,0.031,0.031,0.031
36206,15.047813783505761,10961.601580908322,0.0,0.0,0.0,0.0,0.0
36207,14.932258821139952,10792.278231349086,0.012,0.012,0.012,0.012,0.012
36250,15.046138218644604,11095.946737140182,0.0,0.0,0.0,0.0,0.0
36260,14.914260943567003,10774.376224621668,0.005,0.005,0.005,0.005,0.005
36265,14.984858346662897,10873.33473193663,0.0,0.0,0.0,0.0,0.0
36268,14.956552501662687,10908.343414613386,0.0,0.0,0.0,0.0,0.0
36277,14.986478306506166,10972.84983826195,0.001,0.001,0.001,0.001,0.001
36301,14.432756563958192,10648.354035666674,0.0,0.0,0.0,0.0,0.0
36303,14.45452498491063,10658.749216477314,0.0,0.0,0.0,0.0,0.0
36305,14.42615892693615,10545.429569332502,0.01,0.01,0.01,0.01,0.01
36312,14.472769115958094,10701.088663995923,0.0,0.0,0.0,0.0,0.0
36321,14.456142570768327,10723.72728885421,0.0,0.0,0.0,0.0,0.0
36322,14.513448184959138,10721.423638714145,0.006,0.006,0.006,0.006,0.006
36330,14.46545707830056,10637.234058795244,0.005,0.005,0.005,0.005,0.005
36345,14.434589894633527,10527.096187220091,0.016,0.016,0.016,0.016,0.016
36350,14.516698188358097,10719.290240368375,0.006,0.006,0.006,0.006,0.006
36351,14.495359667241635,10687.309759167452,0.0,0.0,0.0,0.0,0.0
36360,14.42102575368743,10414.883319532244,0.024,0.024,0.024,0.024,0.024
36362,14.320322931547578,10247.724491539633,0.034,0.034,0.034,0.034,0.034
36376,14.3574201443817,10480.307445277165,0.005,0.005,0.005,0.005,0.005
36509,14.457116036268687,10507.119380665492,0.0,0.0,0.0,0.0,0.0
36511,15.361523326454131,10840.18945311147,0.0,0.0,0.0,0.0,0.0
