State code,portion_of_income_spent_on_electricity,income,npv_per_install,npv_right_size,right_sized_multiplier,ov_per_install,needed_phi_per_install,energy_consumption_kwh,prop_adopted_status_quo,prop_adopted_per_year_average,median_npv,median_elec_consumption,median_energy_ratio,cutoff_energy_ratio,elec_cost,payback_period_first_year_cutoff,year_over_year_growth,"Net Upfront Cost (assuming $17,500 system @ $2.5 per W, federal tax credit)",Numeric state-level upfront incentive
AK,0.000273716,8997400.21,[1333.08664216],2922.727714,1.088283719,[2.3860092],[0.45611045],10661.16616,[0.01348167],0.001900611,16433.11477,9014.234527,0.539443393,[0.45611045],[0.231],3.345357426,1.09E+00,12250,0
AL,0.000261593,9642064.356,[-157.74202097],-389.547523,0.989553528,[2.44372504],[0.40493653],17700.35809,[0.00027619],5.74E-05,14942.2861,13096.68044,0.547277746,[0.40493653],[0.1425],5.454699757,1.00E+00,12250,0
AR,0.000415226,5375291.231,[-2576.92713025],-6719.082941,0.829342892,[2.16242967],[0.38352364],18522.49657,[0.02488356],0.003830395,12523.10099,12918.76087,0.549883641,[0.38352364],[0.1205],4.974790782,1.45E+00,11250,1000
AZ,0.007936987,178413.6498,[3434.61045429],4112.43021,1.247675642,[1.49390421],[0.83517781],10876.08964,[0.11634111],0.01161923,17301.98322,8886.909618,1.022117831,[0.83517781],[0.1302],4.379241829,2.12E+00,12250,0
CA,0.165574341,9883.769543,[17399.50079382],12817.65402,2.152282675,[1.5855176],[1.35746376],6333.199018,[0.11624364],0.012094457,32499.52892,9048.837546,0.950076526,[1.35746376],[0.2584],1.974407247,2.25E+00,12250,0
CO,0.000275204,5398489.992,[3223.19788694],4099.121181,1.23243032,[1.56735063],[0.78631437],10469.95413,[0.05340233],0.006180972,17090.57065,9024.456425,0.912262744,[0.78631437],[0.1419],2.87043209,1.75E+00,11250,0
CT,0.000468345,5441592.567,[8520.47195119],13449.3097,1.564268615,[2.46915114],[0.63352485],10355.72813,[0.06569148],0.008850606,23620.50008,8243.861077,0.79581777,[0.63352485],[0.2461],2.359865063,1.57E+00,12250,0
DE,0.000400924,6101727.051,[4560.23085483],11982.57517,1.503335801,[3.95020226],[0.38057185],17843.40398,[0.04526842],0.004691833,13620.24773,13649.14264,0.497518234,[0.38057185],[0.1371],2.828174898,1.84E+00,7350,0
FL,0.000422473,6015264.772,[498.17476863],1187.391509,1.032991645,[2.46211889],[0.41955393],18282.63542,[0.03234272],0.004639543,15598.20289,13486.46592,0.568759205,[0.41955393],[0.139],3.545688534,1.39E+00,12250,0
GA,0.000249118,9809909.327,[-572.84059226],-1409.794624,0.962063608,[2.36769552],[0.40632911],17708.89016,[0.00401523],0.000614205,14527.18753,13558.72503,0.530701635,[0.40632911],[0.138],3.305308355,1.03E+00,12250,0
