,carbon_offset_metric_tons_per_panel,yearly_sunlight_kwh_kw_threshold_avg,black_prop,Median_income,Carbon Offset,Energy Potential,Racial Equity,Income Equity
6,0.0,0.0,0.4,-0.1,1971.911251900506,10913226.956337458,1.925441819209898,0.7391878650409704
7,0.0,0.0,0.4,-0.2,1971.911251900506,10913226.956337458,1.9914608354530139,0.7097711116946519
8,0.0,0.0,0.4,-0.30000000000000004,1971.911251900506,10913226.956337458,1.9147641121971215,0.6826060892298202
9,0.0,0.0,0.4,-0.4,2119.480131312533,10222717.1,1.8358420109936204,0.6539268639619429
125,0.4,0.0,0.0,0.0,2717.866315932764,10850974.341158967,0.9614071528987638,1.526305416364849
126,0.4,0.0,0.0,-0.1,2711.5519629946616,10854500.0,0.9639494043013817,1.5250034023290704
250,0.8,0.0,0.0,0.0,2717.866315932764,10850974.341158967,0.5756417268634433,1.122727070308183
375,1.2000000000000002,0.0,0.0,0.0,2717.866315932764,10850974.341158967,0.404277813954085,0.7717708295375902
376,1.2000000000000002,0.0,0.0,-0.1,2717.866315932764,10850974.341158967,0.4052152345479656,0.771569638599636
500,1.6,0.0,0.0,0.0,2717.866315932764,10850974.341158967,0.3213105083015315,0.593529054191116
501,1.6,0.0,0.0,-0.1,2717.866315932764,10850974.341158967,0.32204809780534194,0.5934100556024775
