,carbon_offset_metric_tons_per_panel,yearly_sunlight_kwh_kw_threshold_avg,black_prop,Median_income,Carbon Offset,Energy Potential,Racial Equity,Income Equity
5,0.0,0.0,0.4,0.0,1956.2491961830447,10952901.896245964,1.8358011162642143,0.7711484262333625
6,0.0,0.0,0.4,-0.1,1971.911251900506,10913226.956337458,1.925441819209898,0.7391878650409704
7,0.0,0.0,0.4,-0.2,1971.911251900506,10913226.956337458,1.9914608354530139,0.7097711116946519
8,0.0,0.0,0.4,-0.30000000000000004,1971.911251900506,10913226.956337458,1.9147641121971215,0.6826060892298202
10,0.0,0.0,0.8,0.0,1956.2491961830447,10952901.896245964,1.7673100350346085,0.6305055590103479
25,0.0,0.4,0.0,0.0,1127.3035087943356,14373500.0,1.3205953361259004,0.5326650639238981
26,0.0,0.4,0.0,-0.1,1731.425304919779,14194637.05,1.4333100513085006,0.5046349653931628
27,0.0,0.4,0.0,-0.2,1792.1698312862693,14177276.649999999,1.4845003015630196,0.4956856081841665
28,0.0,0.4,0.0,-0.30000000000000004,1792.1698312862693,14177276.649999999,1.5284562398266868,0.4870481413150016
29,0.0,0.4,0.0,-0.4,1792.1698312862693,14177276.649999999,1.5709023847726384,0.47870653968622046
50,0.0,0.8,0.0,0.0,1127.3035087943356,14373500.0,1.221478010126676,0.6643583885894724
51,0.0,0.8,0.0,-0.1,1072.9615609825537,14373500.0,1.2579141186886806,0.6443491390199387
52,0.0,0.8,0.0,-0.2,1731.425304919779,14194637.05,1.3223807268225194,0.6231517670232674
75,0.0,1.2000000000000002,0.0,0.0,1127.3035087943356,14373500.0,1.1107322285521177,1.0154318423594364
76,0.0,1.2000000000000002,0.0,-0.1,1072.9615609825537,14373500.0,1.137988325044243,0.9944884502221742
77,0.0,1.2000000000000002,0.0,-0.2,1072.9615609825537,14373500.0,1.1585853473880954,0.9743915192113748
100,0.0,1.6,0.0,0.0,1127.3035087943356,14373500.0,1.0307791621107105,1.3521765842945335
101,0.0,1.6,0.0,-0.1,1072.9615609825537,14373500.0,1.0521848490330166,1.33153552343181
102,0.0,1.6,0.0,-0.2,1072.9615609825537,14373500.0,1.068791739272608,1.3115151617494059
