,carbon_offset_metric_tons_per_panel,yearly_sunlight_kwh_kw_threshold_avg,black_prop,Median_income,Carbon Offset,Energy Potential,Racial Equity,Income Equity
25,0.0,0.4,0.0,0.0,248152.82968629635,2826751968.9700775,0.15685658666297408,0.13622874321970224
26,0.0,0.4,0.0,-0.4,293439.60212166846,2794291192.032243,0.1957424314312488,0.1336673839619007
50,0.0,0.8,0.0,0.0,248152.82968629635,2826751968.9700775,0.22273186106754728,0.13398412629954848
51,0.0,0.8,0.0,-0.4,279665.27313920046,2811915404.033185,0.24445781200773453,0.13333807859861024
52,0.0,0.8,0.0,-0.8,293439.60212166846,2794291192.032243,0.26486092508496073,0.13196086310128075
75,0.0,1.2000000000000002,0.0,0.0,248152.82968629635,2826751968.9700775,0.28522751479622355,0.1480698288905271
76,0.0,1.2000000000000002,0.0,-0.4,270977.1806894699,2818671146.929456,0.30171939500107947,0.14856685190183772
77,0.0,1.2000000000000002,0.0,-0.8,285414.90158512007,2806568401.632244,0.3159958434277881,0.147740799738991
78,0.0,1.2000000000000002,0.0,-1.2000000000000002,293439.60212166846,2794291192.032243,0.3299652619161708,0.14665243417460183
80,0.0,1.2000000000000002,0.4,0.0,255132.9292350745,2822994906.6700883,0.35288176267969074,0.15681908169693992
81,0.0,1.2000000000000002,0.4,-0.4,276889.5317838549,2813679560.1028414,0.36186400153785536,0.15811265092538984
100,0.0,1.6,0.0,0.0,248152.82968629635,2826751968.9700775,0.3543715027736323,0.164753591681555
101,0.0,1.6,0.0,-0.4,268574.2209401332,2819625855.879456,0.36708679383132203,0.1657533578571475
102,0.0,1.6,0.0,-0.8,279665.27313920046,2811915404.033185,0.37842395826352515,0.1652015506733029
103,0.0,1.6,0.0,-1.2000000000000002,286780.9932660571,2802933958.0322433,0.3889884913970889,0.16437178950435505
104,0.0,1.6,0.0,-1.6,293439.60212166846,2794291192.032243,0.3995775716719543,0.16341369580388343
105,0.0,1.6,0.4,0.0,253322.23703925352,2825000547.9700885,0.4077771996901678,0.1727826377784203
