,carbon_offset_metric_tons_per_panel,yearly_sunlight_kwh_kw_threshold_avg,black_prop,Median_income,Carbon Offset,Energy Potential,Racial Equity,Income Equity
1,0.0,0.0,0.0,-0.2857142857142857,6340.410075467146,31318609.666108523,1.459338651982561,0.6268936171511679
2,0.0,0.0,0.0,-0.5714285714285714,6340.410075467146,31318609.666108523,1.2037179044202047,0.3699450551355934
3,0.0,0.0,0.0,-0.8571428571428571,6340.410075467146,31318609.666108523,1.0986260832398969,0.2623954810346165
4,0.0,0.0,0.0,-1.1428571428571428,6340.410075467146,31318609.666108523,1.0413434674870172,0.2032942461654117
5,0.0,0.0,0.0,-1.4285714285714284,6340.410075467146,31318609.666108523,1.0052911793763966,0.16592235278105072
6,0.0,0.0,0.0,-1.714285714285714,6340.410075467146,31318609.666108523,0.9805117472213565,0.1401570644450345
7,0.0,0.0,0.0,-1.9999999999999996,6340.410075467146,31318609.666108523,0.9624328085224463,0.12131814944398633
8,0.0,0.0,0.2857142857142857,0.0,6573.203398622768,32107069.50150699,0.9441586177201646,0.11912917500260223
9,0.0,0.0,0.2857142857142857,-0.2857142857142857,6634.96774883894,31401685.101506993,0.9182195151025727,0.1158195991123856
10,0.0,0.0,0.2857142857142857,-0.5714285714285714,6639.821847036954,31405593.40150699,0.8888785974910298,0.11210287789744977
15,0.0,0.0,0.2857142857142857,-1.9999999999999996,6684.709308733363,30813557.327522457,0.7017055393379528,0.08842497853618436
17,0.0,0.0,0.5714285714285714,-0.2857142857142857,6707.325621093993,31656603.50150699,0.6799922260012541,0.0858427757017668
34,0.0,0.0,1.1428571428571428,-0.5714285714285714,6707.325621093993,31656603.50150699,0.4950792370252419,0.06253033900781246
512,0.2857142857142857,0.0,0.0,0.0,8140.912970714747,32558846.48289572,0.49394976581228756,0.5808507299023729
1024,0.5714285714285714,0.0,0.0,0.0,8140.912970714747,32558846.48289572,0.4141142175842236,0.456107947959685
1536,0.8571428571428571,0.0,0.0,0.0,8140.912970714747,32558846.48289572,0.3348315511913751,0.33248559331610883
2048,1.1428571428571428,0.0,0.0,0.0,8140.912970714747,32558846.48289572,0.2571434850815284,0.24000346836978115
