,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
916,9974487.713461492,[18588.81240384],[0.38821367],[12267.6613298],4.716301987110452e-10,[0.94783079],[0.00021655],[31600.2813962],[-675.2199202],12942.88125,[17097.22106711],[33339.58108087],[-1739.29968467],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.4415183]
947,9586027.398768665,[17548.35300491],[0.41123125],[12267.6613298],4.907423509915058e-10,[0.94783079],[0.00021272],[29831.53958133],[-675.2199202],12942.88125,[16140.24953131],[31473.48658605],[-1641.94700472],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.3048608]
962,9564652.20658664,[18316.66581681],[0.3939817],[12267.6613298],4.918390675095489e-10,[0.94783079],[0.00022253],[31137.64244196],[-675.2199202],12942.88125,[16846.91188867],[32851.4781829],[-1713.83574094],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.40577363]
973,9267544.380005123,[18031.98049649],[0.40020181],[12267.6613298],5.076069160769556e-10,[0.94783079],[0.00022609],[30653.68811309],[-675.2199202],12942.88125,[16585.07010177],[32340.88669846],[-1687.19858537],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.36838209]
985,9255146.47356684,[18533.40867912],[0.3893742],[12267.6613298],5.082868905183026e-10,[0.94783079],[0.00023269],[31506.09714961],[-675.2199202],12942.88125,[17046.26301187],[33240.21287314],[-1734.11572354],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.43424138]
933,8842360.449823927,[18134.07370904],[0.39794871],[12267.6613298],5.320151388348342e-10,[0.94783079],[0.00023831],[30827.24273159],[-675.2199202],12942.88125,[16678.97121748],[32523.99387408],[-1696.7511425],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.38179136]
950,8571108.736636544,[18753.06740506],[0.38481337],[12267.6613298],5.488519358333053e-10,[0.94783079],[0.00025424],[31879.50871566],[-675.2199202],12942.88125,[17248.29602587],[33634.17725045],[-1754.66853479],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.46309211]
960,8566504.866015725,[18214.34558854],[0.39619492],[12267.6613298],5.491469036576495e-10,[0.94783079],[0.00024707],[30963.70190528],[-675.2199202],12942.88125,[16752.80197329],[32667.96384791],[-1704.26194263],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.39233454]
983,8350957.012450237,[17711.50933245],[0.40744304],[12267.6613298],5.633210200133042e-10,[0.94783079],[0.00024645],[30108.89919688],[-675.2199202],12942.88125,[16290.31397544],[31766.11225211],[-1657.21305523],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.32629031]
992,8168877.142633479,[18312.11244068],[0.39407967],[12267.6613298],5.758771420112413e-10,[0.94783079],[0.00026048],[31129.90187393],[-675.2199202],12942.88125,[16842.72388157],[32843.31156905],[-1713.40969513],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.40517558]
942,8089751.047708822,[17767.23139913],[0.4061652],[12267.6613298],5.815098134167014e-10,[0.94783079],[0.00025521],[30203.62461284],[-675.2199202],12942.88125,[16341.56482846],[31866.0514155],[-1662.42680267],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.33360903]
938,8052416.091971219,[18325.06743721],[0.39380107],[12267.6613298],5.842059785051575e-10,[0.94783079],[0.00026444],[31151.9248804],[-675.2199202],12942.88125,[16854.63935173],[32866.54673588],[-1714.62185548],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.40687713]
974,7946656.567312125,[17914.34942083],[0.40282965],[12267.6613298],5.919809900545248e-10,[0.94783079],[0.00026195],[30453.71971214],[-675.2199202],12942.88125,[16476.87790201],[32129.91190891],[-1676.19219678],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.35293202]
966,7911927.923132925,[18231.85010616],[0.39581453],[12267.6613298],5.945794334888164e-10,[0.94783079],[0.00026777],[30993.45892636],[-675.2199202],12942.88125,[16768.90190484],[32699.35871444],[-1705.89978809],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.39463365]
922,7678396.51290306,[17741.57196238],[0.40675264],[12267.6613298],6.126630233845694e-10,[0.94783079],[0.00026849],[30160.00453619],[-675.2199202],12942.88125,[16317.96433947],[31820.03046196],[-1660.02592577],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.33023884]
988,7609217.98222195,[17974.20443931],[0.40148821],[12267.6613298],6.182329949453019e-10,[0.94783079],[0.00027448],[30555.4709906],[-675.2199202],12942.88125,[16531.93007322],[32237.26364277],[-1681.79265217],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.36079358]
987,7528151.79169257,[17995.19993396],[0.40101978],[12267.6613298],6.248903784766875e-10,[0.94783079],[0.00027776],[30591.16254122],[-675.2199202],12942.88125,[16551.2408611],[32274.91967915],[-1683.75713793],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.3635512]
914,7462248.129140871,[18194.72651998],[0.39662213],[12267.6613298],6.304091663703931e-10,[0.94783079],[0.00028332],[30930.3502272],[-675.2199202],12942.88125,[16734.75716521],[32632.77647215],[-1702.42624495],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.38975771]
926,7432809.033277155,[17454.74749084],[0.41343658],[12267.6613298],6.329060253370443e-10,[0.94783079],[0.00027288],[29672.41373076],[-675.2199202],12942.88125,[16054.15504972],[31305.60234696],[-1633.18861621],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.29256633]
982,7211206.794833596,[19064.57205301],[0.37852574],[12267.6613298],6.523553901839362e-10,[0.94783079],[0.0003072],[32409.054892],[-675.2199202],12942.88125,[17534.80512143],[34192.86998679],[-1783.81509478],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.5040062]
980,7138669.27753063,[18229.52143722],[0.39586509],[12267.6613298],6.589841102665563e-10,[0.94783079],[0.00029673],[30989.50027681],[-675.2199202],12942.88125,[16766.76009143],[32695.18217829],[-1705.68190149],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.39432779]
935,7121791.797015069,[18437.00726036],[0.39141012],[12267.6613298],6.605457947131236e-10,[0.94783079],[0.00030082],[31342.21836629],[-675.2199202],12942.88125,[16957.59697275],[33067.31409686],[-1725.09573056],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.42157969]
946,7018238.509605623,[18251.52097465],[0.39538793],[12267.6613298],6.702920705675861e-10,[0.94783079],[0.00030219],[31026.89866237],[-675.2199202],12942.88125,[16786.99435636],[32734.6389949],[-1707.74033253],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.39721729]
948,6955315.772972413,[18132.17129587],[0.39799046],[12267.6613298],6.763560096898825e-10,[0.94783079],[0.00030293],[30824.00870081],[-675.2199202],12942.88125,[16677.22145651],[32520.58184019],[-1696.57313937],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.38154149]
932,6904968.447476974,[18297.00828298],[0.39440498],[12267.6613298],6.812876348565545e-10,[0.94783079],[0.00030791],[31104.22537436],[-675.2199202],12942.88125,[16828.83170182],[32816.22181854],[-1711.99644418],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.40319174]
909,6839997.695378831,[17709.78107719],[0.4074828],[12267.6613298],6.877589484451103e-10,[0.94783079],[0.00030086],[30105.96122799],[-675.2199202],12942.88125,[16288.72439771],[31763.01257554],[-1657.05134755],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.32606331]
927,6771922.554653165,[18390.4613048],[0.39240077],[12267.6613298],6.946726848062218e-10,[0.94783079],[0.00031556],[31263.09199386],[-675.2199202],12942.88125,[16914.78592734],[32983.83255831],[-1720.74056445],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.41546618]
923,6676370.748608271,[18138.28998958],[0.3978562],[12267.6613298],7.046147973914354e-10,[0.94783079],[0.00031569],[30834.41024981],[-675.2199202],12942.88125,[16682.849178],[32531.55589709],[-1697.14564728],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.38234514]
971,6509065.557426316,[17908.86899268],[0.40295293],[12267.6613298],7.227258015512739e-10,[0.94783079],[0.00031971],[30444.40319057],[-675.2199202],12942.88125,[16471.83723079],[32120.08260004],[-1675.67940947],[1.05504064],[0.94783079],[0.94783079],[0.94783079],[2.3522122]
