,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
989,9947665.85786073,[13822.92441834],[0.46778098],[10329.95207372],5.989114214008569e-10,[0.68410151],[0.00015174],[22082.88186073],[-4770.07605128],15100.028125,[14189.06563596],[32280.12432181],[-10197.24246108],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.46243978]
964,9558872.457614068,[13350.72688139],[0.48432577],[10329.95207372],6.232712827762979e-10,[0.68410151],[0.00015252],[21328.52033],[-4770.07605128],15100.028125,[13704.36054447],[31177.42023866],[-9848.89990866],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.41248216]
956,9526584.89485754,[13892.48207547],[0.46543887],[10329.95207372],6.253836778138778e-10,[0.68410151],[0.00015924],[22194.00404288],[-4770.07605128],15100.028125,[14260.46573428],[32442.55954549],[-10248.55550261],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.46979885]
936,9425934.218801733,[13399.11234112],[0.48257683],[10329.95207372],6.320615612475091e-10,[0.68410151],[0.00015523],[21405.81876257],[-4770.07605128],15100.028125,[13754.02763684],[31290.4128738],[-9884.59411124],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.41760125]
944,9423656.309344761,[13386.34378723],[0.48303713],[10329.95207372],6.322143447277732e-10,[0.68410151],[0.00015512],[21385.42029561],[-4770.07605128],15100.028125,[13740.92086987],[31260.59497895],[-9875.17468334],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.41625036]
958,9245433.319137832,[13294.20079344],[0.48638509],[10329.95207372],6.444014566866971e-10,[0.68410151],[0.00015702],[21238.21679622],[-4770.07605128],15100.028125,[13646.33719515],[31045.41711897],[-9807.20032275],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.4065018]
927,9140709.294535995,[13756.20569864],[0.47004975],[10329.95207372],6.517842879122626e-10,[0.68410151],[0.00016434],[21976.29503724],[-4770.07605128],15100.028125,[14120.57967276],[32124.31875554],[-10148.02371829],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.45538107]
921,9088558.088173272,[13765.02198116],[0.46974869],[10329.95207372],6.555243021777956e-10,[0.68410151],[0.00016539],[21990.37953337],[-4770.07605128],15100.028125,[14129.62948072],[32144.90706864],[-10154.52753527],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.45631381]
934,9036389.377740018,[13665.36020973],[0.47317458],[10329.95207372],6.59308762549381e-10,[0.68410151],[0.00016514],[21831.16437325],[-4770.07605128],15100.028125,[14027.3278712],[31912.17090699],[-10081.00653373],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.44576978]
939,8964801.734290326,[13574.49210754],[0.47634203],[10329.95207372],6.645736152494815e-10,[0.68410151],[0.00016535],[21685.99758331],[-4770.07605128],15100.028125,[13934.05285739],[31699.97025055],[-10013.97266724],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.43615611]
912,8645311.093303027,[13751.6328689],[0.47020606],[10329.95207372],6.891331768462618e-10,[0.68410151],[0.0001737],[21968.98969028],[-4770.07605128],15100.028125,[14115.88571804],[32113.64000855],[-10144.65031827],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.45489727]
951,8542283.56713817,[13581.72386305],[0.47608839],[10329.95207372],6.974447349736144e-10,[0.68410151],[0.00017362],[21697.55071039],[-4770.07605128],15100.028125,[13941.47616742],[31716.85828088],[-10019.30757049],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.43692121]
976,8287157.342265508,[13727.50614672],[0.47103247],[10329.95207372],7.189160833434149e-10,[0.68410151],[0.00018089],[21930.44592491],[-4770.07605128],15100.028125,[14091.11992795],[32057.29783609],[-10126.85191119],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.45234471]
985,8219979.256131813,[13829.36249955],[0.46756321],[10329.95207372],7.247914517676986e-10,[0.68410151],[0.00018372],[22093.16704949],[-4770.07605128],15100.028125,[14195.67424888],[32295.1589162],[-10201.99186671],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.46312092]
968,8067910.881463802,[13168.17691209],[0.49103996],[10329.95207372],7.384527154656912e-10,[0.68410151],[0.00017823],[21036.88671589],[-4770.07605128],15100.028125,[13516.97519692],[30751.11857299],[-9714.2318571],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.39316871]
935,8054842.786778334,[13556.58419206],[0.47697126],[10329.95207372],7.396507736105735e-10,[0.68410151],[0.00018379],[21657.3887036],[-4770.07605128],15100.028125,[13915.67059756],[31658.15060945],[-10000.76190586],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.43426148]
914,7919905.373872066,[13957.12221042],[0.46328326],[10329.95207372],7.522527627927165e-10,[0.68410151],[0.00019244],[22297.27021292],[-4770.07605128],15100.028125,[14326.81805523],[32593.51107564],[-10296.24086273],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.47663766]
930,7904593.45732834,[14137.06279366],[0.45738646],[10329.95207372],7.537099448205905e-10,[0.68410151],[0.0001953],[22584.73518933],[-4770.07605128],15100.028125,[14511.52489938],[33013.71914609],[-10428.98395677],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.49567504]
971,7877040.784894964,[14166.80629239],[0.45642617],[10329.95207372],7.563463058331222e-10,[0.68410151],[0.0001964],[22632.25206409],[-4770.07605128],15100.028125,[14542.05624303],[33083.1779529],[-10450.92588881],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.49882185]
919,7862924.265889927,[14253.79023729],[0.45364082],[10329.95207372],7.577041946591663e-10,[0.68410151],[0.00019796],[22771.2136992],[-4770.07605128],15100.028125,[14631.34421612],[33286.30809168],[-10515.09439249],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.50802459]
990,7771029.236377155,[13352.39488795],[0.48426527],[10329.95207372],7.666643011279737e-10,[0.68410151],[0.00018763],[21331.1850622],[-4770.07605128],15100.028125,[13706.07273313],[31181.31546788],[-9850.13040568],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.41265863]
913,7745251.545265787,[13904.13782508],[0.46504869],[10329.95207372],7.69215907802733e-10,[0.68410151],[0.00019603],[22212.62474382],[-4770.07605128],15100.028125,[14272.43022105],[32469.77875288],[-10257.15400907],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.47103201]
946,7663085.6543020345,[13961.95017804],[0.46312306],[10329.95207372],7.774636702915448e-10,[0.68410151],[0.00019896],[22304.98315669],[-4770.07605128],15100.028125,[14331.77390592],[32604.78563597],[-10299.80247929],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.47714845]
984,7636566.448468427,[14236.06255665],[0.45420572],[10329.95207372],7.801635379925255e-10,[0.68410151],[0.00020357],[22742.89275456],[-4770.07605128],15100.028125,[14613.1469652],[33244.90934583],[-10502.01659127],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.50614903]
931,7616295.579385227,[13361.29898513],[0.48394255],[10329.95207372],7.822399533282089e-10,[0.68410151],[0.00019157],[21345.40984708],[-4770.07605128],15100.028125,[13715.21268179],[31202.10885106],[-9856.69900398],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.41360067]
926,7604708.492663536,[13619.1082709],[0.47478153],[10329.95207372],7.834318309899404e-10,[0.68410151],[0.00019556],[21757.27435764],[-4770.07605128],15100.028125,[13979.85081237],[31804.16059814],[-10046.88624049],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.44087641]
960,7567751.160241518,[13390.7336941],[0.48287878],[10329.95207372],7.872577430733077e-10,[0.68410151],[0.00019322],[21392.43341322],[-4770.07605128],15100.028125,[13745.42705646],[31270.84655344],[-9878.41314022],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.41671481]
948,7364546.381094243,[13803.34674337],[0.46844444],[10329.95207372],8.0897999554277e-10,[0.68410151],[0.00020467],[22051.60544842],[-4770.07605128],15100.028125,[14168.96938811],[32234.40535795],[-10182.79990953],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.4603685]
975,7094427.198860786,[13222.37983528],[0.48902703],[10329.95207372],8.397817796352657e-10,[0.68410151],[0.00020352],[21123.47886623],[-4770.07605128],15100.028125,[13572.61384556],[30877.69649864],[-9754.21763241],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.39890328]
933,7013746.005894277,[13498.14571165],[0.47903625],[10329.95207372],8.494420376137512e-10,[0.68410151],[0.00021016],[21564.03001769],[-4770.07605128],15100.028125,[13855.68420039],[31521.68155588],[-9957.6515382],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.4280788]
947,6978470.674025013,[14178.9839204],[0.45603417],[10329.95207372],8.537358651843192e-10,[0.68410151],[0.00022187],[22651.70649447],[-4770.07605128],15100.028125,[14554.5564317],[33111.61588211],[-10459.90938764],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.50011022]
924,6863407.963362755,[13751.6328689],[0.47020606],[10329.95207372],8.680484579024076e-10,[0.68410151],[0.00021879],[21968.98969028],[-4770.07605128],15100.028125,[14115.88571804],[32113.64000855],[-10144.65031827],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.45489727]
925,6702689.801994879,[13846.6522911],[0.46697938],[10329.95207372],8.888626617897445e-10,[0.68410151],[0.00022559],[22120.78844223],[-4770.07605128],15100.028125,[14213.42201192],[32335.53507712],[-10214.74663489],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.46495015]
977,6611744.242319476,[13906.33932627],[0.46497507],[10329.95207372],9.010891045086901e-10,[0.68410151],[0.00022968],[22216.14176302],[-4770.07605128],15100.028125,[14274.69003553],[32474.91983084],[-10258.77806782],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.47126493]
970,6578110.426861812,[13957.07874285],[0.4632847],[10329.95207372],9.056963644488997e-10,[0.68410151],[0.00023169],[22297.20077109],[-4770.07605128],15100.028125,[14326.7734363],[32593.40956757],[-10296.20879648],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.47663306]
952,6556516.480906511,[13045.76429928],[0.49564755],[10329.95207372],9.086792835649848e-10,[0.68410151],[0.00021728],[20841.32583564],[-4770.07605128],15100.028125,[13391.3201224],[30465.25327847],[-9623.92744283],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.38021768]
929,6519611.0358244805,[13982.22602543],[0.46245148],[10329.95207372],9.138230280633167e-10,[0.68410151],[0.00023419],[22337.37493782],[-4770.07605128],15100.028125,[14352.58681936],[32652.13501403],[-10314.76007622],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.4792936]
965,6156280.175972104,[13450.26524987],[0.48074153],[10329.95207372],9.677549637531538e-10,[0.68410151],[0.00023858],[21487.53834712],[-4770.07605128],15100.028125,[13806.53548234],[31409.86822232],[-9922.3298752],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.42301313]
943,6035858.057647348,[13850.80079523],[0.46683951],[10329.95207372],9.870627575484037e-10,[0.68410151],[0.00025059],[22127.4159057],[-4770.07605128],15100.028125,[14217.68040151],[32345.22291343],[-10217.80700773],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.46538905]
938,5881566.178476098,[13135.8249035],[0.49224934],[10329.95207372],1.0129565013405646e-09,[0.68410151],[0.00024389],[20985.20260318],[-4770.07605128],15100.028125,[13483.76624927],[30675.56821709],[-9690.36561392],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.38974593]
957,5629989.04564489,[13670.07803043],[0.47301128],[10329.95207372],1.0582206555376534e-09,[0.68410151],[0.00026515],[21838.70135124],[-4770.07605128],15100.028125,[14032.1706574],[31923.18824558],[-10084.48689433],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.44626892]
981,5503915.984479844,[14085.73605665],[0.45905312],[10329.95207372],1.0824603274018168e-09,[0.68410151],[0.00027947],[22502.73790457],[-4770.07605128],15100.028125,[14458.83862126],[32893.85786337],[-10391.1199588],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.49024477]
922,5295877.039595152,[13048.50956438],[0.49554327],[10329.95207372],1.124982822298984e-09,[0.68410151],[0.00026906],[20845.71154759],[-4770.07605128],15100.028125,[13394.138104],[30471.6641866],[-9625.95263902],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.38050813]
978,5249331.395424974,[14017.04493465],[0.46130273],[10329.95207372],1.1349580069843954e-09,[0.68410151],[0.00029159],[22393.00005995],[-4770.07605128],15100.028125,[14388.32801083],[32733.44622464],[-10340.44616469],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.48297737]
955,5194357.54164268,[14057.88044855],[0.45996273],[10329.95207372],1.1469696975591787e-09,[0.68410151],[0.00029554],[22458.23703888],[-4770.07605128],15100.028125,[14430.24517462],[32828.80777227],[-10370.57073339],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.4872977]
945,5169915.895936577,[13420.78107547],[0.48179767],[10329.95207372],1.15239218944254e-09,[0.68410151],[0.00028348],[21440.43575723],[-4770.07605128],15100.028125,[13776.27033199],[31341.01500528],[-9900.57924805],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.41989376]
973,5086816.030701892,[14292.41524287],[0.45241486],[10329.95207372],1.1712180394560239e-09,[0.68410151],[0.00030682],[22832.91926954],[-4770.07605128],15100.028125,[14670.99231972],[33376.50752736],[-10543.58825782],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.51211104]
987,5060269.725441685,[13661.82851151],[0.4732969],[10329.95207372],1.1773622794449202e-09,[0.68410151],[0.00029482],[21825.52229114],[-4770.07605128],15100.028125,[14023.70262546],[31903.92347293],[-10078.40118179],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.44539614]
915,4971408.350604495,[14107.80623378],[0.45833498],[10329.95207372],1.1984070264169131e-09,[0.68410151],[0.00030989],[22537.99622614],[-4770.07605128],15100.028125,[14481.4933926],[32945.39746816],[-10407.40124202],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.49257975]
961,4722946.342953016,[13650.38865847],[0.47369355],[10329.95207372],1.2614521245708362e-09,[0.68410151],[0.00031561],[21807.24649686],[-4770.07605128],15100.028125,[14011.95975393],[31877.2084402],[-10069.96194334],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.44418582]
988,4636631.451842468,[13453.07270422],[0.48064121],[10329.95207372],1.2849351432028723e-09,[0.68410151],[0.00031684],[21492.02340982],[-4770.07605128],15100.028125,[13809.41730046],[31416.42435854],[-9924.40094872],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.42331016]
928,4627537.952924811,[13672.26189164],[0.47293573],[10329.95207372],1.2874601481737313e-09,[0.68410151],[0.00032264],[21842.19018962],[-4770.07605128],15100.028125,[14034.41236466],[31928.28812961],[-10086.09793999],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.44649997]
963,4436259.455901166,[13935.95351897],[0.46398699],[10329.95207372],1.3429716538844551e-09,[0.68410151],[0.00034304],[22263.45206429],[-4770.07605128],15100.028125,[14305.0886481],[32544.07667443],[-10280.62461013],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.47439805]
910,3892612.8886975995,[13947.32487814],[0.4636087],[10329.95207372],1.5305325417410076e-09,[0.68410151],[0.00039127],[22281.61843586],[-4770.07605128],15100.028125,[14316.7612115],[32570.63175616],[-10289.0133203],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.47560112]
41,9263.47902716054,[7414.79536512],[0.87205388],[10329.95207372],1.5464314447888757e-09,[0.68410151],[0.0874073],[11845.54332456],[-4770.07605128],15100.028125,[7611.19824785],[17315.47601385],[-5469.93268929],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[0.78447161]
32,9120.099966772246,[7072.05160665],[0.91431758],[10329.95207372],1.5707432273698304e-09,[0.68410151],[0.08467758],[11297.99132342],[-4770.07605128],15100.028125,[7259.37590272],[16515.0801787],[-5217.08885528],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[0.74820995]
35,9052.85230969558,[7557.04262198],[0.85563909],[10329.95207372],1.5824112407534725e-09,[0.68410151],[0.0911568],[12072.79113935],[-4770.07605128],15100.028125,[7757.21334588],[17647.66036187],[-5574.86922252],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[0.7995211]
916,3755736.001374024,[13780.60164496],[0.46921762],[10329.95207372],1.5863124288747965e-09,[0.68410151],[0.00040068],[22015.26890299],[-4770.07605128],15100.028125,[14145.6218182],[32181.2896364],[-10166.02073341],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[1.45796211]
37,8986.987484431265,[6605.05488641],[0.97896251],[10329.95207372],1.5940085908164464e-09,[0.68410151],[0.08025737],[10551.93838337],[-4770.07605128],15100.028125,[6780.00938702],[15424.52135547],[-4872.5829721],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[0.69880256]
24,8962.435257945755,[7628.86443964],[0.84758369],[10329.95207372],1.5983753124512697e-09,[0.68410151],[0.09295152],[12187.53044244],[-4770.07605128],15100.028125,[7830.93757774],[17815.38298937],[-5627.85254693],[1.46177136],[0.68410151],[0.68410151],[0.68410151],[0.80711972]
