,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
986,9805241.98396796,[12969.40077229],[0.54755561],[11209.9264187],5.16082146882159e-10,[0.74237785],[0.00014272],[20472.67220094],[-3890.1017063],15100.028125,[12121.82824171],[27577.15924989],[-7104.48704895],[1.34702295],[0.74237785],[0.74237785],[0.74237785],[1.35580358]
947,9759361.02567661,[13947.09125502],[0.50917198],[11209.9264187],5.185083655038203e-10,[0.74237785],[0.0001542],[22015.99229091],[-3890.1017063],15100.028125,[13035.6249786],[29656.04682632],[-7640.05453541],[1.34702295],[0.74237785],[0.74237785],[0.74237785],[1.45801002]
937,9709200.652006267,[13514.43031164],[0.52547299],[11209.9264187],5.211871208717502e-10,[0.74237785],[0.00015019],[21333.02120972],[-3890.1017063],15100.028125,[12631.23916814],[28736.06910753],[-7403.0478978],[1.34702295],[0.74237785],[0.74237785],[0.74237785],[1.41278023]
970,9558217.264440319,[13682.5215333],[0.5190175],[11209.9264187],5.294198901097664e-10,[0.74237785],[0.00015446],[21598.35933453],[-3890.1017063],15100.028125,[12788.34534086],[29093.48565046],[-7495.12631594],[1.34702295],[0.74237785],[0.74237785],[0.74237785],[1.43035226]
933,9203722.016657954,[13655.81219472],[0.52003264],[11209.9264187],5.4981129641101e-10,[0.74237785],[0.00016009],[21556.19766931],[-3890.1017063],15100.028125,[12763.38150326],[29036.69291991],[-7480.49525061],[1.34702295],[0.74237785],[0.74237785],[0.74237785],[1.4275601]
985,9119309.81443448,[13132.65533531],[0.54074884],[11209.9264187],5.549005831313642e-10,[0.74237785],[0.00015539],[20730.37548366],[-3890.1017063],15100.028125,[12274.41383971],[27924.29148535],[-7193.91600169],[1.34702295],[0.74237785],[0.74237785],[0.74237785],[1.37286999]
969,9093803.506122945,[13391.96341148],[0.53027834],[11209.9264187],5.56456968789584e-10,[0.74237785],[0.0001589],[21139.70274061],[-3890.1017063],15100.028125,[12516.77568944],[28475.66469347],[-7335.96195286],[1.34702295],[0.74237785],[0.74237785],[0.74237785],[1.39997771]
959,9060490.993334426,[13801.7155442],[0.51453517],[11209.9264187],5.585028821846419e-10,[0.74237785],[0.00016436],[21786.51142856],[-3890.1017063],15100.028125,[12899.74981922],[29346.93083873],[-7560.41941017],[1.34702295],[0.74237785],[0.74237785],[0.74237785],[1.44281264]
954,8825137.072860273,[13445.2613237],[0.52817628],[11209.9264187],5.733973639171128e-10,[0.74237785],[0.00016439],[21223.8354392],[-3890.1017063],15100.028125,[12566.59049191],[28588.9933691],[-7365.1579299],[1.34702295],[0.74237785],[0.74237785],[0.74237785],[1.4055494]
923,8781900.031859795,[13790.91285423],[0.51493822],[11209.9264187],5.762204438022524e-10,[0.74237785],[0.00016944],[21769.45898838],[-3890.1017063],15100.028125,[12889.65310352],[29323.9608105],[-7554.50182212],[1.34702295],[0.74237785],[0.74237785],[0.74237785],[1.44168334]
