,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
950,9724280.743345605,[10110.96147949],[0.6384101],[24042.72999493],3.5266868220359953e-10,[1.59223081],[0.00026472],[37660.32230401],[8942.70186993],15100.028125,[10396.72623721],[23652.55218966],[14007.77011435],[0.62804965],[1.59223081],[1.59223081],[1.59223081],[2.49405643]
886,9700896.321435176,[10595.78591898],[0.60919878],[24042.72999493],3.535188050155527e-10,[1.59223081],[0.00027809],[39466.14904846],[8942.70186993],15100.028125,[10895.25320526],[24786.70104197],[14679.44800649],[0.62804965],[1.59223081],[1.59223081],[1.59223081],[2.61364739]
984,9680473.469333285,[10522.3360206],[0.61345122],[24042.72999493],3.5426462207635463e-10,[1.59223081],[0.00027674],[39192.57003703],[8942.70186993],15100.028125,[10819.72740219],[24614.87983997],[14577.69019706],[0.62804965],[1.59223081],[1.59223081],[1.59223081],[2.59552961]
987,9678774.881905098,[10613.75362648],[0.60816749],[24042.72999493],3.5432679414261845e-10,[1.59223081],[0.00027919],[39533.07341139],[8942.70186993],15100.028125,[10913.72873169],[24828.73286459],[14704.3405468],[0.62804965],[1.59223081],[1.59223081],[1.59223081],[2.61807946]
868,9674392.662009835,[10719.63076891],[0.60216066],[24042.72999493],3.5448729392601194e-10,[1.59223081],[0.00028211],[39927.43425598],[8942.70186993],15100.028125,[11022.5982657],[25076.41105447],[14851.02320152],[0.62804965],[1.59223081],[1.59223081],[1.59223081],[2.64419602]
939,9543230.438683845,[11009.74244351],[0.58629345],[24042.72999493],3.5935936967760224e-10,[1.59223081],[0.00029372],[41008.01390131],[8942.70186993],15100.028125,[11320.90932792],[25755.06872101],[15252.9451803],[0.62804965],[1.59223081],[1.59223081],[1.59223081],[2.71575745]
908,9510389.702337276,[10389.82582601],[0.62127508],[24042.72999493],3.606002889966445e-10,[1.59223081],[0.00027814],[38699.00899966],[8942.70186993],15100.028125,[10683.47208962],[24304.89900389],[14394.10999577],[0.62804965],[1.59223081],[1.59223081],[1.59223081],[2.5628435]
986,9405181.576447325,[9992.20432853],[0.64599759],[24042.72999493],3.6463403149192154e-10,[1.59223081],[0.00027049],[37217.98726099],[8942.70186993],15100.028125,[10274.61266872],[23374.74382133],[13843.24343966],[0.62804965],[1.59223081],[1.59223081],[1.59223081],[2.46476278]
944,9366488.419086155,[10234.55012181],[0.63070089],[24042.72999493],3.6614034221676107e-10,[1.59223081],[0.0002782],[38120.65321439],[8942.70186993],15100.028125,[10523.80784887],[23941.66285617],[14178.99035822],[0.62804965],[1.59223081],[1.59223081],[1.59223081],[2.52454187]
895,9282894.209876968,[10744.50228422],[0.60076677],[24042.72999493],3.6943750489848433e-10,[1.59223081],[0.00029469],[40020.07324828],[8942.70186993],15100.028125,[11048.17272133],[25134.59294102],[14885.48030725],[0.62804965],[1.59223081],[1.59223081],[1.59223081],[2.65033104]
