,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
890,9982899.7111936,[10303.11980457],[0.64436111],[16258.73321415],3.9160651776283038,[1.07673529],[0.00017277],[25232.33144576],[1158.70508915],15100.028125,[10300.70693233],[23434.10827105],[1798.22317472],[0.92873337],[1.07673529],[1.07673529],[1.07673529],[1.67101222]
800,9943514.915040882,[10947.6152637],[0.60642703],[16258.73321415],3.9315761342728552,[1.07673529],[0.0001843],[26810.70026496],[1158.70508915],15100.028125,[10945.05145803],[24899.99206701],[1910.70819795],[0.92873337],[1.07673529],[1.07673529],[1.07673529],[1.77553976]
911,9942705.490084356,[10420.71611535],[0.63708959],[16258.73321415],3.9318961996559376,[1.07673529],[0.00017545],[25520.32470864],[1158.70508915],15100.028125,[10418.2757034],[23701.57722524],[1818.7474834],[0.92873337],[1.07673529],[1.07673529],[1.07673529],[1.69008458]
914,9899285.583746513,[10272.44066202],[0.64628553],[16258.73321415],3.9491421476867217,[1.07673529],[0.00017371],[25157.19825231],[1158.70508915],15100.028125,[10270.03497447],[23364.32956693],[1792.86868538],[0.92873337],[1.07673529],[1.07673529],[1.07673529],[1.66603652]
898,9798912.392285736,[10447.11092012],[0.63547997],[16258.73321415],3.989594392285586,[1.07673529],[0.00017847],[25584.96556257],[1158.70508915],15100.028125,[10444.66432681],[23761.61134349],[1823.35421908],[0.92873337],[1.07673529],[1.07673529],[1.07673529],[1.69436542]
926,9768177.577480327,[10598.76019491],[0.62638739],[16258.73321415],4.002147342293199,[1.07673529],[0.00018163],[25956.35450472],[1158.70508915],15100.028125,[10596.27808708],[24106.53264811],[1849.82185661],[0.92873337],[1.07673529],[1.07673529],[1.07673529],[1.71896067]
941,9755468.300680738,[10425.15149651],[0.63681854],[16258.73321415],4.007361279420379,[1.07673529],[0.00017889],[25531.18695324],[1158.70508915],15100.028125,[10422.71004584],[23711.6653543],[1819.52159895],[0.92873337],[1.07673529],[1.07673529],[1.07673529],[1.69080393]
806,9703606.89756286,[10212.19322308],[0.65009833],[16258.73321415],4.028778818377278,[1.07673529],[0.00017617],[25009.65232674],[1158.70508915],15100.028125,[10209.8016448],[23227.29874192],[1782.35358481],[0.92873337],[1.07673529],[1.07673529],[1.07673529],[1.65626528]
803,9484501.156060461,[10307.70403984],[0.64407454],[16258.73321415],4.121849456023377,[1.07673529],[0.00018193],[25243.55823396],[1158.70508915],15100.028125,[10305.29009403],[23444.53496391],[1799.02327005],[0.92873337],[1.07673529],[1.07673529],[1.07673529],[1.67175571]
856,9435189.34168696,[10377.46205874],[0.63974503],[16258.73321415],4.143391776785602,[1.07673529],[0.00018412],[25414.39556159],[1158.70508915],15100.028125,[10375.03177639],[23603.19729129],[1811.1982703],[0.92873337],[1.07673529],[1.07673529],[1.07673529],[1.68306942]
