,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
946,9863420.324156562,[11380.09200028],[0.82691455],[19053.53994301],2.4972093418207653,[1.47212507],[0.00015968],[23041.72772821],[6110.65869301],12942.88125,[8026.6757798],[15652.01777061],[7389.70995759],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.78026262]
982,9835125.67597533,[10774.26487774],[0.8734112],[19053.53994301],2.504393557060059,[1.47212507],[0.00015162],[21815.08530673],[6110.65869301],12942.88125,[7599.37010502],[14818.7717048],[6996.31360194],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.6854891]
939,9577126.481839752,[10557.58048145],[0.89133715],[19053.53994301],2.571859672365629,[1.47212507],[0.00015257],[21376.3557374],[6110.65869301],12942.88125,[7446.5369473],[14520.74704724],[6855.60869016],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.65159174]
938,9560328.862912845,[11028.61403318],[0.85326802],[19053.53994301],2.5763784623915105,[1.47212507],[0.00015966],[22330.07622133],[6110.65869301],12942.88125,[7778.7692],[15168.59993999],[7161.47628134],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.72527861]
984,9502592.82841597,[10820.03049386],[0.86971693],[19053.53994301],2.59203207172399,[1.47212507],[0.00015759],[21907.74878132],[6110.65869301],12942.88125,[7631.64978804],[14881.71708667],[7026.03169465],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.69264852]
974,9433646.661952432,[11047.86087037],[0.85178151],[19053.53994301],2.6109760369900075,[1.47212507],[0.00016208],[22369.04606289],[6110.65869301],12942.88125,[7792.34449639],[15195.07176796],[7173.97429493],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.72828952]
945,9394809.039082656,[11061.79979593],[0.85070819],[19053.53994301],2.621769668049968,[1.47212507],[0.00016296],[22397.26876335],[6110.65869301],12942.88125,[7802.17598424],[15214.24316928],[7183.02559408],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.73047008]
967,9212342.363383953,[10775.96952738],[0.87327304],[19053.53994301],2.6736984367503362,[1.47212507],[0.00016189],[21818.53677908],[6110.65869301],12942.88125,[7600.57243889],[14821.11625583],[6997.42052325],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.68575577]
986,9064466.711651787,[10531.15579806],[0.89357368],[19053.53994301],2.717316545950462,[1.47212507],[0.00016079],[21322.85262336],[6110.65869301],12942.88125,[7427.89892872],[14484.402911],[6838.44971236],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.64745795]
952,8688705.921880038,[10309.15818834],[0.91281592],[19053.53994301],2.8348324361815873,[1.47212507],[0.00016421],[20873.36517816],[6110.65869301],12942.88125,[7271.31822296],[14179.07053476],[6694.2946434],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.61272941]
948,8494249.429417983,[11046.14700977],[0.85191367],[19053.53994301],2.8997294676189265,[1.47212507],[0.00017998],[22365.57594074],[6110.65869301],12942.88125,[7791.1356658],[15192.71454831],[7172.86139243],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.72802141]
934,8476254.44765107,[10717.76360423],[0.8780156],[19053.53994301],2.9058855568704987,[1.47212507],[0.000175],[21700.68491696],[6110.65869301],12942.88125,[7559.51828277],[14741.06065141],[6959.62426555],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.67665024]
983,8469548.0646579,[10579.88848041],[0.88945774],[19053.53994301],2.908186503902137,[1.47212507],[0.00017288],[21421.52363571],[6110.65869301],12942.88125,[7462.27136096],[14551.42915387],[6870.09448184],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.65508152]
975,8223798.870219922,[10772.02343653],[0.87359294],[19053.53994301],2.9950909262850063,[1.47212507],[0.00018128],[21810.54697102],[6110.65869301],12942.88125,[7597.78915807],[14815.68885823],[6994.85811279],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.68513846]
947,8218857.874896063,[11170.84311128],[0.84240407],[19053.53994301],2.996891508614883,[1.47212507],[0.00018811],[22618.05312807],[6110.65869301],12942.88125,[7879.08707936],[15364.21980474],[7253.83332333],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.74752844]
937,8210070.1629565945,[10979.41932055],[0.8570912],[19053.53994301],3.000099254562094,[1.47212507],[0.00018508],[22230.4697178],[6110.65869301],12942.88125,[7744.07088575],[15100.93822722],[7129.53149058],[0.67929011],[1.47212507],[1.47212507],[1.47212507],[1.71758276]
