,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
906,9974383.604907649,[10874.41221531],[0.83543831],[18314.81656264],2.6136492632923263,[1.2128995],[0.00015023],[21922.4044892],[3214.78843764],15100.028125,[7944.78170168],[18074.37837132],[3848.02611788],[0.82447062],[1.2128995],[1.2128995],[1.2128995],[1.45181216]
935,9746326.318953596,[11126.62668819],[0.81650089],[18314.81656264],2.674806845946121,[1.2128995],[0.00015732],[22430.85934479],[3214.78843764],15100.028125,[8129.04811437],[18493.5844602],[3937.27488459],[0.82447062],[1.2128995],[1.2128995],[1.2128995],[1.48548461]
987,9636776.825669292,[10995.42891591],[0.8262434],[18314.81656264],2.7052136655609806,[1.2128995],[0.00015723],[22166.36958892],[3214.78843764],15100.028125,[8033.19579244],[18275.52042779],[3890.84916113],[0.82447062],[1.2128995],[1.2128995],[1.2128995],[1.46796876]
965,9403125.976198142,[11169.06848185],[0.81339823],[18314.81656264],2.772433382978278,[1.2128995],[0.00016368],[22516.42039852],[3214.78843764],15100.028125,[8160.05583957],[18564.12703502],[3952.2933635],[0.82447062],[1.2128995],[1.2128995],[1.2128995],[1.49115089]
942,9342035.806349704,[10911.97282522],[0.83256261],[18314.81656264],2.790563095791464,[1.2128995],[0.00016096],[21998.12526078],[3214.78843764],15100.028125,[7972.2232627],[18136.80792264],[3861.31733814],[0.82447062],[1.2128995],[1.2128995],[1.2128995],[1.45682677]
957,9329692.048683418,[10514.27125687],[0.86405423],[18314.81656264],2.7942551827786,[1.2128995],[0.0001553],[21196.37391324],[3214.78843764],15100.028125,[7681.66483247],[17475.78749387],[3720.58641937],[0.82447062],[1.2128995],[1.2128995],[1.2128995],[1.40373076]
988,9183150.269041598,[10874.67168133],[0.83541838],[18314.81656264],2.8388450147274673,[1.2128995],[0.00016318],[21922.92756291],[3214.78843764],15100.028125,[7944.97126603],[18074.80963023],[3848.11793268],[0.82447062],[1.2128995],[1.2128995],[1.2128995],[1.4518468]
975,9068978.59962556,[10712.83309706],[0.84803903],[18314.81656264],2.8745839539017437,[1.2128995],[0.00016278],[21596.66708684],[3214.78843764],15100.028125,[7826.73294681],[17805.81745398],[3790.84963286],[0.82447062],[1.2128995],[1.2128995],[1.2128995],[1.43024019]
969,9021534.834690731,[10285.00073621],[0.8833155],[18314.81656264],2.889701235815893,[1.2128995],[0.0001571],[20734.17319912],[3214.78843764],15100.028125,[7514.16113652],[17094.71658559],[3639.45661354],[0.82447062],[1.2128995],[1.2128995],[1.2128995],[1.3731215]
966,8880304.39850362,[11010.59533781],[0.8251053],[18314.81656264],2.93565841787527,[1.2128995],[0.00017086],[22196.94452291],[3214.78843764],15100.028125,[8044.27629121],[18300.72856251],[3896.2159604],[0.82447062],[1.2128995],[1.2128995],[1.2128995],[1.46999359]
