,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
920,9912588.823440751,[10062.18439984],[0.64543003],[20978.46384952],1.74259315161691,[2.1611328],[0.00022413],[32503.08011623],[11271.30291202],9707.1609375,[10283.64769384],[15039.83475224],[17463.24536399],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.3483611]
881,9843392.769327402,[9865.38403002],[0.65830544],[20978.46384952],1.7548430508988495,[2.1611328],[0.00022129],[31867.37141395],[11271.30291202],9707.1609375,[10082.5158532],[14745.67943531],[17121.69197864],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.28287247]
937,9803940.777451195,[10206.44459036],[0.63630737],[20978.46384952],1.7619047065493318,[2.1611328],[0.00022987],[32969.07242404],[11271.30291202],9707.1609375,[10431.08297396],[15255.45884941],[17713.61357463],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.39636611]
884,9711465.46996134,[10389.02194157],[0.62512487],[20978.46384952],1.7786820590518908,[2.1611328],[0.0002362],[33558.83763188],[11271.30291202],9707.1609375,[10617.67875497],[15528.35517914],[18030.48245274],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.45712179]
848,9627552.89543671,[10602.73458835],[0.61252462],[20978.46384952],1.7941848345190148,[2.1611328],[0.00024316],[34249.17672765],[11271.30291202],9707.1609375,[10836.09510274],[15847.78908775],[18401.3876399],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.52823827]
846,9574524.058754342,[10642.93202441],[0.61021116],[20978.46384952],1.80412199003545,[2.1611328],[0.00024544],[34379.0233328],[11271.30291202],9707.1609375,[10877.17726285],[15907.87174692],[18471.15158588],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.54161464]
862,9409604.85041814,[10131.36223625],[0.64102297],[20978.46384952],1.8357422732533322,[2.1611328],[0.00023774],[32726.5398214],[11271.30291202],9707.1609375,[10354.34809742],[15143.23409247],[17583.30572892],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.37138119]
989,9403464.099118011,[10486.70272571],[0.619302],[20978.46384952],1.8369410694238026,[2.1611328],[0.00024624],[33874.36815949],[11271.30291202],9707.1609375,[10717.50944089],[15674.3575573],[18200.01060219],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.48962672]
935,9336155.803643893,[10288.79005243],[0.63121474],[20978.46384952],1.8501843544406467,[2.1611328],[0.00024333],[33235.06647111],[11271.30291202],9707.1609375,[10515.24081558],[15378.53969279],[17856.52677832],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.42376795]
938,9334523.29881326,[10230.24131681],[0.63482725],[20978.46384952],1.850507931210397,[2.1611328],[0.00024199],[33045.94111136],[11271.30291202],9707.1609375,[10455.40345363],[15291.02755093],[17754.91356044],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.40428487]
885,9263810.251182478,[10523.26894864],[0.61715005],[20978.46384952],1.8646333344659438,[2.1611328],[0.00025082],[33992.48514346],[11271.30291202],9707.1609375,[10754.88046682],[15729.01268272],[18263.47246074],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.50179474]
950,9211910.406510046,[10788.16221529],[0.6019965],[20978.46384952],1.8751386668193097,[2.1611328],[0.00025858],[34848.14895621],[11271.30291202],9707.1609375,[11025.60389251],[16124.9456928],[18723.20326341],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.58994243]
898,9179585.793085722,[10642.01197419],[0.61026392],[20978.46384952],1.88174170249959,[2.1611328],[0.00025598],[34376.05136721],[11271.30291202],9707.1609375,[10876.23696282],[15906.49655813],[18469.55480908],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.54130848]
907,9166974.10774637,[10264.22240661],[0.63272557],[20978.46384952],1.8843305539529616,[2.1611328],[0.00024723],[33155.7075438],[11271.30291202],9707.1609375,[10490.13244902],[15341.81870669],[17813.8888371],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.41559265]
851,9145517.22283113,[10065.84709731],[0.64519517],[20978.46384952],1.888751502801815,[2.1611328],[0.00024302],[32514.91143882],[11271.30291202],9707.1609375,[10287.39100533],[15045.3093453],[17469.60209352],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.34957993]
973,9125136.443159182,[10512.78300184],[0.61776562],[20978.46384952],1.892969985284071,[2.1611328],[0.00025438],[33958.61321713],[11271.30291202],9707.1609375,[10744.16372995],[15713.33945505],[18245.27376208],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.49830537]
932,9032906.60501994,[10520.58665426],[0.61730739],[20978.46384952],1.9122980181066584,[2.1611328],[0.00025716],[33983.82073963],[11271.30291202],9707.1609375,[10752.13913658],[15725.00348724],[18258.81725239],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.50090216]
908,8984612.225362513,[10551.6165323],[0.61549204],[20978.46384952],1.9225770645683284,[2.1611328],[0.00025931],[34084.05410564],[11271.30291202],9707.1609375,[10783.85196562],[15771.38349973],[18312.67060592],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.51122788]
914,8948768.081672328,[10478.05799149],[0.61981294],[20978.46384952],1.93027791544846,[2.1611328],[0.00025853],[33846.44375684],[11271.30291202],9707.1609375,[10708.6744407],[15661.43636953],[18185.00738731],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.48675004]
962,8808241.89071802,[10353.87983149],[0.6272466],[20978.46384952],1.9610734597019661,[2.1611328],[0.00025955],[33445.32084725],[11271.30291202],9707.1609375,[10581.76318585],[15475.8286593],[17969.49218795],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.44542767]
945,8775419.561818784,[10538.83706663],[0.61623839],[20978.46384952],1.9684083794327512,[2.1611328],[0.00026517],[34042.77360631],[11271.30291202],9707.1609375,[10770.79123076],[15752.28217498],[18290.49143133],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.5069753]
922,8762417.060821379,[9824.78654474],[0.66102565],[20978.46384952],1.9713292894669596,[2.1611328],[0.00024757],[31736.23256138],[11271.30291202],9707.1609375,[10041.024839],[14684.99882704],[17051.23373434],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.26936297]
964,8676166.677302774,[10607.16726271],[0.61226865],[20978.46384952],1.9909264126645563,[2.1611328],[0.00026994],[34263.49524581],[11271.30291202],9707.1609375,[10840.62533789],[15854.41455667],[18409.08068915],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.52971332]
946,8632064.305387734,[10634.89096339],[0.61067255],[20978.46384952],2.0010983221870564,[2.1611328],[0.00027203],[34353.04892802],[11271.30291202],9707.1609375,[10868.95922238],[15895.85286273],[18457.19606529],[0.46272029],[2.1611328],[2.1611328],[2.1611328],[3.53893885]
