,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
963,9951446.70942354,[13387.69881299],[0.47384139],[12853.51403667],4.274397007364222,[0.85122451],[0.00018632],[27126.19529113],[-2246.51408833],15100.028125,[14007.58811612],[31867.26296418],[-4741.06767304],[1.1747782],[0.85122451],[0.85122451],[0.85122451],[1.79643343]
944,9915213.820311427,[13895.70796044],[0.45651836],[12853.51403667],4.290016817042124,[0.85122451],[0.0001941],[28155.52494188],[-2246.51408833],15100.028125,[14539.11956123],[33076.4970018],[-4920.97205992],[1.1747782],[0.85122451],[0.85122451],[0.85122451],[1.86460083]
973,9761168.334723482,[12997.10727706],[0.48808136],[12853.51403667],4.357719544943132,[0.85122451],[0.00018441],[26334.77755529],[-2246.51408833],15100.028125,[13598.91105867],[30937.52265847],[-4602.74510318],[1.1747782],[0.85122451],[0.85122451],[0.85122451],[1.74402176]
931,9748069.58375803,[13762.11157625],[0.46095003],[12853.51403667],4.363575133334868,[0.85122451],[0.00019553],[27884.83154951],[-2246.51408833],15100.028125,[14399.33727678],[32758.49230468],[-4873.66075517],[1.1747782],[0.85122451],[0.85122451],[0.85122451],[1.84667415]
915,9735384.442637794,[13851.65845067],[0.45797013],[12853.51403667],4.369260842685254,[0.85122451],[0.00019706],[28066.2716937],[-2246.51408833],15100.028125,[14493.03043133],[32971.64423127],[-4905.37253757],[1.1747782],[0.85122451],[0.85122451],[0.85122451],[1.85869003]
986,9622660.975922545,[13839.74782362],[0.45836426],[12853.51403667],4.420444006095357,[0.85122451],[0.0001992],[28042.13834563],[-2246.51408833],15100.028125,[14480.56830768],[32943.29289998],[-4901.15455435],[1.1747782],[0.85122451],[0.85122451],[0.85122451],[1.8570918]
924,9478885.879707757,[13208.4247024],[0.4802727],[12853.51403667],4.487493000075654,[0.85122451],[0.00019299],[26762.94955321],[-2246.51408833],15100.028125,[13820.013094],[31440.52978885],[-4677.58023564],[1.1747782],[0.85122451],[0.85122451],[0.85122451],[1.77237746]
977,9471876.037861194,[14012.72132731],[0.4527062],[12853.51403667],4.490814054541776,[0.85122451],[0.0002049],[28392.61777506],[-2246.51408833],15100.028125,[14661.55098653],[33355.02849435],[-4962.41071929],[1.1747782],[0.85122451],[0.85122451],[0.85122451],[1.88030231]
922,9392409.245434606,[13520.74578636],[0.46917869],[12853.51403667],4.528809693250995,[0.85122451],[0.00019938],[27395.77546567],[-2246.51408833],15100.028125,[14146.79555043],[32183.95987724],[-4788.18441157],[1.1747782],[0.85122451],[0.85122451],[0.85122451],[1.81428639]
974,9191529.36501256,[13685.11468262],[0.46354349],[12853.51403667],4.627786339411471,[0.85122451],[0.00020621],[27728.82021382],[-2246.51408833],15100.028125,[14318.77520355],[32575.21358807],[-4846.39337424],[1.1747782],[0.85122451],[0.85122451],[0.85122451],[1.83634229]
