,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
953,9721712.910138601,[18153.13915903],[0.41503443],[13711.64065712],3.5198819088509995e-10,[0.90805398],[0.00023229],[33037.35686661],[-1388.38746788],15100.028125,[15992.34781715],[36382.59128403],[-3345.23441742],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.18790035]
957,9689641.529691989,[17687.58398308],[0.42595856],[13711.64065712],3.5315322337345356e-10,[0.90805398],[0.00022708],[32190.08123268],[-1388.38746788],15100.028125,[15582.20826848],[35449.52381079],[-3259.4425781],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.13178949]
948,9589083.895076372,[17402.99707822],[0.43292416],[13711.64065712],3.568566274929597e-10,[0.90805398],[0.00022577],[31672.15433017],[-1388.38746788],15100.028125,[15331.49610642],[34879.1536421],[-3206.99931193],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.09748976]
938,9184943.92010164,[18390.64498435],[0.40967447],[13711.64065712],3.7255841399912865e-10,[0.90805398],[0.00024908],[33469.59972226],[-1388.38746788],15100.028125,[16201.58302072],[36858.60137213],[-3389.00164987],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.21652565]
974,9155457.67165623,[18081.92316904],[0.41666905],[13711.64065712],3.7375828301164296e-10,[0.90805398],[0.00024569],[32907.74908609],[-1388.38746788],15100.028125,[15929.60875742],[36239.85992313],[-3332.11083704],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.17931707]
976,9151648.977524435,[18846.66648632],[0.39976183],[13711.64065712],3.739138321353815e-10,[0.90805398],[0.00025619],[34299.52478191],[-1388.38746788],15100.028125,[16603.32370081],[37772.56141934],[-3473.03663743],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.27148748]
991,8994635.516595628,[18367.40335576],[0.41019287],[13711.64065712],3.8044100099780025e-10,[0.90805398],[0.00025403],[33427.30169484],[-1388.38746788],15100.028125,[16181.10787286],[36812.02041077],[-3384.71871592],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.21372447]
971,8657037.161274767,[17780.57847617],[0.42373075],[13711.64065712],3.9527705331463787e-10,[0.90805398],[0.0002555],[32359.32426155],[-1388.38746788],15100.028125,[15664.13350827],[35635.9037313],[-3276.57946976],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.14299762]
940,8635840.404507998,[17959.06995924],[0.41951938],[13711.64065712],3.962472648009712e-10,[0.90805398],[0.0002587],[32684.16542386],[-1388.38746788],15100.028125,[15821.37892212],[35993.63704781],[-3309.47162395],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.16451023]
946,8407264.874524558,[18071.65204895],[0.41690587],[13711.64065712],4.0702037947121553e-10,[0.90805398],[0.0002674],[32889.05641499],[-1388.38746788],15100.028125,[15920.56022188],[36219.27450478],[-3330.21808978],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.17807915]
941,8387699.485284735,[17318.82890914],[0.43502813],[13711.64065712],4.0796980692350636e-10,[0.90805398],[0.00025686],[31518.97455148],[-1388.38746788],15100.028125,[15257.34658201],[34710.46347407],[-3191.48892259],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.08734542]
983,8323170.879920251,[18444.54349537],[0.40847733],[13711.64065712],4.111327508365171e-10,[0.90805398],[0.00027568],[33567.69098502],[-1388.38746788],15100.028125,[16249.06592312],[36966.62497511],[-3398.93399008],[1.10125612],[0.90805398],[0.90805398],[0.90805398],[2.22302175]
