,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
942,9985154.963472262,[11041.89484765],[0.55078134],[10160.66430936],6.674583527526885e-10,[0.7359739],[0.00012629],[18447.72807028],[-3645.07569064],13805.74,[12050.83500177],[25065.73680369],[-6618.00873341],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.33623609]
979,9943376.007357255,[11072.53903732],[0.549257],[10160.66430936],6.702628039981825e-10,[0.7359739],[0.00012717],[18498.92541328],[-3645.07569064],13805.74,[12084.27926823],[25135.30087791],[-6636.37546463],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.3399445]
904,9438308.636370935,[10623.88043939],[0.57245275],[10160.66430936],7.061302337811789e-10,[0.7359739],[0.00012854],[17749.35009807],[-3645.07569064],13805.74,[11594.62501863],[24116.82003876],[-6367.46994068],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.28565003]
982,9433797.061803443,[10681.23575442],[0.56937884],[10160.66430936],7.064679301703626e-10,[0.7359739],[0.0001293],[17845.1738013],[-3645.07569064],13805.74,[11657.22110811],[24247.01990487],[-6401.84610356],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.29259089]
925,9278544.600502808,[10708.86297557],[0.56790993],[10160.66430936],7.18288844948632e-10,[0.7359739],[0.0001318],[17891.33068563],[-3645.07569064],13805.74,[11687.3727341],[24309.73528694],[-6418.4046013],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.2959342]
936,9224536.61527129,[11049.31744499],[0.55041134],[10160.66430936],7.224942955796941e-10,[0.7359739],[0.00013679],[18460.12902674],[-3645.07569064],13805.74,[12058.93583021],[25082.58652684],[-6622.4575001],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.33713434]
951,9203936.968931481,[10864.22471799],[0.55978864],[10160.66430936],7.241113347903832e-10,[0.7359739],[0.0001348],[18150.89403198],[-3645.07569064],13805.74,[11856.930473],[24662.41538384],[-6511.52135186],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.31473532]
948,9146866.963386646,[10883.51104806],[0.55879666],[10160.66430936],7.28629279356209e-10,[0.7359739],[0.00013588],[18183.11576362],[-3645.07569064],13805.74,[11877.97906879],[24706.19646309],[-6523.08069947],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.31706926]
901,9088449.117974447,[10498.72187008],[0.57927714],[10160.66430936],7.333126914600465e-10,[0.7359739],[0.00013192],[17540.24728699],[-3645.07569064],13805.74,[11458.03023226],[23832.70288311],[-6292.45559612],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.27050396]
967,8994037.86519831,[10566.14915416],[0.57558052],[10160.66430936],7.410103430504712e-10,[0.7359739],[0.00013416],[17652.89826026],[-3645.07569064],13805.74,[11531.61860512],[23985.76669865],[-6332.8684384],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.27866368]
963,8912818.347847728,[10559.82733242],[0.5759251],[10160.66430936],7.477629211986483e-10,[0.7359739],[0.0001353],[17642.33637301],[-3645.07569064],13805.74,[11524.71913436],[23971.41579947],[-6329.07942645],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.27789864]
920,8848007.901096849,[10500.55414986],[0.57917606],[10160.66430936],7.53240182241851e-10,[0.7359739],[0.00013553],[17543.30848252],[-3645.07569064],13805.74,[11460.02993445],[23836.86226366],[-6293.55378114],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.27072569]
918,8785408.850398485,[10832.69910765],[0.56141775],[10160.66430936],7.586072768368924e-10,[0.7359739],[0.00014081],[18098.2240967],[-3645.07569064],13805.74,[11822.52424709],[24590.85043394],[-6492.62633723],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.31092025]
975,8768481.346385788,[10655.69763503],[0.57074345],[10160.66430936],7.600717639259834e-10,[0.7359739],[0.00013878],[17802.5071858],[-3645.07569064],13805.74,[11629.3494731],[24189.04690405],[-6386.53971825],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.2895004]
969,8344747.073155719,[10183.60098474],[0.59720227],[10160.66430936],7.986671166270781e-10,[0.7359739],[0.00013937],[17013.7738436],[-3645.07569064],13805.74,[11114.11554667],[23117.36033708],[-6103.58649348],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.23236957]
976,8218437.298524042,[10672.21453754],[0.56986013],[10160.66430936],8.109418909962901e-10,[0.7359739],[0.0001483],[17830.1020262],[-3645.07569064],13805.74,[11647.37558815],[24226.54122335],[-6396.43919715],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.29149919]
960,8204889.602041678,[11185.11400911],[0.54372889],[10160.66430936],8.122808967766137e-10,[0.7359739],[0.00015568],[18687.00476885],[-3645.07569064],13805.74,[12207.14064566],[25390.85254297],[-6703.84777412],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.35356777]
981,7979011.154345231,[10841.93118824],[0.5609397],[10160.66430936],8.352758198953088e-10,[0.7359739],[0.00015518],[18113.64816247],[-3645.07569064],13805.74,[11832.59989818],[24611.80778822],[-6498.15962575],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.31203747]
915,7827701.448923273,[10706.90089726],[0.568014],[10160.66430936],8.514217267211023e-10,[0.7359739],[0.00015621],[17888.05263529],[-3645.07569064],13805.74,[11685.23137319],[24305.28125624],[-6417.22862095],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.29569676]
895,7821957.073492282,[10657.66641065],[0.57063801],[10160.66430936],8.520470032346955e-10,[0.7359739],[0.0001556],[17805.79642535],[-3645.07569064],13805.74,[11631.49814328],[24193.51613801],[-6387.71971266],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.28973865]
970,7600554.103785606,[10418.26615617],[0.58375065],[10160.66430936],8.768670011282538e-10,[0.7359739],[0.00015654],[17405.82967548],[-3645.07569064],13805.74,[11370.22297213],[23650.06378202],[-6244.23410654],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.2607676]
946,7520372.234993873,[11439.55166166],[0.53163531],[10160.66430936],8.862161174532549e-10,[0.7359739],[0.00017371],[19112.09454645],[-3645.07569064],13805.74,[12484.82723944],[25968.44065804],[-6856.34611158],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.38435857]
892,7503981.0196550535,[11164.73846386],[0.54472119],[10160.66430936],8.881519111579379e-10,[0.7359739],[0.00016991],[18652.96328201],[-3645.07569064],13805.74,[12184.90330893],[25344.59888257],[-6691.63560055],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.35110203]
940,7389374.074215456,[10525.40541327],[0.57780858],[10160.66430936],9.019268772919889e-10,[0.7359739],[0.00016267],[17584.82756561],[-3645.07569064],13805.74,[11487.15195283],[23893.27606189],[-6308.44849628],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.27373307]
937,6992623.038020484,[10862.42850027],[0.55988121],[10160.66430936],9.531008675374278e-10,[0.7359739],[0.0001774],[18147.89308545],[-3645.07569064],13805.74,[11854.970128],[24658.33786623],[-6510.44478079],[1.35874384],[0.7359739],[0.7359739],[0.7359739],[1.31451795]
