,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
946,9893005.896563532,[10278.58268977],[0.62781094],[15048.16717975],6.341998608311136e-10,[0.99656551],[0.00016561],[23969.26563695],[-51.86094525],15100.028125,[10572.25126533],[24051.87162863],[-82.60599168],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.58736563]
960,9781709.811573585,[10362.79875034],[0.62270887],[15048.16717975],6.414157732811187e-10,[0.99656551],[0.00016887],[24165.65430139],[-51.86094525],15100.028125,[10658.87345633],[24248.93711315],[-83.28281177],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.60037148]
919,9763717.872917447,[10067.71454647],[0.64096043],[15048.16717975],6.425977321820375e-10,[0.99656551],[0.00016436],[23477.52911125],[-51.86094525],15100.028125,[10355.35842494],[23558.44041675],[-80.9113055],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.55480036]
913,9702619.221074566,[10058.23091535],[0.64156478],[15048.16717975],6.466442534583064e-10,[0.99656551],[0.00016524],[23455.41364256],[-51.86094525],15100.028125,[10345.60383774],[23536.24873086],[-80.8350883],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.55333576]
972,9702487.094748866,[10252.77682191],[0.62939112],[15048.16717975],6.466530593168879e-10,[0.99656551],[0.00016844],[23909.08733024],[-51.86094525],15100.028125,[10545.70810006],[23991.48592763],[-82.3985974],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.58338032]
902,9682378.01453011,[10150.59307423],[0.63572706],[15048.16717975],6.479960763137448e-10,[0.99656551],[0.00016711],[23670.79869981],[-51.86094525],15100.028125,[10440.60486858],[23752.37607602],[-81.57737622],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.56759964]
989,9636928.47197262,[10657.75024267],[0.6054755],[15048.16717975],6.51052146028609e-10,[0.99656551],[0.00017628],[24853.47001326],[-51.86094525],15100.028125,[10962.2519845],[24939.12326473],[-85.65325147],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.6459221]
909,9436333.624473726,[9838.68882461],[0.65588076],[15048.16717975],6.648920240091547e-10,[0.99656551],[0.0001662],[22943.44979985],[-51.86094525],15100.028125,[10119.78922724],[23022.52049196],[-79.07069211],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.51943093]
901,9325810.938264074,[10641.98798692],[0.60637229],[15048.16717975],6.727718376810522e-10,[0.99656551],[0.0001819],[24816.71302968],[-51.86094525],15100.028125,[10946.03938658],[24902.23960447],[-85.52657479],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.64348787]
927,9312522.98713069,[10191.01388793],[0.63320556],[15048.16717975],6.737318094647864e-10,[0.99656551],[0.00017444],[23765.05850685],[-51.86094525],15100.028125,[10482.18054217],[23846.96073344],[-81.90222659],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.573842]
955,9299717.930675134,[10604.84754296],[0.60849594],[15048.16717975],6.746594907041973e-10,[0.99656551],[0.00018177],[24730.10292067],[-51.86094525],15100.028125,[10907.83780592],[24815.33100847],[-85.2280878],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.63775211]
992,9291508.532948652,[10151.06347818],[0.6356976],[15048.16717975],6.752555777733202e-10,[0.99656551],[0.00017415],[23671.89566401],[-51.86094525],15100.028125,[10441.08871241],[23753.47682072],[-81.58115672],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.56767229]
958,9287210.023404099,[10212.9026453],[0.63184845],[15048.16717975],6.755681143196843e-10,[0.99656551],[0.00017529],[23816.10226022],[-51.86094525],15100.028125,[10504.6946815],[23898.18040041],[-82.07814019],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.57722238]
938,9247911.693221003,[10885.45244488],[0.59281015],[15048.16717975],6.784388920366869e-10,[0.99656551],[0.00018763],[25384.46292692],[-51.86094525],15100.028125,[11196.45984837],[25471.94615503],[-87.48322811],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.68108713]
903,9233751.873548979,[10944.92085065],[0.58958916],[15048.16717975],6.794792678775459e-10,[0.99656551],[0.00018894],[25523.14099743],[-51.86094525],15100.028125,[11257.62732127],[25611.10215589],[-87.96115846],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.69027109]
983,9215272.604848024,[10757.55584259],[0.59985807],[15048.16717975],6.808418189930964e-10,[0.99656551],[0.00018608],[25086.21289315],[-51.86094525],15100.028125,[11064.90912234],[25172.66825332],[-86.45536017],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.66133551]
963,9209916.491111005,[10332.39219459],[0.6245414],[15048.16717975],6.812377689697293e-10,[0.99656551],[0.00017883],[24094.74736471],[-51.86094525],15100.028125,[10627.59815727],[24177.7858078],[-83.03844309],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.59567566]
930,9157496.090125753,[9934.07157861],[0.64958327],[15048.16717975],6.85137389200438e-10,[0.99656551],[0.00017292],[23165.87877054],[-51.86094525],15100.028125,[10217.89715438],[23245.71602622],[-79.83725568],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.5341613]
964,9030910.7483363,[10684.57021648],[0.60395566],[15048.16717975],6.947408891132955e-10,[0.99656551],[0.00018859],[24916.01317664],[-51.86094525],15100.028125,[10989.83822966],[25001.88197247],[-85.86879583],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.65006402]
971,9003324.243767474,[10264.99864146],[0.62864174],[15048.16717975],6.968695998197817e-10,[0.99656551],[0.00018174],[23937.58815065],[-51.86094525],15100.028125,[10558.27910825],[24020.08497127],[-82.49682062],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.58526779]
941,8899071.143625226,[10746.93679434],[0.60045079],[15048.16717975],7.050334649022788e-10,[0.99656551],[0.0001925],[25061.44967472],[-51.86094525],15100.028125,[11053.9866781],[25147.81969267],[-86.37001795],[1.00344633],[0.99656551],[0.99656551],[0.99656551],[1.65969556]
