,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
902,9782149.898695314,[10604.84731314],[0.61921845],[22297.5232653],5.712563994439339e-10,[2.49503678],[0.00025162],[36009.13904328],[13360.77192601],8936.751339285714,[10718.9554828],[14432.30791791],[21576.83112537],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.0293321]
937,9698861.157894865,[10351.73723649],[0.63435895],[22297.5232653],5.761620502630668e-10,[2.49503678],[0.00024772],[35149.69470859],[13360.77192601],8936.751339285714,[10463.12194142],[14087.84632827],[21061.84838033],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.93316244]
907,9597753.077085722,[10870.57870308],[0.60408165],[22297.5232653],5.822316624597215e-10,[2.49503678],[0.00026288],[36911.43949949],[13360.77192601],8936.751339285714,[10987.54614281],[14793.94605657],[22117.49344292],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.13029725]
974,9511883.154998725,[10620.63133616],[0.61829819],[22297.5232653],5.874878442985117e-10,[2.49503678],[0.00025915],[36062.734259],[13360.77192601],8936.751339285714,[10734.90934192],[14453.78864966],[21608.94560935],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.03532927]
956,9462825.605707632,[10349.2229813],[0.63451306],[22297.5232653],5.905335216765465e-10,[2.49503678],[0.00025384],[35141.15746501],[13360.77192601],8936.751339285714,[10460.58063284],[14084.42463779],[21056.73282722],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.93220714]
973,9450300.758551871,[9884.82992364],[0.66432272],[22297.5232653],5.913161784711103e-10,[2.49503678],[0.00024277],[33564.29419765],[13360.77192601],8936.751339285714,[9991.19070533],[13452.42462825],[20111.8695694],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.75576011]
930,9334984.689048106,[10444.32143176],[0.62873564],[22297.5232653],5.986207707984309e-10,[2.49503678],[0.00025968],[35464.06766112],[13360.77192601],8936.751339285714,[10556.70234275],[14213.84565434],[21250.22200678],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.96833998]
882,9246585.31302369,[10407.96157723],[0.63093211],[22297.5232653],6.043437161693347e-10,[2.49503678],[0.00026125],[35340.6064722],[13360.77192601],8936.751339285714,[10519.95125613],[14164.36294129],[21176.24353091],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.95452499]
906,9191875.336561274,[10218.29873283],[0.6426429],[22297.5232653],6.079407656588246e-10,[2.49503678],[0.00025802],[34696.59948807],[13360.77192601],8936.751339285714,[10328.2476393],[13906.24771435],[20790.35177372],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.88246222]
892,9187814.229967833,[10208.98547496],[0.64322916],[22297.5232653],6.082094816112855e-10,[2.49503678],[0.0002579],[34664.97598726],[13360.77192601],8936.751339285714,[10318.83417077],[13893.57315135],[20771.40283591],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.87892363]
898,8982019.10556907,[10229.40858866],[0.64194494],[22297.5232653],6.221447164908343e-10,[2.49503678],[0.00026433],[34734.32340164],[13360.77192601],8936.751339285714,[10339.4770372],[13921.36729651],[20812.95610512],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.88668344]
891,8888695.53034417,[10423.93326024],[0.62996538],[22297.5232653],6.286766951205444e-10,[2.49503678],[0.00027219],[35394.83889416],[13360.77192601],8936.751339285714,[10536.09479447],[14186.09906256],[21208.73983161],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.96059346]
900,8870020.115151003,[10543.59599786],[0.6228157],[22297.5232653],6.300003446896801e-10,[2.49503678],[0.00027589],[35801.15800748],[13360.77192601],8936.751339285714,[10657.04510329],[14348.95001407],[21452.20799341],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.00605955]
888,8850907.08227051,[10642.38940041],[0.6170341],[22297.5232653],6.31360794775852e-10,[2.49503678],[0.00027908],[36136.61454579],[13360.77192601],8936.751339285714,[10756.90152297],[14483.39955057],[21653.21499523],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.04359629]
885,8845262.87521646,[10455.36162049],[0.62807174],[22297.5232653],6.317636692977059e-10,[2.49503678],[0.00027435],[35501.55501752],[13360.77192601],8936.751339285714,[10567.86132391],[14228.87042541],[21272.68459211],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.97253472]
910,8826555.45700323,[10128.29056316],[0.64835394],[22297.5232653],6.331026590351011e-10,[2.49503678],[0.00026633],[34390.9735228],[13360.77192601],8936.751339285714,[10237.27098162],[13783.75414311],[20607.21937969],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.84826345]
963,8750486.635039436,[10304.42595825],[0.63727151],[22297.5232653],6.38606281343614e-10,[2.49503678],[0.00027332],[34989.04756807],[13360.77192601],8936.751339285714,[10415.30159377],[14023.45964589],[20965.58792218],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.91518643]
938,8683058.853509873,[10478.32476006],[0.62669532],[22297.5232653],6.435653407659093e-10,[2.49503678],[0.00028009],[35579.52718075],[13360.77192601],8936.751339285714,[10591.0715469],[14260.12133278],[21319.40584797],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.98125961]
955,8615079.911683343,[10051.96672598],[0.65327685],[22297.5232653],6.486435166284649e-10,[2.49503678],[0.00027081],[34131.81319884],[13360.77192601],8936.751339285714,[10160.12589987],[13679.88380089],[20451.92939795],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.81926406]
932,8492787.68388725,[10272.37513858],[0.63925986],[22297.5232653],6.579836842679411e-10,[2.49503678],[0.00028073],[34880.21786147],[13360.77192601],8936.751339285714,[10382.90590725],[13979.84116797],[20900.3766935],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.90300866]
947,8435263.607599024,[10655.62317153],[0.61626777],[22297.5232653],6.624707880990697e-10,[2.49503678],[0.00029319],[36181.55028982],[13360.77192601],8936.751339285714,[10770.27768948],[14501.40960333],[21680.14068649],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.04862449]
893,8403228.026708148,[10532.23839022],[0.62348732],[22297.5232653],6.649963219120922e-10,[2.49503678],[0.0002909],[35762.5928438],[13360.77192601],8936.751339285714,[10645.56528778],[14333.49326248],[21429.09958132],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.0017442]
915,8335196.981194437,[10930.09742123],[0.60079219],[22297.5232653],6.704239554934608e-10,[2.49503678],[0.00030436],[37113.53743962],[13360.77192601],8936.751339285714,[11047.70528244],[14874.94604099],[22238.59139862],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.1529115]
936,8269542.333804976,[10537.47890237],[0.62317725],[22297.5232653],6.757466742876358e-10,[2.49503678],[0.00029575],[35780.38719059],[13360.77192601],8936.751339285714,[10650.86218785],[14340.62516007],[21439.76203052],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.00373534]
983,8251691.909069474,[10379.79946824],[0.63264393],[22297.5232653],6.772084793674378e-10,[2.49503678],[0.00029196],[35244.98102203],[13360.77192601],8936.751339285714,[10491.48612282],[14126.03667251],[21118.94434952],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.94382474]
990,8231843.1608701395,[10699.29886322],[0.6137521],[22297.5232653],6.788413749805749e-10,[2.49503678],[0.00030167],[36329.85266596],[13360.77192601],8936.751339285714,[10814.42333167],[14560.84855728],[21769.00410867],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.06521915]
951,8054054.460264868,[10271.45807367],[0.63931694],[22297.5232653],6.938264146981885e-10,[2.49503678],[0.000296],[34877.1039347],[13360.77192601],8936.751339285714,[10381.97897472],[13978.59311953],[20898.51081518],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.90266022]
989,7877617.446127938,[10704.06213689],[0.61347898],[22297.5232653],7.093662224859926e-10,[2.49503678],[0.00031538],[36346.02653238],[13360.77192601],8936.751339285714,[10819.23785817],[14567.33097332],[21778.69555906],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[4.06702896]
958,7860353.484846409,[10511.15420663],[0.62473797],[22297.5232653],7.109242276091759e-10,[2.49503678],[0.00031037],[35691.00074293],[13360.77192601],8936.751339285714,[10624.25423835],[14304.79945664],[21386.20128629],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.99373322]
921,7813156.892787752,[10142.64592051],[0.6474363],[22297.5232653],7.1521867621881e-10,[2.49503678],[0.0003013],[34439.71765307],[13360.77192601],8936.751339285714,[10251.78080264],[13803.29058069],[20636.42707238],[0.4007957],[2.49503678],[2.49503678],[2.49503678],[3.85371779]
