,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
949,9632104.905447112,[18479.97033006],[0.39588539],[14545.32327384],2.781562794307076,[1.49841167],[0.00026074],[36741.24797075],[4838.16233634],9707.1609375,[16765.90036252],[24520.12928018],[12221.11869057],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.78496331]
950,9364353.145970382,[19373.83898506],[0.37762006],[14545.32327384],2.8610950717277768,[1.49841167],[0.00028116],[38518.40720424],[4838.16233634],9707.1609375,[17576.86014975],[25706.15796901],[12812.24923523],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.96804044]
980,9262290.478609826,[17905.71191062],[0.40858193],[14545.32327384],2.8926219381402523,[1.49841167],[0.00026272],[35599.5269284],[4838.16233634],9707.1609375,[16244.90604972],[23758.17509772],[11841.35183069],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.66734694]
974,9205898.637466043,[18270.97071546],[0.40041388],[14545.32327384],2.9103410422981844,[1.49841167],[0.00026972],[36325.72205115],[4838.16233634],9707.1609375,[16576.28605841],[24242.81836042],[12082.90369073],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.74215719]
959,9192879.477124749,[18094.63136399],[0.40431607],[14545.32327384],2.9144627320007217,[1.49841167],[0.0002675],[35975.13015496],[4838.16233634],9707.1609375,[16416.30268484],[24008.84267658],[11966.28747838],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.70604035]
957,9030160.671221603,[18046.01125709],[0.40540539],[14545.32327384],2.9669798369412503,[1.49841167],[0.00027158],[35878.46531341],[4838.16233634],9707.1609375,[16372.19223156],[23944.33113866],[11934.13417475],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.69608226]
965,8939772.318418851,[18587.40296265],[0.39359723],[14545.32327384],2.996978410809575,[1.49841167],[0.00028256],[36954.84187397],[4838.16233634],9707.1609375,[16863.36831195],[24662.67615623],[12292.16571774],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.80696705]
934,8741511.69612583,[17690.23562657],[0.41355867],[14545.32327384],3.06495095667818,[1.49841167],[0.00027502],[35171.12431506],[4838.16233634],9707.1609375,[16049.41580573],[23472.27061588],[11698.85369918],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.6232143]
976,8737909.883226858,[18109.4270698],[0.40398574],[14545.32327384],3.0662143457538296,[1.49841167],[0.00028165],[36004.54647362],[4838.16233634],9707.1609375,[16429.72604673],[24028.47434334],[11976.07213028],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.70907073]
962,8472648.55562266,[18198.13227399],[0.40201654],[14545.32327384],3.162211256605743,[1.49841167],[0.0002919],[36180.90714116],[4838.16233634],9707.1609375,[16510.20359017],[24146.17275063],[12034.73439053],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.72723883]
973,8327871.947942339,[18370.55816815],[0.39824322],[14545.32327384],3.2171849907555603,[1.49841167],[0.00029978],[36523.71843472],[4838.16233634],9707.1609375,[16666.63649075],[24374.95586773],[12148.76256699],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.76255413]
979,8316012.6287052445,[17973.62574921],[0.40703809],[14545.32327384],3.221772961644212,[1.49841167],[0.00029372],[35734.55091057],[4838.16233634],9707.1609375,[16306.52068604],[23848.28650333],[11886.26440724],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.68125667]
921,8310675.972851452,[18177.01703862],[0.40248355],[14545.32327384],3.2238418058142306,[1.49841167],[0.00029724],[36138.92654894],[4838.16233634],9707.1609375,[16491.04685312],[24118.15602269],[12020.77052625],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.72291412]
969,8269129.083046752,[18148.51290935],[0.40311569],[14545.32327384],3.240039472933559,[1.49841167],[0.00029826],[36082.25560938],[4838.16233634],9707.1609375,[16465.18656316],[24080.33534862],[12001.92026076],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.71707607]
970,8032725.461554927,[18198.13227399],[0.40201654],[14545.32327384],3.3353940408002027,[1.49841167],[0.00030788],[36180.90714116],[4838.16233634],9707.1609375,[16510.20359017],[24146.17275063],[12034.73439053],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.72723883]
948,7940737.837162051,[18271.43524242],[0.4004037],[14545.32327384],3.3740321347052165,[1.49841167],[0.0003127],[36326.64560784],[4838.16233634],9707.1609375,[16576.70749917],[24243.43471753],[12083.21089031],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.74225233]
919,7911776.573647022,[18321.07987105],[0.39931873],[14545.32327384],3.386382866914573,[1.49841167],[0.0003147],[36425.34736863],[4838.16233634],9707.1609375,[16621.74744686],[24309.30564104],[12116.04172759],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.75242026]
931,7890079.8704002015,[18322.09433097],[0.39929662],[14545.32327384],3.3956949835661674,[1.49841167],[0.00031558],[36427.3642833],[4838.16233634],9707.1609375,[16622.66781273],[24310.65167612],[12116.71260719],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.75262804]
985,7457212.98779169,[17879.34913773],[0.40918437],[14545.32327384],3.5928039979167057,[1.49841167],[0.00032583],[35547.1133607],[4838.16233634],9707.1609375,[16220.98849922],[23723.19568011],[11823.91768059],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.66194746]
986,7155714.117248856,[18176.89601867],[0.40248622],[14545.32327384],3.744183207553175,[1.49841167],[0.00034521],[36138.68594119],[4838.16233634],9707.1609375,[16490.93705812],[24117.9954475],[12020.6904937],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.72288934]
960,7019581.262685543,[18237.86349594],[0.40114075],[14545.32327384],3.816795280692312,[1.49841167],[0.00035309],[36259.89940423],[4838.16233634],9707.1609375,[16546.24962794],[24198.89008087],[12061.00932337],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.73537635]
955,6697027.319694982,[18401.70303715],[0.39756919],[14545.32327384],4.000626450643571,[1.49841167],[0.00037342],[36585.63960314],[4838.16233634],9707.1609375,[16694.89258431],[24416.28040455],[12169.35919859],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.76893304]
972,6567813.5772309685,[18033.27446926],[0.40569173],[14545.32327384],4.079333909344937,[1.49841167],[0.00037314],[35853.14246539],[4838.16233634],9707.1609375,[16360.63681714],[23927.43134506],[11925.71112033],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.69347358]
918,6518758.006802727,[18644.01493723],[0.39240208],[14545.32327384],4.110032096281982,[1.49841167],[0.00038868],[37067.39587482],[4838.16233634],9707.1609375,[16914.72936439],[24737.79169542],[12329.6041794],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.818562]
983,6432022.568701172,[18423.4513399],[0.39709988],[14545.32327384],4.165455632296479,[1.49841167],[0.00038926],[36628.87883837],[4838.16233634],9707.1609375,[16714.62366993],[24445.13711728],[12183.74172109],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.77338741]
10,9944.959539015244,[10715.63720244],[0.6827359],[14545.32327384],4.1845723128636605,[1.49841167],[0.14643148],[21304.46513646],[4838.16233634],9707.1609375,[9721.73128248],[14218.03200063],[7086.43313583],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.19471638]
925,6380602.577461559,[18113.49266384],[0.40389506],[14545.32327384],4.199024200393521,[1.49841167],[0.0003858],[36012.62954931],[4838.16233634],9707.1609375,[16433.41454533],[24033.86877254],[11978.76077677],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.70990342]
44,9813.92551904225,[10236.48369522],[0.71469369],[14545.32327384],4.240444077017392,[1.49841167],[0.14175145],[20351.8284433],[4838.16233634],9707.1609375,[9287.02062998],[13582.26767134],[6769.56077196],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.09657886]
940,6085854.51508813,[18266.98919638],[0.40050115],[14545.32327384],4.402389930523402,[1.49841167],[0.00040791],[36317.80613044],[4838.16233634],9707.1609375,[16572.67383658],[24237.535486],[12080.27064444],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.74134171]
25,9241.762475856238,[10767.90229772],[0.67942205],[14545.32327384],4.502972506405704,[1.49841167],[0.15834187],[21408.37681985],[4838.16233634],9707.1609375,[9769.14864107],[14287.37988757],[7120.99693228],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.20542102]
28,9127.986326820424,[9950.86022492],[0.73520782],[14545.32327384],4.55909998651461,[1.49841167],[0.14815118],[19783.96158198],[4838.16233634],9707.1609375,[9027.88955137],[13203.28846888],[6580.67311311],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.03807907]
6,9071.247130877167,[10474.81035062],[0.69843272],[14545.32327384],4.587616425734886,[1.49841167],[0.15692734],[20825.66138717],[4838.16233634],9707.1609375,[9503.24180819],[13898.49114448],[6927.17024269],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.14539158]
59,8921.821642165418,[9142.10922192],[0.80024752],[14545.32327384],4.664451275604302,[1.49841167],[0.13925549],[18176.03036689],[4838.16233634],9707.1609375,[8294.15251109],[12130.19804747],[6045.83231941],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[1.87243526]
958,5682917.59730004,[18519.52861167],[0.39503977],[14545.32327384],4.714533367258996,[1.49841167],[0.00044287],[36819.89639972],[4838.16233634],9707.1609375,[16801.78950066],[24572.61714471],[12247.27925502],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.79306541]
943,5639560.259663158,[17940.75894338],[0.40778377],[14545.32327384],4.750779032806118,[1.49841167],[0.00043233],[35669.20624597],[4838.16233634],9707.1609375,[16276.70237021],[23804.67721643],[11864.52902954],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.67452507]
933,5492346.713563466,[17871.28347141],[0.40936905],[14545.32327384],4.878116046405117,[1.49841167],[0.0004422],[35531.07747747],[4838.16233634],9707.1609375,[16213.67094646],[23712.4937592],[11818.58371827],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.6602955]
36,8473.276246916854,[9871.67945802],[0.74110492],[14545.32327384],4.911370894422925,[1.49841167],[0.15832851],[19626.53707647],[4838.16233634],9707.1609375,[8956.05302648],[13098.22755123],[6528.30952523],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.02186172]
55,8353.810748693762,[9979.42229072],[0.73310358],[14545.32327384],4.981607028387579,[1.49841167],[0.16234549],[19840.74770898],[4838.16233634],9707.1609375,[9053.80240408],[13241.18601597],[6599.56169301],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.043929]
15,8336.76982674122,[10217.38882904],[0.71602935],[14545.32327384],4.991789770424751,[1.49841167],[0.16655649],[20313.86468033],[4838.16233634],9707.1609375,[9269.69686711],[13556.93166814],[6756.93301219],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.09266796]
58,8164.806309313211,[9976.57606843],[0.73331273],[14545.32327384],5.096924625394213,[1.49841167],[0.1660562],[19835.08894671],[4838.16233634],9707.1609375,[9051.22017703],[13237.40950891],[6597.6794378],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.04334605]
945,5248002.854340836,[17884.60293988],[0.40906417],[14545.32327384],5.105238198125856,[1.49841167],[0.00046313],[35557.5587913],[4838.16233634],9707.1609375,[16225.75499623],[23730.16668199],[11827.39210931],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.66302352]
938,5226597.788143526,[18524.13276372],[0.39494158],[14545.32327384],5.126146246920393,[1.49841167],[0.00048166],[36829.05021811],[4838.16233634],9707.1609375,[16805.96660447],[24578.72615903],[12250.32405907],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.79400841]
966,5189797.740056314,[18488.23533682],[0.39570841],[14545.32327384],5.162494952175852,[1.49841167],[0.00048413],[36757.68017586],[4838.16233634],9707.1609375,[16773.39876632],[24531.09569574],[12226.58448011],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.7866561]
4,8006.849741813785,[10412.094044],[0.70263966],[14545.32327384],5.197475122105319,[1.49841167],[0.17672413],[20700.97096114],[4838.16233634],9707.1609375,[9446.34261792],[13815.27607871],[6885.69488243],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.13254638]
33,8004.344474662381,[10314.41459432],[0.70929379],[14545.32327384],5.199101871645506,[1.49841167],[0.17512102],[20506.76800421],[4838.16233634],9707.1609375,[9357.72321587],[13685.6702032],[6821.097801],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.11254023]
12,7874.284283761724,[9523.4400053],[0.76820458],[14545.32327384],5.28497585810198,[1.49841167],[0.1643623],[18934.17925028],[4838.16233634],9707.1609375,[8640.11377645],[12636.16639806],[6298.01285221],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[1.95053728]
30,7841.6947282364035,[10481.25849518],[0.69800304],[14545.32327384],5.306939862076453,[1.49841167],[0.18164479],[20838.4813687],[4838.16233634],9707.1609375,[9509.09186895],[13907.04685834],[6931.43451036],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.14671226]
19,7807.928930583319,[10145.03465581],[0.72113605],[14545.32327384],5.32989000149666,[1.49841167],[0.17657822],[20170.01257598],[4838.16233634],9707.1609375,[9204.05374986],[13460.92860917],[6709.08396682],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.07784879]
3,7625.210382048634,[11064.23087704],[0.66122538],[14545.32327384],5.457607102550776,[1.49841167],[0.1971918],[21997.52721452],[4838.16233634],9707.1609375,[10037.99189929],[14680.56315272],[7316.9640618],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.26611337]
54,7607.904946047091,[10206.49176224],[0.71679382],[14545.32327384],5.4700213310544905,[1.49841167],[0.18231855],[20292.19950305],[4838.16233634],9707.1609375,[9259.81053434],[13542.47290648],[6749.72659658],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.09043608]
50,7491.15316709693,[10047.13106977],[0.72816312],[14545.32327384],5.555273188418853,[1.49841167],[0.18226902],[19975.36399876],[4838.16233634],9707.1609375,[9115.23100072],[13331.02533855],[6644.3386602],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.05779673]
947,4762337.133593779,[18768.95182488],[0.38979003],[14545.32327384],5.6258731551909715,[1.49841167],[0.0005356],[37315.79114213],[4838.16233634],9707.1609375,[17028.0779993],[24903.56407397],[12412.22706816],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.84415087]
954,4732139.578710551,[18372.11163054],[0.39820955],[14545.32327384],5.6617739587374825,[1.49841167],[0.00052762],[36526.80697576],[4838.16233634],9707.1609375,[16668.04586507],[24377.01707767],[12149.78989809],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.7628723]
929,4712646.600887616,[17966.45465301],[0.40720055],[14545.32327384],5.685192823668996,[1.49841167],[0.0005181],[35720.29358119],[4838.16233634],9707.1609375,[16300.01472946],[23838.77154184],[11881.52203935],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[3.67978792]
0,7305.337750527346,[11838.20529917],[0.61799488],[14545.32327384],5.696574718466437,[1.49841167],[0.22022419],[23536.31681529],[4838.16233634],9707.1609375,[10740.17798578],[15707.51030421],[7828.80651108],[0.66737334],[1.49841167],[1.49841167],[1.49841167],[2.42463445]
