,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
953,9991406.468711019,[14068.03495477],[0.50172345],[12484.10214981],4.654040146878087,[0.82676019],[0.00017023],[24882.43721606],[-2615.92597519],15100.028125,[13229.15054163],[30096.31748221],[-5213.88026615],[1.20954058],[0.82676019],[0.82676019],[0.82676019],[1.64784046]
949,9801561.30073611,[13564.78863845],[0.52033711],[12484.10214981],4.744183646095878,[0.82676019],[0.00016732],[23992.33458906],[-2615.92597519],15100.028125,[12755.91307104],[29019.70223662],[-5027.36764757],[1.20954058],[0.82676019],[0.82676019],[0.82676019],[1.58889337]
967,9731001.922696933,[13869.92775219],[0.50888967],[12484.10214981],4.778583664720002,[0.82676019],[0.00017232],[24532.04072883],[-2615.92597519],15100.028125,[13042.85657699],[29672.49871265],[-5140.45798382],[1.20954058],[0.82676019],[0.82676019],[0.82676019],[1.62463543]
981,9337723.7228287,[14292.2022385],[0.49385412],[12484.10214981],4.979843932999982,[0.82676019],[0.00018505],[25278.92673156],[-2615.92597519],15100.028125,[13439.9506109],[30575.88763979],[-5296.96090823],[1.20954058],[0.82676019],[0.82676019],[0.82676019],[1.67409799]
968,9314912.128351217,[14295.23328588],[0.49374941],[12484.10214981],4.992039236487064,[0.82676019],[0.00018554],[25284.28781051],[-2615.92597519],15100.028125,[13442.80091531],[30582.37208232],[-5298.08427181],[1.20954058],[0.82676019],[0.82676019],[0.82676019],[1.67445303]
973,9142500.105503654,[13627.50351396],[0.51794248],[12484.10214981],5.08618061717778,[0.82676019],[0.00018021],[24103.25974366],[-2615.92597519],15100.028125,[12814.88822514],[29153.87071219],[-5050.61096853],[1.20954058],[0.82676019],[0.82676019],[0.82676019],[1.59623939]
971,9056429.374115871,[13359.34501428],[0.528339],[12484.10214981],5.134518794135473,[0.82676019],[0.00017834],[23628.96201453],[-2615.92597519],15100.028125,[12562.72015954],[28580.18836295],[-4951.22634842],[1.20954058],[0.82676019],[0.82676019],[0.82676019],[1.56482901]
939,9008907.720536249,[13660.70459205],[0.51668367],[12484.10214981],5.16160319004695,[0.82676019],[0.00018333],[24161.98320744],[-2615.92597519],15100.028125,[12846.10950527],[29224.89912449],[-5062.91591705],[1.20954058],[0.82676019],[0.82676019],[0.82676019],[1.60012836]
936,8656915.060897095,[13331.94448794],[0.52942487],[12484.10214981],5.371475462338633,[0.82676019],[0.00018619],[23580.4981119],[-2615.92597519],15100.028125,[12536.95354118],[28521.56930617],[-4941.07119427],[1.20954058],[0.82676019],[0.82676019],[0.82676019],[1.56161948]
969,8514947.79654146,[13469.11258047],[0.52403326],[12484.10214981],5.461032520721465,[0.82676019],[0.00019124],[23823.11027922],[-2615.92597519],15100.028125,[12665.94222732],[28815.01856716],[-4991.90828794],[1.20954058],[0.82676019],[0.82676019],[0.82676019],[1.57768648]
