,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
956,9991551.418580228,[17993.39965606],[0.38252659],[12335.1411849],3.833655903475329,[0.81689525],[0.00022061],[32246.49321624],[-2764.8869401],15100.028125,[17351.40803845],[39474.45328748],[-7227.96007124],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.13552537]
951,9971089.151239207,[18637.18898091],[0.36931288],[12335.1411849],3.8415231776316983,[0.81689525],[0.00022897],[33400.24673105],[-2764.8869401],15100.028125,[17972.22742111],[40886.81738302],[-7486.57065197],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.21193275]
947,9781044.223322567,[18511.51430769],[0.37182014],[12335.1411849],3.916163673954403,[0.81689525],[0.00023184],[33175.02150542],[-2764.8869401],15100.028125,[17851.03673026],[40611.10856133],[-7436.08705591],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.1970172]
935,9507200.601371242,[18630.30325869],[0.36944937],[12335.1411849],4.0289641174914,[0.81689525],[0.00024005],[33387.90662862],[-2764.8869401],15100.028125,[17965.58737653],[40871.7112816],[-7483.80465298],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.21111553]
953,9368772.906147579,[18562.98348566],[0.3707892],[12335.1411849],4.0884938149779515,[0.81689525],[0.00024272],[33267.26091153],[-2764.8869401],15100.028125,[17900.6695248],[40724.02316893],[-7456.76225739],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.20312576]
966,9296925.586089771,[18405.54624725],[0.37396086],[12335.1411849],4.120089993839338,[0.81689525],[0.00024252],[32985.11307191],[-2764.8869401],15100.028125,[17748.84953434],[40378.63269063],[-7393.51961872],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.18444051]
985,9149570.001822874,[18011.97805692],[0.38213204],[12335.1411849],4.186444835449757,[0.81689525],[0.00024116],[32279.78810708],[-2764.8869401],15100.028125,[17369.32357527],[39515.21113374],[-7235.42302667],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.13773033]
972,9145547.22717291,[17856.46503647],[0.38546005],[12335.1411849],4.188286291596579,[0.81689525],[0.00023918],[32001.08871426],[-2764.8869401],15100.028125,[17219.35914806],[39174.04206183],[-7172.95334757],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.11927345]
950,8954641.060844889,[18192.88360445],[0.37833221],[12335.1411849],4.277577383666042,[0.81689525],[0.00024888],[32603.9941839],[-2764.8869401],15100.028125,[17543.77454238],[39912.08708392],[-7308.09290002],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.15920089]
925,8803425.005546952,[18528.64764147],[0.37147632],[12335.1411849],4.351053147676309,[0.81689525],[0.00025783],[33205.72664964],[-2764.8869401],15100.028125,[17867.55875895],[40648.69617661],[-7442.96952697],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.19905065]
937,8057075.549506156,[17674.77744351],[0.38942238],[12335.1411849],4.754103377256428,[0.81689525],[0.00026873],[31675.48111114],[-2764.8869401],15100.028125,[17044.15403833],[38775.45043721],[-7099.96932607],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.09771007]
952,7984842.931598451,[18453.18333991],[0.37299547],[12335.1411849],4.797110025688314,[0.81689525],[0.0002831],[33070.48488683],[-2764.8869401],15100.028125,[17794.78696964],[40483.14035593],[-7412.6554691],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.19009426]
923,7955964.83098178,[17405.54249686],[0.3954461],[12335.1411849],4.814522297981375,[0.81689525],[0.000268],[31192.97735717],[-2764.8869401],15100.028125,[16784.52520183],[38184.79483416],[-6991.81747698],[1.22414717],[0.81689525],[0.81689525],[0.81689525],[2.06575624]
