,income,energy_consumptions,energy_ratios,npv,payback_periods,ov_multiplier,portion_of_income_spent_on_electricity,npv_energy_consumptions,npv_actual,installation_cost,solar_installation_right_sized,installation_cost_right_sized,npv_actual_right_sized,payback_period,multiplier,multiplier_right_sized,ov_multiplier_right_sized,ov_multiplier_check
922,9754559.167877765,[18374.00116273],[0.40515315],[14985.61480728],3.9806265331087674,[0.99242297],[0.00025919],[36987.53173127],[-114.41331772],15100.028125,[16382.38547981],[37269.92696658],[-282.3952353],[1.00763488],[0.99242297],[0.99242297],[0.99242297],[2.44950085]
909,9737889.169167213,[18148.36411006],[0.41019038],[14985.61480728],3.9874408475891805,[0.99242297],[0.00025644],[36533.31614853],[-114.41331772],15100.028125,[16181.20593581],[36812.24350397],[-278.92735544],[1.00763488],[0.99242297],[0.99242297],[0.99242297],[2.4194204]
956,9693585.71667004,[17659.38170893],[0.42154841],[14985.61480728],4.005665001306897,[0.99242297],[0.00025067],[35548.97681396],[-114.41331772],15100.028125,[15745.22587261],[35820.38886019],[-271.41204623],[1.00763488],[0.99242297],[0.99242297],[0.99242297],[2.35423249]
904,9533632.901684843,[18317.36333337],[0.40640589],[14985.61480728],4.072871007606289,[0.99242297],[0.00026438],[36873.51772353],[-114.41331772],15100.028125,[16331.88680262],[37155.04247597],[-281.52475244],[1.00763488],[0.99242297],[0.99242297],[0.99242297],[2.44195027]
939,9431700.201159557,[18096.6461814],[0.41136265],[14985.61480728],4.116888388549484,[0.99242297],[0.00026401],[36429.2060796],[-114.41331772],15100.028125,[16135.09387584],[36707.33856753],[-278.13248793],[1.00763488],[0.99242297],[0.99242297],[0.99242297],[2.41252571]
986,9383196.135573206,[18531.26272942],[0.4017149],[14985.61480728],4.138169604621783,[0.99242297],[0.00027175],[37304.10497715],[-114.41331772],15100.028125,[16522.60097146],[37588.91721007],[-284.81223293],[1.00763488],[0.99242297],[0.99242297],[0.99242297],[2.47046593]
955,9264683.178812088,[18584.25211638],[0.40056949],[14985.61480728],4.191104681402853,[0.99242297],[0.00027602],[37410.77453781],[-114.41331772],15100.028125,[16569.84667237],[37696.40117965],[-285.62664184],[1.00763488],[0.99242297],[0.99242297],[0.99242297],[2.47753012]
981,9257308.039980564,[18002.58313868],[0.41351201],[14985.61480728],4.194443662751351,[0.99242297],[0.00026759],[36239.853758],[-114.41331772],15100.028125,[16051.22662169],[36516.54056435],[-276.68680635],[1.00763488],[0.99242297],[0.99242297],[0.99242297],[2.39998584]
890,8936247.321175281,[18011.35605086],[0.4133106],[14985.61480728],4.345141270925216,[0.99242297],[0.00027734],[36257.51394887],[-114.41331772],15100.028125,[16059.04861037],[36534.33558859],[-276.82163972],[1.00763488],[0.99242297],[0.99242297],[0.99242297],[2.40115539]
892,8755898.58922817,[18555.26485293],[0.40119526],[14985.61480728],4.434639876962805,[0.99242297],[0.0002916],[37352.4221236],[-114.41331772],15100.028125,[16544.00142944],[37637.60325197],[-285.18112837],[1.00763488],[0.99242297],[0.99242297],[0.99242297],[2.47366573]
